dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.113439,2.201593,0.003333,0.333333,16.666667,833.333333,2.896950
0.020000,7.098759,2.205216,0.018454,0.756024,21.134554,223.394371,2.902185
0.020000,7.069245,2.212257,0.048796,1.517106,38.054066,845.975584,2.912686
0.020000,7.028525,2.221433,0.090537,2.087076,28.498500,-477.778289,2.927187
0.020000,6.983933,2.230773,0.136097,2.277956,9.544003,-947.724848,2.943071
0.020000,6.939181,2.239406,0.181673,2.278842,0.044299,-474.985191,2.959007
0.020000,6.894286,2.247325,0.227262,2.279409,0.028359,-0.797002,2.974974
0.020000,6.849266,2.254527,0.272854,2.279619,0.010523,-0.891826,2.990954
0.020000,6.804140,2.261009,0.318443,2.279474,-0.007253,-0.888768,3.006925
0.020000,6.758926,2.266768,0.364023,2.278983,-0.024572,-0.865989,3.022869
0.020000,6.713642,2.271805,0.409586,2.278134,-0.042446,-0.893667,3.038763
0.020000,6.668309,2.276120,0.455124,2.276915,-0.060963,-0.925836,3.054588
0.020000,6.622944,2.279717,0.500631,2.275348,-0.078341,-0.868907,3.070324
0.020000,6.577567,2.282600,0.546099,2.273420,-0.096408,-0.903386,3.085949
0.020000,6.532197,2.284775,0.591522,2.271137,-0.114139,-0.886534,3.101444
0.020000,6.486850,2.286247,0.636893,2.268527,-0.130512,-0.818663,3.116790
0.020000,6.441545,2.287027,0.682204,2.265574,-0.147642,-0.856494,3.131967
0.020000,6.396299,2.287122,0.727450,2.262301,-0.163668,-0.801313,3.146957
0.020000,6.351129,2.286545,0.772625,2.258721,-0.178972,-0.765165,3.161742
0.020000,6.306049,2.285308,0.817722,2.254850,-0.193576,-0.730194,3.176306
0.020000,6.261074,2.283422,0.862736,2.250703,-0.207328,-0.687597,3.190633
0.020000,6.216219,2.280904,0.907662,2.246294,-0.220433,-0.655281,3.204708
0.020000,6.171496,2.277766,0.952494,2.241642,-0.232624,-0.609562,3.218517
0.020000,6.126917,2.274026,0.997230,2.236764,-0.243870,-0.562263,3.232047
0.020000,6.082494,2.269699,1.041863,2.231680,-0.254210,-0.517001,3.245287
0.020000,6.038236,2.264802,1.086391,2.226407,-0.263639,-0.471459,3.258226
0.020000,5.994152,2.259354,1.130811,2.220964,-0.272162,-0.426155,3.270853
0.020000,5.950250,2.253371,1.175118,2.215368,-0.279793,-0.381552,3.283161
0.020000,5.906538,2.246873,1.219311,2.209637,-0.286554,-0.338060,3.295141
0.020000,5.863021,2.239877,1.263387,2.203788,-0.292475,-0.296032,3.306787
0.020000,5.819704,2.232402,1.307343,2.197836,-0.297590,-0.255765,3.318092
0.020000,5.776593,2.224468,1.351179,2.191797,-0.301940,-0.217503,3.329053
0.020000,5.733689,2.216092,1.394893,2.185686,-0.305569,-0.181438,3.339664
0.020000,5.690996,2.207294,1.438483,2.179515,-0.308523,-0.147711,3.349922
0.020000,5.648515,2.198093,1.481949,2.173298,-0.310852,-0.116422,3.359826
0.020000,5.606247,2.188506,1.525290,2.167046,-0.312610,-0.087937,3.369372
0.020000,5.564194,2.178553,1.568506,2.160769,-0.313833,-0.061104,3.378559
0.020000,5.522354,2.168252,1.611595,2.154478,-0.314583,-0.037509,3.387387
0.020000,5.480726,2.157620,1.654559,2.148180,-0.314907,-0.016237,3.395854
0.020000,5.439310,2.146676,1.697396,2.141883,-0.314855,0.002631,3.403962
0.020000,5.398104,2.135437,1.740108,2.135593,-0.314472,0.019160,3.411711
0.020000,5.357104,2.123920,1.782695,2.129317,-0.313803,0.033442,3.419101
0.020000,5.316309,2.112143,1.825156,2.123059,-0.312891,0.045580,3.426133
0.020000,5.275715,2.100122,1.867492,2.116824,-0.311777,0.055686,3.432809
0.020000,5.235319,2.087873,1.909705,2.110613,-0.310517,0.063022,3.439130
0.020000,5.195117,2.075413,1.951793,2.104431,-0.309098,0.070962,3.445097
0.020000,5.155105,2.062757,1.993759,2.098279,-0.307597,0.075041,3.450714
0.020000,5.115279,2.049921,2.035602,2.092159,-0.306032,0.078230,3.455980
0.020000,5.075635,2.036921,2.077323,2.086070,-0.304433,0.079989,3.460898
0.020000,5.036168,2.023771,2.118924,2.080014,-0.302824,0.080435,3.465471
0.020000,4.996873,2.010486,2.160403,2.073989,-0.301230,0.079683,3.469699
0.020000,4.957746,1.997081,2.201763,2.067996,-0.299673,0.077842,3.473584
0.020000,4.918781,1.983569,2.243004,2.062032,-0.298173,0.075019,3.477129
0.020000,4.879975,1.969966,2.284126,2.056097,-0.296747,0.071315,3.480335
0.020000,4.841321,1.956284,2.325130,2.050189,-0.295410,0.066825,3.483203
0.020000,4.802815,1.942537,2.366016,2.044305,-0.294181,0.061451,3.485734
0.020000,4.764452,1.928739,2.406785,2.038444,-0.293082,0.054977,3.487931
0.020000,4.726227,1.914902,2.447437,2.032603,-0.292062,0.050969,3.489794
0.020000,4.688135,1.901041,2.487972,2.026778,-0.291206,0.042817,3.491324
0.020000,4.650171,1.887168,2.528392,2.020969,-0.290492,0.035677,3.492523
0.020000,4.612331,1.873295,2.568695,2.015170,-0.289928,0.028238,3.493389
0.020000,4.574608,1.859436,2.608883,2.009380,-0.289516,0.020568,3.493925
0.020000,4.537000,1.845603,2.648954,2.003594,-0.289262,0.012735,3.494131
0.020000,4.499501,1.831808,2.688911,1.997811,-0.289162,0.004980,3.494006
0.020000,4.462106,1.818064,2.728751,1.992027,-0.289219,-0.002868,3.493550
0.020000,4.424811,1.804383,2.768476,1.986238,-0.289442,-0.011112,3.492764
0.020000,4.387612,1.790777,2.808085,1.980442,-0.289821,-0.018970,3.491646
0.020000,4.350505,1.777259,2.847578,1.974634,-0.290354,-0.026667,3.490197
0.020000,4.313486,1.763841,2.886954,1.968814,-0.291037,-0.034140,3.488414
0.020000,4.276550,1.750534,2.926213,1.962976,-0.291864,-0.041325,3.486299
0.020000,4.239695,1.737351,2.965356,1.957120,-0.292811,-0.047374,3.483849
0.020000,4.202915,1.724304,3.004381,1.951242,-0.293900,-0.054426,3.481063
0.020000,4.166209,1.711405,3.043287,1.945340,-0.295122,-0.061136,3.477939
0.020000,4.129573,1.698666,3.082076,1.939411,-0.296438,-0.065796,3.474477
0.020000,4.093003,1.686098,3.120745,1.933454,-0.297847,-0.070428,3.470674
0.020000,4.056497,1.673714,3.159294,1.927467,-0.299333,-0.074300,3.466530
0.020000,4.020052,1.661527,3.197723,1.921450,-0.300879,-0.077318,3.462041
0.020000,3.983665,1.649547,3.236031,1.915401,-0.302467,-0.079385,3.457207
0.020000,3.947334,1.637787,3.274217,1.909319,-0.304075,-0.080396,3.452025
0.020000,3.911058,1.626258,3.312282,1.903205,-0.305680,-0.080243,3.446494
0.020000,3.876002,1.615241,3.349028,1.837327,-3.293944,-149.413234,3.446034
0.020000,3.837899,1.603272,3.388967,1.996936,7.980453,563.719880,3.445859
0.020000,3.799827,1.591322,3.428870,1.995170,-0.088296,-403.437477,3.445583
0.020000,3.761785,1.579396,3.468738,1.993403,-0.088322,-0.001276,3.445206
0.020000,3.723771,1.567496,3.508571,1.991636,-0.088356,-0.001704,3.444728
0.020000,3.685785,1.555626,3.548368,1.989868,-0.088399,-0.002144,3.444149
0.020000,3.647825,1.543791,3.588130,1.988099,-0.088450,-0.002575,3.443469
0.020000,3.609890,1.531994,3.627857,1.986329,-0.088510,-0.002994,3.442688
0.020000,3.571980,1.520240,3.667548,1.984557,-0.088578,-0.003398,3.441805
