dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000306,1.001000,0.003333,0.333333,16.666667,833.333333,6.282310
0.020000,0.009282,1.001014,0.012309,0.448791,5.772866,-544.690057,0.003022
0.020000,0.033219,1.001180,0.036247,1.196890,37.404982,1581.605845,0.010818
0.020000,0.066129,1.001712,0.069161,1.645694,22.440163,-748.240979,0.021540
0.020000,0.102022,1.002695,0.105067,1.795325,7.481559,-747.930177,0.033234
0.020000,0.137905,1.004098,0.140978,1.795537,0.010597,-373.548127,0.044918
0.020000,0.173776,1.005920,0.176895,1.795831,0.014699,0.205108,0.056583
0.020000,0.209632,1.008161,0.212821,1.796321,0.024522,0.491134,0.068222
0.020000,0.245472,1.010819,0.248759,1.796906,0.029222,0.235043,0.079826
0.020000,0.281293,1.013893,0.284713,1.797666,0.038047,0.441209,0.091388
0.020000,0.317095,1.017382,0.320683,1.798536,0.043491,0.272227,0.102899
0.020000,0.352874,1.021284,0.356675,1.799577,0.052035,0.427201,0.114352
0.020000,0.388629,1.025598,0.392689,1.800716,0.056963,0.246368,0.125738
0.020000,0.424359,1.030320,0.428730,1.802038,0.066099,0.456801,0.137050
0.020000,0.460062,1.035448,0.464799,1.803448,0.070491,0.219611,0.148281
0.020000,0.495735,1.040981,0.500899,1.805014,0.078300,0.390460,0.159422
0.020000,0.531379,1.046914,0.537033,1.806699,0.084246,0.297285,0.170468
0.020000,0.566990,1.053246,0.573203,1.808495,0.089799,0.277667,0.181410
0.020000,0.602569,1.059971,0.609412,1.810436,0.097058,0.362928,0.192242
0.020000,0.638113,1.067088,0.645661,1.812470,0.101693,0.231761,0.202957
0.020000,0.673621,1.074592,0.681953,1.814614,0.107186,0.274645,0.213550
0.020000,0.709092,1.082479,0.718291,1.816881,0.113373,0.309364,0.224014
0.020000,0.744525,1.090745,0.754676,1.819234,0.117621,0.212403,0.234343
0.020000,0.779920,1.099386,0.791109,1.821681,0.122387,0.238281,0.244532
0.020000,0.815274,1.108397,0.827594,1.824228,0.127334,0.247368,0.254575
0.020000,0.850587,1.117774,0.864131,1.826857,0.131476,0.207079,0.264469
0.020000,0.885859,1.127511,0.900722,1.829562,0.135250,0.188708,0.274208
0.020000,0.921089,1.137604,0.937369,1.832343,0.139052,0.190132,0.283787
0.020000,0.956276,1.148047,0.974073,1.835201,0.142888,0.191784,0.293204
0.020000,0.991420,1.158836,1.010835,1.838117,0.145771,0.144149,0.302454
0.020000,1.026520,1.169963,1.047657,1.841092,0.148755,0.149180,0.311534
0.020000,1.061576,1.181425,1.084540,1.844122,0.151516,0.138079,0.320441
0.020000,1.096588,1.193216,1.121484,1.847205,0.154150,0.131688,0.329172
0.020000,1.131556,1.205329,1.158490,1.850329,0.156204,0.102716,0.337724
0.020000,1.166480,1.217758,1.195560,1.853494,0.158244,0.101985,0.346096
0.020000,1.201360,1.230499,1.232694,1.856695,0.160058,0.090701,0.354284
0.020000,1.236196,1.243544,1.269893,1.859928,0.161647,0.079436,0.362288
0.020000,1.270989,1.256887,1.307157,1.863188,0.162986,0.066961,0.370106
0.020000,1.305739,1.270523,1.344486,1.866472,0.164187,0.060063,0.377735
0.020000,1.340446,1.284445,1.381882,1.869776,0.165203,0.050800,0.385177
0.020000,1.375112,1.298647,1.419343,1.873094,0.165938,0.036721,0.392428
0.020000,1.409737,1.313122,1.456872,1.876428,0.166663,0.036291,0.399489
0.020000,1.444321,1.327864,1.494467,1.879772,0.167201,0.026863,0.406359
0.020000,1.478866,1.342867,1.532130,1.883123,0.167585,0.019217,0.413038
0.020000,1.513373,1.358124,1.569859,1.886476,0.167654,0.003421,0.419524
0.020000,1.547844,1.373628,1.607656,1.889835,0.167914,0.013037,0.425819
0.020000,1.582278,1.389374,1.645520,1.893194,0.167953,0.001951,0.431922
0.020000,1.616678,1.405355,1.683451,1.896551,0.167859,-0.004717,0.437834
0.020000,1.651046,1.421564,1.721449,1.899900,0.167448,-0.020541,0.443553
0.020000,1.685381,1.437996,1.759514,1.903248,0.167420,-0.001399,0.449082
0.020000,1.719688,1.454642,1.797646,1.906590,0.167093,-0.016351,0.454420
0.020000,1.753966,1.471498,1.835844,1.909922,0.166593,-0.025024,0.459567
0.020000,1.788218,1.488556,1.874109,1.913243,0.166052,-0.027009,0.464524
0.020000,1.822446,1.505811,1.912440,1.916558,0.165740,-0.015608,0.469292
0.020000,1.856652,1.523255,1.950837,1.919862,0.165202,-0.026913,0.473871
0.020000,1.890838,1.540883,1.989300,1.923149,0.164366,-0.041810,0.478263
0.020000,1.925006,1.558687,2.027829,1.926429,0.163973,-0.019626,0.482467
0.020000,1.959158,1.576663,2.066423,1.929697,0.163408,-0.028270,0.486484
0.020000,1.993297,1.594803,2.105082,1.932950,0.162634,-0.038719,0.490315
0.020000,2.027425,1.613101,2.143806,1.936189,0.161956,-0.033880,0.493962
0.020000,2.061545,1.631551,2.182594,1.939419,0.161491,-0.023268,0.497423
0.020000,2.095658,1.650146,2.221447,1.942634,0.160793,-0.034856,0.500701
0.020000,2.129768,1.668881,2.260363,1.945834,0.159961,-0.041604,0.503797
0.020000,2.163878,1.687749,2.299344,1.949026,0.159594,-0.018378,0.506709
0.020000,2.197990,1.706745,2.338388,1.952205,0.158979,-0.030724,0.509441
0.020000,2.232107,1.725861,2.377495,1.955367,0.158117,-0.043099,0.511991
