dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.009311,2.650124,0.003333,0.333333,16.666667,833.333333,6.256579
0.020000,0.003487,2.649790,0.016136,0.640124,15.339535,-66.356560,6.257539
0.020000,0.030810,2.649115,0.043467,1.366552,36.321407,1049.093585,6.259437
0.020000,0.068365,2.648271,0.081031,1.878226,25.583692,-536.885769,6.262002
0.020000,0.109316,2.647460,0.121990,2.047939,8.485648,-854.902191,6.264742
0.020000,0.150247,2.646760,0.162927,2.046857,-0.054119,-426.988326,6.267419
0.020000,0.191158,2.646169,0.203843,2.045773,-0.054182,-0.003163,6.270035
0.020000,0.232049,2.645683,0.244736,2.044687,-0.054284,-0.005129,6.272589
0.020000,0.272919,2.645301,0.285609,2.043600,-0.054345,-0.003033,6.275080
0.020000,0.313768,2.645020,0.326459,2.042512,-0.054422,-0.003830,6.277509
0.020000,0.354596,2.644837,0.367287,2.041422,-0.054477,-0.002776,6.279876
0.020000,0.395403,2.644749,0.408094,2.040332,-0.054533,-0.002806,6.282181
0.020000,0.436188,2.644754,0.448879,2.039240,-0.054581,-0.002411,0.001238
0.020000,0.476951,2.644849,0.489642,2.038148,-0.054622,-0.002029,0.003418
0.020000,0.517691,2.645032,0.530383,2.037054,-0.054661,-0.001964,0.005535
0.020000,0.558410,2.645299,0.571102,2.035961,-0.054691,-0.001466,0.007590
0.020000,0.599105,2.645649,0.611799,2.034866,-0.054720,-0.001460,0.009583
0.020000,0.639779,2.646078,0.652475,2.033771,-0.054742,-0.001085,0.011513
0.020000,0.680429,2.646584,0.693128,2.032676,-0.054760,-0.000924,0.013380
0.020000,0.721056,2.647165,0.733760,2.031581,-0.054777,-0.000854,0.015184
0.020000,0.761661,2.647817,0.774369,2.030485,-0.054785,-0.000410,0.016926
0.020000,0.802242,2.648538,0.814957,2.029389,-0.054798,-0.000653,0.018606
0.020000,0.842800,2.649326,0.855523,2.028293,-0.054799,-0.000033,0.020223
0.020000,0.883335,2.650177,0.896067,2.027197,-0.054807,-0.000408,0.021777
0.020000,0.923847,2.651090,0.936589,2.026101,-0.054803,0.000186,0.023268
0.020000,0.964336,2.652062,0.977089,2.025005,-0.054806,-0.000136,0.024697
0.020000,1.004801,2.653089,1.017567,2.023909,-0.054800,0.000291,0.026063
0.020000,1.045243,2.654170,1.058024,2.022813,-0.054798,0.000136,0.027367
0.020000,1.085661,2.655302,1.098458,2.021717,-0.054791,0.000312,0.028608
0.020000,1.126056,2.656482,1.138870,2.020621,-0.054784,0.000390,0.029786
0.020000,1.166428,2.657707,1.179261,2.019526,-0.054778,0.000272,0.030902
0.020000,1.206777,2.658976,1.219629,2.018430,-0.054766,0.000612,0.031955
0.020000,1.247102,2.660285,1.259976,2.017335,-0.054762,0.000195,0.032946
0.020000,1.287405,2.661632,1.300301,2.016240,-0.054746,0.000787,0.033874
0.020000,1.327684,2.663015,1.340604,2.015145,-0.054744,0.000099,0.034739
0.020000,1.367940,2.664430,1.380885,2.014051,-0.054726,0.000908,0.035542
0.020000,1.408173,2.665876,1.421144,2.012956,-0.054726,0.000001,0.036282
0.020000,1.448383,2.667350,1.461381,2.011862,-0.054707,0.000934,0.036960
0.020000,1.488571,2.668848,1.501597,2.010768,-0.054707,0.000011,0.037575
