dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.337236,0.619811,0.003333,0.333333,16.666667,833.333333,0.402310
0.020000,6.349450,0.625157,0.016667,1.000000,33.333333,833.333333,0.422890
0.020000,6.373534,0.636601,0.043333,1.666667,33.333333,0.000000,0.464364
0.020000,6.405830,0.653952,0.080000,2.000000,16.666667,-833.333333,0.521629
0.020000,6.439869,0.674948,0.120000,2.000000,0.000000,-833.333333,0.583576
0.020000,6.472559,0.697989,0.160000,2.000000,0.000000,0.000000,0.644005
0.020000,6.503827,0.722926,0.200000,2.000000,0.000000,0.000000,0.702006
0.020000,6.533637,0.749589,0.240000,2.000000,0.000000,0.000000,0.756828
0.020000,6.561995,0.777794,0.280000,2.000000,0.000000,0.000000,0.807911
0.020000,6.588936,0.807355,0.320000,2.000000,0.000000,0.000000,0.854894
0.020000,6.614524,0.838096,0.360000,2.000000,0.000000,0.000000,0.897592
0.020000,6.638847,0.869849,0.400000,2.000000,0.000000,0.000000,0.935963
0.020000,6.662003,0.902462,0.440000,2.000000,0.000000,0.000000,0.970073
0.020000,6.684103,0.935800,0.480000,2.000000,0.000000,0.000000,1.000054
0.020000,6.705262,0.969744,0.520000,2.000000,0.000000,0.000000,1.026076
0.020000,6.725597,1.004189,0.560000,2.000000,0.000000,0.000000,1.048327
0.020000,6.745223,1.039043,0.600000,2.000000,0.000000,0.000000,1.066989
0.020000,6.764256,1.074224,0.640000,2.000000,0.000000,0.000000,1.082232
0.020000,6.782809,1.109661,0.680000,2.000000,0.000000,0.000000,1.094204
0.020000,6.800993,1.145289,0.720000,2.000000,0.000000,0.000000,1.103027
0.020000,6.818917,1.181048,0.760000,2.000000,0.000000,0.000000,1.108793
0.020000,6.836688,1.216883,0.800000,2.000000,0.000000,0.000000,1.111562
0.020000,6.854413,1.252742,0.840000,2.000000,0.000000,0.000000,1.111365
0.020000,6.872198,1.288570,0.880000,2.000000,0.000000,0.000000,1.108200
0.020000,6.890150,1.324315,0.920000,2.000000,0.000000,0.000000,1.102033
0.020000,6.908377,1.359921,0.960000,2.000000,0.000000,0.000000,1.092798
0.020000,6.926987,1.395328,1.000000,2.000000,0.000000,0.000000,1.080398
0.020000,6.946093,1.430470,1.040000,2.000000,0.000000,0.000000,1.064710
0.020000,6.965806,1.465274,1.080000,2.000000,0.000000,0.000000,1.045581
0.020000,6.986243,1.499658,1.120000,2.000000,0.000000,0.000000,1.022840
0.020000,7.007521,1.533528,1.160000,2.000000,0.000000,0.000000,0.996302
0.020000,7.029755,1.566777,1.200000,2.000000,0.000000,0.000000,0.965783
0.020000,7.053060,1.599285,1.240000,2.000000,0.000000,0.000000,0.931113
0.020000,7.077545,1.630912,1.280000,2.000000,0.000000,0.000000,0.892168
0.020000,7.103309,1.661505,1.320000,2.000000,0.000000,0.000000,0.848896
0.020000,7.130435,1.690898,1.360000,2.000000,0.000000,0.000000,0.801355
0.020000,7.158984,1.718908,1.400000,2.000000,0.000000,0.000000,0.749750
0.020000,7.188989,1.745352,1.440000,2.000000,0.000000,0.000000,0.694469
0.020000,7.220448,1.770047,1.480000,2.000000,0.000000,0.000000,0.636098
0.020000,7.253322,1.792824,1.520000,2.000000,0.000000,0.000000,0.575412
0.020000,7.287533,1.813538,1.560000,2.000000,0.000000,0.000000,0.513338
0.020000,7.322968,1.832081,1.600000,2.000000,0.000000,0.000000,0.450880
0.020000,7.359488,1.848384,1.640000,2.000000,0.000000,0.000000,0.389042
0.020000,7.396936,1.862425,1.680000,2.000000,0.000000,0.000000,0.328732
0.020000,7.435150,1.874225,1.720000,2.000000,0.000000,0.000000,0.270707
0.020000,7.473971,1.883843,1.760000,2.000000,0.000000,0.000000,0.215527
0.020000,7.513252,1.891368,1.800000,2.000000,0.000000,0.000000,0.163556
0.020000,7.552863,1.896909,1.840000,2.000000,0.000000,0.000000,0.114977
0.020000,7.592690,1.900588,1.880000,2.000000,0.000000,0.000000,0.069829
0.020000,7.629970,1.902455,1.917329,1.732947,-13.352662,-667.633113,0.030725
0.020000,7.658620,1.902929,1.945985,1.132560,-30.019329,-833.333333,0.002618
0.020000,7.674604,1.902850,1.961969,0.465894,-33.333333,-165.700220,6.270817
0.020000,7.679926,1.902771,1.967291,0.066280,-19.980671,667.633113,6.265935
0.020000,7.680589,1.902759,1.967954,0.000000,-3.314004,833.333333,6.265330
0.020000,7.680589,1.902759,1.967954,0.000000,0.000000,165.700220,6.265330
