dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.828740,1.956790,0.003333,0.333333,16.666667,833.333333,4.208923
0.020000,4.823498,1.947195,0.014267,0.546682,10.667434,-299.961612,4.215779
0.020000,4.813286,1.928032,0.035982,1.085746,26.953182,814.287355,4.229926
0.020000,4.799860,1.901754,0.065490,1.475422,19.483839,-373.467127,4.250377
0.020000,4.786065,1.873218,0.097186,1.584779,5.467821,-700.800891,4.274101
0.020000,4.773204,1.844863,0.128322,1.556803,-1.398811,-343.331610,4.299425
0.020000,4.761325,1.816738,0.158852,1.526494,-1.515450,-5.831955,4.326480
0.020000,4.750476,1.788904,0.188726,1.493727,-1.638338,-6.144375,4.355406
0.020000,4.740701,1.761422,0.217895,1.458426,-1.765052,-6.335716,4.386350
0.020000,4.732040,1.734362,0.246307,1.420581,-1.892255,-6.360166,4.419456
0.020000,4.724530,1.707798,0.273912,1.380251,-2.016497,-6.212109,4.454866
0.020000,4.718200,1.681806,0.300664,1.337628,-2.131121,-5.731184,4.492711
0.020000,4.713066,1.656459,0.326526,1.293084,-2.227236,-4.805745,4.533102
0.020000,4.709138,1.631826,0.351469,1.247169,-2.295725,-3.424447,4.576115
0.020000,4.706411,1.607968,0.375483,1.200710,-2.322979,-1.362684,4.621783
0.020000,4.704869,1.584923,0.398579,1.154787,-2.296112,1.343322,4.670074
0.020000,4.704485,1.562711,0.420794,1.110770,-2.200888,4.761205,4.720880
0.020000,4.705228,1.541319,0.442200,1.070258,-2.025572,8.765810,4.774001
0.020000,4.707065,1.520701,0.462900,1.035001,-1.762873,13.134964,4.829136
0.020000,4.709973,1.500777,0.483035,1.006752,-1.412443,17.521507,4.885886
0.020000,4.713939,1.481438,0.502776,0.987072,-0.983986,21.422809,4.943759
0.020000,4.718973,1.462555,0.522319,0.977143,-0.496458,24.376441,5.002200
0.020000,4.725106,1.443990,0.541871,0.977587,0.022190,25.932358,5.060616
0.020000,4.732389,1.425612,0.561638,0.988375,0.539432,25.862101,5.118415
0.020000,4.740883,1.407311,0.581815,1.008834,1.022936,24.175206,5.175045
0.020000,4.750659,1.389003,0.602570,1.037741,1.445348,21.120626,5.230024
0.020000,4.761780,1.370637,0.624040,1.073513,1.788596,17.162391,5.282959
0.020000,4.774295,1.352195,0.646328,1.114390,2.043876,12.764019,5.333558
0.020000,4.788237,1.333686,0.669500,1.158628,2.211874,8.399871,5.381630
0.020000,4.803616,1.315140,0.693593,1.204641,2.300629,4.437731,5.427073
0.020000,4.820422,1.296602,0.718615,1.251097,2.322799,1.108542,5.469862
0.020000,4.838625,1.278124,0.744553,1.296920,2.291160,-1.581975,5.510033
0.020000,4.858180,1.259759,0.771380,1.341324,2.220192,-3.548396,5.547667
0.020000,4.879030,1.241559,0.799055,1.383759,2.121768,-4.921212,5.582877
0.020000,4.901109,1.223574,0.827533,1.423885,2.006319,-5.772423,5.615794
0.020000,4.924347,1.205842,0.856763,1.461525,1.882002,-6.215870,5.646561
0.020000,4.948673,1.188402,0.886695,1.496598,1.753620,-6.419091,5.675324
0.020000,4.974014,1.171279,0.917278,1.529159,1.628069,-6.277543,5.702226
0.020000,5.000299,1.154498,0.948464,1.559261,1.505105,-6.148232,5.727409
0.020000,5.026825,1.138450,0.979467,1.550154,-0.455386,-98.024524,5.750477
0.020000,5.050468,1.124814,1.006760,1.364652,-9.275059,-440.983658,5.769351
0.020000,5.066806,1.115724,1.025456,0.934811,-21.492048,-610.849421,5.781581
0.020000,5.074400,1.111587,1.034105,0.432429,-25.119122,-181.353728,5.787060
0.020000,5.076140,1.110646,1.036083,0.098896,-16.676660,422.123121,5.788298
0.020000,5.076140,1.110646,1.036083,0.000000,-4.944787,586.593643,5.788298
