dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.475280,0.298183,0.003333,0.333333,16.666667,833.333333,0.403714
0.020000,6.495108,0.306934,0.025007,1.083659,37.516265,1042.479916,0.427544
0.020000,6.534090,0.325830,0.068327,2.166011,54.117621,830.067800,0.475138
0.020000,6.585865,0.354620,0.127568,2.962075,39.803193,-715.721412,0.539667
0.020000,6.639403,0.389222,0.191314,3.187302,11.261343,-1427.092480,0.607548
0.020000,6.689427,0.426447,0.253669,3.117734,-3.478400,-736.987137,0.671448
0.020000,6.735720,0.465532,0.314255,3.029311,-4.421115,-47.135769,0.730291
0.020000,6.778287,0.505761,0.372824,2.928426,-5.044257,-31.157096,0.783364
0.020000,6.817302,0.546516,0.429244,2.821000,-5.371334,-16.353831,0.830293
0.020000,6.853055,0.587298,0.483479,2.711743,-5.462819,-4.574262,0.870975
0.020000,6.885889,0.627721,0.535556,2.603897,-5.392304,3.525736,0.905491
0.020000,6.916166,0.667495,0.585543,2.499341,-5.227792,8.225581,0.934029
0.020000,6.944237,0.706404,0.633521,2.398862,-5.023971,10.191060,0.956824
0.020000,6.970425,0.744281,0.679570,2.302450,-4.820614,10.167842,0.974109
0.020000,6.995023,0.780993,0.723761,2.209558,-4.644560,8.802704,0.986084
0.020000,7.018284,0.816427,0.766147,2.119315,-4.512171,6.619485,0.992903
0.020000,7.040425,0.850474,0.806760,2.030647,-4.433426,3.937235,0.994654
0.020000,7.061628,0.883024,0.845608,1.942388,-4.412939,1.024325,0.991362
0.020000,7.082040,0.913965,0.882675,1.853350,-4.451882,-1.947148,0.982982
0.020000,7.101770,0.943173,0.917922,1.762385,-4.548260,-4.818874,0.969405
0.020000,7.120895,0.970518,0.951292,1.668472,-4.695620,-7.368020,0.950462
0.020000,7.139455,0.995867,0.982708,1.570814,-4.882918,-9.364906,0.925939
0.020000,7.157453,1.019088,1.012088,1.469007,-5.090349,-10.371524,0.895600
0.020000,7.174864,1.040071,1.039353,1.363252,-5.287741,-9.869627,0.859218
0.020000,7.191635,1.058735,1.064446,1.254635,-5.430857,-7.155784,0.816632
0.020000,7.207709,1.075058,1.087355,1.145430,-5.460276,-1.470943,0.767806
0.020000,7.223041,1.089094,1.108141,1.039330,-5.304975,7.765062,0.712918
0.020000,7.237639,1.100987,1.126971,0.941472,-4.892914,20.603009,0.652439
0.020000,7.251599,1.110967,1.144131,0.858034,-4.171896,36.050905,0.587192
0.020000,7.265132,1.119327,1.160038,0.795330,-3.135195,51.835065,0.518363
0.020000,7.278565,1.126375,1.175208,0.758480,-1.842494,64.635039,0.447428
0.020000,7.292314,1.132377,1.190209,0.750088,-0.419633,71.143049,0.376014
0.020000,7.306820,1.137516,1.205599,0.769504,0.970811,69.522219,0.305709
0.020000,7.322319,1.141831,1.221688,0.804410,1.745300,38.724445,0.238564
0.020000,7.337401,1.145036,1.237106,0.770942,-1.673409,-170.935447,0.181360
0.020000,7.348821,1.146900,1.248678,0.578561,-9.619025,-397.280805,0.142896
0.020000,7.354583,1.147676,1.254491,0.290668,-14.394664,-238.781954,0.124908
0.020000,7.355998,1.147850,1.255917,0.071305,-10.968159,171.325257,0.120624
0.020000,7.355998,1.147850,1.255917,0.000000,-3.565229,370.146495,0.120624
