dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.173738,1.186798,0.003333,0.333333,16.666667,833.333333,3.208110
0.020000,7.159882,1.185886,0.017219,0.694265,18.046563,68.994830,3.206533
0.020000,7.132200,1.184129,0.044957,1.386906,34.632080,829.275823,3.203471
0.020000,7.094199,1.181851,0.083026,1.903466,25.828007,-440.203618,3.199464
0.020000,7.052826,1.179541,0.124463,2.071859,8.419617,-870.419536,3.195357
0.020000,7.011541,1.177399,0.165804,2.067018,-0.242036,-433.082608,3.191528
0.020000,6.970345,1.175414,0.207047,2.062189,-0.241463,0.028624,3.187974
0.020000,6.929239,1.173575,0.248195,2.057372,-0.240821,0.032097,3.184695
0.020000,6.888223,1.171869,0.289246,2.052568,-0.240208,0.030678,3.181692
0.020000,6.847298,1.170283,0.330202,2.047776,-0.239617,0.029505,3.178961
0.020000,6.806465,1.168808,0.371062,2.042994,-0.239084,0.026666,3.176505
0.020000,6.765724,1.167431,0.411826,2.038224,-0.238518,0.028309,3.174320
0.020000,6.725075,1.166140,0.452495,2.033463,-0.238025,0.024627,3.172408
0.020000,6.684519,1.164924,0.493070,2.028711,-0.237588,0.021863,3.170768
0.020000,6.644056,1.163771,0.533549,2.023967,-0.237206,0.019117,3.169398
0.020000,6.603686,1.162672,0.573934,2.019230,-0.236853,0.017655,3.168299
0.020000,6.563410,1.161613,0.614223,2.014499,-0.236582,0.013525,3.167471
0.020000,6.523228,1.160585,0.654419,2.009771,-0.236381,0.010059,3.166912
0.020000,6.483140,1.159577,0.694520,2.005046,-0.236233,0.007389,3.166624
0.020000,6.443146,1.158577,0.734526,2.000323,-0.236159,0.003694,3.166605
0.020000,6.403246,1.157575,0.774438,1.995600,-0.236158,0.000046,3.166857
0.020000,6.363442,1.156559,0.814256,1.990876,-0.236217,-0.002954,3.167378
0.020000,6.323732,1.155520,0.853979,1.986149,-0.236357,-0.006979,3.168170
0.020000,6.284119,1.154447,0.893607,1.981417,-0.236562,-0.010251,3.169232
0.020000,6.244601,1.153329,0.933141,1.976681,-0.236820,-0.012915,3.170564
0.020000,6.205180,1.152156,0.972580,1.971938,-0.237147,-0.016311,3.172168
