dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.446335,2.366288,0.003333,0.333333,16.666667,833.333333,5.946385
0.020000,6.460289,2.361435,0.018107,0.738676,20.267147,180.023998,5.950500
0.020000,6.487885,2.352013,0.047266,1.457980,35.965201,784.902700,5.957622
0.020000,6.525144,2.339598,0.086540,1.963676,25.284802,-534.019922,5.965071
0.020000,6.564875,2.326638,0.128331,2.089548,6.293567,-949.561736,5.970188
0.020000,6.603629,2.314151,0.169047,2.035797,-2.687549,-449.055829,5.972233
0.020000,6.641375,2.302010,0.208698,1.982539,-2.662897,1.232579,5.971236
0.020000,6.678073,2.290104,0.247278,1.929038,-2.675049,-0.607579,5.967181
0.020000,6.713669,2.278335,0.284770,1.874556,-2.724071,-2.451114,5.960013
0.020000,6.748096,2.266618,0.321137,1.818354,-2.810136,-4.303248,5.949633
0.020000,6.781274,2.254878,0.356330,1.759680,-2.933678,-6.177076,5.935901
0.020000,6.813106,2.243057,0.390286,1.697798,-3.094120,-8.022121,5.918634
0.020000,6.843482,2.231112,0.422926,1.631988,-3.290502,-9.819075,5.897606
0.020000,6.872277,2.219017,0.454158,1.561604,-3.519192,-11.434523,5.872557
0.020000,6.899358,2.206767,0.483881,1.486132,-3.773591,-12.719945,5.843197
0.020000,6.924587,2.194380,0.511987,1.405312,-4.040994,-13.370152,5.809218
0.020000,6.947833,2.181898,0.538373,1.319284,-4.301419,-13.021251,5.770325
0.020000,6.968986,2.169385,0.562949,1.228813,-4.523558,-11.106956,5.726263
0.020000,6.987972,2.156923,0.585659,1.135535,-4.663878,-7.015974,5.676871
0.020000,7.004780,2.144596,0.606503,1.042190,-4.667233,-0.167785,5.622147
0.020000,7.019475,2.132465,0.625559,0.952766,-4.471200,9.801696,5.562313
0.020000,7.032214,2.120543,0.643006,0.872370,-4.019829,22.568522,5.497886
0.020000,7.043236,2.108760,0.659141,0.806728,-3.282066,36.888155,5.429708
0.020000,7.052838,2.096944,0.674366,0.761270,-2.272919,50.457355,5.358933
0.020000,7.061324,2.084819,0.689165,0.739965,-1.065228,60.384522,5.286940
0.020000,7.068958,2.072039,0.704052,0.744329,0.218195,64.171175,5.215197
0.020000,7.075922,2.058236,0.719512,0.773019,1.434491,60.814807,5.145093
0.020000,7.082301,2.043080,0.735956,0.822194,2.458762,51.213531,5.077798
0.020000,7.088094,2.026323,0.753686,0.886501,3.215307,37.827245,5.014179
0.020000,7.093241,2.007821,0.772890,0.960214,3.685668,23.518064,4.954770
0.020000,7.097654,1.987532,0.793654,1.038167,3.897653,10.599267,4.899816
0.020000,7.101244,1.965498,0.815979,1.116265,3.904905,0.362605,4.849323
0.020000,7.103938,1.941818,0.839811,1.191614,3.767440,-6.873259,4.803136
0.020000,7.105683,1.916630,0.865059,1.262406,3.539587,-11.392643,4.760994
0.020000,7.106451,1.890087,0.891614,1.327709,3.265175,-13.720638,4.722582
0.020000,7.106415,1.856887,0.924814,1.660038,16.616466,667.564553,4.706290
0.020000,7.106008,1.820590,0.961114,1.814957,7.745927,-443.526934,4.695716
0.020000,7.105197,1.785048,0.996664,1.777526,-1.871564,-480.874547,4.683004
0.020000,7.103923,1.750304,1.031432,1.738405,-1.956011,-4.222361,4.668057
0.020000,7.102134,1.716404,1.065380,1.697366,-2.051988,-4.798844,4.650765
0.020000,7.099779,1.683403,1.098464,1.654209,-2.157857,-5.293459,4.631007
0.020000,7.096814,1.651365,1.130639,1.608784,-2.271235,-5.668906,4.608653
0.020000,7.093201,1.620354,1.161860,1.561025,-2.387934,-5.834931,4.583571
0.020000,7.088910,1.590441,1.192079,1.510972,-2.502664,-5.736521,4.555630
0.020000,7.083920,1.561694,1.221256,1.458821,-2.607564,-5.244999,4.524708
0.020000,7.078219,1.534179,1.249355,1.404971,-2.692491,-4.246316,4.490711
0.020000,7.071804,1.507950,1.276357,1.350077,-2.744698,-2.610356,4.453577
0.020000,7.064682,1.483047,1.302259,1.295093,-2.749200,-0.225087,4.413301
0.020000,7.056865,1.459484,1.327084,1.241299,-2.689685,2.975735,4.369953
0.020000,7.048363,1.437248,1.350890,1.190293,-2.550294,6.969516,4.323690
0.020000,7.039185,1.416291,1.373769,1.143923,-2.318512,11.589106,4.274778
0.020000,7.029324,1.396532,1.395852,1.104159,-1.988212,16.515032,4.223594
0.020000,7.018754,1.377858,1.417310,1.072896,-1.563124,21.254369,4.170623
0.020000,7.007426,1.360134,1.438344,1.051724,-1.058624,25.224997,4.116444
0.020000,6.995265,1.343218,1.459178,1.041690,-0.501697,27.846372,4.061691
0.020000,6.982178,1.326971,1.480041,1.043145,0.072761,28.722877,4.007021
0.020000,6.968059,1.311273,1.501155,1.055676,0.626557,27.689829,3.953067
0.020000,6.952803,1.296032,1.522718,1.078185,1.125429,24.943586,3.900398
0.020000,6.936320,1.281190,1.544899,1.109043,1.542913,20.874214,3.849494
0.020000,6.918626,1.266785,1.567715,1.140799,1.587816,2.245160,3.800948
0.020000,6.901436,1.254037,1.589116,1.070051,-3.537396,-256.260630,3.758971
0.020000,6.888419,1.245078,1.604919,0.790121,-13.996519,-522.956153,3.730112
0.020000,6.881797,1.240725,1.612843,0.396215,-19.695313,-284.939665,3.716293
0.020000,6.880145,1.239659,1.614809,0.098290,-14.896242,239.953541,3.712930
0.020000,6.880145,1.239659,1.614809,0.000000,-4.914500,499.087101,3.712930
