dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.785913,3.678842,0.003333,0.333333,16.666667,833.333333,0.000066
0.020000,5.785915,3.678842,0.003335,0.000088,-16.662273,-1666.446988,0.000061
0.020000,5.785918,3.678842,0.003339,0.000176,0.004401,833.333691,0.000051
0.020000,5.785923,3.678842,0.003343,0.000242,0.003313,-0.054364,0.000037
0.020000,5.785929,3.678842,0.003349,0.000265,0.001121,-0.109606,0.000022
0.020000,5.785934,3.678842,0.003354,0.000265,0.000022,-0.054988,0.000007
0.020000,5.808456,3.678842,0.025876,1.126102,56.291850,2814.591429,6.283177
0.020000,5.848508,3.678841,0.065928,2.002581,43.823925,-623.396278,6.283162
0.020000,5.888519,3.678840,0.105939,2.000571,-0.100466,-2196.219525,6.283146
0.020000,5.928490,3.678838,0.145910,1.998563,-0.100428,0.001877,6.283131
0.020000,5.968445,3.678836,0.185865,1.997744,-0.040914,2.975742,6.283116
0.020000,6.008514,3.678833,0.225934,2.003448,0.285168,16.304085,6.283100
0.020000,6.048543,3.678829,0.265963,2.001423,-0.101213,-19.319078,6.283085
0.020000,6.088531,3.678825,0.305951,1.999400,-0.101175,0.001902,6.283069
0.020000,6.128478,3.678820,0.345898,1.997377,-0.101137,0.001902,6.283054
0.020000,6.168515,3.678814,0.385935,2.001828,0.222548,16.184254,6.283038
0.020000,6.208560,3.678808,0.425980,2.002248,0.021001,-10.077317,6.283023
0.020000,6.248564,3.678801,0.465984,2.000210,-0.101930,-6.146551,6.283007
0.020000,6.288527,3.678794,0.505947,1.998172,-0.101891,0.001928,6.282992
0.020000,6.328510,3.678786,0.545930,1.999144,0.048598,7.524442,6.282976
0.020000,6.368571,3.678777,0.585991,2.003045,0.195051,7.322677,6.282960
0.020000,6.408591,3.678768,0.626011,2.000991,-0.102691,-14.887127,6.282944
0.020000,6.448570,3.678758,0.665990,1.998938,-0.102652,0.001954,6.282928
0.020000,6.488507,3.678747,0.705927,1.996886,-0.102613,0.001954,6.282913
0.020000,6.528578,3.678736,0.745998,2.003512,0.331297,21.695517,6.282897
0.020000,6.568612,3.678724,0.786033,2.001743,-0.088413,-20.985515,6.282881
0.020000,6.608606,3.678711,0.826026,1.999675,-0.103421,-0.750380,6.282865
0.020000,6.648558,3.678698,0.865978,1.997607,-0.103381,0.001980,6.282849
0.020000,6.688580,3.678685,0.906000,2.001095,0.174398,13.888973,6.282833
0.020000,6.728629,3.678670,0.946049,2.002466,0.068541,-5.292848,6.282816
0.020000,6.768637,3.678655,0.986057,2.000382,-0.104197,-8.636906,6.282800
0.020000,6.808603,3.678639,1.026023,1.998299,-0.104157,0.002007,6.282784
0.020000,6.848579,3.678623,1.065999,1.998805,0.025322,6.473946,6.282768
0.020000,6.888642,3.678606,1.106062,2.003159,0.217654,9.616600,6.282751
0.020000,6.928663,3.678588,1.146083,2.001059,-0.104980,-16.131734,6.282735
0.020000,6.968642,3.678570,1.186063,1.998960,-0.104940,0.002035,6.282719
0.020000,7.008580,3.678551,1.226000,1.996862,-0.104899,0.002035,6.282702
0.020000,7.048652,3.678531,1.266072,2.003601,0.336929,22.091388,6.282686
0.020000,7.088686,3.678511,1.306106,2.001705,-0.094807,-21.586793,6.282669
0.020000,7.128678,3.678490,1.346098,1.999590,-0.105730,-0.546166,6.282653
0.020000,7.168627,3.678468,1.386047,1.997476,-0.105689,0.002063,6.282636
0.020000,7.208659,3.678446,1.426079,2.001582,0.205279,15.548407,6.282619
0.020000,7.248705,3.678423,1.466125,2.002318,0.036832,-8.422357,6.282603
0.020000,7.288709,3.678399,1.506129,2.000188,-0.106529,-7.168037,6.282586
0.020000,7.328670,3.678375,1.546090,1.998058,-0.106487,0.002091,6.282569
0.020000,7.368664,3.678350,1.586084,1.999691,0.081650,9.406848,6.282552
0.020000,7.408722,3.678324,1.626142,2.002900,0.160430,3.938994,6.282535
0.020000,7.448737,3.678298,1.666157,2.000753,-0.107335,-13.388251,6.282518
0.020000,7.488709,3.678271,1.706129,1.998607,-0.107293,0.002120,6.282501
0.020000,7.528668,3.678243,1.746088,1.997929,-0.033891,3.670091,6.282484
0.020000,7.568737,3.678215,1.786157,2.003448,0.275919,15.490479,6.282467
0.020000,7.608762,3.678186,1.826183,2.001285,-0.108149,-19.203406,6.282450
0.020000,7.648745,3.678156,1.866165,1.999123,-0.108107,0.002149,6.282433
0.020000,7.688684,3.678126,1.906104,1.996961,-0.108064,0.002149,6.282415
0.020000,7.728750,3.678094,1.946170,2.003297,0.316805,21.243435,6.282398
0.020000,7.768785,3.678063,1.986206,2.001782,-0.075759,-19.628229,6.282381
0.020000,7.808778,3.678030,2.026198,1.999604,-0.108928,-1.658443,6.282363
0.020000,7.848726,3.677997,2.066146,1.997426,-0.108885,0.002179,6.282346
0.020000,7.888762,3.677963,2.106183,2.001810,0.219191,16.403764,6.282328
0.020000,7.928807,3.677928,2.146227,2.002245,0.021750,-9.872019,6.282311
0.020000,7.968808,3.677893,2.186228,2.000050,-0.109758,-6.575418,6.282293
0.020000,8.008765,3.677857,2.226186,1.997855,-0.109714,0.002209,6.282276
0.020000,8.048774,3.677820,2.266195,2.000453,0.129861,11.978763,6.282258
0.020000,8.088828,3.677783,2.306248,2.002672,0.110952,-0.945473,6.282240
0.020000,8.128837,3.677745,2.346257,2.000460,-0.110596,-11.077405,6.282222
0.020000,8.168802,3.677706,2.386222,1.998249,-0.110551,0.002240,6.282205
0.020000,8.208786,3.677666,2.426207,1.999226,0.048885,7.971816,6.282187
0.020000,8.248847,3.677626,2.466268,2.003062,0.191777,7.144621,6.282169
0.020000,8.288864,3.677585,2.506285,2.000833,-0.111443,-15.160998,6.282151
0.020000,8.328836,3.677543,2.546257,1.998605,-0.111397,0.002272,6.282133
0.020000,8.368799,3.677501,2.586219,1.998132,-0.023671,4.386309,6.282114
0.020000,8.408867,3.677457,2.626288,2.003415,0.264158,14.391466,6.282096
0.020000,8.448890,3.677413,2.666311,2.001169,-0.112298,-18.822789,6.282078
0.020000,8.488869,3.677369,2.706290,1.998924,-0.112251,0.002303,6.282060
0.020000,8.528812,3.677323,2.746233,1.997169,-0.087739,1.225630,6.282041
0.020000,8.568887,3.677277,2.786308,2.003730,0.328026,20.788267,6.282023
0.020000,8.608916,3.677230,2.826337,2.001466,-0.113161,-22.059369,6.282004
0.020000,8.648900,3.677183,2.866321,1.999204,-0.113114,0.002336,6.281986
0.020000,8.688839,3.677134,2.906260,1.996943,-0.113067,0.002336,6.281967
0.020000,8.728907,3.677085,2.946328,2.003402,0.322947,21.800719,6.281949
0.020000,8.768941,3.677035,2.986362,2.001725,-0.083849,-20.339820,6.281930
0.020000,8.808930,3.676985,3.026351,1.999445,-0.113986,-1.506801,6.281911
0.020000,8.848874,3.676934,3.066295,1.997166,-0.113938,0.002369,6.281893
0.020000,8.888928,3.676881,3.106349,2.002717,0.277549,19.574355,6.281874
0.020000,8.928967,3.676829,3.146388,2.001943,-0.038712,-15.813061,6.281855
0.020000,8.968960,3.676775,3.186381,1.999646,-0.114866,-3.807664,6.281836
0.020000,9.008907,3.676721,3.226328,1.997349,-0.114817,0.002402,6.281817
0.020000,9.048950,3.676665,3.266371,2.002166,0.240833,17.782512,6.281798
0.020000,9.088992,3.676610,3.306413,2.002120,-0.002283,-12.155810,6.281779
0.020000,9.128988,3.676553,3.346409,1.999805,-0.115754,-5.673547,6.281760
0.020000,9.168938,3.676496,3.386359,1.997491,-0.115706,0.002437,6.281740
0.020000,9.208973,3.676437,3.426394,2.001748,0.212865,16.428543,6.281721
0.020000,9.249018,3.676378,3.466439,2.002256,0.025369,-9.374794,6.281702
0.020000,9.289016,3.676319,3.506438,1.999923,-0.116652,-7.101073,6.281682
0.020000,9.328968,3.676258,3.546390,1.997591,-0.116603,0.002471,6.281663
0.020000,9.368997,3.676197,3.586419,2.001465,0.193713,15.515790,6.281643
0.020000,9.409044,3.676135,3.626466,2.002349,0.044179,-7.476726,6.281624
0.020000,9.449044,3.676072,3.666466,1.999997,-0.117559,-8.086874,6.281604
0.020000,9.488997,3.676008,3.706419,1.997647,-0.117509,0.002507,6.281584
0.020000,9.529023,3.675944,3.746445,2.001316,0.183443,15.047587,6.281564
0.020000,9.569071,3.675878,3.786493,2.002398,0.054077,-6.468299,6.281544
0.020000,9.609072,3.675812,3.826494,2.000028,-0.118475,-8.627589,6.281525
0.020000,9.649025,3.675746,3.866447,1.997660,-0.118424,0.002543,6.281505
0.020000,9.689051,3.675678,3.906473,2.001302,0.182121,15.027256,6.281485
0.020000,9.729099,3.675609,3.946521,2.002402,0.054997,-6.356185,6.281464
0.020000,9.769099,3.675540,3.986521,2.000014,-0.119400,-8.719871,6.281444
0.020000,9.809052,3.675470,4.026474,1.997627,-0.119348,0.002579,6.281424
0.020000,9.849080,3.675399,4.066502,2.001423,0.189814,15.458107,6.281404
0.020000,9.889127,3.675328,4.106549,2.002361,0.046873,-7.147029,6.281383
0.020000,9.929126,3.675255,4.146548,1.999954,-0.120334,-8.360382,6.281363
0.020000,9.969077,3.675182,4.186499,1.997548,-0.120282,0.002616,6.281343
0.020000,10.009111,3.675108,4.226533,2.001680,0.206587,16.343433,6.281322
0.020000,10.049156,3.675033,4.266579,2.002273,0.029638,-8.847444,6.281301
0.020000,10.089153,3.674957,4.306575,1.999847,-0.121278,-7.545802,6.281281
0.020000,10.129101,3.674880,4.346524,1.997423,-0.121225,0.002654,6.281260
0.020000,10.169143,3.674803,4.386565,2.002073,0.232505,17.686508,6.281239
0.020000,10.209185,3.674724,4.426608,2.002137,0.003225,-11.464012,6.281218
0.020000,10.249179,3.674645,4.466602,1.999693,-0.122232,-6.272826,6.281197
0.020000,10.289124,3.674566,4.506547,1.997249,-0.122178,0.002693,6.281176
0.020000,10.329176,3.674485,4.546599,2.002602,0.267634,19.490588,6.281155
0.020000,10.369215,3.674403,4.586638,2.001953,-0.032432,-15.003272,6.281134
0.020000,10.409205,3.674320,4.626628,1.999489,-0.123195,-4.538169,6.281113
0.020000,10.449145,3.674237,4.666568,1.997027,-0.123140,0.002732,6.281091
0.020000,10.489210,3.674153,4.706634,2.003267,0.312038,21.758905,6.281070
0.020000,10.529245,3.674068,4.746668,2.001719,-0.077397,-19.471720,6.281049
0.020000,10.569229,3.673982,4.786653,1.999236,-0.124168,-2.338567,6.281027
0.020000,10.609167,3.673895,4.826591,1.996884,-0.117585,0.329177,6.281006
0.020000,10.649246,3.673808,4.866669,2.003939,0.352724,23.515452,6.280984
0.020000,10.689274,3.673719,4.906698,2.001435,-0.125207,-23.896587,6.280962
0.020000,10.729253,3.673630,4.946677,1.998932,-0.125151,0.002813,6.280940
0.020000,10.769209,3.673540,4.986633,1.997816,-0.055784,3.468357,6.280919
0.020000,10.809281,3.673448,5.026705,2.003622,0.290305,17.304420,6.280897
0.020000,10.849303,3.673356,5.066727,2.001098,-0.126201,-20.825279,6.280875
0.020000,10.889274,3.673263,5.106699,1.998575,-0.126144,0.002854,6.280852
0.020000,10.929252,3.673170,5.146677,1.998885,0.015498,7.082115,6.280830
0.020000,10.969317,3.673075,5.186742,2.003252,0.218367,10.143430,6.280808
0.020000,11.009331,3.672979,5.226756,2.000708,-0.127205,-17.278596,6.280786
0.020000,11.049294,3.672883,5.266719,1.998165,-0.127147,0.002896,6.280763
0.020000,11.089296,3.672786,5.306721,2.000092,0.096325,11.173603,6.280741
0.020000,11.129352,3.672687,5.346777,2.002829,0.136848,2.026144,6.280718
0.020000,11.169358,3.672588,5.386783,2.000264,-0.128219,-13.253354,6.280696
0.020000,11.209312,3.672488,5.426737,1.997701,-0.128160,0.002939,6.280673
0.020000,11.249340,3.672387,5.466766,2.001436,0.186758,15.745933,6.280650
0.020000,11.289387,3.672285,5.506813,2.002350,0.045684,-7.053701,6.280627
0.020000,11.329382,3.672183,5.546808,1.999765,-0.129244,-8.746403,6.280605
0.020000,11.369326,3.672079,5.586751,1.997182,-0.129184,0.002983,6.280582
0.020000,11.409384,3.671974,5.626810,2.002919,0.286860,20.802184,6.280559
0.020000,11.449420,3.671869,5.666846,2.001815,-0.055186,-17.102295,6.280535
0.020000,11.489404,3.671762,5.706830,1.999209,-0.130279,-3.754629,6.280512
0.020000,11.529350,3.671655,5.746776,1.997294,-0.095779,1.724993,6.280489
0.020000,11.569427,3.671546,5.786853,2.003850,0.327811,21.179491,6.280465
0.020000,11.609451,3.671437,5.826878,2.001222,-0.131386,-22.959848,6.280442
0.020000,11.649423,3.671327,5.866850,1.998596,-0.131325,0.003072,6.280418
0.020000,11.689404,3.671216,5.906831,1.999048,0.022587,7.695582,6.280395
0.020000,11.729468,3.671104,5.946895,2.003220,0.208607,9.301010,6.280371
0.020000,11.769479,3.670990,5.986906,2.000571,-0.132444,-17.052541,6.280347
0.020000,11.809437,3.670877,6.026865,1.997923,-0.132381,0.003118,6.280323
0.020000,11.849456,3.670762,6.066884,2.000940,0.150820,14.160073,6.280299
0.020000,11.889506,3.670646,6.106934,2.002529,0.079494,-3.566291,6.280275
0.020000,11.929503,3.670529,6.146931,1.999859,-0.133512,-10.650323,6.280251
0.020000,11.969447,3.670411,6.186875,1.997190,-0.133449,0.003165,6.280227
0.020000,12.009506,3.670292,6.226935,2.002970,0.288979,21.121395,6.280203
0.020000,12.049542,3.670172,6.266970,2.001778,-0.059587,-17.428311,6.280178
0.020000,12.089523,3.670051,6.306952,1.999086,-0.134592,-3.750226,6.280154
0.020000,12.129480,3.669930,6.346909,1.997855,-0.061579,3.650619,6.280129
0.020000,12.169553,3.669807,6.386983,2.003679,0.291225,17.640205,6.280104
0.020000,12.209573,3.669683,6.427002,2.000964,-0.135748,-21.348621,6.280080
0.020000,12.249537,3.669558,6.466967,1.998251,-0.135682,0.003262,6.280055
0.020000,12.289540,3.669433,6.506970,2.000159,0.095421,11.555165,6.280030
0.020000,12.329597,3.669306,6.547026,2.002824,0.133226,1.890262,6.280005
0.020000,12.369598,3.669178,6.587028,2.000086,-0.136851,-13.503840,6.279980
0.020000,12.409545,3.669049,6.626975,1.997351,-0.136785,0.003311,6.279955
0.020000,12.449597,3.668920,6.667027,2.002602,0.262539,19.966159,6.279929
0.020000,12.489635,3.668789,6.707065,2.001903,-0.034936,-14.873754,6.279904
0.020000,12.529617,3.668657,6.747048,1.999144,-0.137965,-5.151442,6.279878
0.020000,12.569574,3.668524,6.787006,1.997869,-0.063739,3.711295,6.279853
0.020000,12.609648,3.668390,6.827080,2.003699,0.291511,17.762530,6.279827
0.020000,12.649666,3.668255,6.867098,2.000916,-0.139160,-21.533545,6.279801
0.020000,12.689629,3.668120,6.907061,1.998134,-0.139091,0.003413,6.279775
0.020000,12.729640,3.667983,6.947072,2.000587,0.122652,13.087178,6.279749
0.020000,12.769693,3.667844,6.987126,2.002667,0.103993,-0.932955,6.279723
0.020000,12.809690,3.667705,7.027123,1.999861,-0.140299,-12.214582,6.279697
0.020000,12.849631,3.667566,7.067064,1.997056,-0.140229,0.003465,6.279671
0.020000,12.889700,3.667424,7.107133,2.003443,0.319346,22.978786,6.279645
0.020000,12.929731,3.667282,7.147164,2.001566,-0.093877,-20.661196,6.279618
0.020000,12.969705,3.667139,7.187139,1.998737,-0.141449,-2.378597,6.279592
0.020000,13.009687,3.666995,7.227121,1.999098,0.018090,7.976956,6.279565
0.020000,13.049752,3.666849,7.267186,2.003248,0.207457,9.468359,6.279538
0.020000,13.089759,3.666703,7.307194,2.000394,-0.142684,-17.507033,6.279511
0.020000,13.129710,3.666555,7.347144,1.997542,-0.142612,0.003573,6.279484
0.020000,13.169754,3.666407,7.387189,2.002231,0.234482,18.854701,6.279457
0.020000,13.209795,3.666257,7.427230,2.002027,-0.010200,-12.234088,6.279430
0.020000,13.249777,3.666106,7.467213,1.999150,-0.143860,-6.682997,6.279403
0.020000,13.289740,3.665954,7.507175,1.998140,-0.050520,4.666987,6.279376
0.020000,13.329812,3.665801,7.547248,2.003636,0.274819,16.266939,6.279348
0.020000,13.369827,3.665647,7.587263,2.000734,-0.145122,-20.997040,6.279321
0.020000,13.409783,3.665492,7.627219,1.997833,-0.145049,0.003685,6.279293
0.020000,13.449814,3.665336,7.667250,2.001550,0.185860,16.545420,6.279265
0.020000,13.489859,3.665178,7.707296,2.002291,0.037080,-7.438976,6.279237
0.020000,13.529846,3.665020,7.747284,1.999365,-0.146325,-9.170242,6.279209
0.020000,13.569800,3.664860,7.787238,1.997714,-0.082550,3.188716,6.279181
0.020000,13.609876,3.664699,7.827314,2.003823,0.305442,19.399618,6.279153
0.020000,13.649893,3.664537,7.867332,2.000871,-0.147616,-22.652882,6.279125
0.020000,13.689851,3.664375,7.907290,1.997920,-0.147539,0.003801,6.279096
0.020000,13.729879,3.664210,7.947318,2.001402,0.174104,16.082192,6.279068
