dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.785936,3.328842,0.003333,0.333333,16.666667,833.333333,0.000066
0.020000,5.785936,3.328842,0.016667,1.000000,33.333333,833.333333,0.000061
0.020000,5.785936,3.328842,0.043333,1.666667,33.333333,0.000000,0.000051
0.020000,5.785936,3.328842,0.080000,2.000000,16.666667,-833.333333,0.000037
0.020000,5.785936,3.328842,0.120000,2.000000,0.000000,-833.333333,0.000022
0.020000,5.785936,3.328842,0.160000,2.000000,0.000000,0.000000,0.000007
0.020000,5.808453,3.328842,0.200000,2.000000,0.000000,0.000000,6.283177
0.020000,5.848499,3.328841,0.240000,2.000000,0.000000,0.000000,6.283162
0.020000,5.888505,3.328840,0.280000,2.000000,0.000000,0.000000,6.283146
0.020000,5.928471,3.328838,0.320000,2.000000,0.000000,0.000000,6.283131
0.020000,5.968421,3.328836,0.360000,2.000000,0.000000,0.000000,6.283116
0.020000,6.008484,3.328833,0.400000,2.000000,0.000000,0.000000,6.283100
0.020000,6.048507,3.328829,0.440000,2.000000,0.000000,0.000000,6.283085
0.020000,6.088490,3.328825,0.480000,2.000000,0.000000,0.000000,6.283069
0.020000,6.128432,3.328820,0.520000,2.000000,0.000000,0.000000,6.283054
0.020000,6.168463,3.328814,0.560000,2.000000,0.000000,0.000000,6.283038
0.020000,6.208503,3.328808,0.600000,2.000000,0.000000,0.000000,6.283023
0.020000,6.248501,3.328801,0.640000,2.000000,0.000000,0.000000,6.283007
0.020000,6.288459,3.328794,0.680000,2.000000,0.000000,0.000000,6.282992
0.020000,6.328437,3.328786,0.720000,2.000000,0.000000,0.000000,6.282976
0.020000,6.368492,3.328777,0.760000,2.000000,0.000000,0.000000,6.282960
0.020000,6.408506,3.328768,0.800000,2.000000,0.000000,0.000000,6.282944
0.020000,6.448480,3.328758,0.840000,2.000000,0.000000,0.000000,6.282928
0.020000,6.488412,3.328747,0.880000,2.000000,0.000000,0.000000,6.282913
0.020000,6.528476,3.328736,0.920000,2.000000,0.000000,0.000000,6.282897
0.020000,6.568506,3.328724,0.960000,2.000000,0.000000,0.000000,6.282881
0.020000,6.608494,3.328711,1.000000,2.000000,0.000000,0.000000,6.282865
0.020000,6.648440,3.328698,1.040000,2.000000,0.000000,0.000000,6.282849
0.020000,6.688456,3.328685,1.080000,2.000000,0.000000,0.000000,6.282833
0.020000,6.728500,3.328670,1.120000,2.000000,0.000000,0.000000,6.282816
0.020000,6.768502,3.328655,1.160000,2.000000,0.000000,0.000000,6.282800
0.020000,6.808462,3.328639,1.200000,2.000000,0.000000,0.000000,6.282784
0.020000,6.848433,3.328623,1.240000,2.000000,0.000000,0.000000,6.282768
0.020000,6.888490,3.328606,1.280000,2.000000,0.000000,0.000000,6.282751
