dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.519634,3.821450,0.003333,0.333333,16.666667,833.333333,3.140783
0.020000,6.512440,3.821448,0.010527,0.359680,1.317309,-767.467896,3.142397
0.020000,6.484625,3.821380,0.038342,1.390736,51.552807,2511.774931,3.145677
0.020000,6.446340,3.821135,0.076627,1.914293,26.177848,-1268.747961,3.150312
0.020000,6.404512,3.820662,0.118459,2.091572,8.863950,-865.694896,3.155541
0.020000,6.362620,3.819964,0.160357,2.094893,0.166055,-434.894772,3.160959
0.020000,6.320663,3.819035,0.202324,2.098358,0.173262,0.360346,3.166579
0.020000,6.278640,3.817862,0.244363,2.101964,0.180280,0.350920,3.172410
0.020000,6.236544,3.816438,0.286483,2.105982,0.200935,1.032768,3.178467
0.020000,6.194373,3.814750,0.328688,2.110253,0.213547,0.630574,3.184763
0.020000,6.152129,3.812788,0.370977,2.114455,0.210093,-0.172685,3.191312
0.020000,6.109800,3.810537,0.413367,2.119476,0.251043,2.047510,3.198131
0.020000,6.067390,3.807987,0.455853,2.124310,0.241727,-0.465818,3.205238
0.020000,6.024894,3.805121,0.498445,2.129620,0.265461,1.186683,3.212650
0.020000,5.982303,3.801925,0.541156,2.135552,0.296636,1.558780,3.220390
0.020000,5.939618,3.798382,0.583988,2.141586,0.301702,0.253286,3.228480
0.020000,5.896834,3.794474,0.626950,2.148106,0.325958,1.212791,3.236943
0.020000,5.853946,3.790182,0.670052,2.155116,0.350527,1.228449,3.245808
0.020000,5.810949,3.785484,0.713305,2.162625,0.375459,1.246586,3.255103
0.020000,5.767840,3.780358,0.756718,2.170642,0.400820,1.268062,3.264860
0.020000,5.724607,3.774778,0.800309,2.179575,0.446683,2.293156,3.275117
0.020000,5.681251,3.768718,0.844087,2.188886,0.465550,0.943331,3.285911
0.020000,5.637764,3.762147,0.888067,2.199025,0.506955,2.070291,3.297285
0.020000,5.594142,3.755034,0.932266,2.209932,0.545301,1.917293,3.309287
0.020000,5.550372,3.747341,0.976707,2.222028,0.604811,2.975482,3.321971
0.020000,5.506454,3.739030,1.021404,2.234870,0.642116,1.865268,3.335392
0.020000,5.462381,3.730057,1.066382,2.248878,0.700392,2.913794,3.349615
0.020000,5.418146,3.720374,1.111663,2.264094,0.760790,3.019886,3.364712
0.020000,5.373740,3.709926,1.157282,2.280915,0.841042,4.012583,3.380763
0.020000,5.329163,3.698656,1.203262,2.299023,0.905437,3.219758,3.397852
0.020000,5.284406,3.686496,1.249641,2.318955,0.996569,4.556630,3.416078
0.020000,5.239470,3.673373,1.296454,2.340631,1.083793,4.361185,3.435546
0.020000,5.194353,3.659206,1.343743,2.364473,1.192114,5.416059,3.456375
0.020000,5.149057,3.643901,1.391554,2.390553,1.304028,5.595704,3.478695
0.020000,5.103594,3.627360,1.439933,2.418941,1.419392,5.768209,3.502645
0.020000,5.057969,3.609464,1.488943,2.450476,1.576764,7.868563,3.528385
0.020000,5.012211,3.590091,1.538633,2.484496,1.700993,6.211447,3.556075
0.020000,4.966353,3.569101,1.589067,2.521691,1.859753,7.938011,3.585892
0.020000,4.920444,3.546344,1.640307,2.562005,2.015674,7.796074,3.618019
0.020000,4.874546,3.521651,1.692425,2.605898,2.194644,8.948460,3.652644
0.020000,4.828760,3.494854,1.745476,2.652587,2.334458,6.990716,3.689944
0.020000,4.783209,3.465770,1.799521,2.702216,2.481456,7.349908,3.730082
0.020000,4.738056,3.434220,1.854604,2.754173,2.597865,5.820438,3.773192
0.020000,4.693507,3.400037,1.910756,2.807616,2.672135,3.713516,3.819357
0.020000,4.649821,3.363076,1.967981,2.861219,2.680125,0.399480,3.868586
0.020000,4.607304,3.323234,2.026247,2.913327,2.605445,-3.733979,3.920795
0.020000,4.566313,3.280472,2.085483,2.961776,2.422454,-9.149568,3.975775
0.020000,4.527238,3.234829,2.145568,3.004242,2.123261,-14.959656,4.033184
0.020000,4.490483,3.186442,2.206332,3.038193,1.697564,-21.284847,4.092536
0.020000,4.456440,3.135551,2.267559,3.061382,1.159464,-26.904995,4.153214
0.020000,4.425457,3.082493,2.329001,3.072067,0.534243,-31.261050,4.214503
0.020000,4.397804,3.027687,2.390388,3.069361,-0.135296,-33.476919,4.275637
0.020000,4.373654,2.971600,2.451453,3.053278,-0.804183,-33.444387,4.335852
0.020000,4.353072,2.914709,2.511953,3.024973,-1.415232,-30.552454,4.394447
0.020000,4.336016,2.857471,2.571679,2.986288,-1.934243,-25.950536,4.450829
0.020000,4.322353,2.800290,2.630469,2.939538,-2.337507,-20.163214,4.504538
0.020000,4.311883,2.743500,2.688216,2.887311,-2.611337,-13.691463,4.555259
0.020000,4.304363,2.687363,2.744854,2.831916,-2.769733,-7.919820,4.602812
0.020000,4.299528,2.632067,2.800361,2.775368,-2.827425,-2.884600,4.647132
0.020000,4.297108,2.577733,2.854749,2.719376,-2.799600,1.391261,4.688250
0.020000,4.296845,2.524433,2.908050,2.665076,-2.714993,4.230337,4.726264
0.020000,4.298495,2.472193,2.960316,2.613264,-2.590598,6.219746,4.761317
0.020000,4.301839,2.421012,3.011606,2.564538,-2.436299,7.714962,4.793581
0.020000,4.306677,2.370865,3.061985,2.518955,-2.279181,7.855882,4.823242
0.020000,4.312835,2.321715,3.111520,2.476753,-2.110083,8.454905,4.850489
0.020000,4.320157,2.273513,3.160275,2.437752,-1.950044,8.001969,4.875507
0.020000,4.328509,2.226208,3.208312,2.401826,-1.796295,7.687441,4.898472
0.020000,4.337770,2.179746,3.255688,2.368799,-1.651348,7.247335,4.919549
0.020000,4.347837,2.134073,3.302457,2.338466,-1.516631,6.735876,4.938891
0.020000,4.358619,2.089137,3.348668,2.310555,-1.395583,6.052407,4.956639
0.020000,4.370035,2.044889,3.394366,2.284863,-1.284589,5.549694,4.972918
0.020000,4.382014,2.001280,3.439590,2.261193,-1.183503,5.054266,4.987845
0.020000,4.394494,1.958267,3.484377,2.239352,-1.092049,4.572704,5.001522
0.020000,4.407418,1.915808,3.528758,2.219094,-1.012896,3.957650,5.014043
0.020000,4.420735,1.873866,3.572764,2.200294,-0.940004,3.644625,5.025489
0.020000,4.434402,1.832404,3.616421,2.182808,-0.874289,3.285771,5.035936
