dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000436,3.350000,0.003333,0.333333,16.666667,833.333333,0.000090
0.020000,0.012882,3.350017,0.015780,0.622310,14.448829,-110.891890,0.002625
0.020000,0.037849,3.350144,0.040747,1.248384,31.303707,842.743917,0.007479
0.020000,0.072340,3.350510,0.075240,1.724635,23.812549,-374.557905,0.013690
0.020000,0.110174,3.351147,0.113080,1.891981,8.367308,-772.262074,0.019862
0.020000,0.148221,3.352011,0.151136,1.902839,0.542904,-391.220168,0.025414
0.020000,0.186477,3.353080,0.189407,1.913542,0.535138,-0.388319,0.030355
0.020000,0.224939,3.354333,0.227889,1.924103,0.528067,-0.353527,0.034692
0.020000,0.263603,3.355750,0.266580,1.934538,0.521739,-0.316428,0.038432
0.020000,0.302470,3.357307,0.305477,1.944861,0.516156,-0.279124,0.041583
0.020000,0.341535,3.358985,0.344579,1.955090,0.511415,-0.237044,0.044149
0.020000,0.380800,3.360760,0.383884,1.965241,0.507580,-0.191781,0.046135
0.020000,0.420263,3.362612,0.423390,1.975332,0.504531,-0.152425,0.047545
0.020000,0.459925,3.364518,0.463098,1.985379,0.502348,-0.109147,0.048381
0.020000,0.499786,3.366455,0.503006,1.995400,0.501042,-0.065311,0.048644
0.020000,0.539847,3.368401,0.543114,2.005413,0.500658,-0.019223,0.048334
0.020000,0.580109,3.370333,0.583423,2.015435,0.501120,0.023136,0.047452
0.020000,0.620575,3.372227,0.623933,2.025484,0.502463,0.067142,0.045996
0.020000,0.661245,3.374059,0.664644,2.035579,0.504728,0.113255,0.043963
0.020000,0.702123,3.375806,0.705559,2.045736,0.507844,0.155780,0.041349
0.020000,0.743209,3.377442,0.746678,2.055971,0.511759,0.195753,0.038151
0.020000,0.784508,3.378942,0.788004,2.066302,0.516543,0.239197,0.034362
0.020000,0.826022,3.380280,0.829539,2.076745,0.522142,0.279952,0.029977
0.020000,0.867752,3.381429,0.871286,2.087316,0.528542,0.320017,0.024987
0.020000,0.909702,3.382362,0.913246,2.098031,0.535753,0.360548,0.019385
0.020000,0.951875,3.383050,0.955424,2.108900,0.543477,0.386202,0.013162
0.020000,0.994271,3.383465,0.997823,2.119939,0.551933,0.422780,0.006308
0.020000,1.036894,3.383577,1.040446,2.131158,0.560955,0.451093,6.281999
0.020000,1.079745,3.383353,1.083298,2.142567,0.570457,0.475100,6.273852
0.020000,1.122825,3.382764,1.126381,2.154174,0.580336,0.493978,6.265041
0.020000,1.166133,3.381775,1.169701,2.165983,0.590472,0.506801,6.255556
0.020000,1.209670,3.380352,1.213261,2.177998,0.600723,0.512534,6.245384
0.020000,1.253433,3.378461,1.257065,2.190216,0.610924,0.510036,6.234514
0.020000,1.297421,3.376065,1.301118,2.202634,0.620885,0.498065,6.222934
0.020000,1.341628,3.373128,1.345423,2.215244,0.630489,0.480212,6.210634
0.020000,1.386050,3.369611,1.389983,2.228030,0.639337,0.442384,6.197603
0.020000,1.430678,3.365475,1.434803,2.240971,0.647050,0.385673,6.183832
0.020000,1.475503,3.360680,1.479883,2.254043,0.653590,0.327003,6.169314
0.020000,1.520513,3.355187,1.525228,2.267215,0.658564,0.248663,6.154043
0.020000,1.565694,3.348953,1.570837,2.280449,0.661734,0.158524,6.138016
0.020000,1.611029,3.341939,1.616711,2.293690,0.662037,0.015158,6.121232
0.020000,1.656496,3.334103,1.662848,2.306888,0.659908,-0.106449,6.103694
