dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000467,3.000000,0.003333,0.333333,16.666667,833.333333,0.000090
0.020000,0.013800,3.000018,0.016667,1.000000,33.333333,833.333333,0.002625
0.020000,0.040467,3.000154,0.043333,1.666667,33.333333,0.000000,0.007479
0.020000,0.077131,3.000543,0.080000,2.000000,16.666667,-833.333333,0.013690
0.020000,0.117126,3.001216,0.120000,2.000000,0.000000,-833.333333,0.019862
0.020000,0.157115,3.002124,0.160000,2.000000,0.000000,0.000000,0.025414
0.020000,0.197100,3.003241,0.200000,2.000000,0.000000,0.000000,0.030355
0.020000,0.237078,3.004544,0.240000,2.000000,0.000000,0.000000,0.034692
0.020000,0.277051,3.006008,0.280000,2.000000,0.000000,0.000000,0.038432
0.020000,0.317019,3.007610,0.320000,2.000000,0.000000,0.000000,0.041583
0.020000,0.356983,3.009326,0.360000,2.000000,0.000000,0.000000,0.044149
0.020000,0.396942,3.011133,0.400000,2.000000,0.000000,0.000000,0.046135
0.020000,0.436898,3.013008,0.440000,2.000000,0.000000,0.000000,0.047545
0.020000,0.476852,3.014927,0.480000,2.000000,0.000000,0.000000,0.048381
0.020000,0.516804,3.016869,0.520000,2.000000,0.000000,0.000000,0.048644
0.020000,0.556757,3.018810,0.560000,2.000000,0.000000,0.000000,0.048334
0.020000,0.596711,3.020727,0.600000,2.000000,0.000000,0.000000,0.047452
0.020000,0.636668,3.022597,0.640000,2.000000,0.000000,0.000000,0.045996
0.020000,0.676627,3.024397,0.680000,2.000000,0.000000,0.000000,0.043963
0.020000,0.716591,3.026105,0.720000,2.000000,0.000000,0.000000,0.041349
0.020000,0.756559,3.027697,0.760000,2.000000,0.000000,0.000000,0.038151
0.020000,0.796533,3.029148,0.800000,2.000000,0.000000,0.000000,0.034362
0.020000,0.836512,3.030437,0.840000,2.000000,0.000000,0.000000,0.029977
0.020000,0.876497,3.031538,0.880000,2.000000,0.000000,0.000000,0.024987
0.020000,0.916487,3.032428,0.920000,2.000000,0.000000,0.000000,0.019385
0.020000,0.956481,3.033081,0.960000,2.000000,0.000000,0.000000,0.013162
0.020000,0.996479,3.033472,1.000000,2.000000,0.000000,0.000000,0.006308
0.020000,1.036479,3.033577,1.040000,2.000000,0.000000,0.000000,6.281999
0.020000,1.076478,3.033369,1.080000,2.000000,0.000000,0.000000,6.273852
0.020000,1.116475,3.032821,1.120000,2.000000,0.000000,0.000000,6.265041
0.020000,1.156464,3.031908,1.160000,2.000000,0.000000,0.000000,6.255556
0.020000,1.196443,3.030602,1.200000,2.000000,0.000000,0.000000,6.245384
0.020000,1.236405,3.028876,1.240000,2.000000,0.000000,0.000000,6.234514
0.020000,1.276346,3.026701,1.280000,2.000000,0.000000,0.000000,6.222934
0.020000,1.316257,3.024049,1.320000,2.000000,0.000000,0.000000,6.210634
0.020000,1.356132,3.020892,1.360000,2.000000,0.000000,0.000000,6.197603
0.020000,1.395961,3.017201,1.400000,2.000000,0.000000,0.000000,6.183832
0.020000,1.435734,3.012947,1.440000,2.000000,0.000000,0.000000,6.169314
0.020000,1.475439,3.008101,1.480000,2.000000,0.000000,0.000000,6.154043
0.020000,1.515063,3.002635,1.520000,2.000000,0.000000,0.000000,6.138016
0.020000,1.554593,2.996519,1.560000,2.000000,0.000000,0.000000,6.121232
0.020000,1.594011,2.989726,1.600000,2.000000,0.000000,0.000000,6.103694
0.020000,1.633301,2.982228,1.640000,2.000000,0.000000,0.000000,6.085408
0.020000,1.672445,2.973998,1.680000,2.000000,0.000000,0.000000,6.066383
0.020000,1.711422,2.965011,1.720000,2.000000,0.000000,0.000000,6.046635
0.020000,1.750210,2.955242,1.760000,2.000000,0.000000,0.000000,6.026184
0.020000,1.788786,2.944669,1.800000,2.000000,0.000000,0.000000,6.005055
0.020000,1.827127,2.933271,1.840000,2.000000,0.000000,0.000000,5.983277
0.020000,1.865207,2.921029,1.880000,2.000000,0.000000,0.000000,5.960889
0.020000,1.902999,2.907926,1.920000,2.000000,0.000000,0.000000,5.937931
0.020000,1.940477,2.893950,1.960000,2.000000,0.000000,0.000000,5.914452
0.020000,1.977612,2.879088,2.000000,2.000000,0.000000,0.000000,5.890506
0.020000,2.014378,2.863334,2.040000,2.000000,0.000000,0.000000,5.866150
0.020000,2.050747,2.846683,2.080000,2.000000,0.000000,0.000000,5.841447
0.020000,2.086690,2.829134,2.120000,2.000000,0.000000,0.000000,5.816464
0.020000,2.122182,2.810688,2.160000,2.000000,0.000000,0.000000,5.791270
0.020000,2.157196,2.791351,2.200000,2.000000,0.000000,0.000000,5.765936
0.020000,2.191708,2.771132,2.240000,2.000000,0.000000,0.000000,5.740534
0.020000,2.225696,2.750043,2.280000,2.000000,0.000000,0.000000,5.715136
0.020000,2.259138,2.728098,2.320000,2.000000,0.000000,0.000000,5.689811
0.020000,2.292015,2.705316,2.360000,2.000000,0.000000,0.000000,5.664628
0.020000,2.324310,2.681716,2.400000,2.000000,0.000000,0.000000,5.639650
0.020000,2.356008,2.657322,2.440000,2.000000,0.000000,0.000000,5.614939
0.020000,2.387099,2.632156,2.480000,2.000000,0.000000,0.000000,5.590550
0.020000,2.417571,2.606245,2.520000,2.000000,0.000000,0.000000,5.566533
0.020000,2.447417,2.579616,2.560000,2.000000,0.000000,0.000000,5.542932
0.020000,2.476633,2.552297,2.600000,2.000000,0.000000,0.000000,5.519787
0.020000,2.505216,2.524315,2.640000,2.000000,0.000000,0.000000,5.497131
0.020000,2.533165,2.495700,2.680000,2.000000,0.000000,0.000000,5.474990
