dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000499,2.650000,0.003333,0.333333,16.666667,833.333333,0.000090
0.020000,0.014719,2.650019,0.017554,0.711023,18.884476,110.890466,0.002625
0.020000,0.043084,2.650163,0.045919,1.418281,35.362925,823.922436,0.007479
0.020000,0.081923,2.650576,0.084760,1.942026,26.187210,-458.785724,0.013690
0.020000,0.124077,2.651285,0.126920,2.108012,8.299308,-894.395091,0.019862
0.020000,0.166009,2.652237,0.168863,2.097155,-0.542820,-442.106420,0.025414
0.020000,0.207722,2.653402,0.210592,2.086454,-0.535052,0.388424,0.030355
0.020000,0.249218,2.654754,0.252110,2.075895,-0.527984,0.353352,0.034692
0.020000,0.290499,2.656266,0.293419,2.065461,-0.521666,0.315911,0.038432
0.020000,0.331569,2.657912,0.334522,2.055138,-0.516170,0.274812,0.041583
0.020000,0.372430,2.659667,0.375420,2.044909,-0.511456,0.235698,0.044149
0.020000,0.413083,2.661505,0.416116,2.034759,-0.507508,0.197381,0.046135
0.020000,0.453532,2.663403,0.456609,2.024669,-0.504488,0.151033,0.047545
0.020000,0.493778,2.665337,0.496901,2.014622,-0.502338,0.107486,0.048381
0.020000,0.533823,2.667283,0.536993,2.004601,-0.501066,0.063598,0.048644
0.020000,0.573668,2.669218,0.576885,1.994588,-0.500638,0.021420,0.048334
0.020000,0.613314,2.671121,0.616576,1.984565,-0.501131,-0.024668,0.047452
0.020000,0.652761,2.672967,0.656067,1.974515,-0.502509,-0.068878,0.045996
0.020000,0.692009,2.674736,0.695355,1.964421,-0.504719,-0.110520,0.043963
0.020000,0.731059,2.676404,0.734440,1.954265,-0.507814,-0.154767,0.041349
0.020000,0.769909,2.677951,0.773321,1.944028,-0.511815,-0.200047,0.038151
0.020000,0.808557,2.679355,0.811995,1.933696,-0.516619,-0.240174,0.034362
0.020000,0.847002,2.680594,0.850460,1.923251,-0.522230,-0.280535,0.029977
0.020000,0.885241,2.681647,0.888714,1.912679,-0.528601,-0.318594,0.024987
0.020000,0.923271,2.682493,0.926753,1.901966,-0.535654,-0.352619,0.019385
0.020000,0.961088,2.683111,0.964575,1.891095,-0.543565,-0.395577,0.013162
0.020000,0.998687,2.683479,1.002176,1.880054,-0.552025,-0.422975,0.006308
0.020000,1.036064,2.683577,1.039553,1.868833,-0.561049,-0.451206,6.281999
0.020000,1.073212,2.683384,1.076701,1.857422,-0.570554,-0.475246,6.273852
0.020000,1.110125,2.682879,1.113617,1.845814,-0.580439,-0.494275,6.265041
0.020000,1.146795,2.682042,1.150297,1.834002,-0.590586,-0.507353,6.255556
0.020000,1.183215,2.680852,1.186737,1.821985,-0.600855,-0.513418,6.245384
0.020000,1.219377,2.679290,1.222932,1.809763,-0.611080,-0.511284,6.234514
0.020000,1.255271,2.677336,1.258879,1.797342,-0.621073,-0.499645,6.222934
0.020000,1.290887,2.674970,1.294574,1.784731,-0.630536,-0.473144,6.210634
0.020000,1.326215,2.672173,1.330013,1.771944,-0.639348,-0.440610,6.197603
0.020000,1.361245,2.668927,1.365193,1.758998,-0.647309,-0.398024,6.183832
0.020000,1.395965,2.665214,1.400111,1.745920,-0.653896,-0.329354,6.169314
0.020000,1.430365,2.661016,1.434766,1.732743,-0.658822,-0.246281,6.154043
0.020000,1.464433,2.656316,1.469156,1.719511,-0.661629,-0.140358,6.138016
0.020000,1.498157,2.651099,1.503281,1.706262,-0.662440,-0.040581,6.121232
0.020000,1.531526,2.645349,1.537142,1.693058,-0.660216,0.111195,6.103694
0.020000,1.564530,2.639051,1.570742,1.679963,-0.654725,0.274583,6.085408
0.020000,1.597157,2.632191,1.604083,1.667045,-0.645920,0.440248,6.066383
0.020000,1.629399,2.624758,1.637170,1.654387,-0.632885,0.651732,6.046635
0.020000,1.661246,2.616737,1.670012,1.642075,-0.615620,0.863276,6.026184
0.020000,1.692691,2.608119,1.702616,1.630202,-0.593650,1.098470,6.005055
0.020000,1.723726,2.598893,1.734993,1.618864,-0.566878,1.338594,5.983277
0.020000,1.754346,2.589050,1.767156,1.608166,-0.534906,1.598626,5.960889
0.020000,1.784546,2.578580,1.799121,1.598205,-0.498038,1.843399,5.937931
0.020000,1.814325,2.567475,1.830902,1.589082,-0.456146,2.094586,5.914452
0.020000,1.843680,2.555728,1.862520,1.580896,-0.409310,2.341828,5.890506
0.020000,1.872610,2.543332,1.893995,1.573731,-0.358280,2.551470,5.866150
0.020000,1.901118,2.530280,1.925348,1.567658,-0.303627,2.732660,5.841447
0.020000,1.929204,2.516567,1.956603,1.562754,-0.245198,2.921468,5.816464
0.020000,1.956871,2.502187,1.987784,1.559062,-0.184601,3.029834,5.791270
0.020000,1.984124,2.487137,2.018916,1.556614,-0.122388,3.110673,5.765936
0.020000,2.010966,2.471412,2.050025,1.555426,-0.059431,3.147815,5.740534
0.020000,2.037400,2.455009,2.081135,1.555486,0.003020,3.122553,5.715136
0.020000,2.063431,2.437928,2.112270,1.556769,0.064151,3.056559,5.689811
0.020000,2.089064,2.420165,2.143455,1.559260,0.124525,3.018702,5.664628
0.020000,2.114300,2.401724,2.174712,1.562846,0.179326,2.740065,5.639650
0.020000,2.139145,2.382603,2.206063,1.567516,0.233489,2.708154,5.614939
