dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.028665,1.862014,0.003333,0.333333,16.666667,833.333333,2.896037
0.020000,7.018880,1.864442,0.016667,1.000000,33.333333,833.333333,2.899853
0.020000,6.992965,1.870727,0.043333,1.666667,33.333333,0.000000,2.907506
0.020000,6.957254,1.879043,0.080000,2.000000,16.666667,-833.333333,2.918071
0.020000,6.918199,1.887684,0.120000,2.000000,0.000000,-833.333333,2.929647
0.020000,6.879046,1.895871,0.160000,2.000000,0.000000,0.000000,2.941270
0.020000,6.839801,1.903602,0.200000,2.000000,0.000000,0.000000,2.952932
0.020000,6.800468,1.910874,0.240000,2.000000,0.000000,0.000000,2.964626
0.020000,6.761052,1.917685,0.280000,2.000000,0.000000,0.000000,2.976345
0.020000,6.721559,1.924033,0.320000,2.000000,0.000000,0.000000,2.988082
0.020000,6.681995,1.929917,0.360000,2.000000,0.000000,0.000000,2.999828
0.020000,6.642363,1.935336,0.400000,2.000000,0.000000,0.000000,3.011576
0.020000,6.602671,1.940289,0.440000,2.000000,0.000000,0.000000,3.023318
0.020000,6.562925,1.944776,0.480000,2.000000,0.000000,0.000000,3.035047
0.020000,6.523127,1.948797,0.520000,2.000000,0.000000,0.000000,3.046753
0.020000,6.483286,1.952352,0.560000,2.000000,0.000000,0.000000,3.058430
0.020000,6.443405,1.955442,0.600000,2.000000,0.000000,0.000000,3.070068
0.020000,6.403492,1.958069,0.640000,2.000000,0.000000,0.000000,3.081660
0.020000,6.363551,1.960235,0.680000,2.000000,0.000000,0.000000,3.093198
0.020000,6.323588,1.961940,0.720000,2.000000,0.000000,0.000000,3.104674
0.020000,6.283607,1.963188,0.760000,2.000000,0.000000,0.000000,3.116080
0.020000,6.243616,1.963982,0.800000,2.000000,0.000000,0.000000,3.127408
0.020000,6.203617,1.964324,0.840000,2.000000,0.000000,0.000000,3.138652
0.020000,6.163618,1.964218,0.880000,2.000000,0.000000,0.000000,3.149803
0.020000,6.123622,1.963669,0.920000,2.000000,0.000000,0.000000,3.160854
0.020000,6.083634,1.962679,0.960000,2.000000,0.000000,0.000000,3.171800
0.020000,6.043660,1.961254,1.000000,2.000000,0.000000,0.000000,3.182632
0.020000,6.003703,1.959399,1.040000,2.000000,0.000000,0.000000,3.193345
0.020000,5.963768,1.957118,1.080000,2.000000,0.000000,0.000000,3.203932
0.020000,5.923860,1.954416,1.120000,2.000000,0.000000,0.000000,3.214387
0.020000,5.883981,1.951301,1.160000,2.000000,0.000000,0.000000,3.224705
0.020000,5.844137,1.947777,1.200000,2.000000,0.000000,0.000000,3.234881
0.020000,5.804331,1.943851,1.240000,2.000000,0.000000,0.000000,3.244909
0.020000,5.764565,1.939529,1.280000,2.000000,0.000000,0.000000,3.254786
0.020000,5.724843,1.934817,1.320000,2.000000,0.000000,0.000000,3.264505
0.020000,5.685169,1.929723,1.360000,2.000000,0.000000,0.000000,3.274064
0.020000,5.645545,1.924253,1.400000,2.000000,0.000000,0.000000,3.283458
0.020000,5.605974,1.918414,1.440000,2.000000,0.000000,0.000000,3.292684
0.020000,5.566458,1.912214,1.480000,2.000000,0.000000,0.000000,3.301739
0.020000,5.526998,1.905659,1.520000,2.000000,0.000000,0.000000,3.310619
0.020000,5.487598,1.898758,1.560000,2.000000,0.000000,0.000000,3.319323
0.020000,5.448259,1.891518,1.600000,2.000000,0.000000,0.000000,3.327847
0.020000,5.408982,1.883947,1.640000,2.000000,0.000000,0.000000,3.336190
0.020000,5.369770,1.876051,1.680000,2.000000,0.000000,0.000000,3.344349
0.020000,5.330622,1.867840,1.720000,2.000000,0.000000,0.000000,3.352324
0.020000,5.291540,1.859320,1.760000,2.000000,0.000000,0.000000,3.360112
0.020000,5.252524,1.850499,1.800000,2.000000,0.000000,0.000000,3.367712
0.020000,5.213576,1.841387,1.840000,2.000000,0.000000,0.000000,3.375124
0.020000,5.174696,1.831989,1.880000,2.000000,0.000000,0.000000,3.382346
0.020000,5.135884,1.822314,1.920000,2.000000,0.000000,0.000000,3.389378
0.020000,5.097139,1.812371,1.960000,2.000000,0.000000,0.000000,3.396219
0.020000,5.058463,1.802166,2.000000,2.000000,0.000000,0.000000,3.402870
0.020000,5.019854,1.791708,2.040000,2.000000,0.000000,0.000000,3.409330
0.020000,4.981313,1.781005,2.080000,2.000000,0.000000,0.000000,3.415598
0.020000,4.942839,1.770064,2.120000,2.000000,0.000000,0.000000,3.421676
0.020000,4.904430,1.758893,2.160000,2.000000,0.000000,0.000000,3.427563
0.020000,4.866087,1.747499,2.200000,2.000000,0.000000,0.000000,3.433259
0.020000,4.827809,1.735891,2.240000,2.000000,0.000000,0.000000,3.438766
0.020000,4.789593,1.724076,2.280000,2.000000,0.000000,0.000000,3.444082
0.020000,4.751440,1.712062,2.320000,2.000000,0.000000,0.000000,3.449210
0.020000,4.713348,1.699856,2.360000,2.000000,0.000000,0.000000,3.454149
0.020000,4.675316,1.687465,2.400000,2.000000,0.000000,0.000000,3.458900
0.020000,4.637342,1.674897,2.440000,2.000000,0.000000,0.000000,3.463465
0.020000,4.599424,1.662160,2.480000,2.000000,0.000000,0.000000,3.467842
0.020000,4.561561,1.649260,2.520000,2.000000,0.000000,0.000000,3.472034
0.020000,4.523751,1.636206,2.560000,2.000000,0.000000,0.000000,3.476041
0.020000,4.485993,1.623003,2.600000,2.000000,0.000000,0.000000,3.479864
0.020000,4.448284,1.609659,2.640000,2.000000,0.000000,0.000000,3.483504
0.020000,4.410623,1.596182,2.680000,2.000000,0.000000,0.000000,3.486961
0.020000,4.373007,1.582578,2.720000,2.000000,0.000000,0.000000,3.490236
0.020000,4.335435,1.568855,2.760000,2.000000,0.000000,0.000000,3.493330
0.020000,4.297905,1.555018,2.800000,2.000000,0.000000,0.000000,3.496243
0.020000,4.260413,1.541076,2.840000,2.000000,0.000000,0.000000,3.498977
0.020000,4.222959,1.527035,2.880000,2.000000,0.000000,0.000000,3.501532
0.020000,4.185539,1.512901,2.920000,2.000000,0.000000,0.000000,3.503909
0.020000,4.148152,1.498681,2.960000,2.000000,0.000000,0.000000,3.506109
0.020000,4.110795,1.484383,3.000000,2.000000,0.000000,0.000000,3.508131
0.020000,4.073465,1.470013,3.040000,2.000000,0.000000,0.000000,3.509977
0.020000,4.036161,1.455577,3.080000,2.000000,0.000000,0.000000,3.511647
0.020000,3.998880,1.441082,3.120000,2.000000,0.000000,0.000000,3.513142
0.020000,3.961619,1.426534,3.160000,2.000000,0.000000,0.000000,3.514461
0.020000,3.924376,1.411941,3.200000,2.000000,0.000000,0.000000,3.515607
0.020000,3.887148,1.397308,3.240000,2.000000,0.000000,0.000000,3.516577
0.020000,3.849934,1.382642,3.280000,2.000000,0.000000,0.000000,3.517374
0.020000,3.812730,1.367950,3.320000,2.000000,0.000000,0.000000,3.517998
0.020000,3.775534,1.353238,3.360000,2.000000,0.000000,0.000000,3.518448
0.020000,3.738343,1.338512,3.400000,2.000000,0.000000,0.000000,3.518724
0.020000,3.701155,1.323780,3.440000,2.000000,0.000000,0.000000,3.518827
0.020000,3.663967,1.309047,3.480000,2.000000,0.000000,0.000000,3.518757
0.020000,3.626777,1.294319,3.520000,2.000000,0.000000,0.000000,3.518514
0.020000,3.589582,1.279604,3.560000,2.000000,0.000000,0.000000,3.518097
0.020000,3.552380,1.264907,3.600000,2.000000,0.000000,0.000000,3.517507
0.020000,3.515167,1.250236,3.640000,2.000000,0.000000,0.000000,3.516743
0.020000,3.477943,1.235597,3.680000,2.000000,0.000000,0.000000,3.515806
0.020000,3.440703,1.220995,3.720000,2.000000,0.000000,0.000000,3.514694
0.020000,3.403446,1.206438,3.760000,2.000000,0.000000,0.000000,3.513408
0.020000,3.366169,1.191933,3.800000,2.000000,0.000000,0.000000,3.511946
0.020000,3.328869,1.177485,3.840000,2.000000,0.000000,0.000000,3.510310
0.020000,3.291544,1.163101,3.880000,2.000000,0.000000,0.000000,3.508498
0.020000,3.254193,1.148789,3.920000,2.000000,0.000000,0.000000,3.506509
0.020000,3.216811,1.134554,3.960000,2.000000,0.000000,0.000000,3.504344
0.020000,3.179398,1.120403,4.000000,2.000000,0.000000,0.000000,3.502001
0.020000,3.141950,1.106344,4.040000,2.000000,0.000000,0.000000,3.499480
0.020000,3.104466,1.092382,4.080000,2.000000,0.000000,0.000000,3.496780
0.020000,3.066943,1.078525,4.120000,2.000000,0.000000,0.000000,3.493901
0.020000,3.029379,1.064779,4.160000,2.000000,0.000000,0.000000,3.490841
0.020000,2.991772,1.051152,4.200000,2.000000,0.000000,0.000000,3.487601
0.020000,2.954120,1.037650,4.240000,2.000000,0.000000,0.000000,3.484179
0.020000,2.916420,1.024280,4.280000,2.000000,0.000000,0.000000,3.480574
0.020000,2.878672,1.011050,4.320000,2.000000,0.000000,0.000000,3.476786
0.020000,2.840872,0.997966,4.360000,2.000000,0.000000,0.000000,3.472815
0.020000,2.803019,0.985036,4.400000,2.000000,0.000000,0.000000,3.468658
0.020000,2.765112,0.972268,4.440000,2.000000,0.000000,0.000000,3.464316
0.020000,2.727149,0.959667,4.480000,2.000000,0.000000,0.000000,3.459788
0.020000,2.689128,0.947242,4.520000,2.000000,0.000000,0.000000,3.455072
0.020000,2.651047,0.935000,4.560000,2.000000,0.000000,0.000000,3.450169
0.020000,2.612906,0.922948,4.600000,2.000000,0.000000,0.000000,3.445077
0.020000,2.574703,0.911094,4.640000,2.000000,0.000000,0.000000,3.439797
0.020000,2.536436,0.899446,4.680000,2.000000,0.000000,0.000000,3.434327
0.020000,2.498105,0.888011,4.720000,2.000000,0.000000,0.000000,3.428667
0.020000,2.459710,0.876797,4.760000,2.000000,0.000000,0.000000,3.422816
0.020000,2.421248,0.865811,4.800000,2.000000,0.000000,0.000000,3.416775
0.020000,2.382719,0.855062,4.840000,2.000000,0.000000,0.000000,3.410543
0.020000,2.344124,0.844556,4.880000,2.000000,0.000000,0.000000,3.404120
0.020000,2.305460,0.834303,4.920000,2.000000,0.000000,0.000000,3.397506
0.020000,2.266729,0.824309,4.960000,2.000000,0.000000,0.000000,3.390701
0.020000,2.227930,0.814582,5.000000,2.000000,0.000000,0.000000,3.383705
0.020000,2.189062,0.805131,5.040000,2.000000,0.000000,0.000000,3.376519
0.020000,2.150127,0.795963,5.080000,2.000000,0.000000,0.000000,3.369144
0.020000,2.111125,0.787086,5.120000,2.000000,0.000000,0.000000,3.361579
0.020000,2.072056,0.778508,5.160000,2.000000,0.000000,0.000000,3.353827
0.020000,2.032920,0.770237,5.200000,2.000000,0.000000,0.000000,3.345888
0.020000,1.993720,0.762281,5.240000,2.000000,0.000000,0.000000,3.337764
0.020000,1.954455,0.754647,5.280000,2.000000,0.000000,0.000000,3.329456
0.020000,1.915128,0.747342,5.320000,2.000000,0.000000,0.000000,3.320967
0.020000,1.875739,0.740376,5.360000,2.000000,0.000000,0.000000,3.312297
0.020000,1.836291,0.733755,5.400000,2.000000,0.000000,0.000000,3.303450
0.020000,1.796785,0.727486,5.440000,2.000000,0.000000,0.000000,3.294429
0.020000,1.757224,0.721578,5.480000,2.000000,0.000000,0.000000,3.285235
0.020000,1.717610,0.716037,5.520000,2.000000,0.000000,0.000000,3.275873
0.020000,1.677945,0.710870,5.560000,2.000000,0.000000,0.000000,3.266345
0.020000,1.638233,0.706085,5.600000,2.000000,0.000000,0.000000,3.256656
0.020000,1.598475,0.701688,5.640000,2.000000,0.000000,0.000000,3.246810
0.020000,1.558676,0.697685,5.680000,2.000000,0.000000,0.000000,3.236810
0.020000,1.518839,0.694084,5.720000,2.000000,0.000000,0.000000,3.226662
0.020000,1.478967,0.690890,5.760000,2.000000,0.000000,0.000000,3.216371
0.020000,1.439064,0.688109,5.800000,2.000000,0.000000,0.000000,3.205941
0.020000,1.399134,0.685747,5.840000,2.000000,0.000000,0.000000,3.195379
0.020000,1.359181,0.683810,5.880000,2.000000,0.000000,0.000000,3.184689
0.020000,1.319210,0.682302,5.920000,2.000000,0.000000,0.000000,3.173880
0.020000,1.279463,0.681234,5.959761,1.976092,-1.195412,-59.770600,3.163021
0.020000,1.243519,0.680642,5.995710,1.618850,-17.862079,-833.333333,3.153112
0.020000,1.217810,0.680437,6.021421,0.952184,-33.333333,-773.562734,3.145974
0.020000,1.205194,0.680404,6.034037,0.309425,-32.137921,59.770600,3.142457
0.020000,1.202099,0.680403,6.037131,0.000000,-15.471255,833.333333,3.141593
0.020000,1.202099,0.680403,6.037131,0.000000,0.000000,773.562734,3.141593
