dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000067,1.001000,0.003333,0.333333,16.666667,833.333333,6.282993
0.020000,0.011464,1.001018,0.014730,0.569829,11.824770,-242.094824,0.003144
0.020000,0.035805,1.001176,0.039071,1.217070,32.362080,1026.865486,0.009788
0.020000,0.069295,1.001655,0.072565,1.674661,22.879551,-474.126436,0.018855
0.020000,0.105856,1.002524,0.109136,1.828568,7.695345,-759.210309,0.028650
0.020000,0.142443,1.003751,0.145744,1.830403,0.091739,-380.180277,0.038341
0.020000,0.179056,1.005331,0.182391,1.832335,0.096590,0.242503,0.047921
0.020000,0.215692,1.007262,0.219078,1.834364,0.101458,0.243429,0.057386
0.020000,0.252351,1.009541,0.255808,1.836479,0.105731,0.213642,0.066730
0.020000,0.289031,1.012162,0.292581,1.838679,0.110014,0.214131,0.075948
0.020000,0.325731,1.015123,0.329400,1.840962,0.114136,0.206115,0.085035
0.020000,0.362450,1.018419,0.366267,1.843323,0.118063,0.196374,0.093988
0.020000,0.399187,1.022046,0.403182,1.845759,0.121794,0.186528,0.102801
0.020000,0.435940,1.025999,0.440147,1.848265,0.125326,0.176623,0.111471
0.020000,0.472709,1.030274,0.477164,1.850838,0.128660,0.166707,0.119994
0.020000,0.509493,1.034866,0.514234,1.853474,0.131797,0.156823,0.128367
0.020000,0.546291,1.039770,0.551357,1.856169,0.134737,0.147016,0.136586
0.020000,0.583102,1.044982,0.588535,1.858919,0.137484,0.137325,0.144647
0.020000,0.619926,1.050495,0.625770,1.861720,0.140040,0.127790,0.152549
0.020000,0.656762,1.056305,0.663061,1.864568,0.142408,0.118445,0.160287
0.020000,0.693610,1.062406,0.700410,1.867460,0.144595,0.109324,0.167861
0.020000,0.730468,1.068793,0.737818,1.870392,0.146604,0.100456,0.175267
0.020000,0.767338,1.075460,0.775285,1.873361,0.148441,0.091867,0.182503
0.020000,0.804217,1.082402,0.812813,1.876363,0.150113,0.083581,0.189568
0.020000,0.841107,1.089612,0.850400,1.879395,0.151625,0.075616,0.196459
0.020000,0.878007,1.097086,0.888050,1.882455,0.152985,0.067991,0.203176
0.020000,0.914917,1.104816,0.925760,1.885539,0.154199,0.060718,0.209716
0.020000,0.951837,1.112798,0.963533,1.888645,0.155276,0.053808,0.216079
0.020000,0.988767,1.121025,1.001369,1.891769,0.156221,0.047269,0.222264
0.020000,1.025707,1.129491,1.039267,1.894910,0.157043,0.041105,0.228269
0.020000,1.062659,1.138189,1.077228,1.898065,0.157750,0.035321,0.234093
0.020000,1.099621,1.147114,1.115253,1.901232,0.158348,0.029915,0.239737
0.020000,1.136595,1.156260,1.153341,1.904409,0.158846,0.024886,0.245199
0.020000,1.173581,1.165619,1.191493,1.907594,0.159250,0.020230,0.250479
0.020000,1.210580,1.175187,1.229708,1.910785,0.159569,0.015942,0.255577
0.020000,1.247592,1.184956,1.267988,1.913981,0.159809,0.012014,0.260493
0.020000,1.284618,1.194920,1.306332,1.917181,0.159978,0.008439,0.265225
0.020000,1.321660,1.205072,1.344739,1.920382,0.160082,0.005206,0.269775
0.020000,1.358717,1.215407,1.383211,1.923585,0.160128,0.002306,0.274141
0.020000,1.395792,1.225917,1.421747,1.926788,0.160123,-0.000273,0.278324
0.020000,1.432885,1.236597,1.460347,1.929989,0.160072,-0.002544,0.282325
0.020000,1.469997,1.247440,1.499010,1.933189,0.159982,-0.004519,0.286143
0.020000,1.507130,1.258439,1.537738,1.936386,0.159857,-0.006210,0.289778
0.020000,1.544285,1.269588,1.576530,1.939580,0.159703,-0.007719,0.293230
0.020000,1.581463,1.280881,1.615385,1.942770,0.159527,-0.008823,0.296501
0.020000,1.618666,1.292310,1.654304,1.945957,0.159335,-0.009592,0.299589
0.020000,1.655896,1.303869,1.693287,1.949140,0.159126,-0.010413,0.302495
0.020000,1.693153,1.315553,1.732333,1.952318,0.158908,-0.010895,0.305220
0.020000,1.730440,1.327353,1.771443,1.955491,0.158685,-0.011177,0.307763
0.020000,1.767759,1.339265,1.810616,1.958661,0.158460,-0.011271,0.310125
0.020000,1.805110,1.351280,1.849853,1.961825,0.158236,-0.011192,0.312307
0.020000,1.842497,1.363393,1.889153,1.964986,0.158017,-0.010952,0.314307
0.020000,1.879920,1.375597,1.928515,1.968142,0.157805,-0.010565,0.316128
0.020000,1.917382,1.387885,1.967941,1.971294,0.157604,-0.010044,0.317768
0.020000,1.954884,1.400252,2.007430,1.974442,0.157416,-0.009402,0.319229
0.020000,1.992430,1.412689,2.046982,1.977587,0.157243,-0.008651,0.320509
0.020000,2.030020,1.425191,2.086597,1.980729,0.157087,-0.007804,0.321611
0.020000,2.067657,1.437750,2.126274,1.983868,0.156950,-0.006873,0.322532
0.020000,2.105343,1.450361,2.166014,1.987004,0.156832,-0.005870,0.323275
0.020000,2.143080,1.463017,2.205817,1.990139,0.156736,-0.004807,0.323838
0.020000,2.180871,1.475710,2.245682,1.993272,0.156662,-0.003696,0.324223
0.020000,2.218717,1.488435,2.285610,1.996405,0.156611,-0.002548,0.324428
0.020000,2.256621,1.501183,2.325601,1.999536,0.156584,-0.001376,0.324455
0.020000,2.294586,1.513950,2.365654,2.002668,0.156580,-0.000190,0.324302
0.020000,2.332612,1.526727,2.405770,2.005800,0.156600,0.000997,0.323971
0.020000,2.370704,1.539508,2.445949,2.008933,0.156644,0.002175,0.323461
0.020000,2.408863,1.552286,2.486190,2.012067,0.156710,0.003331,0.322771
0.020000,2.447091,1.565054,2.526494,2.015203,0.156799,0.004454,0.321902
0.020000,2.485391,1.577806,2.566861,2.018341,0.156910,0.005532,0.320854
0.020000,2.523765,1.590533,2.607291,2.021482,0.157041,0.006554,0.319627
0.020000,2.562215,1.603230,2.647783,2.024626,0.157191,0.007508,0.318219
0.020000,2.600744,1.615889,2.688339,2.027773,0.157359,0.008381,0.316632
