dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000067,0.301000,0.003333,0.333333,16.666667,833.333333,6.282993
0.020000,0.013665,0.301021,0.017066,0.686622,17.664427,49.887994,0.003144
0.020000,0.042656,0.301209,0.046058,1.449600,38.148906,1024.223961,0.009788
0.020000,0.082492,0.301780,0.085898,1.991992,27.119594,-551.465607,0.018855
0.020000,0.125908,0.302812,0.129326,2.171414,8.971092,-907.425104,0.028650
0.020000,0.169275,0.304265,0.172717,2.169577,-0.091842,-453.146666,0.038341
0.020000,0.212588,0.306135,0.216070,2.167644,-0.096628,-0.239322,0.047921
0.020000,0.255840,0.308415,0.259383,2.165624,-0.101028,-0.219987,0.057386
0.020000,0.299027,0.311099,0.302653,2.163509,-0.105750,-0.236084,0.066730
0.020000,0.342143,0.314180,0.345879,2.161307,-0.110063,-0.215661,0.075948
0.020000,0.385184,0.317652,0.389060,2.159024,-0.114158,-0.204746,0.085035
0.020000,0.428145,0.321509,0.432193,2.156663,-0.118066,-0.195416,0.093988
0.020000,0.471021,0.325742,0.475277,2.154227,-0.121784,-0.185883,0.102801
0.020000,0.513808,0.330344,0.518312,2.151721,-0.125308,-0.176211,0.111471
0.020000,0.556504,0.335308,0.561295,2.149148,-0.128637,-0.166464,0.119994
0.020000,0.599103,0.340626,0.604225,2.146513,-0.131771,-0.156699,0.128367
0.020000,0.641604,0.346290,0.647101,2.143819,-0.134711,-0.146971,0.136586
0.020000,0.684003,0.352292,0.689923,2.141070,-0.137457,-0.137331,0.144647
0.020000,0.726297,0.358624,0.732688,2.138269,-0.140014,-0.127825,0.152549
0.020000,0.768483,0.365277,0.775397,2.135422,-0.142384,-0.118494,0.160287
0.020000,0.810561,0.372245,0.818047,2.132530,-0.144571,-0.109376,0.167861
0.020000,0.852528,0.379517,0.860639,2.129599,-0.146581,-0.100505,0.175267
0.020000,0.894382,0.387085,0.903172,2.126630,-0.148419,-0.091910,0.182503
0.020000,0.936121,0.394941,0.945644,2.123628,-0.150092,-0.083615,0.189568
0.020000,0.977745,0.403077,0.988056,2.120596,-0.151605,-0.075643,0.196459
0.020000,1.019253,0.411484,1.030407,2.117537,-0.152965,-0.068011,0.203176
0.020000,1.060644,0.420153,1.072696,2.114453,-0.154180,-0.060733,0.209716
0.020000,1.101918,0.429076,1.114923,2.111348,-0.155256,-0.053819,0.216079
0.020000,1.143074,0.438244,1.157088,2.108224,-0.156201,-0.047278,0.222264
0.020000,1.184111,0.447649,1.199189,2.105084,-0.157024,-0.041115,0.228269
0.020000,1.225031,0.457282,1.241228,2.101929,-0.157730,-0.035331,0.234093
0.020000,1.265834,0.467134,1.283203,2.098763,-0.158329,-0.029928,0.239737
0.020000,1.306520,0.477198,1.325115,2.095586,-0.158827,-0.024902,0.245199
0.020000,1.347089,0.487464,1.366963,2.092401,-0.159232,-0.020249,0.250479
0.020000,1.387542,0.497925,1.408747,2.089210,-0.159551,-0.015965,0.255577
0.020000,1.427881,0.508571,1.450467,2.086015,-0.159792,-0.012041,0.260493
0.020000,1.468107,0.519396,1.492124,2.082815,-0.159961,-0.008469,0.265225
0.020000,1.508220,0.530390,1.533716,2.079614,-0.160066,-0.005240,0.269775
0.020000,1.548221,0.541546,1.575244,2.076412,-0.160113,-0.002342,0.274141
0.020000,1.588113,0.552855,1.616708,2.073210,-0.160108,0.000235,0.278324
0.020000,1.627897,0.564310,1.658109,2.070008,-0.160058,0.002505,0.282325
0.020000,1.667575,0.575902,1.699445,2.066809,-0.159969,0.004479,0.286143
0.020000,1.707148,0.587624,1.740717,2.063612,-0.159845,0.006170,0.289778
0.020000,1.746617,0.599468,1.781925,2.060418,-0.159695,0.007500,0.293230
0.020000,1.785986,0.611425,1.823070,2.057228,-0.159521,0.008734,0.296501
0.020000,1.825255,0.623489,1.864151,2.054041,-0.159324,0.009823,0.299589
0.020000,1.864428,0.635652,1.905168,2.050859,-0.159116,0.010386,0.302495
0.020000,1.903505,0.647906,1.946121,2.047681,-0.158899,0.010867,0.305220
0.020000,1.942490,0.660244,1.987012,2.044507,-0.158676,0.011148,0.307763
0.020000,1.981383,0.672658,2.027838,2.041338,-0.158451,0.011241,0.310125
0.020000,2.020188,0.685141,2.068602,2.038174,-0.158228,0.011162,0.312307
0.020000,2.058907,0.697686,2.109302,2.035014,-0.158010,0.010922,0.314307
0.020000,2.097542,0.710285,2.149939,2.031858,-0.157799,0.010535,0.316128
0.020000,2.136095,0.722931,2.190513,2.028706,-0.157599,0.010014,0.317768
0.020000,2.174568,0.735617,2.231025,2.025558,-0.157411,0.009372,0.319229
0.020000,2.212965,0.748336,2.271473,2.022413,-0.157239,0.008621,0.320509
0.020000,2.251286,0.761081,2.311858,2.019271,-0.157083,0.007774,0.321611
0.020000,2.289535,0.773845,2.352181,2.016132,-0.156947,0.006843,0.322532
0.020000,2.327714,0.786621,2.392441,2.012996,-0.156830,0.005840,0.323275
0.020000,2.365826,0.799402,2.432638,2.009861,-0.156734,0.004778,0.323838
0.020000,2.403871,0.812181,2.472773,2.006728,-0.156661,0.003667,0.324223
0.020000,2.441854,0.824951,2.512844,2.003595,-0.156610,0.002519,0.324428
0.020000,2.479776,0.837706,2.552854,2.000464,-0.156583,0.001347,0.324455
0.020000,2.517639,0.850439,2.592800,1.997332,-0.156580,0.000162,0.324302
0.020000,2.555446,0.863142,2.632684,1.994200,-0.156601,-0.001025,0.323971
0.020000,2.593199,0.875809,2.672506,1.991067,-0.156645,-0.002203,0.323461
0.020000,2.630900,0.888434,2.712264,1.987933,-0.156712,-0.003359,0.322771
0.020000,2.668551,0.901010,2.751960,1.984797,-0.156802,-0.004481,0.321902
0.020000,2.706155,0.913529,2.791594,1.981659,-0.156913,-0.005560,0.320854
0.020000,2.743713,0.925986,2.831164,1.978518,-0.157044,-0.006582,0.319627
0.020000,2.781228,0.938374,2.870671,1.975374,-0.157195,-0.007535,0.318219
0.020000,2.818702,0.950686,2.910116,1.972227,-0.157363,-0.008409,0.316632
0.020000,2.856136,0.962916,2.949497,1.969076,-0.157547,-0.009190,0.314865
0.020000,2.893534,0.975057,2.988816,1.965921,-0.157744,-0.009865,0.312918
0.020000,2.930895,0.987102,3.028071,1.962762,-0.157953,-0.010424,0.310790
0.020000,2.968223,0.999044,3.067263,1.959598,-0.158170,-0.010852,0.308481
0.020000,3.005519,1.010879,3.106392,1.956431,-0.158393,-0.011137,0.305992
0.020000,3.042785,1.022597,3.145457,1.953258,-0.158618,-0.011266,0.303321
0.020000,3.080023,1.034194,3.184458,1.950081,-0.158843,-0.011225,0.300468
0.020000,3.117234,1.045663,3.223396,1.946900,-0.159063,-0.011001,0.297434
0.020000,3.154419,1.056996,3.262271,1.943715,-0.159274,-0.010581,0.294218
0.020000,3.191581,1.068189,3.301081,1.940525,-0.159473,-0.009950,0.290819
0.020000,3.228720,1.079233,3.339828,1.937332,-0.159655,-0.009094,0.287238
0.020000,3.265838,1.090123,3.378511,1.934136,-0.159815,-0.008001,0.283475
0.020000,3.302937,1.100851,3.417129,1.930937,-0.159948,-0.006655,0.279528
0.020000,3.340017,1.111413,3.455684,1.927736,-0.160049,-0.005044,0.275399
0.020000,3.377079,1.121800,3.494175,1.924534,-0.160112,-0.003154,0.271087
0.020000,3.414126,1.132007,3.532601,1.921331,-0.160132,-0.000972,0.266592
0.020000,3.451156,1.142028,3.570964,1.918129,-0.160101,0.001515,0.261913
0.020000,3.488173,1.151855,3.609262,1.914929,-0.160015,0.004319,0.257052
0.020000,3.525175,1.161483,3.647497,1.911731,-0.159866,0.007453,0.252008
0.020000,3.562165,1.170905,3.685668,1.908538,-0.159647,0.010925,0.246782
0.020000,3.599142,1.180114,3.723775,1.905351,-0.159352,0.014748,0.241374
0.020000,3.636108,1.189105,3.761818,1.902172,-0.158974,0.018928,0.235784
0.020000,3.673063,1.197872,3.799798,1.899002,-0.158504,0.023474,0.230013
0.020000,3.710006,1.206407,3.837715,1.895843,-0.157937,0.028391,0.224061
0.020000,3.746940,1.214705,3.875569,1.892698,-0.157263,0.033685,0.217929
0.020000,3.783862,1.222760,3.913361,1.889568,-0.156476,0.039356,0.211619
