dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.459218,0.949557,0.003333,0.333333,16.666667,833.333333,1.445745
0.020000,5.461222,0.965085,0.018990,0.782856,22.476152,290.474279,1.439106
0.020000,5.465562,0.996229,0.050435,1.572230,39.468680,849.626411,1.425454
0.020000,5.472287,1.039240,0.093968,2.176662,30.221620,-462.353013,1.405833
0.020000,5.480683,1.086405,0.141875,2.395340,10.933894,-964.386333,1.383239
0.020000,5.490265,1.133817,0.190246,2.418537,1.159843,-488.702520,1.359319
0.020000,5.501122,1.181461,0.239111,2.443277,1.237014,3.858531,1.333985
0.020000,5.513348,1.229316,0.288504,2.469608,1.316535,3.976052,1.307147
0.020000,5.527044,1.277352,0.338454,2.497516,1.395380,3.942260,1.278712
0.020000,5.542319,1.325528,0.388993,2.526975,1.472967,3.879374,1.248594
0.020000,5.559284,1.373790,0.440150,2.557854,1.543962,3.549727,1.216710
0.020000,5.578055,1.422069,0.491950,2.589994,1.607002,3.151976,1.182989
0.020000,5.598750,1.470277,0.544412,2.623106,1.655577,2.428788,1.147375
0.020000,5.621482,1.518306,0.597549,2.656832,1.686314,1.536848,1.109833
0.020000,5.646360,1.566023,0.651362,2.690659,1.691351,0.251859,1.070357
0.020000,5.673478,1.613274,0.705842,2.723978,1.665933,-1.270909,1.028975
0.020000,5.702912,1.659878,0.760962,2.756022,1.602201,-3.186628,0.985762
0.020000,5.734713,1.705631,0.816681,2.785956,1.496707,-5.274696,0.940836
0.020000,5.768898,1.750310,0.872938,2.812846,1.344480,-7.611349,0.894374
0.020000,5.805445,1.793679,0.929653,2.835741,1.144788,-9.984587,0.846602
0.020000,5.844289,1.835497,0.986728,2.853760,0.900953,-12.191731,0.797799
0.020000,5.885318,1.875528,1.044051,2.866144,0.619158,-14.089752,0.748288
0.020000,5.928379,1.913552,1.101498,2.872337,0.309678,-15.474040,0.698423
0.020000,5.973278,1.949379,1.158939,2.872055,-0.014130,-16.190360,0.648575
0.020000,6.019791,1.982854,1.216245,2.865311,-0.337161,-16.151555,0.599112
0.020000,6.067675,2.013864,1.273294,2.852413,-0.644909,-15.387394,0.550386
0.020000,6.116679,2.042345,1.329972,2.833940,-0.923653,-13.937215,0.502717
0.020000,6.166554,2.068276,1.386186,2.810664,-1.163795,-12.007121,0.456379
0.020000,6.217065,2.091680,1.441855,2.783484,-1.359029,-9.761674,0.411595
0.020000,6.267997,2.112613,1.496922,2.753337,-1.507316,-7.414354,0.368535
0.020000,6.319162,2.131163,1.551345,2.721145,-1.609601,-5.114263,0.327316
0.020000,6.370395,2.147435,1.605100,2.687770,-1.668787,-2.959281,0.288005
0.020000,6.421562,2.161552,1.658179,2.653935,-1.691708,-1.146045,0.250628
0.020000,6.472553,2.173641,1.710584,2.620241,-1.684698,0.350459,0.215178
0.020000,6.523284,2.183833,1.762328,2.587214,-1.651382,1.665822,0.181616
0.020000,6.573688,2.192259,1.813432,2.555192,-1.601100,2.514110,0.149884
0.020000,6.623719,2.199044,1.863921,2.524430,-1.538080,3.151012,0.119912
0.020000,6.673343,2.204306,1.913823,2.495108,-1.466095,3.599217,0.091614
0.020000,6.722539,2.208159,1.963170,2.467345,-1.388177,3.895912,0.064905
0.020000,6.771296,2.210706,2.011993,2.441163,-1.309099,3.953891,0.039692
0.020000,6.817694,2.212013,2.058409,2.320811,-6.017611,-235.425608,0.016807
0.020000,6.855907,2.212308,2.096624,1.910724,-20.504336,-724.336244,6.281920
0.020000,6.880084,2.212143,2.120801,1.208858,-35.093312,-729.448793,6.270834
0.020000,6.890242,2.211994,2.130960,0.507956,-35.045069,2.412175,6.266255
0.020000,6.892306,2.211958,2.133025,0.103243,-20.235646,740.471121,6.265330
0.020000,6.892306,2.211958,2.133025,0.000000,-5.162164,753.674128,6.265330
