dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.153751,0.862249,0.003333,0.333333,16.666667,833.333333,1.445745
0.020000,6.155161,0.873168,0.014343,0.550476,10.857111,-290.477807,1.439106
0.020000,6.158182,0.894847,0.036231,1.094414,27.196911,816.990039,1.425454
0.020000,6.162784,0.924288,0.066030,1.489948,19.776700,-371.010576,1.405833
0.020000,6.168407,0.955883,0.098121,1.604563,5.730744,-702.297793,1.383239
0.020000,6.174671,0.986884,0.129749,1.581374,-1.159441,-344.509237,1.359319
0.020000,6.181586,1.017239,0.160881,1.556616,-1.237878,-3.921854,1.333985
0.020000,6.189159,1.046892,0.191487,1.530273,-1.317188,-3.965524,1.307147
0.020000,6.197396,1.075788,0.221533,1.502339,-1.396671,-3.974127,1.278712
0.020000,6.206297,1.103869,0.250991,1.472876,-1.473141,-3.823486,1.248594
0.020000,6.215858,1.131077,0.279830,1.441973,-1.545144,-3.600149,1.216710
0.020000,6.226074,1.157358,0.308027,1.409821,-1.607607,-3.123187,1.182989
0.020000,6.236932,1.182660,0.335560,1.376679,-1.657106,-2.474926,1.147375
0.020000,6.248420,1.206938,0.362419,1.342935,-1.687213,-1.505355,1.109833
0.020000,6.260520,1.230155,0.388601,1.309077,-1.692886,-0.283665,1.070357
0.020000,6.273218,1.252286,0.414115,1.275738,-1.666936,1.297534,1.028975
0.020000,6.286497,1.273318,0.438989,1.243659,-1.603952,3.149169,0.985762
0.020000,6.300349,1.293252,0.463263,1.213705,-1.497738,5.310729,0.940836
0.020000,6.314770,1.312105,0.486999,1.186797,-1.345397,7.617024,0.894374
0.020000,6.329768,1.329906,0.510276,1.163877,-1.145990,9.970384,0.846602
0.020000,6.345363,1.346698,0.533193,1.145840,-0.901860,12.206488,0.797799
0.020000,6.361588,1.362530,0.555862,1.133445,-0.619724,14.106804,0.748288
0.020000,6.378487,1.377453,0.578407,1.127246,-0.309949,15.488734,0.698423
0.020000,6.396114,1.391517,0.600957,1.127529,0.014126,16.203742,0.648575
0.020000,6.414528,1.404768,0.623643,1.134280,0.337573,16.172370,0.599112
0.020000,6.433787,1.417238,0.646587,1.147187,0.645338,15.388238,0.550386
0.020000,6.453944,1.428951,0.669900,1.165678,0.924526,13.959412,0.502717
0.020000,6.475044,1.439918,0.693680,1.188976,1.164938,12.020588,0.456379
0.020000,6.497115,1.450141,0.718003,1.216185,1.360412,9.773699,0.411595
0.020000,6.520172,1.459614,0.742931,1.246355,1.508527,7.405763,0.368535
0.020000,6.544213,1.468327,0.768502,1.278565,1.610481,5.097678,0.327316
0.020000,6.569223,1.476266,0.794741,1.311973,1.670433,2.997622,0.288005
0.020000,6.595171,1.483422,0.821658,1.345837,1.693168,1.136725,0.250628
0.020000,6.622018,1.489784,0.849249,1.379533,1.684825,-0.417132,0.215178
0.020000,6.649717,1.495346,0.877501,1.412597,1.653209,-1.580822,0.181616
0.020000,6.678215,1.500107,0.906394,1.444648,1.602542,-2.533352,0.149884
0.020000,6.707456,1.504070,0.935902,1.475420,1.538601,-3.197009,0.119912
0.020000,6.737383,1.507242,0.965997,1.504745,1.466244,-3.617864,0.091614
0.020000,6.767941,1.509633,0.996648,1.532535,1.389503,-3.837052,0.064905
0.020000,6.799073,1.511258,1.027822,1.558736,1.310049,-3.972723,0.039692
0.020000,6.829458,1.512112,1.058220,1.519865,-1.943567,-162.680765,0.016807
0.020000,6.855021,1.512309,1.083784,1.278197,-12.083382,-506.990782,6.281920
0.020000,6.871438,1.512197,1.100201,0.820859,-22.866900,-539.175889,6.270834
0.020000,6.878391,1.512095,1.107154,0.347681,-23.658926,-39.601292,6.266255
0.020000,6.879808,1.512070,1.108572,0.070864,-13.840810,490.905796,6.265330
0.020000,6.879808,1.512070,1.108572,0.000000,-3.543222,514.879376,6.265330
