dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.824273,1.861970,0.003333,0.333333,16.666667,833.333333,3.208142
0.020000,6.810969,1.861086,0.016667,1.000000,33.333333,833.333333,3.207773
0.020000,6.784360,1.859331,0.043333,1.666667,33.333333,0.000000,3.207103
0.020000,6.747772,1.856946,0.080000,2.000000,16.666667,-833.333333,3.206327
0.020000,6.707854,1.854372,0.120000,2.000000,0.000000,-833.333333,3.205672
0.020000,6.667936,1.851820,0.160000,2.000000,0.000000,0.000000,3.205218
0.020000,6.628016,1.849283,0.200000,2.000000,0.000000,0.000000,3.204964
0.020000,6.588097,1.846751,0.240000,2.000000,0.000000,0.000000,3.204910
0.020000,6.548177,1.844218,0.280000,2.000000,0.000000,0.000000,3.205057
0.020000,6.508258,1.841675,0.320000,2.000000,0.000000,0.000000,3.205403
0.020000,6.468340,1.839114,0.360000,2.000000,0.000000,0.000000,3.205950
0.020000,6.428424,1.836527,0.400000,2.000000,0.000000,0.000000,3.206697
0.020000,6.388510,1.833906,0.440000,2.000000,0.000000,0.000000,3.207645
0.020000,6.348598,1.831244,0.480000,2.000000,0.000000,0.000000,3.208793
0.020000,6.308690,1.828532,0.520000,2.000000,0.000000,0.000000,3.210143
0.020000,6.268786,1.825762,0.560000,2.000000,0.000000,0.000000,3.211693
0.020000,6.228887,1.822926,0.600000,2.000000,0.000000,0.000000,3.213446
0.020000,6.188993,1.820016,0.640000,2.000000,0.000000,0.000000,3.215400
0.020000,6.149105,1.817024,0.680000,2.000000,0.000000,0.000000,3.217557
0.020000,6.109224,1.813942,0.720000,2.000000,0.000000,0.000000,3.219916
0.020000,6.069351,1.810762,0.760000,2.000000,0.000000,0.000000,3.222479
0.020000,6.029486,1.807475,0.800000,2.000000,0.000000,0.000000,3.225246
0.020000,5.989631,1.804074,0.840000,2.000000,0.000000,0.000000,3.228216
0.020000,5.949786,1.800551,0.880000,2.000000,0.000000,0.000000,3.231392
0.020000,5.909953,1.796897,0.920000,2.000000,0.000000,0.000000,3.234772
0.020000,5.870134,1.793105,0.960000,2.000000,0.000000,0.000000,3.238358
0.020000,5.830328,1.789166,1.000000,2.000000,0.000000,0.000000,3.242150
