dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.971153,3.260723,0.003333,0.333333,16.666667,833.333333,4.698830
0.020000,6.970779,3.242534,0.021526,0.909654,28.816011,607.467195,4.684944
0.020000,6.969361,3.207191,0.056897,1.768534,42.944027,706.400820,4.660073
0.020000,6.966248,3.160731,0.103461,2.328206,27.983572,-748.022735,4.631790
0.020000,6.961767,3.112654,0.151747,2.414294,4.304403,-1183.958445,4.608113
0.020000,6.956587,3.067068,0.197626,2.293963,-6.016532,-516.046784,4.591314
0.020000,6.951071,3.023784,0.241260,2.181709,-5.612719,20.190674,4.580930
0.020000,6.945525,2.982666,0.282751,2.074523,-5.359262,12.672848,4.576671
0.020000,6.940210,2.943637,0.322139,1.969423,-5.254999,5.213160,4.578419
0.020000,6.935356,2.906686,0.359409,1.863458,-5.298261,-2.163099,4.586221
0.020000,6.931166,2.871864,0.394482,1.753662,-5.489809,-9.577429,4.600296
0.020000,6.927819,2.839295,0.427222,1.637030,-5.831620,-17.090552,4.621036
0.020000,6.925458,2.809176,0.457434,1.510555,-6.323751,-24.606521,4.649001
0.020000,6.924185,2.781778,0.484861,1.371397,-6.957859,-31.705416,4.684917
0.020000,6.924030,2.757431,0.509208,1.217331,-7.703302,-37.272160,4.729636
0.020000,6.924927,2.736499,0.530159,1.047570,-8.488074,-39.238603,4.784053
0.020000,6.926687,2.719305,0.547444,0.864214,-9.167815,-33.987035,4.848946
0.020000,6.928992,2.706020,0.560927,0.674178,-9.501760,-16.697254,4.924698
0.020000,6.931441,2.696509,0.570749,0.491061,-9.155854,17.295295,5.010915
0.020000,6.933691,2.690193,0.577453,0.335220,-7.792058,68.189832,5.106038
0.020000,6.935655,2.686034,0.582052,0.229973,-5.262337,126.486021,5.207176
0.020000,6.937667,2.682727,0.585923,0.193520,-1.822684,171.982663,5.310398
0.020000,6.940463,2.679061,0.590534,0.230556,1.851811,183.724726,5.411504
0.020000,6.944962,2.674235,0.597132,0.329889,4.966651,155.741997,5.506931
0.020000,6.951971,2.667970,0.606533,0.470069,7.008989,102.116912,5.594348
0.020000,6.961996,2.660393,0.619099,0.628294,7.911286,45.114843,5.672721
0.020000,6.975211,2.651849,0.634835,0.786809,7.925712,0.721307,5.742038
0.020000,6.991532,2.642735,0.653529,0.934705,7.394802,-26.545484,5.802903
0.020000,7.010123,2.633678,0.674208,1.033948,4.962142,-121.633015,5.854755
0.020000,7.027924,2.625980,0.693602,0.969708,-3.211984,-408.706280,5.894067
0.020000,7.040610,2.620958,0.707247,0.682210,-14.374891,-558.145337,5.917894
0.020000,7.046488,2.618744,0.713528,0.314054,-18.407825,-201.646749,5.928009
0.020000,7.047799,2.618259,0.714926,0.069904,-12.207483,310.017136,5.930195
0.020000,7.047799,2.618259,0.714926,0.000000,-3.495193,435.614492,5.930195
