dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.271218,3.270214,0.003333,0.333333,16.666667,833.333333,4.698830
0.020000,6.271043,3.261742,0.011807,0.423666,4.516629,-607.501875,4.684944
0.020000,6.270318,3.243796,0.029768,0.898068,23.720104,960.173729,4.660073
0.020000,6.268521,3.217089,0.056535,1.338337,22.013438,-85.333303,4.631790
0.020000,6.265570,3.185515,0.088247,1.585614,12.363867,-482.478511,4.608113
0.020000,6.261711,3.151614,0.122367,1.705993,6.018955,-317.245616,4.591314
0.020000,6.257111,3.115540,0.158732,1.818273,5.613997,-20.247909,4.580930
0.020000,6.251962,3.077377,0.197242,1.925476,5.360121,-12.693815,4.576671
0.020000,6.246483,3.037136,0.237853,2.030578,5.255100,-5.251029,4.578419
0.020000,6.240920,2.994769,0.280584,2.136533,5.297788,2.134411,4.586221
0.020000,6.235559,2.950164,0.325510,2.246306,5.488658,9.543499,4.600296
0.020000,6.230737,2.903153,0.372768,2.362899,5.829631,17.048661,4.621036
0.020000,6.226864,2.853517,0.422555,2.489318,6.320932,24.565010,4.649001
0.020000,6.224449,2.801005,0.475122,2.628386,6.953393,31.623054,4.684917
0.020000,6.224134,2.745359,0.530769,2.782338,7.697622,37.211460,4.729636
0.020000,6.226724,2.686378,0.589808,2.951933,8.479757,39.106729,4.784053
0.020000,6.233204,2.624012,0.652509,3.135087,9.157703,33.897343,4.848946
0.020000,6.244709,2.558517,0.719007,3.324862,9.488731,16.551366,4.924698
0.020000,6.262401,2.490631,0.789161,3.507699,9.141866,-17.343246,5.010915
0.020000,6.287230,2.421701,0.862426,3.663270,7.778538,-68.166408,5.106038
0.020000,6.319607,2.353643,0.937792,3.768312,5.252096,-126.322101,5.207176
0.020000,6.359146,2.288628,1.013886,3.804695,1.819134,-171.648060,5.310398
0.020000,6.404674,2.228582,1.089241,3.767737,-1.847887,-183.351097,5.411504
0.020000,6.454534,2.174755,1.162613,3.668581,-4.957803,-155.495757,5.506931
0.020000,6.507023,2.127580,1.233186,3.528676,-6.995241,-101.871897,5.594348
0.020000,6.560723,2.086825,1.300599,3.370660,-7.900786,-45.277267,5.672721
0.020000,6.614627,2.051866,1.364847,3.212389,-7.913573,-0.639332,5.742038
0.020000,6.668112,2.021929,1.426140,3.064673,-7.385767,26.390298,5.802903
0.020000,6.719312,1.996945,1.483111,2.848548,-10.806286,-171.025951,5.854755
0.020000,6.762363,1.978310,1.530022,2.345539,-25.150458,-717.208625,5.894067
0.020000,6.790555,1.967144,1.560345,1.516156,-41.469108,-815.932495,5.917894
0.020000,6.803059,1.962434,1.573707,0.668072,-42.404202,-46.754687,5.928009
0.020000,6.805805,1.961419,1.576635,0.146403,-26.083474,816.036408,5.930195
0.020000,6.805805,1.961419,1.576635,0.000000,-7.320143,938.166508,5.930195
