dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.151000,1.944000,0.003333,0.333333,16.666667,833.333333,2.895993
0.020000,7.141391,1.946384,0.016667,1.000000,33.333333,833.333333,2.899778
0.020000,7.115476,1.952672,0.043333,1.666667,33.333333,0.000000,2.907368
0.020000,7.079767,1.960995,0.080000,2.000000,16.666667,-833.333333,2.917852
0.020000,7.040714,1.969646,0.120000,2.000000,0.000000,-833.333333,2.929345
0.020000,7.001564,1.977846,0.160000,2.000000,0.000000,0.000000,2.940890
0.020000,6.962322,1.985593,0.200000,2.000000,0.000000,0.000000,2.952481
0.020000,6.922992,1.992884,0.240000,2.000000,0.000000,0.000000,2.964111
0.020000,6.883580,1.999717,0.280000,2.000000,0.000000,0.000000,2.975774
0.020000,6.844091,2.006088,0.320000,2.000000,0.000000,0.000000,2.987461
0.020000,6.804530,2.011998,0.360000,2.000000,0.000000,0.000000,2.999165
0.020000,6.764903,2.017444,0.400000,2.000000,0.000000,0.000000,3.010880
0.020000,6.725215,2.022425,0.440000,2.000000,0.000000,0.000000,3.022596
0.020000,6.685471,2.026941,0.480000,2.000000,0.000000,0.000000,3.034307
0.020000,6.645676,2.030991,0.520000,2.000000,0.000000,0.000000,3.046004
0.020000,6.605837,2.034577,0.560000,2.000000,0.000000,0.000000,3.057679
0.020000,6.565960,2.037697,0.600000,2.000000,0.000000,0.000000,3.069325
0.020000,6.526048,2.040353,0.640000,2.000000,0.000000,0.000000,3.080934
0.020000,6.486109,2.042547,0.680000,2.000000,0.000000,0.000000,3.092497
0.020000,6.446147,2.044280,0.720000,2.000000,0.000000,0.000000,3.104007
0.020000,6.406167,2.045554,0.760000,2.000000,0.000000,0.000000,3.115456
0.020000,6.366176,2.046371,0.800000,2.000000,0.000000,0.000000,3.126836
0.020000,6.326178,2.046735,0.840000,2.000000,0.000000,0.000000,3.138140
0.020000,6.286178,2.046649,0.880000,2.000000,0.000000,0.000000,3.149360
0.020000,6.246182,2.046115,0.920000,2.000000,0.000000,0.000000,3.160490
0.020000,6.206194,2.045138,0.960000,2.000000,0.000000,0.000000,3.171521
0.020000,6.166219,2.043723,1.000000,2.000000,0.000000,0.000000,3.182447
0.020000,6.126262,2.041873,1.040000,2.000000,0.000000,0.000000,3.193263
0.020000,6.086328,2.039593,1.080000,2.000000,0.000000,0.000000,3.203960
0.020000,6.046419,2.036888,1.120000,2.000000,0.000000,0.000000,3.214534
0.020000,6.006542,2.033764,1.160000,2.000000,0.000000,0.000000,3.224978
0.020000,5.966698,2.030227,1.200000,2.000000,0.000000,0.000000,3.235287
0.020000,5.926894,2.026282,1.240000,2.000000,0.000000,0.000000,3.245455
0.020000,5.887131,2.021935,1.280000,2.000000,0.000000,0.000000,3.255478
0.020000,5.847413,2.017193,1.320000,2.000000,0.000000,0.000000,3.265351
0.020000,5.807744,2.012062,1.360000,2.000000,0.000000,0.000000,3.275070
0.020000,5.768126,2.006549,1.400000,2.000000,0.000000,0.000000,3.284630
0.020000,5.728562,2.000660,1.440000,2.000000,0.000000,0.000000,3.294028
0.020000,5.689054,1.994403,1.480000,2.000000,0.000000,0.000000,3.303260
0.020000,5.649606,1.987785,1.520000,2.000000,0.000000,0.000000,3.312323
0.020000,5.610218,1.980814,1.560000,2.000000,0.000000,0.000000,3.321214
0.020000,5.570893,1.973495,1.600000,2.000000,0.000000,0.000000,3.329931
0.020000,5.531633,1.965838,1.640000,2.000000,0.000000,0.000000,3.338471
0.020000,5.492439,1.957849,1.680000,2.000000,0.000000,0.000000,3.346832
0.020000,5.453313,1.949536,1.720000,2.000000,0.000000,0.000000,3.355012
0.020000,5.414255,1.940907,1.760000,2.000000,0.000000,0.000000,3.363009
0.020000,5.375266,1.931970,1.800000,2.000000,0.000000,0.000000,3.370822
0.020000,5.336347,1.922732,1.840000,2.000000,0.000000,0.000000,3.378450
0.020000,5.297500,1.913201,1.880000,2.000000,0.000000,0.000000,3.385892
0.020000,5.258723,1.903384,1.920000,2.000000,0.000000,0.000000,3.393148
0.020000,5.220018,1.893290,1.960000,2.000000,0.000000,0.000000,3.400215
0.020000,5.181384,1.882927,2.000000,2.000000,0.000000,0.000000,3.407094
0.020000,5.142821,1.872302,2.040000,2.000000,0.000000,0.000000,3.413785
0.020000,5.104329,1.861422,2.080000,2.000000,0.000000,0.000000,3.420288
0.020000,5.065907,1.850296,2.120000,2.000000,0.000000,0.000000,3.426601
0.020000,5.027556,1.838931,2.160000,2.000000,0.000000,0.000000,3.432727
0.020000,4.989274,1.827335,2.200000,2.000000,0.000000,0.000000,3.438664
0.020000,4.951060,1.815516,2.240000,2.000000,0.000000,0.000000,3.444413
0.020000,4.912913,1.803481,2.280000,2.000000,0.000000,0.000000,3.449974
0.020000,4.874833,1.791237,2.320000,2.000000,0.000000,0.000000,3.455349
0.020000,4.836818,1.778793,2.360000,2.000000,0.000000,0.000000,3.460536
0.020000,4.798867,1.766155,2.400000,2.000000,0.000000,0.000000,3.465538
0.020000,4.760979,1.753330,2.440000,2.000000,0.000000,0.000000,3.470354
0.020000,4.723151,1.740327,2.480000,2.000000,0.000000,0.000000,3.474986
0.020000,4.685383,1.727153,2.520000,2.000000,0.000000,0.000000,3.479434
0.020000,4.647673,1.713814,2.560000,2.000000,0.000000,0.000000,3.483698
0.020000,4.610019,1.700317,2.600000,2.000000,0.000000,0.000000,3.487780
0.020000,4.572419,1.686671,2.640000,2.000000,0.000000,0.000000,3.491681
0.020000,4.534871,1.672881,2.680000,2.000000,0.000000,0.000000,3.495400
0.020000,4.497373,1.658955,2.720000,2.000000,0.000000,0.000000,3.498940
0.020000,4.459924,1.644900,2.760000,2.000000,0.000000,0.000000,3.502300
0.020000,4.422521,1.630723,2.800000,2.000000,0.000000,0.000000,3.505482
0.020000,4.385161,1.616430,2.840000,2.000000,0.000000,0.000000,3.508486
0.020000,4.347844,1.602028,2.880000,2.000000,0.000000,0.000000,3.511313
0.020000,4.310566,1.587524,2.920000,2.000000,0.000000,0.000000,3.513964
0.020000,4.273326,1.572924,2.960000,2.000000,0.000000,0.000000,3.516439
0.020000,4.236120,1.558235,3.000000,2.000000,0.000000,0.000000,3.518739
0.020000,4.198948,1.543465,3.040000,2.000000,0.000000,0.000000,3.520865
0.020000,4.161805,1.528618,3.080000,2.000000,0.000000,0.000000,3.522818
0.020000,4.124690,1.513702,3.120000,2.000000,0.000000,0.000000,3.524597
0.020000,4.087600,1.498723,3.160000,2.000000,0.000000,0.000000,3.526204
