dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,2.983000,0.003333,0.333333,16.666667,833.333333,6.283020
0.020000,0.010180,2.983003,0.016667,1.000000,33.333333,833.333333,0.000532
0.020000,0.036847,2.983035,0.043333,1.666667,33.333333,0.000000,0.001900
0.020000,0.073514,2.983139,0.080000,2.000000,16.666667,-833.333333,0.003724
0.020000,0.113513,2.983326,0.120000,2.000000,0.000000,-833.333333,0.005639
0.020000,0.153512,2.983589,0.160000,2.000000,0.000000,0.000000,0.007475
0.020000,0.193511,2.983923,0.200000,2.000000,0.000000,0.000000,0.009233
0.020000,0.233509,2.984326,0.240000,2.000000,0.000000,0.000000,0.010913
0.020000,0.273506,2.984795,0.280000,2.000000,0.000000,0.000000,0.012515
0.020000,0.313503,2.985326,0.320000,2.000000,0.000000,0.000000,0.014039
0.020000,0.353498,2.985917,0.360000,2.000000,0.000000,0.000000,0.015486
0.020000,0.393493,2.986564,0.400000,2.000000,0.000000,0.000000,0.016856
0.020000,0.433487,2.987264,0.440000,2.000000,0.000000,0.000000,0.018149
0.020000,0.473480,2.988015,0.480000,2.000000,0.000000,0.000000,0.019365
0.020000,0.513472,2.988812,0.520000,2.000000,0.000000,0.000000,0.020504
0.020000,0.553463,2.989654,0.560000,2.000000,0.000000,0.000000,0.021567
0.020000,0.593453,2.990537,0.600000,2.000000,0.000000,0.000000,0.022553
0.020000,0.633443,2.991457,0.640000,2.000000,0.000000,0.000000,0.023463
0.020000,0.673431,2.992412,0.680000,2.000000,0.000000,0.000000,0.024297
0.020000,0.713419,2.993400,0.720000,2.000000,0.000000,0.000000,0.025056
0.020000,0.753406,2.994416,0.760000,2.000000,0.000000,0.000000,0.025738
0.020000,0.793393,2.995458,0.800000,2.000000,0.000000,0.000000,0.026345
0.020000,0.833378,2.996522,0.840000,2.000000,0.000000,0.000000,0.026876
0.020000,0.873364,2.997606,0.880000,2.000000,0.000000,0.000000,0.027331
0.020000,0.913349,2.998707,0.920000,2.000000,0.000000,0.000000,0.027711
0.020000,0.953333,2.999822,0.960000,2.000000,0.000000,0.000000,0.028016
0.020000,0.993317,3.000947,1.000000,2.000000,0.000000,0.000000,0.028245
0.020000,1.033301,3.002080,1.040000,2.000000,0.000000,0.000000,0.028398
0.020000,1.073285,3.003218,1.080000,2.000000,0.000000,0.000000,0.028477
0.020000,1.113269,3.004357,1.120000,2.000000,0.000000,0.000000,0.028480
0.020000,1.153253,3.005495,1.160000,2.000000,0.000000,0.000000,0.028408
0.020000,1.193237,3.006628,1.200000,2.000000,0.000000,0.000000,0.028260
0.020000,1.233221,3.007754,1.240000,2.000000,0.000000,0.000000,0.028037
0.020000,1.273205,3.008870,1.280000,2.000000,0.000000,0.000000,0.027739
0.020000,1.313190,3.009972,1.320000,2.000000,0.000000,0.000000,0.027365
0.020000,1.353175,3.011058,1.360000,2.000000,0.000000,0.000000,0.026916
0.020000,1.393161,3.012124,1.400000,2.000000,0.000000,0.000000,0.026391
0.020000,1.433147,3.013168,1.440000,2.000000,0.000000,0.000000,0.025791
0.020000,1.473134,3.014186,1.480000,2.000000,0.000000,0.000000,0.025115
0.020000,1.513122,3.015176,1.520000,2.000000,0.000000,0.000000,0.024363
0.020000,1.553111,3.016134,1.560000,2.000000,0.000000,0.000000,0.023535
0.020000,1.593100,3.017058,1.600000,2.000000,0.000000,0.000000,0.022631
0.020000,1.633090,3.017943,1.640000,2.000000,0.000000,0.000000,0.021651
0.020000,1.673081,3.018789,1.680000,2.000000,0.000000,0.000000,0.020595
0.020000,1.713073,3.019590,1.720000,2.000000,0.000000,0.000000,0.019462
0.020000,1.753066,3.020344,1.760000,2.000000,0.000000,0.000000,0.018252
0.020000,1.793060,3.021049,1.800000,2.000000,0.000000,0.000000,0.016966
0.020000,1.833055,3.021701,1.840000,2.000000,0.000000,0.000000,0.015602
0.020000,1.873050,3.022296,1.880000,2.000000,0.000000,0.000000,0.014162
0.020000,1.913047,3.022832,1.920000,2.000000,0.000000,0.000000,0.012644
0.020000,1.953044,3.023307,1.960000,2.000000,0.000000,0.000000,0.011048
0.020000,1.993042,3.023715,2.000000,2.000000,0.000000,0.000000,0.009375
0.020000,2.033040,3.024056,2.040000,2.000000,0.000000,0.000000,0.007624
0.020000,2.073039,3.024324,2.080000,2.000000,0.000000,0.000000,0.005794
0.020000,2.113039,3.024518,2.120000,2.000000,0.000000,0.000000,0.003886
0.020000,2.153039,3.024634,2.160000,2.000000,0.000000,0.000000,0.001899
0.020000,2.193039,3.024669,2.200000,2.000000,0.000000,0.000000,6.283019
0.020000,2.233039,3.024620,2.240000,2.000000,0.000000,0.000000,6.280874
0.020000,2.273038,3.024483,2.280000,2.000000,0.000000,0.000000,6.278649
0.020000,2.313038,3.024256,2.320000,2.000000,0.000000,0.000000,6.276345
0.020000,2.353036,3.023935,2.360000,2.000000,0.000000,0.000000,6.273960
0.020000,2.393034,3.023517,2.400000,2.000000,0.000000,0.000000,6.271496
0.020000,2.433031,3.022998,2.440000,2.000000,0.000000,0.000000,6.268951
0.020000,2.473026,3.022377,2.480000,2.000000,0.000000,0.000000,6.266325
0.020000,2.513019,3.021648,2.520000,2.000000,0.000000,0.000000,6.263618
0.020000,2.553011,3.020810,2.560000,2.000000,0.000000,0.000000,6.260829
0.020000,2.592999,3.019859,2.600000,2.000000,0.000000,0.000000,6.257959
0.020000,2.632985,3.018791,2.640000,2.000000,0.000000,0.000000,6.255008
0.020000,2.672967,3.017604,2.680000,2.000000,0.000000,0.000000,6.251973
0.020000,2.712946,3.016294,2.720000,2.000000,0.000000,0.000000,6.248857
0.020000,2.752920,3.014857,2.760000,2.000000,0.000000,0.000000,6.245658
0.020000,2.792889,3.013291,2.800000,2.000000,0.000000,0.000000,6.242376
