dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.403961,0.192094,0.003333,0.333333,16.666667,833.333333,0.375658
0.020000,6.414554,0.196238,0.014708,0.568757,11.771191,-244.773807,0.370063
0.020000,6.435796,0.204341,0.037443,1.136735,28.398901,831.385516,0.358829
0.020000,6.465121,0.215081,0.068673,1.561473,21.236904,-358.099821,0.343296
0.020000,6.497265,0.226264,0.102707,1.701694,7.011015,-711.294455,0.326251
0.020000,6.529568,0.236886,0.136711,1.700227,-0.073304,-354.215976,0.309122
0.020000,6.562028,0.246946,0.170694,1.699143,-0.054231,0.953680,0.291932
0.020000,6.594642,0.256442,0.204663,1.698449,-0.034712,0.975921,0.274701
0.020000,6.627410,0.265372,0.238626,1.698148,-0.015016,0.984832,0.257454
0.020000,6.660329,0.273737,0.272591,1.698256,0.005365,1.019018,0.240213
0.020000,6.693397,0.281535,0.306567,1.698778,0.026103,1.036897,0.223001
0.020000,6.726613,0.288769,0.340561,1.699716,0.046910,1.040356,0.205843
0.020000,6.759975,0.295437,0.374582,1.701065,0.067440,1.026487,0.188762
0.020000,6.793479,0.301543,0.408639,1.702824,0.087959,1.025970,0.171782
0.020000,6.827125,0.307088,0.442739,1.704997,0.108639,1.033980,0.154926
0.020000,6.860910,0.312076,0.476890,1.707555,0.127922,0.964165,0.138216
0.020000,6.894832,0.316508,0.511100,1.710507,0.147585,0.983142,0.121674
0.020000,6.928888,0.320389,0.545376,1.713822,0.165750,0.908254,0.105323
0.020000,6.963076,0.323724,0.579726,1.717497,0.183741,0.899579,0.089181
0.020000,6.997392,0.326516,0.614156,1.721505,0.200426,0.834245,0.073268
0.020000,7.031835,0.328773,0.648673,1.725830,0.216247,0.791027,0.057602
0.020000,7.066401,0.330498,0.683282,1.730453,0.231145,0.744930,0.042200
0.020000,7.101087,0.331699,0.717989,1.735350,0.244838,0.684636,0.027078
0.020000,7.135891,0.332382,0.752799,1.740498,0.257396,0.627875,0.012250
0.020000,7.170808,0.332556,0.787716,1.745875,0.268874,0.573916,6.280915
0.020000,7.205835,0.332226,0.822746,1.751459,0.279209,0.516734,6.266714
0.020000,7.240970,0.331403,0.857890,1.757228,0.288426,0.460862,6.252842
0.020000,7.276209,0.330093,0.893153,1.763157,0.296484,0.402925,6.239309
0.020000,7.311549,0.328307,0.928538,1.769228,0.303504,0.350993,6.226123
0.020000,7.346985,0.326053,0.964046,1.775417,0.309490,0.299267,6.213290
0.020000,7.382516,0.323342,0.999680,1.781707,0.314488,0.249932,6.200817
0.020000,7.418138,0.320183,1.035442,1.788078,0.318538,0.202485,6.188708
0.020000,7.453847,0.316586,1.071332,1.794512,0.321718,0.159013,6.176966
0.020000,7.489642,0.312562,1.107352,1.800994,0.324112,0.119712,6.165595
0.020000,7.525518,0.308122,1.143502,1.807509,0.325747,0.081720,6.154596
0.020000,7.561474,0.303278,1.179783,1.814043,0.326698,0.047567,6.143970
0.020000,7.597507,0.298039,1.216195,1.820582,0.326955,0.012842,6.133718
0.020000,7.633615,0.292418,1.252737,1.827118,0.326785,-0.008507,6.123840
0.020000,7.669795,0.286426,1.289410,1.833640,0.326079,-0.035292,6.114334
0.020000,7.706045,0.280074,1.326213,1.840138,0.324894,-0.059228,6.105199
0.020000,7.742364,0.273375,1.363145,1.846604,0.323321,-0.078678,6.096434
0.020000,7.778751,0.266340,1.400205,1.853035,0.321558,-0.088136,6.088036
0.020000,7.815204,0.258981,1.437394,1.859423,0.319391,-0.108356,6.080004
0.020000,7.851723,0.251310,1.474709,1.865763,0.317021,-0.118516,6.072333
0.020000,7.888305,0.243339,1.512150,1.872056,0.314610,-0.120547,6.065023
0.020000,7.924952,0.235079,1.549716,1.878292,0.311823,-0.139362,6.058068
0.020000,7.961662,0.226544,1.587406,1.884476,0.309215,-0.130357,6.051467
0.020000,7.998436,0.217744,1.625218,1.890603,0.306338,-0.143880,6.045216
0.020000,8.035274,0.208692,1.663151,1.896674,0.303563,-0.138750,6.039312
0.020000,8.072176,0.199400,1.701205,1.902689,0.300720,-0.142124,6.033751
0.020000,8.109142,0.189879,1.739378,1.908648,0.297960,-0.138015,6.028531
0.020000,8.146175,0.180142,1.777669,1.914552,0.295200,-0.137991,6.023649
0.020000,8.183274,0.170200,1.816077,1.920404,0.292606,-0.129711,6.019100
0.020000,8.220440,0.160064,1.854601,1.926204,0.289969,-0.131850,6.014883
0.020000,8.257677,0.149748,1.893240,1.931956,0.287638,-0.116538,6.010995
0.020000,8.294985,0.139262,1.931993,1.937661,0.285221,-0.120859,6.007433
0.020000,8.332365,0.128618,1.970860,1.943324,0.283142,-0.103979,6.004194
0.020000,8.369821,0.117828,2.009839,1.948946,0.281118,-0.101199,6.001277
0.020000,8.407354,0.106904,2.048929,1.954531,0.279236,-0.094097,5.998679
0.020000,8.444967,0.095857,2.088131,1.960083,0.277632,-0.080165,5.996398
0.020000,8.481925,0.084917,2.126674,1.927165,-1.645900,-96.176591,5.994468
0.020000,8.514337,0.075264,2.160493,1.690933,-11.811606,-508.285343,5.993027
0.020000,8.536605,0.068605,2.183736,1.162129,-26.440209,-731.430119,5.992171
0.020000,8.547011,0.065486,2.194599,0.543151,-30.948917,-225.435393,5.991809
0.020000,8.549428,0.064761,2.197123,0.126194,-20.847811,505.055290,5.991729
0.020000,8.549428,0.064761,2.197123,0.000000,-6.309723,726.904396,5.991729
