dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.598891,0.364922,0.003333,0.333333,16.666667,833.333333,2.850161
0.020000,8.586315,0.368690,0.016461,0.656403,16.153480,-25.659336,2.850747
0.020000,8.561159,0.376204,0.042716,1.312721,32.815904,833.121180,2.851925
0.020000,8.526558,0.386486,0.078812,1.804806,24.604241,-410.583147,2.853555
0.020000,8.488797,0.397637,0.118185,1.968635,8.191442,-820.639949,2.855348
0.020000,8.451022,0.408719,0.157552,1.968379,-0.012773,-410.210716,2.857155
0.020000,8.413231,0.419730,0.196915,1.968124,-0.012752,0.001020,2.858976
0.020000,8.375425,0.430671,0.236272,1.967869,-0.012768,-0.000811,2.860812
0.020000,8.337603,0.441541,0.275624,1.967614,-0.012751,0.000871,2.862663
0.020000,8.299767,0.452339,0.314972,1.967359,-0.012762,-0.000549,2.864528
0.020000,8.261915,0.463065,0.354314,1.967104,-0.012747,0.000773,2.866408
0.020000,8.224048,0.473718,0.393651,1.966849,-0.012753,-0.000329,2.868302
0.020000,8.186166,0.484298,0.432982,1.966594,-0.012739,0.000721,2.870211
0.020000,8.148268,0.494803,0.472309,1.966339,-0.012742,-0.000145,2.872134
0.020000,8.110355,0.505234,0.511631,1.966084,-0.012727,0.000708,2.874072
0.020000,8.072427,0.515590,0.550947,1.965830,-0.012727,0.000008,2.876025
0.020000,8.034484,0.525871,0.590259,1.965576,-0.012713,0.000730,2.877992
0.020000,7.996525,0.536075,0.629565,1.965321,-0.012710,0.000137,2.879974
0.020000,7.958551,0.546202,0.668867,1.965067,-0.012694,0.000780,2.881970
0.020000,7.920561,0.556252,0.708163,1.964814,-0.012689,0.000248,2.883980
0.020000,7.882557,0.566224,0.747454,1.964560,-0.012672,0.000853,2.886006
0.020000,7.844536,0.576117,0.786740,1.964307,-0.012665,0.000346,2.888045
0.020000,7.806501,0.585931,0.826021,1.964054,-0.012647,0.000941,2.890099
0.020000,7.768451,0.595666,0.865297,1.963801,-0.012638,0.000439,2.892168
0.020000,7.730385,0.605320,0.904568,1.963549,-0.012617,0.001040,2.894251
0.020000,7.692304,0.614894,0.943834,1.963297,-0.012606,0.000531,2.896348
0.020000,7.654208,0.624386,0.983095,1.963045,-0.012584,0.001142,2.898460
0.020000,7.616096,0.633796,1.022351,1.962794,-0.012571,0.000629,2.900586
0.020000,7.577970,0.643124,1.061602,1.962543,-0.012546,0.001243,2.902726
0.020000,7.539828,0.652368,1.100848,1.962292,-0.012531,0.000740,2.904881
0.020000,7.501672,0.661529,1.140089,1.962042,-0.012505,0.001335,2.907050
0.020000,7.463500,0.670606,1.179325,1.961792,-0.012487,0.000867,2.909233
0.020000,7.425314,0.679598,1.218555,1.961543,-0.012459,0.001416,2.911431
0.020000,7.387113,0.688504,1.257781,1.961294,-0.012439,0.001016,2.913642
