dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.103003,3.352880,0.003333,0.333333,16.666667,833.333333,0.000101
0.020000,0.115900,3.352890,0.016230,0.644823,15.574460,-54.610324,0.001349
0.020000,0.141732,3.352956,0.042062,1.291611,32.339448,838.249384,0.003733
0.020000,0.177336,3.353144,0.077667,1.780240,24.431450,-395.399908,0.006767
0.020000,0.216289,3.353467,0.116621,1.947716,8.373754,-802.884768,0.009755
0.020000,0.255358,3.353901,0.155693,1.953583,0.293391,-404.018166,0.012407
0.020000,0.294543,3.354433,0.194882,1.959439,0.292803,-0.029422,0.014725
0.020000,0.333844,3.355052,0.234187,1.965284,0.292238,-0.028210,0.016708
0.020000,0.373261,3.355744,0.273610,1.971120,0.291770,-0.023409,0.018359
0.020000,0.412792,3.356497,0.313149,1.976946,0.291334,-0.021810,0.019676
0.020000,0.452440,3.357298,0.352804,1.982766,0.291001,-0.016629,0.020661
0.020000,0.492202,3.358134,0.392576,1.988581,0.290734,-0.013380,0.021313
0.020000,0.532081,3.358992,0.432463,1.994392,0.290558,-0.008784,0.021634
0.020000,0.572076,3.359858,0.472467,2.000202,0.290470,-0.004392,0.021622
0.020000,0.612187,3.360719,0.512588,2.006011,0.290474,0.000160,0.021279
0.020000,0.652414,3.361563,0.552824,2.011822,0.290562,0.004409,0.020603
0.020000,0.692759,3.362375,0.593177,2.017637,0.290751,0.009446,0.019595
0.020000,0.733221,3.363142,0.633646,2.023457,0.291008,0.012850,0.018255
0.020000,0.773800,3.363850,0.674232,2.029285,0.291362,0.017717,0.016582
0.020000,0.814498,3.364485,0.714934,2.035120,0.291783,0.021032,0.014575
0.020000,0.855313,3.365034,0.755753,2.040966,0.292267,0.024200,0.012234
0.020000,0.896247,3.365481,0.796690,2.046822,0.292832,0.028286,0.009558
0.020000,0.937300,3.365812,0.837744,2.052690,0.293405,0.028640,0.006547
0.020000,0.978471,3.366014,0.878915,2.058572,0.294065,0.032973,0.003200
0.020000,1.019760,3.366071,0.920204,2.064466,0.294698,0.031675,6.282702
0.020000,1.061167,3.365969,0.961612,2.070373,0.295364,0.033282,6.278680
0.020000,1.102692,3.365693,1.003138,2.076293,0.296025,0.033088,6.274321
0.020000,1.144334,3.365227,1.044782,2.082226,0.296620,0.029721,6.269622
0.020000,1.186092,3.364556,1.086546,2.088170,0.297217,0.029873,6.264583
0.020000,1.227965,3.363666,1.128428,2.094124,0.297689,0.023602,6.259205
0.020000,1.269952,3.362540,1.170430,2.100086,0.298084,0.019733,6.253485
0.020000,1.312050,3.361163,1.212551,2.106053,0.298375,0.014564,6.247425
0.020000,1.354259,3.359518,1.254791,2.112022,0.298467,0.004579,6.241024
0.020000,1.396575,3.357592,1.297151,2.117991,0.298414,-0.002631,6.234281
0.020000,1.438995,3.355366,1.339630,2.123953,0.298134,-0.013995,6.227198
0.020000,1.481518,3.352825,1.382228,2.129905,0.297599,-0.026773,6.219774
0.020000,1.524138,3.349954,1.424945,2.135841,0.296798,-0.040053,6.212012
0.020000,1.566852,3.346736,1.467780,2.141755,0.295668,-0.056512,6.203911
0.020000,1.609655,3.343155,1.510733,2.147639,0.294195,-0.073617,6.195474
0.020000,1.652543,3.339195,1.553803,2.153485,0.292314,-0.094038,6.186703
0.020000,1.695508,3.334841,1.596988,2.159286,0.290032,-0.114099,6.177601
0.020000,1.738546,3.330075,1.640289,2.165031,0.287284,-0.137441,6.168170
0.020000,1.781648,3.324884,1.683703,2.170711,0.283988,-0.164780,6.158414
0.020000,1.824809,3.319251,1.727230,2.176316,0.280250,-0.186927,6.148339
0.020000,1.868018,3.313161,1.770866,2.181833,0.275857,-0.219643,6.137948
0.020000,1.911268,3.306599,1.814611,2.187251,0.270903,-0.247663,6.127247
0.020000,1.954550,3.299551,1.858462,2.192559,0.265375,-0.276418,6.116243
0.020000,1.997851,3.292004,1.902417,2.197739,0.259027,-0.317404,6.104943
0.020000,2.041163,3.283942,1.946473,2.202785,0.252291,-0.336804,6.093355
0.020000,2.084474,3.275355,1.990626,2.207675,0.244503,-0.389399,6.081487
0.020000,2.127770,3.266228,2.034875,2.212404,0.236457,-0.402289,6.069349
0.020000,2.171040,3.256551,2.079214,2.216948,0.227204,-0.462665,6.056951
0.020000,2.214271,3.246313,2.123640,2.221304,0.217806,-0.469910,6.044304
0.020000,2.257447,3.235504,2.168149,2.225449,0.207222,-0.529203,6.031420
0.020000,2.300556,3.224115,2.212736,2.229375,0.196301,-0.546036,6.018312
0.020000,2.343581,3.212137,2.257397,2.233069,0.184713,-0.579391,6.004993
0.020000,2.386508,3.199563,2.302128,2.236514,0.172258,-0.622749,5.991477
0.020000,2.429320,3.186388,2.346922,2.239703,0.159443,-0.640759,5.977778
0.020000,2.472003,3.172606,2.391774,2.242627,0.146171,-0.663574,5.963913
0.020000,2.513287,3.158515,2.435397,2.181127,-3.074984,-161.057779,5.944402
0.020000,2.557933,3.142241,2.482917,2.376004,9.743867,640.942578,5.922913
