dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.103074,2.652880,0.003333,0.333333,16.666667,833.333333,0.000101
0.020000,0.116844,2.652890,0.017104,0.688511,17.758872,54.610249,0.001349
0.020000,0.144345,2.652961,0.044605,1.375055,34.327204,828.416601,0.003733
0.020000,0.182073,2.653160,0.082333,1.886425,25.568490,-437.935682,0.006767
0.020000,0.223117,2.653500,0.123379,2.052283,8.292915,-863.778767,0.009755
0.020000,0.264043,2.653954,0.164307,2.046415,-0.293376,-429.314554,0.012407
0.020000,0.304850,2.654509,0.205118,2.040560,-0.292775,0.030089,0.014725
0.020000,0.345540,2.655150,0.245813,2.034715,-0.292247,0.026374,0.016708
0.020000,0.386111,2.655862,0.286390,2.028880,-0.291741,0.025313,0.018359
0.020000,0.426565,2.656633,0.326851,2.023053,-0.291340,0.020027,0.019676
0.020000,0.466901,2.657448,0.367196,2.017234,-0.290987,0.017686,0.020661
0.020000,0.507121,2.658293,0.407424,2.011419,-0.290731,0.012766,0.021313
0.020000,0.547224,2.659155,0.447536,2.005608,-0.290556,0.008786,0.021634
0.020000,0.587210,2.660021,0.487532,1.999798,-0.290469,0.004306,0.021622
0.020000,0.627081,2.660878,0.527412,1.993989,-0.290473,-0.000154,0.021279
0.020000,0.666836,2.661712,0.567176,1.988178,-0.290571,-0.004909,0.020603
0.020000,0.706475,2.662510,0.606823,1.982363,-0.290745,-0.008735,0.019595
0.020000,0.745999,2.663259,0.646354,1.976542,-0.291023,-0.013876,0.018255
0.020000,0.785407,2.663946,0.685768,1.970715,-0.291366,-0.017136,0.016582
0.020000,0.824700,2.664560,0.725066,1.964879,-0.291792,-0.021327,0.014575
0.020000,0.863877,2.665086,0.764246,1.959033,-0.292290,-0.024915,0.012234
0.020000,0.902938,2.665513,0.803310,1.953177,-0.292825,-0.026742,0.009558
0.020000,0.941883,2.665827,0.842256,1.947308,-0.293447,-0.031095,0.006547
0.020000,0.980711,2.666018,0.881085,1.941427,-0.294056,-0.030461,0.003200
0.020000,1.019421,2.666072,0.919795,1.935532,-0.294733,-0.033813,6.282702
0.020000,1.058014,2.665976,0.958388,1.929624,-0.295391,-0.032891,6.278680
0.020000,1.096487,2.665720,0.996862,1.923704,-0.296030,-0.031997,6.274321
0.020000,1.134840,2.665291,1.035217,1.917770,-0.296674,-0.032189,6.269622
0.020000,1.173072,2.664678,1.073454,1.911826,-0.297217,-0.027116,6.264583
0.020000,1.211180,2.663867,1.111571,1.905871,-0.297732,-0.025774,6.259205
0.020000,1.249165,2.662849,1.149569,1.899909,-0.298129,-0.019859,6.253485
0.020000,1.287024,2.661610,1.187448,1.893941,-0.298382,-0.012638,6.247425
0.020000,1.324754,2.660141,1.225208,1.887970,-0.298524,-0.007081,6.241024
0.020000,1.362355,2.658428,1.262848,1.882002,-0.298447,0.003809,6.234281
0.020000,1.399825,2.656463,1.300368,1.876038,-0.298169,0.013942,6.227198
0.020000,1.437160,2.654232,1.337770,1.870085,-0.297650,0.025936,6.219774
0.020000,1.474358,2.651726,1.375053,1.864148,-0.296836,0.040702,6.212012
0.020000,1.511418,2.648934,1.412218,1.858234,-0.295716,0.055988,6.203911
0.020000,1.548336,2.645846,1.449265,1.852349,-0.294234,0.074096,6.195474
0.020000,1.585110,2.642451,1.486195,1.846502,-0.292379,0.092758,6.186703
0.020000,1.621736,2.638739,1.523009,1.840700,-0.290076,0.115162,6.177601
0.020000,1.658212,2.634700,1.559708,1.834954,-0.287313,0.138147,6.168170
0.020000,1.694535,2.630325,1.596293,1.829272,-0.284091,0.161095,6.158414
0.020000,1.730702,2.625605,1.632767,1.823667,-0.280258,0.191639,6.148339
0.020000,1.766709,2.620530,1.669130,1.818148,-0.275932,0.216328,6.137948
0.020000,1.802554,2.615093,1.705384,1.812729,-0.270975,0.247817,6.127247
0.020000,1.838232,2.609283,1.741533,1.807422,-0.265351,0.281202,6.116243
0.020000,1.873741,2.603094,1.777577,1.802238,-0.259216,0.306741,6.104943
0.020000,1.909079,2.596517,1.813521,1.797194,-0.252179,0.351845,6.093355
0.020000,1.944240,2.589545,1.849367,1.792299,-0.244756,0.371150,6.081487
0.020000,1.979223,2.582172,1.885119,1.787573,-0.236283,0.423691,6.069349
0.020000,2.014024,2.574389,1.920779,1.783023,-0.227522,0.438027,6.056951
0.020000,2.048640,2.566191,1.956353,1.778670,-0.217622,0.494989,6.044304
0.020000,2.083068,2.557572,1.991843,1.774522,-0.207440,0.509132,6.031420
0.020000,2.117305,2.548527,2.027255,1.770595,-0.196325,0.555748,6.018312
0.020000,2.151348,2.539050,2.062593,1.766903,-0.184589,0.586772,6.004993
0.020000,2.185195,2.529136,2.097862,1.763454,-0.172450,0.606973,5.991477
0.020000,2.218843,2.518781,2.133067,1.760263,-0.159578,0.643567,5.977778
0.020000,2.252290,2.507981,2.168214,1.757340,-0.146140,0.671936,5.963913
0.020000,2.280649,2.498303,2.198179,1.498249,-12.954555,-640.420779,5.944402
0.020000,2.311163,2.487181,2.230658,1.623924,6.283751,961.915338,5.922913
0.020000,2.341440,2.475402,2.263145,1.624370,0.022302,-313.072497,5.901451
0.020000,2.371483,2.462967,2.295659,1.625695,0.066249,2.197363,5.880064
0.020000,2.401293,2.449877,2.328217,1.627912,0.110860,2.230552,5.858803
0.020000,2.430876,2.436132,2.360837,1.631015,0.155165,2.215269,5.837720
0.020000,2.460236,2.421735,2.393537,1.634990,0.198716,2.177535,5.816864
0.020000,2.489377,2.406688,2.426333,1.639811,0.241072,2.117788,5.796284
0.020000,2.518303,2.390995,2.459242,1.645447,0.281817,2.037248,5.776025
0.020000,2.547020,2.374662,2.492280,1.651859,0.320573,1.937834,5.756133
0.020000,2.575533,2.357693,2.525460,1.658999,0.357014,1.822039,5.736649
0.020000,2.603846,2.340095,2.558796,1.666821,0.391065,1.702551,5.717612
0.020000,2.631965,2.321877,2.592301,1.675261,0.422033,1.548401,5.699057
0.020000,2.659896,2.303046,2.625986,1.684261,0.449980,1.397364,5.681016
0.020000,2.687643,2.283613,2.659862,1.693766,0.475249,1.263430,5.663518
0.020000,2.715212,2.263588,2.693936,1.703711,0.497241,1.099602,5.646588
0.020000,2.742609,2.242984,2.728217,1.714036,0.516275,0.951691,5.630249
0.020000,2.769841,2.221811,2.762710,1.724689,0.532628,0.817636,5.614517
0.020000,2.796913,2.200085,2.797423,1.735609,0.545994,0.668328,5.599410
0.020000,2.823833,2.177819,2.832358,1.746748,0.556980,0.549281,5.584940
0.020000,2.850607,2.155027,2.867519,1.758059,0.565526,0.427303,5.571115
0.020000,2.877243,2.131726,2.902909,1.769498,0.571949,0.321164,5.557945
0.020000,2.903749,2.107930,2.938529,1.781026,0.576411,0.223086,5.545432
0.020000,2.930135,2.083657,2.974381,1.792611,0.579257,0.142305,5.533582
0.020000,2.956407,2.058922,3.010466,1.804220,0.580454,0.059872,5.522395
0.020000,2.982578,2.033742,3.046782,1.815832,0.580615,0.008018,5.511872
0.020000,3.008655,2.008134,3.083331,1.827424,0.579562,-0.052622,5.502011
0.020000,3.034651,1.982116,3.120111,1.838977,0.577690,-0.093609,5.492810
0.020000,3.060576,1.955704,3.157120,1.850483,0.575258,-0.121619,5.484266
0.020000,3.086442,1.928915,3.194359,1.861925,0.572124,-0.156693,5.476377
0.020000,3.112262,1.901766,3.231825,1.873302,0.568846,-0.163877,5.469137
0.020000,3.138048,1.874274,3.269517,1.884608,0.565321,-0.176291,5.462543
0.020000,3.163813,1.846457,3.307434,1.895840,0.561574,-0.187308,5.456592
0.020000,3.189573,1.818330,3.345574,1.907001,0.558067,-0.175373,5.451278
0.020000,3.215340,1.789910,3.383936,1.918094,0.554618,-0.172468,5.446597
0.020000,3.241131,1.761215,3.422518,1.929120,0.551310,-0.165390,5.442547
0.020000,3.266960,1.732259,3.461320,1.940087,0.548384,-0.146279,5.439123
0.020000,3.292844,1.703060,3.500340,1.951004,0.545812,-0.128604,5.436324
0.020000,3.318799,1.673633,3.539577,1.961876,0.543599,-0.110634,5.434145
0.020000,3.344841,1.643995,3.579032,1.972712,0.541815,-0.089240,5.432586
0.020000,3.370990,1.614162,3.618702,1.983523,0.540576,-0.061927,5.431644
0.020000,3.397262,1.584150,3.658588,1.994319,0.539782,-0.039712,5.431320
0.020000,3.423675,1.553976,3.698691,2.005109,0.539502,-0.013973,5.431612
0.020000,3.450249,1.523654,3.739009,2.015904,0.539753,0.012543,5.432520
0.020000,3.477002,1.493203,3.779543,2.026714,0.540491,0.036880,5.434047
0.020000,3.503955,1.462638,3.820294,2.037549,0.541725,0.061703,5.436193
0.020000,3.531126,1.431977,3.861262,2.048418,0.543492,0.088331,5.438959
0.020000,3.558538,1.401237,3.902449,2.059331,0.545631,0.106981,5.442350
0.020000,3.586209,1.370435,3.943855,2.070295,0.548176,0.127250,5.446367
0.020000,3.614162,1.339591,3.985481,2.081317,0.551132,0.147777,5.451014
0.020000,3.642417,1.308721,4.027329,2.092405,0.554396,0.163223,5.456294
0.020000,3.670996,1.277847,4.069400,2.103560,0.557756,0.167997,5.462212
0.020000,3.699921,1.246988,4.111696,2.114787,0.561361,0.180237,5.468771
0.020000,3.729213,1.216165,4.154218,2.126089,0.565078,0.185862,5.475977
0.020000,3.758894,1.185399,4.196967,2.137459,0.568502,0.171211,5.483832
0.020000,3.788987,1.154714,4.239945,2.148897,0.571923,0.171022,5.492341
0.020000,3.819511,1.124134,4.283153,2.160397,0.574999,0.153834,5.501507
0.020000,3.850490,1.093683,4.326592,2.171946,0.577422,0.121134,5.511333
0.020000,3.881943,1.063387,4.370263,2.183535,0.579436,0.100683,5.521821
0.020000,3.913891,1.033274,4.414165,2.195142,0.580392,0.047816,5.532973
0.020000,3.946353,1.003372,4.458301,2.206751,0.580403,0.000530,5.544788
0.020000,3.979349,0.973713,4.502667,2.218335,0.579217,-0.059302,5.557265
0.020000,4.012895,0.944326,4.547264,2.229864,0.576436,-0.139045,5.570401
0.020000,4.047007,0.915245,4.592091,2.241306,0.572100,-0.216802,5.584191
0.020000,4.081702,0.886504,4.637143,2.252621,0.565758,-0.317098,5.598627
0.020000,4.116990,0.858139,4.682418,2.263767,0.557312,-0.422298,5.613701
0.020000,4.152883,0.830185,4.727912,2.274697,0.546507,-0.540234,5.629399
0.020000,4.189389,0.802682,4.773620,2.285362,0.533225,-0.664105,5.645707
0.020000,4.226514,0.775666,4.819534,2.295701,0.516977,-0.812405,5.662606
0.020000,4.264260,0.749178,4.865647,2.305667,0.498279,-0.934871,5.680074
0.020000,4.302629,0.723257,4.911951,2.315191,0.476196,-1.104195,5.698087
0.020000,4.341616,0.697943,4.958435,2.324216,0.451271,-1.246235,5.716616
0.020000,4.381216,0.673276,5.005089,2.332687,0.423560,-1.385531,5.735628
