dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.052522,1.699033,0.003333,0.333333,16.666667,833.333333,3.758460
0.020000,5.042518,1.691960,0.016667,1.000000,33.333333,833.333333,3.755757
0.020000,5.020683,1.676652,0.043333,1.666667,33.333333,0.000000,3.750344
0.020000,4.990525,1.655797,0.080000,2.000000,16.666667,-833.333333,3.742887
0.020000,4.957449,1.633303,0.120000,2.000000,0.000000,-833.333333,3.734738
0.020000,4.924191,1.611080,0.160000,2.000000,0.000000,0.000000,3.726575
0.020000,4.890752,1.589129,0.200000,2.000000,0.000000,0.000000,3.718400
0.020000,4.857135,1.567452,0.240000,2.000000,0.000000,0.000000,3.710216
0.020000,4.823341,1.546052,0.280000,2.000000,0.000000,0.000000,3.702024
0.020000,4.789374,1.524929,0.320000,2.000000,0.000000,0.000000,3.693828
0.020000,4.755234,1.504085,0.360000,2.000000,0.000000,0.000000,3.685630
0.020000,4.720924,1.483522,0.400000,2.000000,0.000000,0.000000,3.677432
0.020000,4.686447,1.463240,0.440000,2.000000,0.000000,0.000000,3.669236
0.020000,4.651805,1.443242,0.480000,2.000000,0.000000,0.000000,3.661046
0.020000,4.617001,1.423528,0.520000,2.000000,0.000000,0.000000,3.652863
0.020000,4.582036,1.404100,0.560000,2.000000,0.000000,0.000000,3.644689
0.020000,4.546914,1.384957,0.600000,2.000000,0.000000,0.000000,3.636529
0.020000,4.511637,1.366102,0.640000,2.000000,0.000000,0.000000,3.628382
0.020000,4.476208,1.347534,0.680000,2.000000,0.000000,0.000000,3.620253
0.020000,4.440629,1.329255,0.720000,2.000000,0.000000,0.000000,3.612144
0.020000,4.404904,1.311264,0.760000,2.000000,0.000000,0.000000,3.604057
0.020000,4.369034,1.293562,0.800000,2.000000,0.000000,0.000000,3.595994
0.020000,4.333023,1.276150,0.840000,2.000000,0.000000,0.000000,3.587958
0.020000,4.296873,1.259027,0.880000,2.000000,0.000000,0.000000,3.579951
0.020000,4.260588,1.242194,0.920000,2.000000,0.000000,0.000000,3.571975
0.020000,4.224169,1.225650,0.960000,2.000000,0.000000,0.000000,3.564033
0.020000,4.187621,1.209395,1.000000,2.000000,0.000000,0.000000,3.556127
0.020000,4.150946,1.193428,1.040000,2.000000,0.000000,0.000000,3.548259
0.020000,4.114147,1.177751,1.080000,2.000000,0.000000,0.000000,3.540431
0.020000,4.077226,1.162360,1.120000,2.000000,0.000000,0.000000,3.532646
0.020000,4.040187,1.147257,1.160000,2.000000,0.000000,0.000000,3.524905
0.020000,4.003033,1.132441,1.200000,2.000000,0.000000,0.000000,3.517211
0.020000,3.965765,1.117909,1.240000,2.000000,0.000000,0.000000,3.509565
0.020000,3.928389,1.103662,1.280000,2.000000,0.000000,0.000000,3.501969
0.020000,3.890905,1.089699,1.320000,2.000000,0.000000,0.000000,3.494426
0.020000,3.853318,1.076017,1.360000,2.000000,0.000000,0.000000,3.486936
0.020000,3.815630,1.062617,1.400000,2.000000,0.000000,0.000000,3.479502
0.020000,3.777843,1.049496,1.440000,2.000000,0.000000,0.000000,3.472126
0.020000,3.739961,1.036652,1.480000,2.000000,0.000000,0.000000,3.464808
0.020000,3.701986,1.024086,1.520000,2.000000,0.000000,0.000000,3.457551
0.020000,3.663922,1.011794,1.560000,2.000000,0.000000,0.000000,3.450356
0.020000,3.625770,0.999775,1.600000,2.000000,0.000000,0.000000,3.443224
0.020000,3.587535,0.988027,1.640000,2.000000,0.000000,0.000000,3.436157
0.020000,3.549217,0.976548,1.680000,2.000000,0.000000,0.000000,3.429156
0.020000,3.510820,0.965337,1.720000,2.000000,0.000000,0.000000,3.422223
0.020000,3.472347,0.954391,1.760000,2.000000,0.000000,0.000000,3.415358
0.020000,3.433801,0.943707,1.800000,2.000000,0.000000,0.000000,3.408562
0.020000,3.395182,0.933285,1.840000,2.000000,0.000000,0.000000,3.401837
0.020000,3.356495,0.923121,1.880000,2.000000,0.000000,0.000000,3.395184
0.020000,3.317742,0.913214,1.920000,2.000000,0.000000,0.000000,3.388603
0.020000,3.278924,0.903560,1.960000,2.000000,0.000000,0.000000,3.382096
0.020000,3.240045,0.894158,2.000000,2.000000,0.000000,0.000000,3.375662
0.020000,3.201106,0.885004,2.040000,2.000000,0.000000,0.000000,3.369304
0.020000,3.162111,0.876097,2.080000,2.000000,0.000000,0.000000,3.363021
0.020000,3.123060,0.867433,2.120000,2.000000,0.000000,0.000000,3.356815
0.020000,3.083957,0.859011,2.160000,2.000000,0.000000,0.000000,3.350685
0.020000,3.044804,0.850827,2.200000,2.000000,0.000000,0.000000,3.344632
0.020000,3.005601,0.842878,2.240000,2.000000,0.000000,0.000000,3.338658
0.020000,2.966353,0.835162,2.280000,2.000000,0.000000,0.000000,3.332761
0.020000,2.927059,0.827677,2.320000,2.000000,0.000000,0.000000,3.326943
0.020000,2.887724,0.820418,2.360000,2.000000,0.000000,0.000000,3.321204
0.020000,2.848347,0.813384,2.400000,2.000000,0.000000,0.000000,3.315544
0.020000,2.808931,0.806571,2.440000,2.000000,0.000000,0.000000,3.309964
0.020000,2.769479,0.799977,2.480000,2.000000,0.000000,0.000000,3.304463
0.020000,2.729991,0.793598,2.520000,2.000000,0.000000,0.000000,3.299042
0.020000,2.690469,0.787432,2.560000,2.000000,0.000000,0.000000,3.293700
0.020000,2.650915,0.781475,2.600000,2.000000,0.000000,0.000000,3.288439
0.020000,2.611330,0.775725,2.640000,2.000000,0.000000,0.000000,3.283257
0.020000,2.571717,0.770179,2.680000,2.000000,0.000000,0.000000,3.278155
0.020000,2.532076,0.764833,2.720000,2.000000,0.000000,0.000000,3.273133
0.020000,2.492408,0.759685,2.760000,2.000000,0.000000,0.000000,3.268192
0.020000,2.452716,0.754731,2.800000,2.000000,0.000000,0.000000,3.263329
0.020000,2.413001,0.749969,2.840000,2.000000,0.000000,0.000000,3.258547
