dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000179,2.723400,0.003333,0.333333,16.666667,833.333333,0.000011
0.020000,0.013796,2.723406,0.016951,0.680861,17.376363,35.484833,0.000822
0.020000,0.041020,2.723450,0.044175,1.361198,34.016873,832.025475,0.002414
0.020000,0.078430,2.723580,0.081585,1.870508,25.465505,-427.568383,0.004538
0.020000,0.119211,2.723811,0.122366,2.039050,8.427074,-851.921542,0.006770
0.020000,0.159959,2.724131,0.163115,2.037479,-0.078529,-425.280165,0.008912
0.020000,0.200675,2.724536,0.203833,2.035908,-0.078546,-0.000853,0.010963
0.020000,0.241359,2.725022,0.244520,2.034337,-0.078558,-0.000582,0.012926
0.020000,0.282010,2.725586,0.285175,2.032766,-0.078568,-0.000537,0.014798
0.020000,0.322629,2.726223,0.325799,2.031194,-0.078567,0.000087,0.016580
0.020000,0.363215,2.726931,0.366392,2.029623,-0.078564,0.000125,0.018273
0.020000,0.403769,2.727705,0.406953,2.028052,-0.078564,0.000031,0.019876
0.020000,0.444290,2.728542,0.447482,2.026481,-0.078550,0.000690,0.021389
0.020000,0.484778,2.729437,0.487981,2.024910,-0.078539,0.000559,0.022813
0.020000,0.525234,2.730387,0.528447,2.023339,-0.078531,0.000389,0.024146
0.020000,0.565657,2.731389,0.568883,2.021769,-0.078511,0.001005,0.025390
0.020000,0.606047,2.732438,0.609287,2.020199,-0.078495,0.000763,0.026545
0.020000,0.646405,2.733532,0.649659,2.018630,-0.078484,0.000569,0.027609
0.020000,0.686730,2.734665,0.690001,2.017060,-0.078462,0.001079,0.028584
0.020000,0.727023,2.735835,0.730310,2.015491,-0.078447,0.000781,0.029469
0.020000,0.767284,2.737039,0.770589,2.013923,-0.078435,0.000601,0.030265
0.020000,0.807512,2.738271,0.810836,2.012354,-0.078416,0.000962,0.030971
0.020000,0.847708,2.739529,0.851052,2.010786,-0.078402,0.000657,0.031587
0.020000,0.887872,2.740809,0.891236,2.009218,-0.078392,0.000512,0.032114
0.020000,0.928004,2.742107,0.931389,2.007651,-0.078378,0.000708,0.032551
0.020000,0.968104,2.743420,0.971511,2.006084,-0.078369,0.000437,0.032899
0.020000,1.008173,2.744744,1.011601,2.004516,-0.078363,0.000332,0.033157
0.020000,1.048209,2.746076,1.051660,2.002949,-0.078355,0.000366,0.033325
0.020000,1.088215,2.747412,1.091688,2.001382,-0.078352,0.000161,0.033404
0.020000,1.128189,2.748748,1.131684,1.999815,-0.078350,0.000089,0.033394
0.020000,1.168132,2.750080,1.171649,1.998248,-0.078351,-0.000014,0.033294
0.020000,1.208043,2.751406,1.211583,1.996681,-0.078353,-0.000129,0.033104
0.020000,1.247924,2.752721,1.251485,1.995114,-0.078357,-0.000182,0.032825
0.020000,1.287773,2.754023,1.291356,1.993547,-0.078365,-0.000384,0.032456
0.020000,1.327592,2.755307,1.331195,1.991979,-0.078372,-0.000396,0.031998
0.020000,1.367381,2.756570,1.371004,1.990412,-0.078381,-0.000444,0.031450
0.020000,1.407138,2.757808,1.410780,1.988844,-0.078395,-0.000698,0.030812
0.020000,1.446865,2.759019,1.450526,1.987275,-0.078407,-0.000603,0.030085
0.020000,1.486562,2.760197,1.490240,1.985707,-0.078420,-0.000655,0.029269
0.020000,1.526228,2.761341,1.529923,1.984138,-0.078439,-0.000913,0.028362
0.020000,1.565864,2.762446,1.569574,1.982569,-0.078453,-0.000715,0.027366
0.020000,1.605470,2.763509,1.609194,1.981000,-0.078468,-0.000768,0.026280
0.020000,1.645045,2.764526,1.648783,1.979430,-0.078488,-0.000987,0.025105
0.020000,1.684591,2.765494,1.688340,1.977860,-0.078502,-0.000699,0.023840
0.020000,1.724106,2.766410,1.727866,1.976290,-0.078517,-0.000738,0.022485
0.020000,1.763591,2.767270,1.767360,1.974719,-0.078534,-0.000879,0.021040
0.020000,1.803046,2.768070,1.806823,1.973148,-0.078545,-0.000518,0.019506
0.020000,1.842470,2.768807,1.846255,1.971577,-0.078555,-0.000516,0.017882
0.020000,1.881865,2.769479,1.885655,1.970006,-0.078566,-0.000546,0.016168
0.020000,1.921229,2.770080,1.925024,1.968434,-0.078569,-0.000136,0.014364
0.020000,1.960563,2.770608,1.964361,1.966863,-0.078570,-0.000060,0.012471
0.020000,1.999866,2.771059,2.003667,1.965292,-0.078569,0.000054,0.010487
0.020000,2.039139,2.771431,2.042941,1.963720,-0.078559,0.000486,0.008414
0.020000,2.078380,2.771719,2.082184,1.962149,-0.078546,0.000672,0.006251
0.020000,2.117591,2.771920,2.121396,1.960579,-0.078526,0.000965,0.003999
0.020000,2.156772,2.772031,2.160576,1.959009,-0.078499,0.001388,0.001656
0.020000,2.195920,2.772049,2.199725,1.957440,-0.078464,0.001716,6.282410
0.020000,2.235038,2.771969,2.238842,1.955871,-0.078420,0.002232,6.279888
0.020000,2.274123,2.771790,2.277928,1.954304,-0.078368,0.002606,6.277277
0.020000,2.313177,2.771507,2.316983,1.952738,-0.078305,0.003111,6.274576
0.020000,2.352199,2.771117,2.356006,1.951173,-0.078227,0.003898,6.271786
0.020000,2.391188,2.770616,2.394999,1.949610,-0.078144,0.004171,6.268907
0.020000,2.430144,2.770002,2.433960,1.948049,-0.078046,0.004899,6.265938
0.020000,2.469067,2.769272,2.472889,1.946491,-0.077926,0.006000,6.262881
0.020000,2.507956,2.768421,2.511788,1.944935,-0.077804,0.006096,6.259734
0.020000,2.546811,2.767447,2.550656,1.943382,-0.077661,0.007142,6.256499
0.020000,2.585633,2.766347,2.589492,1.941832,-0.077490,0.008560,6.253175
0.020000,2.624419,2.765116,2.628298,1.940285,-0.077323,0.008371,6.249763
0.020000,2.663170,2.763753,2.667073,1.938743,-0.077124,0.009940,6.246262
0.020000,2.701885,2.762254,2.705817,1.937205,-0.076892,0.011579,6.242674
0.020000,2.740563,2.760615,2.744530,1.935672,-0.076673,0.010941,6.238998
0.020000,2.779205,2.758834,2.783213,1.934143,-0.076404,0.013451,6.235235
0.020000,2.817810,2.756907,2.821866,1.932621,-0.076104,0.015017,6.231385
0.020000,2.856376,2.754832,2.860488,1.931105,-0.075830,0.013686,6.227448
0.020000,2.894904,2.752605,2.899080,1.929595,-0.075472,0.017932,6.223425
0.020000,2.933392,2.750223,2.937642,1.928093,-0.075096,0.018775,6.219316
0.020000,2.971840,2.747683,2.976174,1.926598,-0.074768,0.016399,6.215122
0.020000,3.010247,2.744983,3.014676,1.925112,-0.074293,0.023782,6.210843
0.020000,3.048613,2.742119,3.053148,1.923635,-0.073860,0.021637,6.206479
0.020000,3.086937,2.739088,3.091592,1.922167,-0.073423,0.021857,6.202032
0.020000,3.125218,2.735887,3.130006,1.920710,-0.072853,0.028489,6.197501
0.020000,3.163649,2.732593,3.168578,1.928600,0.394520,23.368671,6.198172
0.020000,3.203775,2.729190,3.208848,2.013522,4.246112,192.579574,6.198945
0.020000,3.243782,2.725822,3.248997,2.007435,-0.304379,-227.524550,6.199370
0.020000,3.283669,2.722474,3.289024,2.001349,-0.304282,0.004871,6.199447
0.020000,3.323434,2.719132,3.328929,1.995264,-0.304265,0.000845,6.199176
0.020000,3.363076,2.715782,3.368713,1.989177,-0.304329,-0.003200,6.198558
0.020000,3.402595,2.712412,3.408375,1.983088,-0.304472,-0.007178,6.197591
0.020000,3.441988,2.709007,3.447915,1.976994,-0.304692,-0.011005,6.196277
0.020000,3.481254,2.705554,3.487332,1.970894,-0.304984,-0.014594,6.194614
0.020000,3.520392,2.702040,3.526628,1.964787,-0.305341,-0.017857,6.192601
0.020000,3.559401,2.698451,3.565802,1.958672,-0.305756,-0.020707,6.190240
0.020000,3.598279,2.694775,3.604853,1.952548,-0.306216,-0.023025,6.187528
0.020000,3.637023,2.690999,3.643781,1.946414,-0.306711,-0.024738,6.184466
0.020000,3.675633,2.687110,3.682586,1.940269,-0.307230,-0.025943,6.181053
0.020000,3.714107,2.683095,3.721269,1.934114,-0.307753,-0.026154,6.177288
0.020000,3.752441,2.678941,3.759827,1.927949,-0.308264,-0.025558,6.173171
0.020000,3.790635,2.674637,3.798263,1.921774,-0.308744,-0.023986,6.168701
0.020000,3.828685,2.670170,3.836575,1.915590,-0.309170,-0.021339,6.163878
0.020000,3.866590,2.665528,3.874763,1.909400,-0.309521,-0.017519,6.158701
0.020000,3.904347,2.660698,3.912827,1.903205,-0.309769,-0.012427,6.153170
0.020000,3.941952,2.655670,3.950767,1.897007,-0.309889,-0.005965,6.147285
0.020000,3.979404,2.650431,3.988583,1.890810,-0.309849,0.001960,6.141045
0.020000,4.016698,2.644969,4.026276,1.884617,-0.309620,0.011484,6.134452
0.020000,4.053833,2.639274,4.063844,1.878434,-0.309170,0.022481,6.127506
0.020000,4.090804,2.633335,4.101290,1.872265,-0.308463,0.035333,6.120207
0.020000,4.127608,2.627139,4.138612,1.866116,-0.307463,0.050007,6.112557
0.020000,4.164243,2.620677,4.175812,1.859993,-0.306134,0.066481,6.104557
0.020000,4.200703,2.613938,4.212890,1.853904,-0.304437,0.084846,6.096209
0.020000,4.236986,2.606911,4.249847,1.847857,-0.302334,0.105129,6.087515
0.020000,4.273088,2.599587,4.286684,1.841862,-0.299787,0.127338,6.078479
0.020000,4.309005,2.591956,4.323403,1.835926,-0.296758,0.151459,6.069104
0.020000,4.344733,2.584007,4.360004,1.830062,-0.293212,0.177296,6.059393
0.020000,4.380267,2.575733,4.396490,1.824280,-0.289109,0.205174,6.049353
0.020000,4.415606,2.567123,4.432861,1.818592,-0.284409,0.235017,6.038987
0.020000,4.450743,2.558169,4.469122,1.813010,-0.279089,0.265963,6.028302
0.020000,4.485676,2.548863,4.505273,1.807548,-0.273119,0.298535,6.017306
0.020000,4.520400,2.539197,4.541317,1.802218,-0.266471,0.332355,6.006004
0.020000,4.554911,2.529162,4.577258,1.797036,-0.259127,0.367205,5.994407
0.020000,4.589206,2.518753,4.613098,1.792014,-0.251078,0.402472,5.982523
0.020000,4.623282,2.507961,4.648841,1.787168,-0.242327,0.437568,5.970361
0.020000,4.657133,2.496780,4.684491,1.782511,-0.232810,0.475808,5.957934
0.020000,4.689403,2.485689,4.718614,1.706119,-3.819622,-179.340564,5.947751
0.020000,4.725093,2.473126,4.756451,1.891834,9.285748,655.268463,5.941570
0.020000,4.760524,2.460396,4.794099,1.882417,-0.470847,-487.829717,5.934852
0.020000,4.795682,2.447485,4.831553,1.872694,-0.486158,-0.765579,5.927577
0.020000,4.830553,2.434380,4.868805,1.862631,-0.503165,-0.850346,5.919728
0.020000,4.865122,2.421066,4.905850,1.852213,-0.520879,-0.885694,5.911283
0.020000,4.899373,2.407530,4.942678,1.841406,-0.540368,-0.974436,5.902221
0.020000,4.933287,2.393758,4.979281,1.830184,-0.561058,-1.034492,5.892518
0.020000,4.966845,2.379735,5.015652,1.818527,-0.582892,-1.091700,5.882148
0.020000,5.000029,2.365450,5.051780,1.806407,-0.605959,-1.153347,5.871086
0.020000,5.032818,2.350890,5.087656,1.793799,-0.630442,-1.224158,5.859304
0.020000,5.065188,2.336041,5.123270,1.780683,-0.655807,-1.268252,5.846772
0.020000,5.097117,2.320892,5.158610,1.767035,-0.682394,-1.329335,5.833460
0.020000,5.128581,2.305432,5.193667,1.752839,-0.709806,-1.370641,5.819338
0.020000,5.159554,2.289651,5.228429,1.738086,-0.737635,-1.391427,5.804372
