dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000172,3.423400,0.003333,0.333333,16.666667,833.333333,0.000011
0.020000,0.013221,3.423405,0.016383,0.652473,15.956968,-35.484909,0.000822
0.020000,0.039330,3.423448,0.042492,1.305468,32.649780,834.640595,0.002414
0.020000,0.075253,3.423573,0.078415,1.796158,24.534474,-405.765312,0.004538
0.020000,0.114472,3.423795,0.117634,1.960950,8.239586,-814.744391,0.006770
0.020000,0.153721,3.424103,0.156885,1.962520,0.078530,-408.052797,0.008912
0.020000,0.193001,3.424494,0.196167,1.964091,0.078550,0.000996,0.010963
0.020000,0.232311,3.424963,0.235480,1.965662,0.078563,0.000651,0.012926
0.020000,0.271652,3.425509,0.274824,1.967234,0.078566,0.000154,0.014798
0.020000,0.311023,3.426127,0.314201,1.968805,0.078572,0.000283,0.016580
0.020000,0.350425,3.426814,0.353608,1.970377,0.078570,-0.000092,0.018273
0.020000,0.389857,3.427567,0.393047,1.971948,0.078559,-0.000537,0.019876
0.020000,0.429319,3.428381,0.432517,1.973519,0.078556,-0.000193,0.021389
0.020000,0.468811,3.429255,0.472019,1.975090,0.078544,-0.000564,0.022813
0.020000,0.508333,3.430183,0.511552,1.976660,0.078526,-0.000924,0.024146
0.020000,0.547886,3.431163,0.551117,1.978231,0.078516,-0.000468,0.025390
0.020000,0.587468,3.432192,0.590713,1.979801,0.078500,-0.000805,0.026545
0.020000,0.627081,3.433265,0.630340,1.981370,0.078479,-0.001056,0.027609
0.020000,0.666724,3.434379,0.669999,1.982940,0.078468,-0.000577,0.028584
0.020000,0.706398,3.435531,0.709689,1.984509,0.078451,-0.000854,0.029469
0.020000,0.746102,3.436718,0.749411,1.986077,0.078431,-0.000985,0.030265
0.020000,0.785836,3.437935,0.789164,1.987646,0.078420,-0.000552,0.030971
0.020000,0.825601,3.439180,0.828948,1.989214,0.078405,-0.000750,0.031587
0.020000,0.865396,3.440448,0.868764,1.990781,0.078390,-0.000767,0.032114
0.020000,0.905222,3.441736,0.908611,1.992349,0.078381,-0.000425,0.032551
0.020000,0.945079,3.443041,0.948489,1.993916,0.078370,-0.000529,0.032899
0.020000,0.984967,3.444360,0.988399,1.995484,0.078361,-0.000453,0.033157
0.020000,1.024886,3.445687,1.028340,1.997051,0.078357,-0.000227,0.033325
0.020000,1.064836,3.447021,1.068312,1.998618,0.078352,-0.000230,0.033404
0.020000,1.104817,3.448357,1.108316,2.000185,0.078350,-0.000095,0.033394
0.020000,1.144830,3.449692,1.148351,2.001752,0.078351,0.000010,0.033294
0.020000,1.184875,3.451022,1.188417,2.003319,0.078353,0.000104,0.033104
0.020000,1.224950,3.452344,1.228515,2.004886,0.078358,0.000257,0.032825
0.020000,1.265058,3.453654,1.268644,2.006453,0.078363,0.000254,0.032456
0.020000,1.305198,3.454949,1.308804,2.008021,0.078372,0.000433,0.031998
0.020000,1.345369,3.456224,1.348996,2.009588,0.078383,0.000563,0.031450
0.020000,1.385573,3.457476,1.389219,2.011156,0.078392,0.000469,0.030812
0.020000,1.425809,3.458702,1.429474,2.012724,0.078406,0.000710,0.030085
0.020000,1.466077,3.459897,1.469760,2.014293,0.078422,0.000781,0.029269
0.020000,1.506377,3.461059,1.510077,2.015862,0.078434,0.000617,0.028362
0.020000,1.546710,3.462184,1.550426,2.017431,0.078452,0.000889,0.027366
0.020000,1.587076,3.463267,1.590806,2.019000,0.078470,0.000876,0.026280
