dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000306,0.301000,0.003333,0.333333,16.666667,833.333333,6.282310
0.020000,0.011397,0.301017,0.015037,0.585177,12.592179,-203.724388,0.003022
0.020000,0.040791,0.301221,0.044432,1.469744,44.228331,1581.807582,0.010818
0.020000,0.081206,0.301875,0.084851,2.020972,27.561431,-833.344995,0.021540
0.020000,0.125281,0.303082,0.128944,2.204621,9.182428,-918.950123,0.033234
0.020000,0.169337,0.304804,0.173033,2.204472,-0.007438,-459.493332,0.044918
0.020000,0.213363,0.307041,0.217115,2.204112,-0.017980,-0.527083,0.056583
0.020000,0.257351,0.309789,0.261189,2.203681,-0.021579,-0.179919,0.068222
0.020000,0.301291,0.313048,0.305250,2.203051,-0.031488,-0.495471,0.079826
0.020000,0.345176,0.316814,0.349296,2.202325,-0.036313,-0.241253,0.091388
0.020000,0.388997,0.321085,0.393325,2.201421,-0.045201,-0.444385,0.102899
0.020000,0.432746,0.325856,0.437333,2.200417,-0.050162,-0.248063,0.114352
0.020000,0.476414,0.331124,0.481318,2.199230,-0.059365,-0.460152,0.125738
0.020000,0.519994,0.336883,0.525277,2.197966,-0.063196,-0.191554,0.137050
0.020000,0.563478,0.343130,0.569207,2.196515,-0.072540,-0.467219,0.148281
0.020000,0.606859,0.349858,0.613107,2.194968,-0.077396,-0.242787,0.159422
0.020000,0.650129,0.357061,0.656972,2.193284,-0.084161,-0.338263,0.170468
0.020000,0.693282,0.364732,0.700802,2.191464,-0.091000,-0.341911,0.181410
0.020000,0.736311,0.372867,0.744593,2.189558,-0.095339,-0.216958,0.192242
0.020000,0.779210,0.381456,0.788343,2.187510,-0.102390,-0.352559,0.202957
0.020000,0.821972,0.390493,0.832050,2.185352,-0.107908,-0.275884,0.213550
0.020000,0.864594,0.399970,0.875712,2.183110,-0.112078,-0.208519,0.224014
0.020000,0.907068,0.409878,0.919327,2.180749,-0.118048,-0.298500,0.234343
0.020000,0.949391,0.420211,0.962893,2.178292,-0.122843,-0.239763,0.244532
0.020000,0.991558,0.430958,1.006408,2.175755,-0.126863,-0.200982,0.254575
0.020000,1.033565,0.442112,1.049871,2.173129,-0.131279,-0.220793,0.264469
0.020000,1.075408,0.453663,1.093279,2.170418,-0.135558,-0.213975,0.274208
0.020000,1.117084,0.465603,1.136632,2.167634,-0.139231,-0.183614,0.283787
0.020000,1.158591,0.477921,1.179928,2.164788,-0.142297,-0.153323,0.293204
0.020000,1.199924,0.490610,1.223165,2.161869,-0.145926,-0.181423,0.302454
0.020000,1.241083,0.503658,1.266343,2.158892,-0.148878,-0.147643,0.311534
0.020000,1.282066,0.517058,1.309460,2.155861,-0.151549,-0.133520,0.320441
0.020000,1.322870,0.530799,1.352516,2.152784,-0.153840,-0.114572,0.329172
0.020000,1.363495,0.544871,1.395509,2.149658,-0.156293,-0.122658,0.337724
0.020000,1.403939,0.559265,1.438439,2.146493,-0.158265,-0.098599,0.346096
0.020000,1.444203,0.573972,1.481305,2.143292,-0.160021,-0.087798,0.354284
0.020000,1.484286,0.588982,1.524106,2.140061,-0.161580,-0.077932,0.362288
0.020000,1.524189,0.604285,1.566842,2.136801,-0.162989,-0.070456,0.370106
0.020000,1.563910,0.619871,1.609512,2.133518,-0.164142,-0.057627,0.377735
0.020000,1.603452,0.635732,1.652116,2.130216,-0.165114,-0.048626,0.385177
0.020000,1.642815,0.651858,1.694654,2.126895,-0.166038,-0.046189,0.392428
0.020000,1.682000,0.668240,1.737126,2.123562,-0.166625,-0.029345,0.399489
0.020000,1.721008,0.684868,1.779530,2.120220,-0.167103,-0.023902,0.406359
0.020000,1.759842,0.701733,1.821867,2.116871,-0.167454,-0.017541,0.413038
0.020000,1.798502,0.718826,1.864138,2.113514,-0.167881,-0.021390,0.419524
0.020000,1.836991,0.736138,1.906341,2.110157,-0.167838,0.002171,0.425819
0.020000,1.875310,0.753660,1.948477,2.106801,-0.167811,0.001373,0.431922
0.020000,1.913463,0.771385,1.990546,2.103446,-0.167720,0.004529,0.437834
0.020000,1.951452,0.789302,2.032548,2.100091,-0.167788,-0.003402,0.443553
0.020000,1.989279,0.807403,2.074483,2.096745,-0.167261,0.026355,0.449082
0.020000,2.026946,0.825681,2.116351,2.093407,-0.166914,0.017365,0.454420
0.020000,2.064458,0.844127,2.158152,2.090075,-0.166623,0.014539,0.459567
0.020000,2.101817,0.862732,2.199887,2.086749,-0.166258,0.018227,0.464524
0.020000,2.139025,0.881489,2.241556,2.083438,-0.165546,0.035598,0.469292
0.020000,2.176087,0.900389,2.283159,2.080139,-0.164999,0.027372,0.473871
0.020000,2.213004,0.919426,2.324696,2.076844,-0.164705,0.014693,0.478263
0.020000,2.249782,0.938590,2.366167,2.073567,-0.163877,0.041388,0.482467
0.020000,2.286423,0.957875,2.407573,2.070303,-0.163198,0.033979,0.486484
0.020000,2.322930,0.977274,2.448914,2.067049,-0.162715,0.024151,0.490315
0.020000,2.359307,0.996778,2.490190,2.063806,-0.162111,0.030172,0.493962
0.020000,2.395558,1.016380,2.531402,2.060581,-0.161278,0.041672,0.497423
0.020000,2.431687,1.036074,2.572549,2.057367,-0.160698,0.029000,0.500701
0.020000,2.467696,1.055852,2.613632,2.054161,-0.160275,0.021148,0.503797
0.020000,2.503590,1.075707,2.654652,2.050974,-0.159386,0.044460,0.506709
0.020000,2.539372,1.095632,2.695608,2.047798,-0.158791,0.029725,0.509441
0.020000,2.575046,1.115621,2.736500,2.044628,-0.158495,0.014798,0.511991
0.020000,2.610616,1.135667,2.777330,2.041475,-0.157640,0.042749,0.514361
0.020000,2.646086,1.155763,2.818096,2.038333,-0.157119,0.026066,0.516551
0.020000,2.681458,1.175902,2.858800,2.035196,-0.156839,0.014015,0.518563
0.020000,2.716738,1.196078,2.899442,2.032073,-0.156157,0.034100,0.520395
0.020000,2.751929,1.216284,2.940021,2.028959,-0.155712,0.022206,0.522050
0.020000,2.787033,1.236515,2.980538,2.025849,-0.155482,0.011519,0.523527
0.020000,2.822056,1.256763,3.020993,2.022750,-0.154963,0.025976,0.524827
0.020000,2.857001,1.277023,3.061386,2.019657,-0.154636,0.016340,0.525950
0.020000,2.891872,1.297288,3.101717,2.016568,-0.154473,0.008121,0.526897
0.020000,2.926672,1.317551,3.141987,2.013485,-0.154121,0.017637,0.527668
