dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.009311,3.349876,0.003333,0.333333,16.666667,833.333333,6.256579
0.020000,0.021438,3.349560,0.015464,0.606546,13.660644,-150.301141,6.257539
0.020000,0.047432,3.348918,0.041467,1.300114,34.678412,1050.888397,6.259437
0.020000,0.083192,3.348114,0.077235,1.788439,24.416239,-513.108615,6.262002
0.020000,0.122225,3.347341,0.116277,1.952060,8.181041,-811.759903,6.264742
0.020000,0.161283,3.346673,0.155339,1.953142,0.054091,-406.347529,6.267419
0.020000,0.200363,3.346108,0.194424,1.954226,0.054207,0.005825,6.270035
0.020000,0.239466,3.345644,0.233530,1.955311,0.054271,0.003159,6.272589
0.020000,0.278593,3.345278,0.272658,1.956399,0.054359,0.004411,6.275080
0.020000,0.317742,3.345009,0.311808,1.957487,0.054418,0.002938,6.277509
0.020000,0.356913,3.344833,0.350979,1.958577,0.054483,0.003273,6.279876
0.020000,0.396106,3.344749,0.390173,1.959667,0.054535,0.002608,6.282181
0.020000,0.435321,3.344754,0.429388,1.960759,0.054583,0.002387,0.001238
0.020000,0.474558,3.344845,0.468625,1.961852,0.054627,0.002191,0.003418
0.020000,0.513817,3.345021,0.507884,1.962945,0.054661,0.001725,0.005535
0.020000,0.553096,3.345279,0.547165,1.964039,0.054695,0.001711,0.007590
0.020000,0.592398,3.345617,0.586467,1.965133,0.054721,0.001256,0.009583
0.020000,0.631720,3.346032,0.625792,1.966228,0.054744,0.001190,0.011513
0.020000,0.671063,3.346522,0.665138,1.967323,0.054763,0.000949,0.013380
0.020000,0.710428,3.347084,0.704507,1.968419,0.054776,0.000652,0.015184
0.020000,0.749813,3.347717,0.743897,1.969515,0.054791,0.000746,0.016926
0.020000,0.789219,3.348417,0.783309,1.970610,0.054795,0.000204,0.018606
0.020000,0.828646,3.349183,0.822743,1.971707,0.054806,0.000528,0.020223
0.020000,0.868093,3.350011,0.862199,1.972803,0.054804,-0.000088,0.021777
0.020000,0.907561,3.350901,0.901677,1.973899,0.054809,0.000265,0.023268
0.020000,0.947050,3.351848,0.941177,1.974995,0.054804,-0.000249,0.024697
0.020000,0.986559,3.352851,0.980699,1.976091,0.054804,-0.000007,0.026063
0.020000,1.026088,3.353908,1.020243,1.977187,0.054798,-0.000312,0.027367
0.020000,1.065638,3.355015,1.059808,1.978283,0.054793,-0.000270,0.028608
0.020000,1.105209,3.356171,1.099396,1.979379,0.054787,-0.000302,0.029786
0.020000,1.144800,3.357373,1.139005,1.980474,0.054776,-0.000507,0.030902
0.020000,1.184412,3.358619,1.178637,1.981570,0.054772,-0.000244,0.031955
0.020000,1.224045,3.359905,1.218290,1.982665,0.054758,-0.000705,0.032946
