dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000722,2.999981,0.003333,0.333333,16.666667,833.333333,6.256699
0.020000,0.014051,2.999635,0.016667,1.000000,33.333333,833.333333,6.257747
0.020000,0.040710,2.998984,0.043333,1.666667,33.333333,0.000000,6.259816
0.020000,0.077368,2.998179,0.080000,2.000000,16.666667,-833.333333,6.262601
0.020000,0.117361,2.997415,0.120000,2.000000,0.000000,-833.333333,6.265558
0.020000,0.157355,2.996767,0.160000,2.000000,0.000000,0.000000,6.268432
0.020000,0.197352,2.996233,0.200000,2.000000,0.000000,0.000000,6.271222
0.020000,0.237349,2.995809,0.240000,2.000000,0.000000,0.000000,6.273928
0.020000,0.277348,2.995492,0.280000,2.000000,0.000000,0.000000,6.276550
0.020000,0.317348,2.995277,0.320000,2.000000,0.000000,0.000000,6.279088
0.020000,0.357347,2.995163,0.360000,2.000000,0.000000,0.000000,6.281542
0.020000,0.397347,2.995145,0.400000,2.000000,0.000000,0.000000,0.000726
0.020000,0.437347,2.995220,0.440000,2.000000,0.000000,0.000000,0.003011
0.020000,0.477347,2.995384,0.480000,2.000000,0.000000,0.000000,0.005211
0.020000,0.517346,2.995635,0.520000,2.000000,0.000000,0.000000,0.007327
0.020000,0.557345,2.995969,0.560000,2.000000,0.000000,0.000000,0.009358
0.020000,0.597343,2.996383,0.600000,2.000000,0.000000,0.000000,0.011305
0.020000,0.637340,2.996873,0.640000,2.000000,0.000000,0.000000,0.013167
0.020000,0.677336,2.997435,0.680000,2.000000,0.000000,0.000000,0.014945
0.020000,0.717331,2.998067,0.720000,2.000000,0.000000,0.000000,0.016637
0.020000,0.757325,2.998765,0.760000,2.000000,0.000000,0.000000,0.018245
0.020000,0.797317,2.999525,0.800000,2.000000,0.000000,0.000000,0.019769
0.020000,0.837309,3.000345,0.840000,2.000000,0.000000,0.000000,0.021207
0.020000,0.877299,3.001221,0.880000,2.000000,0.000000,0.000000,0.022561
0.020000,0.917289,3.002149,0.920000,2.000000,0.000000,0.000000,0.023830
0.020000,0.957277,3.003126,0.960000,2.000000,0.000000,0.000000,0.025014
0.020000,0.997264,3.004149,1.000000,2.000000,0.000000,0.000000,0.026114
0.020000,1.037249,3.005214,1.040000,2.000000,0.000000,0.000000,0.027129
0.020000,1.077234,3.006318,1.080000,2.000000,0.000000,0.000000,0.028059
0.020000,1.117218,3.007457,1.120000,2.000000,0.000000,0.000000,0.028905
0.020000,1.157201,3.008629,1.160000,2.000000,0.000000,0.000000,0.029665
0.020000,1.197183,3.009829,1.200000,2.000000,0.000000,0.000000,0.030341
0.020000,1.237164,3.011054,1.240000,2.000000,0.000000,0.000000,0.030933
0.020000,1.277144,3.012302,1.280000,2.000000,0.000000,0.000000,0.031439
0.020000,1.317124,3.013568,1.320000,2.000000,0.000000,0.000000,0.031861
0.020000,1.357104,3.014849,1.360000,2.000000,0.000000,0.000000,0.032199
0.020000,1.397083,3.016142,1.400000,2.000000,0.000000,0.000000,0.032451
0.020000,1.437062,3.017444,1.440000,2.000000,0.000000,0.000000,0.032619
0.020000,1.477040,3.018750,1.480000,2.000000,0.000000,0.000000,0.032703
0.020000,1.517019,3.020058,1.520000,2.000000,0.000000,0.000000,0.032701
0.020000,1.556998,3.021365,1.560000,2.000000,0.000000,0.000000,0.032615
0.020000,1.596977,3.022666,1.600000,2.000000,0.000000,0.000000,0.032444
0.020000,1.636956,3.023959,1.640000,2.000000,0.000000,0.000000,0.032189
0.020000,1.676935,3.025240,1.680000,2.000000,0.000000,0.000000,0.031849
0.020000,1.716915,3.026505,1.720000,2.000000,0.000000,0.000000,0.031424
0.020000,1.756896,3.027752,1.760000,2.000000,0.000000,0.000000,0.030915
0.020000,1.796877,3.028977,1.800000,2.000000,0.000000,0.000000,0.030321
0.020000,1.836859,3.030176,1.840000,2.000000,0.000000,0.000000,0.029642
0.020000,1.876842,3.031347,1.880000,2.000000,0.000000,0.000000,0.028878
