dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.008547,2.650104,0.003333,0.333333,16.666667,833.333333,6.256699
0.020000,0.005149,2.649748,0.017034,0.685012,17.583954,45.864370,6.257747
0.020000,0.032532,2.649080,0.044424,1.369539,34.226345,832.119568,6.259816
0.020000,0.070164,2.648253,0.082066,1.882058,25.625944,-430.020050,6.262601
0.020000,0.111191,2.647469,0.123101,2.051754,8.484807,-857.056857,6.265558
0.020000,0.152192,2.646805,0.164106,2.050291,-0.073169,-427.898794,6.268432
0.020000,0.193165,2.646258,0.205083,2.048825,-0.073313,-0.007217,6.271222
0.020000,0.234109,2.645824,0.246030,2.047356,-0.073432,-0.005936,6.273928
0.020000,0.275026,2.645499,0.286948,2.045886,-0.073529,-0.004887,6.276550
0.020000,0.315914,2.645280,0.327836,2.044413,-0.073633,-0.005155,6.279088
0.020000,0.356772,2.645163,0.368695,2.042939,-0.073717,-0.004221,6.281542
0.020000,0.397601,2.645145,0.409524,2.041463,-0.073786,-0.003433,0.000726
0.020000,0.438401,2.645221,0.450324,2.039986,-0.073856,-0.003509,0.003011
0.020000,0.479171,2.645389,0.491094,2.038507,-0.073912,-0.002820,0.005211
0.020000,0.519911,2.645645,0.531834,2.037028,-0.073957,-0.002266,0.007327
0.020000,0.560620,2.645985,0.572545,2.035548,-0.074002,-0.002215,0.009358
0.020000,0.601299,2.646405,0.613227,2.034068,-0.074036,-0.001721,0.011305
0.020000,0.641948,2.646903,0.653879,2.032586,-0.074063,-0.001364,0.013167
0.020000,0.682566,2.647474,0.694501,2.031105,-0.074088,-0.001228,0.014945
0.020000,0.723153,2.648116,0.735093,2.029622,-0.074106,-0.000900,0.016637
0.020000,0.763710,2.648823,0.775656,2.028140,-0.074120,-0.000698,0.018245
0.020000,0.804236,2.649594,0.816189,2.026657,-0.074130,-0.000510,0.019769
0.020000,0.844731,2.650424,0.856692,2.025175,-0.074137,-0.000325,0.021207
0.020000,0.885195,2.651310,0.897166,2.023692,-0.074141,-0.000239,0.022561
0.020000,0.925628,2.652248,0.937611,2.022209,-0.074142,-0.000030,0.023830
0.020000,0.966031,2.653235,0.978025,2.020726,-0.074141,0.000040,0.025014
0.020000,1.006402,2.654268,1.018410,2.019243,-0.074140,0.000047,0.026114
0.020000,1.046743,2.655342,1.058765,2.017761,-0.074135,0.000248,0.027129
0.020000,1.087054,2.656455,1.099091,2.016278,-0.074131,0.000231,0.028059
0.020000,1.127333,2.657603,1.139387,2.014795,-0.074127,0.000194,0.028905
0.020000,1.167582,2.658782,1.179653,2.013313,-0.074120,0.000356,0.029665
0.020000,1.207801,2.659990,1.219889,2.011831,-0.074114,0.000286,0.030341
0.020000,1.247989,2.661222,1.260096,2.010349,-0.074109,0.000230,0.030933
0.020000,1.288146,2.662475,1.300274,2.008867,-0.074103,0.000333,0.031439
0.020000,1.328274,2.663746,1.340421,2.007385,-0.074098,0.000242,0.031861
0.020000,1.368372,2.665031,1.380540,2.005903,-0.074094,0.000183,0.032199
0.020000,1.408439,2.666327,1.420628,2.004421,-0.074090,0.000221,0.032451
0.020000,1.448477,2.667630,1.460687,2.002939,-0.074087,0.000131,0.032619
0.020000,1.488484,2.668937,1.500716,2.001457,-0.074086,0.000082,0.032703
0.020000,1.528462,2.670245,1.540715,1.999976,-0.074084,0.000059,0.032701
0.020000,1.568411,2.671551,1.580685,1.998494,-0.074085,-0.000012,0.032615
0.020000,1.608330,2.672850,1.620626,1.997012,-0.074085,-0.000041,0.032444
0.020000,1.648220,2.674140,1.660536,1.995531,-0.074088,-0.000116,0.032189
0.020000,1.688080,2.675417,1.700417,1.994049,-0.074091,-0.000154,0.031849
0.020000,1.727912,2.676678,1.740268,1.992567,-0.074094,-0.000155,0.031424
0.020000,1.767714,2.677919,1.780090,1.991085,-0.074099,-0.000265,0.030915
0.020000,1.807488,2.679138,1.819882,1.989603,-0.074104,-0.000259,0.030321
0.020000,1.847232,2.680330,1.859645,1.988121,-0.074109,-0.000230,0.029642
0.020000,1.886948,2.681493,1.899377,1.986638,-0.074116,-0.000351,0.028878
0.020000,1.926635,2.682622,1.939080,1.985156,-0.074122,-0.000294,0.028030
0.020000,1.966293,2.683716,1.978754,1.983673,-0.074127,-0.000234,0.027097
0.020000,2.005923,2.684770,2.018398,1.982191,-0.074133,-0.000333,0.026079
0.020000,2.045524,2.685782,2.058012,1.980708,-0.074138,-0.000225,0.024977
0.020000,2.085097,2.686747,2.097596,1.979225,-0.074141,-0.000136,0.023790
0.020000,2.124641,2.687663,2.137151,1.977742,-0.074144,-0.000176,0.022518
0.020000,2.164157,2.688527,2.176676,1.976259,-0.074144,-0.000019,0.021161
0.020000,2.203644,2.689334,2.216172,1.974777,-0.074142,0.000099,0.019720
0.020000,2.243103,2.690083,2.255638,1.973294,-0.074139,0.000159,0.018194
0.020000,2.282533,2.690769,2.295074,1.971811,-0.074132,0.000355,0.016583
0.020000,2.321935,2.691389,2.334481,1.970329,-0.074122,0.000505,0.014888
0.020000,2.361308,2.691940,2.373858,1.968846,-0.074108,0.000707,0.013108
0.020000,2.400652,2.692420,2.413205,1.967365,-0.074089,0.000930,0.011243
0.020000,2.439968,2.692824,2.452523,1.965883,-0.074067,0.001117,0.009293
0.020000,2.479255,2.693149,2.491811,1.964403,-0.074037,0.001504,0.007259
0.020000,2.518512,2.693393,2.531069,1.962923,-0.074002,0.001736,0.005140
0.020000,2.557741,2.693551,2.570298,1.961443,-0.073963,0.001971,0.002937
0.020000,2.596940,2.693622,2.609497,1.959965,-0.073911,0.002584,0.000650
0.020000,2.631487,2.693591,2.644044,1.727349,-11.630799,-577.844396,6.280217
0.020000,2.669779,2.693384,2.682337,1.914619,9.363499,1049.714887,6.275338
0.020000,2.708036,2.692989,2.720596,1.912953,-0.083282,-472.339030,6.270364
0.020000,2.746257,2.692402,2.758821,1.911279,-0.083705,-0.021152,6.265295
0.020000,2.784441,2.691621,2.797013,1.909573,-0.085334,-0.081477,6.260128
0.020000,2.822585,2.690641,2.835170,1.907841,-0.086581,-0.062334,6.254862
0.020000,2.860689,2.689459,2.873292,1.906100,-0.087036,-0.022734,6.249496
0.020000,2.898750,2.688073,2.911378,1.904323,-0.088864,-0.091399,6.244029
0.020000,2.936767,2.686478,2.949428,1.902524,-0.089972,-0.055389,6.238459
0.020000,2.974738,2.684671,2.987443,1.900710,-0.090698,-0.036323,6.232785
0.020000,3.012661,2.682648,3.025420,1.898869,-0.092053,-0.067754,6.227006
0.020000,3.050535,2.680407,3.063360,1.897002,-0.093331,-0.063893,6.221121
0.020000,3.088357,2.677943,3.101262,1.895114,-0.094423,-0.054583,6.215128
0.020000,3.126126,2.675253,3.139126,1.893204,-0.095487,-0.053195,6.209025
0.020000,3.163839,2.672334,3.176952,1.891278,-0.096268,-0.039084,6.202813
0.020000,3.201493,2.669181,3.214738,1.889325,-0.097675,-0.070355,6.196489
0.020000,3.239088,2.665792,3.252485,1.887351,-0.098709,-0.051698,6.190052
0.020000,3.276620,2.662163,3.290193,1.885356,-0.099721,-0.050580,6.183501
0.020000,3.314087,2.658290,3.327859,1.883342,-0.100707,-0.049282,6.176835
0.020000,3.351487,2.654169,3.365486,1.881309,-0.101662,-0.047793,6.170053
0.020000,3.388817,2.649798,3.403071,1.879257,-0.102584,-0.046101,6.163153
0.020000,3.426075,2.645172,3.440615,1.877188,-0.103468,-0.044193,6.156136
0.020000,3.463257,2.640288,3.478117,1.875102,-0.104309,-0.042058,6.148999
0.020000,3.500362,2.635142,3.515577,1.873000,-0.105103,-0.039683,6.141742
0.020000,3.537387,2.629731,3.552994,1.870883,-0.105844,-0.037058,6.134364
0.020000,3.574327,2.624051,3.590369,1.868752,-0.106528,-0.034170,6.126864
