dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000124,3.332508,0.003333,0.333333,16.666667,833.333333,6.283159
0.020000,0.012516,3.332522,0.015725,0.619607,14.313663,-117.650192,0.002225
0.020000,0.037649,3.332633,0.040858,1.256647,31.852027,876.918223,0.006607
0.020000,0.072296,3.332963,0.075507,1.732424,23.788862,-403.158287,0.012373
0.020000,0.110209,3.333546,0.113424,1.895867,8.172113,-780.837439,0.018323
0.020000,0.148241,3.334350,0.151465,1.902036,0.308486,-393.181345,0.023921
0.020000,0.186391,3.335364,0.189628,1.908160,0.306168,-0.115886,0.029169
0.020000,0.224656,3.336576,0.227913,1.914240,0.303999,-0.108467,0.034069
0.020000,0.263037,3.337973,0.266319,1.920278,0.301913,-0.104305,0.038625
0.020000,0.301530,3.339543,0.304844,1.926271,0.299644,-0.113443,0.042838
0.020000,0.340136,3.341273,0.343488,1.932227,0.297814,-0.091471,0.046710
0.020000,0.378853,3.343153,0.382251,1.938142,0.295764,-0.102545,0.050245
0.020000,0.417681,3.345169,0.421132,1.944022,0.293995,-0.088424,0.053444
0.020000,0.456620,3.347309,0.460129,1.949870,0.292374,-0.081075,0.056308
0.020000,0.495669,3.349561,0.499243,1.955684,0.290694,-0.083959,0.058841
0.020000,0.534828,3.351912,0.538472,1.961472,0.289426,-0.063408,0.061042
0.020000,0.574097,3.354350,0.577817,1.967236,0.288178,-0.062391,0.062914
0.020000,0.613476,3.356862,0.617277,1.972977,0.287050,-0.056443,0.064459
0.020000,0.652966,3.359437,0.656851,1.978702,0.286242,-0.040372,0.065676
0.020000,0.692568,3.362060,0.696539,1.984412,0.285511,-0.036571,0.066566
0.020000,0.732281,3.364720,0.736341,1.990111,0.284974,-0.026834,0.067132
0.020000,0.772107,3.367403,0.776257,1.995805,0.284668,-0.015288,0.067371
0.020000,0.812046,3.370098,0.816287,2.001495,0.284513,-0.007754,0.067286
0.020000,0.852099,3.372789,0.856431,2.007186,0.284572,0.002955,0.066875
0.020000,0.892268,3.375466,0.896688,2.012882,0.284796,0.011212,0.066139
0.020000,0.932553,3.378114,0.937060,2.018587,0.285232,0.021795,0.065077
0.020000,0.972955,3.380720,0.977546,2.024304,0.285869,0.031833,0.063688
0.020000,1.013475,3.383270,1.018147,2.030037,0.286617,0.037392,0.061972
0.020000,1.054115,3.385751,1.058863,2.035789,0.287637,0.051006,0.059927
0.020000,1.094876,3.388149,1.099694,2.041565,0.288787,0.057521,0.057552
0.020000,1.135759,3.390450,1.140641,2.047366,0.290028,0.062048,0.054845
0.020000,1.176764,3.392640,1.181705,2.053198,0.291612,0.079186,0.051805
0.020000,1.217894,3.394704,1.222886,2.059061,0.293143,0.076548,0.048430
0.020000,1.259148,3.396628,1.264186,2.064958,0.294856,0.085639,0.044718
0.020000,1.300528,3.398397,1.305604,2.070896,0.296888,0.101622,0.040667
0.020000,1.342035,3.399996,1.347141,2.076869,0.298660,0.088587,0.036274
0.020000,1.383669,3.401409,1.388799,2.082886,0.300870,0.110501,0.031538
0.020000,1.425430,3.402622,1.430578,2.088945,0.302937,0.103328,0.026455
0.020000,1.467319,3.403617,1.472478,2.095046,0.305072,0.106763,0.021024
0.020000,1.509336,3.404380,1.514502,2.101195,0.307422,0.117516,0.015241
0.020000,1.551481,3.404895,1.556650,2.107382,0.309381,0.097921,0.009105
0.020000,1.593752,3.405144,1.598922,2.113620,0.311874,0.124682,0.002612
0.020000,1.636150,3.405110,1.641320,2.119893,0.313634,0.087999,6.278946
0.020000,1.678673,3.404778,1.683845,2.126212,0.315947,0.115637,6.271734
0.020000,1.721319,3.404129,1.726496,2.132563,0.317547,0.079981,6.264158
0.020000,1.764087,3.403147,1.769275,2.138953,0.319501,0.097740,6.256218
0.020000,1.806974,3.401813,1.812182,2.145367,0.320733,0.061593,6.247911
0.020000,1.849976,3.400110,1.855218,2.151811,0.322208,0.073764,6.239235
0.020000,1.893091,3.398019,1.898384,2.158268,0.322843,0.031705,6.230191
0.020000,1.936314,3.395524,1.941679,2.164742,0.323683,0.042010,6.220777
0.020000,1.979640,3.392605,1.985103,2.171213,0.323538,-0.007227,6.210993
0.020000,2.023064,3.389244,2.028656,2.177681,0.323395,-0.007166,6.200839
0.020000,2.066579,3.385423,2.072339,2.184128,0.322393,-0.050073,6.190317
0.020000,2.110178,3.381124,2.116150,2.190548,0.320996,-0.069857,6.179428
0.020000,2.153854,3.376329,2.160089,2.196926,0.318885,-0.105555,6.168174
0.020000,2.197598,3.371019,2.204153,2.203247,0.316054,-0.141543,6.156559
0.020000,2.241400,3.365177,2.248343,2.209498,0.312519,-0.176762,6.144587
0.020000,2.285250,3.358786,2.292657,2.215660,0.308125,-0.219723,6.132263
0.020000,2.329136,3.351828,2.337091,2.221717,0.302852,-0.263616,6.119592
0.020000,2.373047,3.344287,2.381644,2.227652,0.296728,-0.306222,6.106583
0.020000,2.416968,3.336148,2.426313,2.233444,0.289600,-0.356400,6.093242
0.020000,2.460885,3.327394,2.471094,2.239073,0.281449,-0.407527,6.079580
0.020000,2.504784,3.318011,2.515985,2.244522,0.272468,-0.449053,6.065606
0.020000,2.548648,3.307985,2.560980,2.249763,0.262053,-0.520773,6.051333
0.020000,2.592461,3.297305,2.606076,2.254788,0.251255,-0.539901,6.036773
0.020000,2.636204,3.285958,2.651267,2.259558,0.238496,-0.637943,6.021939
0.020000,2.679860,3.273933,2.696548,2.264076,0.225887,-0.630435,6.006848
0.020000,2.723409,3.261222,2.741914,2.268295,0.210980,-0.745388,5.991515
0.020000,2.766831,3.247817,2.787359,2.272224,0.196446,-0.726656,5.975959
0.020000,2.810107,3.233712,2.832875,2.275824,0.179996,-0.822534,5.960196
0.020000,2.853215,3.218900,2.878457,2.279088,0.163178,-0.840902,5.944246
0.020000,2.896135,3.203379,2.924097,2.282008,0.146027,-0.857549,5.928130
0.020000,2.938846,3.187148,2.969788,2.284551,0.127159,-0.943367,5.911869
0.020000,2.981326,3.170205,3.015523,2.286724,0.108643,-0.925817,5.895483
0.020000,3.023556,3.152553,3.061293,2.288520,0.089787,-0.942779,5.878994
0.020000,3.065513,3.134193,3.107092,2.289926,0.070296,-0.974586,5.862426
0.020000,3.107179,3.115132,3.152910,2.290939,0.050644,-0.982585,5.845799
0.020000,3.148532,3.095374,3.198742,2.291559,0.030980,-0.983187,5.829137
