dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000115,2.982508,0.003333,0.333333,16.666667,833.333333,6.283159
0.020000,0.013295,2.982522,0.016667,1.000000,33.333333,833.333333,0.002225
0.020000,0.039961,2.982641,0.043333,1.666667,33.333333,0.000000,0.006607
0.020000,0.076626,2.982989,0.080000,2.000000,16.666667,-833.333333,0.012373
0.020000,0.116622,2.983605,0.120000,2.000000,0.000000,-833.333333,0.018323
0.020000,0.156613,2.984450,0.160000,2.000000,0.000000,0.000000,0.023921
0.020000,0.196598,2.985513,0.200000,2.000000,0.000000,0.000000,0.029169
0.020000,0.236578,2.986779,0.240000,2.000000,0.000000,0.000000,0.034069
0.020000,0.276552,2.988234,0.280000,2.000000,0.000000,0.000000,0.038625
0.020000,0.316519,2.989864,0.320000,2.000000,0.000000,0.000000,0.042838
0.020000,0.356478,2.991655,0.360000,2.000000,0.000000,0.000000,0.046710
0.020000,0.396431,2.993595,0.400000,2.000000,0.000000,0.000000,0.050245
0.020000,0.436378,2.995669,0.440000,2.000000,0.000000,0.000000,0.053444
0.020000,0.476317,2.997864,0.480000,2.000000,0.000000,0.000000,0.056308
0.020000,0.516251,3.000166,0.520000,2.000000,0.000000,0.000000,0.058841
0.020000,0.556179,3.002564,0.560000,2.000000,0.000000,0.000000,0.061042
0.020000,0.596102,3.005042,0.600000,2.000000,0.000000,0.000000,0.062914
0.020000,0.636021,3.007589,0.640000,2.000000,0.000000,0.000000,0.064459
0.020000,0.675936,3.010191,0.680000,2.000000,0.000000,0.000000,0.065676
0.020000,0.715849,3.012835,0.720000,2.000000,0.000000,0.000000,0.066566
0.020000,0.755759,3.015508,0.760000,2.000000,0.000000,0.000000,0.067132
0.020000,0.795669,3.018197,0.800000,2.000000,0.000000,0.000000,0.067371
0.020000,0.835578,3.020890,0.840000,2.000000,0.000000,0.000000,0.067286
0.020000,0.875488,3.023572,0.880000,2.000000,0.000000,0.000000,0.066875
0.020000,0.915400,3.026231,0.920000,2.000000,0.000000,0.000000,0.066139
0.020000,0.955314,3.028855,0.960000,2.000000,0.000000,0.000000,0.065077
0.020000,0.995231,3.031429,1.000000,2.000000,0.000000,0.000000,0.063688
0.020000,1.035152,3.033942,1.040000,2.000000,0.000000,0.000000,0.061972
0.020000,1.075077,3.036380,1.080000,2.000000,0.000000,0.000000,0.059927
0.020000,1.115008,3.038729,1.120000,2.000000,0.000000,0.000000,0.057552
0.020000,1.154945,3.040977,1.160000,2.000000,0.000000,0.000000,0.054845
0.020000,1.194888,3.043110,1.200000,2.000000,0.000000,0.000000,0.051805
0.020000,1.234838,3.045115,1.240000,2.000000,0.000000,0.000000,0.048430
0.020000,1.274794,3.046978,1.280000,2.000000,0.000000,0.000000,0.044718
0.020000,1.314758,3.048687,1.320000,2.000000,0.000000,0.000000,0.040667
0.020000,1.354728,3.050226,1.360000,2.000000,0.000000,0.000000,0.036274
0.020000,1.394705,3.051583,1.400000,2.000000,0.000000,0.000000,0.031538
0.020000,1.434688,3.052744,1.440000,2.000000,0.000000,0.000000,0.026455
0.020000,1.474677,3.053695,1.480000,2.000000,0.000000,0.000000,0.021024
0.020000,1.514670,3.054421,1.520000,2.000000,0.000000,0.000000,0.015241
0.020000,1.554667,3.054909,1.560000,2.000000,0.000000,0.000000,0.009105
0.020000,1.594666,3.055145,1.600000,2.000000,0.000000,0.000000,0.002612
0.020000,1.634666,3.055113,1.640000,2.000000,0.000000,0.000000,6.278946
0.020000,1.674665,3.054801,1.680000,2.000000,0.000000,0.000000,6.271734
0.020000,1.714660,3.054192,1.720000,2.000000,0.000000,0.000000,6.264158
0.020000,1.754650,3.053274,1.760000,2.000000,0.000000,0.000000,6.256218
0.020000,1.794630,3.052030,1.800000,2.000000,0.000000,0.000000,6.247911
0.020000,1.834599,3.050448,1.840000,2.000000,0.000000,0.000000,6.239235
0.020000,1.874552,3.048511,1.880000,2.000000,0.000000,0.000000,6.230191
0.020000,1.914485,3.046205,1.920000,2.000000,0.000000,0.000000,6.220777
0.020000,1.954394,3.043516,1.960000,2.000000,0.000000,0.000000,6.210993
0.020000,1.994275,3.040430,2.000000,2.000000,0.000000,0.000000,6.200839
0.020000,2.034121,3.036931,2.040000,2.000000,0.000000,0.000000,6.190317
0.020000,2.073928,3.033006,2.080000,2.000000,0.000000,0.000000,6.179428
0.020000,2.113689,3.028641,2.120000,2.000000,0.000000,0.000000,6.168174
0.020000,2.153397,3.023821,2.160000,2.000000,0.000000,0.000000,6.156559
0.020000,2.193046,3.018533,2.200000,2.000000,0.000000,0.000000,6.144587
0.020000,2.232628,3.012764,2.240000,2.000000,0.000000,0.000000,6.132263
0.020000,2.272134,3.006501,2.280000,2.000000,0.000000,0.000000,6.119592
0.020000,2.311557,2.999731,2.320000,2.000000,0.000000,0.000000,6.106583
0.020000,2.350887,2.992442,2.360000,2.000000,0.000000,0.000000,6.093242
0.020000,2.390115,2.984623,2.400000,2.000000,0.000000,0.000000,6.079580
0.020000,2.429231,2.976263,2.440000,2.000000,0.000000,0.000000,6.065606
0.020000,2.468225,2.967351,2.480000,2.000000,0.000000,0.000000,6.051333
0.020000,2.507087,2.957877,2.520000,2.000000,0.000000,0.000000,6.036773
0.020000,2.545805,2.947834,2.560000,2.000000,0.000000,0.000000,6.021939
0.020000,2.584368,2.937212,2.600000,2.000000,0.000000,0.000000,6.006848
0.020000,2.622766,2.926005,2.640000,2.000000,0.000000,0.000000,5.991515
0.020000,2.660986,2.914206,2.680000,2.000000,0.000000,0.000000,5.975959
0.020000,2.699016,2.901810,2.720000,2.000000,0.000000,0.000000,5.960196
0.020000,2.736845,2.888812,2.760000,2.000000,0.000000,0.000000,5.944246
0.020000,2.774460,2.875210,2.800000,2.000000,0.000000,0.000000,5.928130
0.020000,2.811851,2.861000,2.840000,2.000000,0.000000,0.000000,5.911869
0.020000,2.849004,2.846182,2.880000,2.000000,0.000000,0.000000,5.895483
0.020000,2.885909,2.830755,2.920000,2.000000,0.000000,0.000000,5.878994
0.020000,2.922554,2.814721,2.960000,2.000000,0.000000,0.000000,5.862426
0.020000,2.958928,2.798080,3.000000,2.000000,0.000000,0.000000,5.845799
0.020000,2.995020,2.780836,3.040000,2.000000,0.000000,0.000000,5.829137
0.020000,3.030819,2.762993,3.080000,2.000000,0.000000,0.000000,5.812462
0.020000,3.066316,2.744555,3.120000,2.000000,0.000000,0.000000,5.795795
