dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001413,2.632508,0.003333,0.333333,16.666667,833.333333,0.000020
0.020000,0.014814,2.632509,0.016735,0.670071,16.836861,8.509720,0.000214
0.020000,0.041600,2.632520,0.043520,1.339261,33.459522,831.133052,0.000553
0.020000,0.078391,2.632547,0.080311,1.839568,25.015357,-422.208244,0.000909
0.020000,0.118476,2.632589,0.120397,2.004272,8.235201,-839.007823,0.001153
0.020000,0.158509,2.632637,0.160429,2.001633,-0.131956,-418.357814,0.001247
0.020000,0.198489,2.632687,0.200409,1.998994,-0.131950,0.000295,0.001189
0.020000,0.238416,2.632730,0.240336,1.996355,-0.131953,-0.000183,0.000981
0.020000,0.278290,2.632763,0.280211,1.993716,-0.131968,-0.000757,0.000622
0.020000,0.318112,2.632778,0.320032,1.991076,-0.131991,-0.001132,0.000112
0.020000,0.357881,2.632770,0.359801,1.988435,-0.132026,-0.001752,6.282636
0.020000,0.397596,2.632732,0.399517,1.985794,-0.132069,-0.002127,6.281825
0.020000,0.437259,2.632660,0.439180,1.983152,-0.132119,-0.002499,6.280862
0.020000,0.476869,2.632546,0.478790,1.980508,-0.132181,-0.003115,6.279748
0.020000,0.516426,2.632386,0.518347,1.977863,-0.132241,-0.003020,6.278483
0.020000,0.555930,2.632173,0.557852,1.975217,-0.132318,-0.003843,6.277067
0.020000,0.595380,2.631901,0.597303,1.972569,-0.132391,-0.003662,6.275499
0.020000,0.634777,2.631565,0.636701,1.969919,-0.132471,-0.003962,6.273780
0.020000,0.674121,2.631158,0.676047,1.967268,-0.132555,-0.004218,6.271910
0.020000,0.713410,2.630676,0.715339,1.964616,-0.132629,-0.003700,6.269888
0.020000,0.752645,2.630112,0.754578,1.961961,-0.132716,-0.004334,6.267715
0.020000,0.791826,2.629461,0.793764,1.959306,-0.132787,-0.003552,6.265389
0.020000,0.830952,2.628717,0.832897,1.956649,-0.132858,-0.003542,6.262912
0.020000,0.870023,2.627873,0.871977,1.953990,-0.132922,-0.003221,6.260283
0.020000,0.909038,2.626926,0.911004,1.951331,-0.132967,-0.002238,6.257502
0.020000,0.947997,2.625869,0.949977,1.948671,-0.133012,-0.002249,6.254569
0.020000,0.986899,2.624695,0.988897,1.946010,-0.133030,-0.000934,6.251484
0.020000,1.025745,2.623401,1.027764,1.943349,-0.133035,-0.000231,6.248247
0.020000,1.064532,2.621980,1.066578,1.940689,-0.133019,0.000781,6.244857
0.020000,1.103262,2.620427,1.105339,1.938029,-0.132973,0.002324,6.241316
0.020000,1.141932,2.618736,1.144046,1.935371,-0.132906,0.003331,6.237623
0.020000,1.180543,2.616901,1.182700,1.932715,-0.132803,0.005169,6.233778
0.020000,1.219093,2.614918,1.221302,1.930062,-0.132667,0.006820,6.229782
0.020000,1.257582,2.612782,1.259850,1.927412,-0.132490,0.008815,6.225634
0.020000,1.296009,2.610485,1.298345,1.924767,-0.132275,0.010782,6.221335
0.020000,1.334373,2.608024,1.336788,1.922126,-0.132008,0.013334,6.216885
0.020000,1.372672,2.605393,1.375178,1.919493,-0.131693,0.015724,6.212285
0.020000,1.410907,2.602587,1.413515,1.916866,-0.131328,0.018266,6.207535
0.020000,1.449075,2.599600,1.451800,1.914248,-0.130893,0.021781,6.202635
0.020000,1.487176,2.596428,1.490033,1.911640,-0.130413,0.023975,6.197586
0.020000,1.525209,2.593066,1.528214,1.909043,-0.129846,0.028350,6.192388
0.020000,1.563171,2.589508,1.566343,1.906459,-0.129218,0.031395,6.187043
0.020000,1.601063,2.585749,1.604421,1.903888,-0.128522,0.034801,6.181551
0.020000,1.638883,2.581784,1.642447,1.901334,-0.127718,0.040230,6.175913
0.020000,1.676628,2.577610,1.680423,1.898796,-0.126878,0.041953,6.170130
0.020000,1.714299,2.573220,1.718349,1.896278,-0.125890,0.049426,6.164204
0.020000,1.751893,2.568611,1.756224,1.893781,-0.124861,0.051472,6.158134
0.020000,1.789409,2.563777,1.794051,1.891307,-0.123703,0.057851,6.151923
0.020000,1.826846,2.558714,1.831828,1.888858,-0.122454,0.062459,6.145573
0.020000,1.864201,2.553417,1.869556,1.886436,-0.121116,0.066906,6.139083
0.020000,1.901473,2.547883,1.907237,1.884043,-0.119632,0.074191,6.132457
0.020000,1.938661,2.542107,1.944871,1.881681,-0.118096,0.076824,6.125697
0.020000,1.975762,2.536084,1.982458,1.879354,-0.116372,0.086208,6.118803
0.020000,2.012231,2.529960,2.019438,1.849001,-1.517629,-70.062871,6.115108
0.020000,2.050341,2.523420,2.058105,1.933352,4.217516,286.757239,6.111299
0.020000,2.088293,2.516751,2.096639,1.926681,-0.333539,-227.552720,6.107110
0.020000,2.126084,2.509939,2.135038,1.919963,-0.335866,-0.116346,6.102536
0.020000,2.163708,2.502972,2.173302,1.913196,-0.338368,-0.125126,6.097576
0.020000,2.201162,2.495837,2.211429,1.906377,-0.340942,-0.128672,6.092226
