dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.943892,1.522436,0.003333,0.333333,16.666667,833.333333,2.896950
0.020000,6.932770,1.525181,0.014789,0.572801,11.973401,-234.663291,2.902185
0.020000,6.910406,1.530516,0.037780,1.149553,28.837603,843.210103,2.912686
0.020000,6.879588,1.537461,0.069372,1.579560,21.500321,-366.864092,2.927187
0.020000,6.845879,1.544522,0.103812,1.721998,7.121919,-718.920112,2.943071
0.020000,6.812080,1.551042,0.138234,1.721106,-0.044605,-358.326206,2.959007
0.020000,6.778192,1.557019,0.172645,1.720559,-0.027375,0.861529,2.974974
0.020000,6.744217,1.562454,0.207052,1.720344,-0.010738,0.831847,2.990954
0.020000,6.710157,1.567346,0.241461,1.720476,0.006608,0.867302,3.006925
0.020000,6.676014,1.571695,0.275881,1.720972,0.024775,0.908318,3.022869
0.020000,6.641788,1.575502,0.310317,1.721828,0.042807,0.901602,3.038763
0.020000,6.607483,1.578768,0.344778,1.723036,0.060437,0.881530,3.054588
0.020000,6.573098,1.581494,0.379270,1.724613,0.078815,0.918885,3.070324
0.020000,6.538637,1.583684,0.413801,1.726540,0.096360,0.877235,3.085949
0.020000,6.504100,1.585339,0.448377,1.728813,0.113655,0.864768,3.101444
0.020000,6.469490,1.586463,0.483006,1.731439,0.131297,0.882101,3.116790
0.020000,6.434807,1.587059,0.517694,1.734389,0.147504,0.810327,3.131967
0.020000,6.400054,1.587132,0.552447,1.737660,0.163533,0.801466,3.146957
0.020000,6.365232,1.586687,0.587272,1.741239,0.178955,0.771118,3.161742
0.020000,6.330343,1.585729,0.622174,1.745111,0.193629,0.733696,3.176306
0.020000,6.295389,1.584264,0.657159,1.749263,0.207568,0.696944,3.190633
0.020000,6.260370,1.582297,0.692233,1.753673,0.220527,0.647951,3.204708
0.020000,6.225290,1.579836,0.727399,1.758326,0.232649,0.606080,3.218517
0.020000,6.190149,1.576887,0.762663,1.763204,0.243914,0.563249,3.232047
0.020000,6.154950,1.573459,0.798029,1.768290,0.254265,0.517580,3.245287
0.020000,6.119694,1.569558,0.833500,1.773564,0.263701,0.471793,3.258226
0.020000,6.084383,1.565193,0.869081,1.779008,0.272228,0.426346,3.270853
0.020000,6.049017,1.560374,0.904773,1.784606,0.279861,0.381662,3.283161
0.020000,6.013600,1.555108,0.940579,1.790338,0.286624,0.338122,3.295141
0.020000,5.978132,1.549406,0.976503,1.796189,0.292545,0.296061,3.306787
0.020000,5.942614,1.543277,1.012546,1.802142,0.297660,0.255766,3.318092
0.020000,5.907047,1.536731,1.048710,1.808182,0.302010,0.217475,3.329053
0.020000,5.871434,1.529779,1.084996,1.814295,0.305637,0.181379,3.339664
0.020000,5.835774,1.522430,1.121405,1.820467,0.308590,0.147622,3.349922
0.020000,5.800068,1.514696,1.157939,1.826685,0.310916,0.116305,3.359826
0.020000,5.764317,1.506587,1.194597,1.832938,0.312660,0.087227,3.369372
0.020000,5.728522,1.498115,1.231382,1.839216,0.313888,0.061403,3.378559
0.020000,5.692682,1.489291,1.268292,1.845509,0.314638,0.037485,3.387387
0.020000,5.656798,1.480126,1.305328,1.851808,0.314962,0.016174,3.395854
0.020000,5.620869,1.470631,1.342490,1.858106,0.314908,-0.002706,3.403962
0.020000,5.584895,1.460819,1.379778,1.864397,0.314523,-0.019242,3.411711
0.020000,5.548876,1.450701,1.417192,1.870674,0.313852,-0.033528,3.419101
0.020000,5.512810,1.440289,1.454730,1.876933,0.312939,-0.045669,3.426133
0.020000,5.476697,1.429595,1.492394,1.883169,0.311823,-0.055776,3.432809
0.020000,5.440535,1.418630,1.530181,1.889380,0.310528,-0.064739,3.439130
0.020000,5.404323,1.407406,1.568093,1.895562,0.309133,-0.069769,3.445097
0.020000,5.368060,1.395936,1.606127,1.901715,0.307631,-0.075079,3.450714
0.020000,5.331743,1.384231,1.644284,1.907836,0.306066,-0.078259,3.455980
0.020000,5.295370,1.372304,1.682562,1.913926,0.304466,-0.080017,3.460898
0.020000,5.258939,1.360165,1.720962,1.919983,0.302857,-0.080469,3.465471
0.020000,5.222448,1.347828,1.759482,1.926008,0.301262,-0.079731,3.469699
0.020000,5.185894,1.335304,1.798122,1.932002,0.299704,-0.077911,3.473584
0.020000,5.149274,1.322606,1.836881,1.937966,0.298201,-0.075115,3.477129
0.020000,5.112585,1.309744,1.875759,1.943902,0.296773,-0.071442,3.480335
0.020000,5.075824,1.296732,1.914756,1.949810,0.295433,-0.066986,3.483203
0.020000,5.038987,1.283581,1.953869,1.955694,0.294192,-0.062020,3.485734
0.020000,5.002071,1.270303,1.993100,1.961555,0.293054,-0.056928,3.487931
0.020000,4.965073,1.256911,2.032448,1.967397,0.292085,-0.048425,3.489794
0.020000,4.927987,1.243416,2.071913,1.973221,0.291225,-0.043018,3.491324
0.020000,4.890811,1.229830,2.111493,1.979031,0.290507,-0.035915,3.492523
0.020000,4.853540,1.216167,2.151190,1.984830,0.289937,-0.028505,3.493389
0.020000,4.816170,1.202437,2.191002,1.990621,0.289520,-0.020857,3.493925
0.020000,4.778697,1.188653,2.230931,1.996406,0.289259,-0.013036,3.494131
0.020000,4.741115,1.174828,2.270974,2.002189,0.289160,-0.004929,3.494006
0.020000,4.703421,1.160974,2.311134,2.007973,0.289224,0.003169,3.493550
0.020000,4.665609,1.147104,2.351409,2.013762,0.289440,0.010819,3.492764
0.020000,4.627676,1.133229,2.391800,2.019558,0.289814,0.018677,3.491646
0.020000,4.589616,1.119364,2.432308,2.025365,0.290341,0.026392,3.490197
0.020000,4.551423,1.105520,2.472931,2.031186,0.291019,0.033893,3.488414
0.020000,4.513094,1.091712,2.513672,2.037023,0.291841,0.041112,3.486299
0.020000,4.474624,1.077951,2.554529,2.042879,0.292817,0.048790,3.483849
0.020000,4.436007,1.064252,2.595504,2.048757,0.293908,0.054553,3.481063
0.020000,4.397238,1.050628,2.636598,2.054659,0.295101,0.059615,3.477939
0.020000,4.358312,1.037093,2.677809,2.060587,0.296413,0.065625,3.474477
0.020000,4.319225,1.023660,2.719140,2.066544,0.297819,0.070291,3.470674
0.020000,4.279971,1.010345,2.760591,2.072530,0.299303,0.074196,3.466530
0.020000,4.240546,0.997161,2.802162,2.078547,0.300848,0.077242,3.462041
0.020000,4.200945,0.984123,2.843854,2.084595,0.302434,0.079331,3.457207
0.020000,4.161164,0.971246,2.885667,2.090676,0.304041,0.080357,3.452025
0.020000,4.121198,0.958545,2.927603,2.096789,0.305646,0.080213,3.446494
0.020000,4.085834,0.947431,2.964672,1.853449,-12.167029,-623.633733,3.446034
0.020000,4.047614,0.935425,3.004733,2.003064,7.480791,982.390979,3.445859
0.020000,4.009358,0.923418,3.044830,2.004830,0.088297,-369.624667,3.445583
0.020000,3.971064,0.911412,3.084962,2.006597,0.088322,0.001220,3.445206
0.020000,3.932731,0.899412,3.125129,2.008364,0.088355,0.001687,3.444728
0.020000,3.894358,0.887422,3.165332,2.010132,0.088398,0.002128,3.444149
0.020000,3.855943,0.875445,3.205570,2.011901,0.088449,0.002559,3.443469
0.020000,3.817487,0.863486,3.245843,2.013671,0.088509,0.002978,3.442688
0.020000,3.778986,0.851548,3.286152,2.015443,0.088576,0.003383,3.441805
0.020000,3.740440,0.839636,3.326496,2.017216,0.088652,0.003773,3.440821
0.020000,3.701849,0.827753,3.366876,2.018990,0.088735,0.004145,3.439736
0.020000,3.663209,0.815904,3.407291,2.020767,0.088825,0.004497,3.438550
0.020000,3.624521,0.804092,3.447742,2.022545,0.088921,0.004826,3.437261
0.020000,3.585784,0.792322,3.488229,2.024326,0.089024,0.005130,3.435871
0.020000,3.546995,0.780597,3.528751,2.026108,0.089132,0.005408,3.434379
0.020000,3.508154,0.768922,3.569309,2.027893,0.089245,0.005657,3.432785
0.020000,3.469259,0.757300,3.609903,2.029680,0.089363,0.005875,3.431089
0.020000,3.430310,0.745737,3.650532,2.031470,0.089484,0.006058,3.429291
0.020000,3.391305,0.734235,3.691197,2.033262,0.089608,0.006206,3.427390
0.020000,3.352244,0.722799,3.731898,2.035057,0.089734,0.006314,3.425387
0.020000,3.313124,0.711433,3.772635,2.036854,0.089866,0.006571,3.423281
0.020000,3.273946,0.700142,3.813408,2.038654,0.089990,0.006226,3.421072
0.020000,3.234707,0.688930,3.854218,2.040456,0.090117,0.006369,3.418760
0.020000,3.195408,0.677800,3.895063,2.042261,0.090244,0.006311,3.416346
0.020000,3.156046,0.666758,3.935944,2.044069,0.090367,0.006190,3.413827
0.020000,3.116621,0.655807,3.976862,2.045878,0.090488,0.006015,3.411206
0.020000,3.077132,0.644953,4.017816,2.047690,0.090603,0.005783,3.408480
0.020000,3.037578,0.634198,4.058806,2.049505,0.090713,0.005493,3.405652
0.020000,2.997958,0.623548,4.099832,2.051321,0.090816,0.005141,3.402719
0.020000,2.958271,0.613006,4.140895,2.053139,0.090911,0.004725,3.399682
0.020000,2.918517,0.602579,4.181994,2.054959,0.090995,0.004242,3.396542
0.020000,2.878694,0.592269,4.223130,2.056781,0.091069,0.003689,3.393297
0.020000,2.838802,0.582081,4.264302,2.058603,0.091131,0.003065,3.389948
0.020000,2.798841,0.572020,4.305510,2.060427,0.091178,0.002366,3.386495
0.020000,2.758809,0.562091,4.346755,2.062251,0.091210,0.001590,3.382938
0.020000,2.718706,0.552297,4.388037,2.064075,0.091224,0.000734,3.379276
0.020000,2.678531,0.542644,4.429355,2.065900,0.091220,-0.000203,3.375511
