dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.473924,0.297605,0.003333,0.333333,16.666667,833.333333,0.401567
0.020000,6.490848,0.304938,0.021778,0.922242,29.445418,638.937551,0.416173
0.020000,6.524602,0.320463,0.058931,1.857658,46.770831,866.270642,0.446138
0.020000,6.570690,0.343724,0.110556,2.581247,36.179452,-529.568950,0.488887
0.020000,6.620312,0.371677,0.167510,2.847710,13.323152,-1142.814960,0.537344
0.020000,6.668955,0.402328,0.225005,2.874704,1.349688,-598.673198,0.587344
0.020000,6.716296,0.435615,0.282877,2.893627,0.946137,-20.177559,0.638427
0.020000,6.762011,0.471406,0.340936,2.902954,0.466353,-23.989198,0.690042
0.020000,6.805800,0.509490,0.398970,2.901680,-0.063679,-26.501635,0.741585
0.020000,6.847405,0.549597,0.456758,2.889409,-0.613565,-27.494299,0.792427
0.020000,6.886630,0.591406,0.514087,2.866448,-1.148039,-26.723680,0.841955
0.020000,6.923351,0.634573,0.570761,2.833684,-1.638220,-24.509045,0.889610
0.020000,6.957523,0.678751,0.626612,2.792564,-2.056011,-20.889577,0.934913
0.020000,6.989170,0.723606,0.681508,2.744781,-2.389111,-16.654955,0.977483
0.020000,7.018376,0.768839,0.735350,2.692131,-2.632501,-12.169523,1.017044
0.020000,7.045275,0.814188,0.788076,2.636311,-2.791002,-7.925065,1.053413
0.020000,7.070030,0.859435,0.839652,2.578798,-2.875668,-4.233267,1.086494
0.020000,7.092827,0.904402,0.890068,2.520780,-2.900903,-1.261769,1.116258
0.020000,7.113858,0.948950,0.939331,2.463151,-2.881453,0.972480,1.142728
0.020000,7.133318,0.992971,0.987461,2.406519,-2.831571,2.494115,1.165961
0.020000,7.151395,1.036382,1.034486,2.351238,-2.764070,3.375039,1.186034
0.020000,7.168270,1.079121,1.080436,2.297479,-2.687969,3.805090,1.203034
0.020000,7.184111,1.121139,1.125340,2.245237,-2.612085,3.794181,1.217049
0.020000,7.199077,1.162397,1.169228,2.194399,-2.541880,3.510229,1.228158
0.020000,7.213312,1.202861,1.212124,2.144771,-2.481403,3.023857,1.236431
0.020000,7.226952,1.242502,1.254046,2.096092,-2.433960,2.372182,1.241922
0.020000,7.240120,1.281289,1.295007,2.048065,-2.401335,1.631207,1.244668
0.020000,7.252928,1.319190,1.335014,2.000371,-2.384713,0.831107,1.244690
0.020000,7.265481,1.356172,1.374068,1.952678,-2.384651,0.003093,1.241986
0.020000,7.277871,1.392193,1.412161,1.904656,-2.401123,-0.823569,1.236537
0.020000,7.290184,1.427211,1.449281,1.855983,-2.433651,-1.626415,1.228308
0.020000,7.302496,1.461176,1.485408,1.806361,-2.481067,-2.370821,1.217244
0.020000,7.314873,1.494033,1.520519,1.755533,-2.541427,-3.017982,1.203275
0.020000,7.327373,1.525723,1.554585,1.703299,-2.611693,-3.513302,1.186322
0.020000,7.340043,1.556184,1.587575,1.649543,-2.687817,-3.806212,1.166297
0.020000,7.352921,1.585353,1.619461,1.594263,-2.763955,-3.806873,1.143114
0.020000,7.366034,1.613169,1.650213,1.537622,-2.832069,-3.405731,1.116695
0.020000,7.379402,1.639578,1.679813,1.479974,-2.882413,-2.517176,1.086982
0.020000,7.393035,1.664536,1.708251,1.421921,-2.902621,-1.010410,1.053953
0.020000,7.406938,1.688015,1.735538,1.364353,-2.878441,1.208992,1.017635
0.020000,7.421115,1.710011,1.761707,1.308455,-2.794883,4.177906,0.978123
0.020000,7.435575,1.730545,1.786821,1.255702,-2.637663,7.861002,0.935597
0.020000,7.450337,1.749665,1.810977,1.207789,-2.395615,12.102401,0.890334
0.020000,7.465437,1.767449,1.834307,1.166513,-2.063816,16.589971,0.842712
0.020000,7.480934,1.783998,1.856979,1.133582,-1.646555,20.863036,0.793210
0.020000,7.495691,1.798303,1.877532,1.027639,-5.297143,-182.529402,0.746232
0.020000,7.507039,1.808427,1.892738,0.760340,-13.364961,-403.390908,0.710664
0.020000,7.513175,1.813608,1.900769,0.401541,-17.939935,-228.748668,0.691742
0.020000,7.515003,1.815113,1.903138,0.118410,-14.156554,189.169041,0.686156
0.020000,7.515143,1.815228,1.903318,0.009041,-5.468460,434.404682,0.685730
0.020000,7.515143,1.815228,1.903318,0.000000,-0.452042,250.820904,0.685730
