dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.448925,1.796248,0.003333,0.333333,16.666667,833.333333,3.738583
0.020000,7.436885,1.788095,0.017875,0.727066,19.686627,150.998036,3.735132
0.020000,7.412726,1.771916,0.046951,1.453805,36.336946,832.515944,3.728248
0.020000,7.379340,1.749949,0.086915,1.998225,27.221028,-455.795902,3.718825
0.020000,7.342703,1.726357,0.130491,2.178803,9.028869,-909.607954,3.708607
0.020000,7.305848,1.703151,0.174043,2.177588,-0.060748,-454.480878,3.698459
0.020000,7.268783,1.680333,0.217568,2.176268,-0.065972,-0.261163,3.688385
0.020000,7.231515,1.657903,0.261066,2.174862,-0.070328,-0.217827,3.678393
0.020000,7.194052,1.635860,0.304533,2.173357,-0.075248,-0.245985,3.668486
0.020000,7.156401,1.614203,0.347968,2.171769,-0.079398,-0.207516,3.658670
0.020000,7.118569,1.592932,0.391370,2.170089,-0.084016,-0.230894,3.648950
0.020000,7.080564,1.572044,0.434737,2.168330,-0.087905,-0.194446,3.639331
0.020000,7.042394,1.551539,0.478066,2.166488,-0.092118,-0.210654,3.629817
0.020000,7.004065,1.531413,0.521358,2.164570,-0.095923,-0.190230,3.620413
0.020000,6.965585,1.511664,0.564609,2.162580,-0.099498,-0.178784,3.611122
0.020000,6.926962,1.492290,0.607820,2.160517,-0.103147,-0.182438,3.601949
0.020000,6.888201,1.473288,0.650987,2.158388,-0.106443,-0.164779,3.592898
0.020000,6.849311,1.454654,0.694111,2.156198,-0.109514,-0.153575,3.583972
0.020000,6.810298,1.436384,0.737190,2.153946,-0.112600,-0.154303,3.575175
0.020000,6.771169,1.418474,0.780223,2.151638,-0.115391,-0.139555,3.566509
0.020000,6.731931,1.400921,0.823209,2.149278,-0.117977,-0.129299,3.557979
0.020000,6.692590,1.383720,0.866146,2.146870,-0.120433,-0.122765,3.549586
0.020000,6.653152,1.366867,0.909034,2.144415,-0.122742,-0.115480,3.541333
0.020000,6.613623,1.350355,0.951873,2.141918,-0.124843,-0.105037,3.533223
0.020000,6.574010,1.334182,0.994660,2.139382,-0.126773,-0.096485,3.525258
0.020000,6.534318,1.318340,1.037397,2.136812,-0.128535,-0.088095,3.517440
0.020000,6.494554,1.302825,1.080081,2.134208,-0.130177,-0.082130,3.509771
0.020000,6.454722,1.287632,1.122712,2.131575,-0.131637,-0.073000,3.502252
0.020000,6.414827,1.272753,1.165291,2.128916,-0.132949,-0.065601,3.494885
