dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.010540,3.349844,0.003333,0.333333,16.666667,833.333333,6.256710
0.020000,0.023623,3.349502,0.016421,0.654392,16.052938,-30.686434,6.257411
0.020000,0.049803,3.348845,0.042609,1.309399,32.750331,834.869655,6.258779
0.020000,0.085828,3.347998,0.078644,1.801761,24.618138,-406.609674,6.260583
0.020000,0.125166,3.347146,0.117991,1.967326,8.278216,-816.996077,6.262450
0.020000,0.164541,3.346364,0.157374,1.969171,0.092259,-409.297860,6.264212
0.020000,0.203955,3.345650,0.196795,1.971016,0.092276,0.000842,6.265868
0.020000,0.243407,3.344997,0.236252,1.972862,0.092287,0.000573,6.267419
0.020000,0.282897,3.344403,0.275746,1.974708,0.092294,0.000366,6.268864
0.020000,0.322424,3.343864,0.315277,1.976554,0.092297,0.000148,6.270204
0.020000,0.361989,3.343375,0.354845,1.978400,0.092298,0.000052,6.271438
0.020000,0.401592,3.342933,0.394450,1.980246,0.092296,-0.000132,6.272567
0.020000,0.441231,3.342532,0.434092,1.982092,0.092293,-0.000161,6.273590
0.020000,0.480909,3.342170,0.473771,1.983938,0.092287,-0.000268,6.274508
0.020000,0.520623,3.341842,0.513486,1.985783,0.092281,-0.000292,6.275320
0.020000,0.560374,3.341544,0.553239,1.987629,0.092275,-0.000299,6.276027
0.020000,0.600163,3.341271,0.593028,1.989474,0.092269,-0.000337,6.276629
0.020000,0.639988,3.341020,0.632855,1.991319,0.092263,-0.000264,6.277125
0.020000,0.679851,3.340787,0.672718,1.993164,0.092258,-0.000295,6.277515
0.020000,0.719751,3.340567,0.712618,1.995010,0.092254,-0.000198,6.277800
0.020000,0.759687,3.340356,0.752555,1.996855,0.092250,-0.000183,6.277980
0.020000,0.799661,3.340149,0.792529,1.998699,0.092248,-0.000108,6.278054
0.020000,0.839671,3.339944,0.832540,2.000544,0.092247,-0.000051,6.278023
0.020000,0.879718,3.339735,0.872588,2.002389,0.092247,0.000017,6.277887
0.020000,0.919802,3.339518,0.912673,2.004234,0.092248,0.000069,6.277645
0.020000,0.959923,3.339289,0.952794,2.006079,0.092252,0.000157,6.277297
0.020000,1.000081,3.339044,0.992953,2.007924,0.092255,0.000169,6.276845
0.020000,1.040276,3.338778,1.033148,2.009770,0.092260,0.000258,6.276286
0.020000,1.080507,3.338487,1.073380,2.011615,0.092265,0.000262,6.275623
0.020000,1.120775,3.338168,1.113650,2.013460,0.092271,0.000299,6.274853
0.020000,1.161079,3.337815,1.153956,2.015306,0.092278,0.000316,6.273979
0.020000,1.201420,3.337424,1.194299,2.017152,0.092283,0.000268,6.272999
0.020000,1.241798,3.336991,1.234679,2.018997,0.092289,0.000304,6.271913
0.020000,1.282212,3.336512,1.275096,2.020843,0.092292,0.000165,6.270722
0.020000,1.322662,3.335982,1.315549,2.022689,0.092296,0.000165,6.269426
0.020000,1.363149,3.335397,1.356040,2.024535,0.092296,-0.000001,6.268024
0.020000,1.403671,3.334752,1.396568,2.026381,0.092294,-0.000105,6.266516
0.020000,1.444230,3.334043,1.437132,2.028227,0.092288,-0.000287,6.264903
0.020000,1.484824,3.333267,1.477734,2.030072,0.092278,-0.000490,6.263185
0.020000,1.525453,3.332417,1.518372,2.031918,0.092263,-0.000742,6.261361
0.020000,1.566118,3.331491,1.559047,2.033762,0.092243,-0.000992,6.259432
0.020000,1.606818,3.330483,1.599759,2.035607,0.092216,-0.001388,6.257397
0.020000,1.647552,3.329389,1.640508,2.037450,0.092182,-0.001659,6.255257
0.020000,1.688321,3.328204,1.681294,2.039293,0.092139,-0.002175,6.253011
0.020000,1.729123,3.326925,1.722117,2.041135,0.092087,-0.002580,6.250661
0.020000,1.769959,3.325547,1.762977,2.042975,0.092026,-0.003085,6.248205
0.020000,1.810829,3.324064,1.803873,2.044814,0.091950,-0.003796,6.245644
0.020000,1.851731,3.322474,1.844806,2.046652,0.091867,-0.004117,6.242978
0.020000,1.892665,3.320771,1.885776,2.048487,0.091761,-0.005328,6.240208
0.020000,1.933631,3.318950,1.926782,2.050320,0.091652,-0.005418,6.237332
0.020000,1.974628,3.317008,1.967825,2.052150,0.091516,-0.006818,6.234352
0.020000,2.015656,3.314940,2.008905,2.053978,0.091370,-0.007321,6.231268
0.020000,2.056713,3.312741,2.050021,2.055802,0.091203,-0.008323,6.228079
0.020000,2.095746,3.310515,2.089117,1.954818,-5.049171,-257.018696,6.223568
0.020000,2.137925,3.307859,2.131380,2.113139,7.916027,648.259862,6.217103
