dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001275,2.999966,0.003333,0.333333,16.666667,833.333333,6.256710
0.020000,0.014604,2.999618,0.016667,1.000000,33.333333,833.333333,6.257411
0.020000,0.041262,2.998949,0.043333,1.666667,33.333333,0.000000,6.258779
0.020000,0.077918,2.998088,0.080000,2.000000,16.666667,-833.333333,6.260583
0.020000,0.117909,2.997221,0.120000,2.000000,0.000000,-833.333333,6.262450
0.020000,0.157901,2.996427,0.160000,2.000000,0.000000,0.000000,6.264212
0.020000,0.197894,2.995702,0.200000,2.000000,0.000000,0.000000,6.265868
0.020000,0.237889,2.995041,0.240000,2.000000,0.000000,0.000000,6.267419
0.020000,0.277884,2.994439,0.280000,2.000000,0.000000,0.000000,6.268864
0.020000,0.317881,2.993894,0.320000,2.000000,0.000000,0.000000,6.270204
0.020000,0.357878,2.993399,0.360000,2.000000,0.000000,0.000000,6.271438
0.020000,0.397875,2.992952,0.400000,2.000000,0.000000,0.000000,6.272567
0.020000,0.437873,2.992549,0.440000,2.000000,0.000000,0.000000,6.273590
0.020000,0.477871,2.992183,0.480000,2.000000,0.000000,0.000000,6.274508
0.020000,0.517870,2.991853,0.520000,2.000000,0.000000,0.000000,6.275320
0.020000,0.557869,2.991553,0.560000,2.000000,0.000000,0.000000,6.276027
0.020000,0.597868,2.991279,0.600000,2.000000,0.000000,0.000000,6.276629
0.020000,0.637867,2.991027,0.640000,2.000000,0.000000,0.000000,6.277125
0.020000,0.677867,2.990793,0.680000,2.000000,0.000000,0.000000,6.277515
0.020000,0.717866,2.990572,0.720000,2.000000,0.000000,0.000000,6.277800
0.020000,0.757865,2.990360,0.760000,2.000000,0.000000,0.000000,6.277980
0.020000,0.797865,2.990154,0.800000,2.000000,0.000000,0.000000,6.278054
0.020000,0.837864,2.989949,0.840000,2.000000,0.000000,0.000000,6.278023
0.020000,0.877864,2.989740,0.880000,2.000000,0.000000,0.000000,6.277887
0.020000,0.917863,2.989523,0.920000,2.000000,0.000000,0.000000,6.277645
0.020000,0.957863,2.989295,0.960000,2.000000,0.000000,0.000000,6.277297
0.020000,0.997862,2.989051,1.000000,2.000000,0.000000,0.000000,6.276845
0.020000,1.037861,2.988786,1.040000,2.000000,0.000000,0.000000,6.276286
0.020000,1.077860,2.988497,1.080000,2.000000,0.000000,0.000000,6.275623
0.020000,1.117859,2.988180,1.120000,2.000000,0.000000,0.000000,6.274853
0.020000,1.157857,2.987830,1.160000,2.000000,0.000000,0.000000,6.273979
0.020000,1.197855,2.987442,1.200000,2.000000,0.000000,0.000000,6.272999
0.020000,1.237853,2.987013,1.240000,2.000000,0.000000,0.000000,6.271913
0.020000,1.277850,2.986539,1.280000,2.000000,0.000000,0.000000,6.270722
0.020000,1.317847,2.986015,1.320000,2.000000,0.000000,0.000000,6.269426
0.020000,1.357842,2.985437,1.360000,2.000000,0.000000,0.000000,6.268024
0.020000,1.397837,2.984801,1.400000,2.000000,0.000000,0.000000,6.266516
0.020000,1.437831,2.984102,1.440000,2.000000,0.000000,0.000000,6.264903
0.020000,1.477824,2.983337,1.480000,2.000000,0.000000,0.000000,6.263185
0.020000,1.517815,2.982501,1.520000,2.000000,0.000000,0.000000,6.261361
0.020000,1.557805,2.981589,1.560000,2.000000,0.000000,0.000000,6.259432
0.020000,1.597793,2.980599,1.600000,2.000000,0.000000,0.000000,6.257397
0.020000,1.637778,2.979525,1.640000,2.000000,0.000000,0.000000,6.255257
0.020000,1.677761,2.978364,1.680000,2.000000,0.000000,0.000000,6.253011
0.020000,1.717742,2.977110,1.720000,2.000000,0.000000,0.000000,6.250661
0.020000,1.757719,2.975761,1.760000,2.000000,0.000000,0.000000,6.248205
