dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.007991,2.650089,0.003333,0.333333,16.666667,833.333333,6.256710
0.020000,0.005584,2.649734,0.016912,0.678941,17.280393,30.686326,6.257411
0.020000,0.032720,2.649053,0.044058,1.357268,33.916327,831.796691,6.258779
0.020000,0.070008,2.648177,0.081356,1.864905,25.381848,-426.723942,6.260583
0.020000,0.110652,2.647296,0.122009,2.032674,8.388446,-849.670092,6.262450
0.020000,0.151261,2.646490,0.162626,2.030829,-0.092256,-424.035108,6.264212
0.020000,0.191834,2.645754,0.203205,2.028983,-0.092273,-0.000839,6.265868
0.020000,0.232371,2.645084,0.243748,2.027137,-0.092284,-0.000589,6.267419
0.020000,0.272872,2.644475,0.284254,2.025292,-0.092291,-0.000354,6.268864
0.020000,0.313337,2.643923,0.324723,2.023446,-0.092296,-0.000204,6.270204
0.020000,0.353766,2.643424,0.365155,2.021600,-0.092296,0.000002,6.271438
0.020000,0.394159,2.642972,0.405550,2.019754,-0.092294,0.000055,6.272567
0.020000,0.434515,2.642565,0.445908,2.017908,-0.092290,0.000208,6.273590
0.020000,0.474834,2.642197,0.486229,2.016062,-0.092286,0.000228,6.274508
0.020000,0.515117,2.641864,0.526514,2.014217,-0.092280,0.000285,6.275320
0.020000,0.555364,2.641562,0.566761,2.012371,-0.092274,0.000315,6.276027
0.020000,0.595573,2.641286,0.606972,2.010526,-0.092268,0.000277,6.276629
0.020000,0.635746,2.641033,0.647145,2.008681,-0.092262,0.000316,6.277125
0.020000,0.675882,2.640798,0.687282,2.006835,-0.092257,0.000224,6.277515
0.020000,0.715981,2.640577,0.727382,2.004990,-0.092253,0.000236,6.277800
0.020000,0.756044,2.640365,0.767445,2.003145,-0.092250,0.000149,6.277980
0.020000,0.796069,2.640159,0.807471,2.001301,-0.092247,0.000107,6.278054
0.020000,0.836058,2.639953,0.847460,1.999456,-0.092247,0.000039,6.278023
0.020000,0.876009,2.639745,0.887412,1.997611,-0.092247,-0.000021,6.277887
0.020000,0.915924,2.639529,0.927327,1.995766,-0.092249,-0.000096,6.277645
0.020000,0.955802,2.639301,0.967206,1.993921,-0.092252,-0.000128,6.277297
0.020000,0.995643,2.639058,1.007047,1.992075,-0.092256,-0.000225,6.276845
0.020000,1.035446,2.638795,1.046852,1.990230,-0.092261,-0.000228,6.276286
0.020000,1.075213,2.638508,1.086619,1.988385,-0.092267,-0.000297,6.275623
0.020000,1.114943,2.638192,1.126350,1.986539,-0.092273,-0.000305,6.274853
0.020000,1.154635,2.637844,1.166044,1.984694,-0.092279,-0.000303,6.273979
0.020000,1.194290,2.637460,1.205701,1.982848,-0.092285,-0.000329,6.272999
0.020000,1.233908,2.637035,1.245321,1.981002,-0.092290,-0.000232,6.271913
0.020000,1.273488,2.636566,1.284904,1.979157,-0.092295,-0.000262,6.270722
0.020000,1.313031,2.636048,1.324450,1.977311,-0.092297,-0.000104,6.269426
0.020000,1.352536,2.635477,1.363960,1.975465,-0.092298,-0.000055,6.268024
0.020000,1.392003,2.634849,1.403432,1.973619,-0.092296,0.000116,6.266516
0.020000,1.431433,2.634160,1.442868,1.971773,-0.092291,0.000274,6.264903
0.020000,1.470824,2.633407,1.482266,1.969927,-0.092281,0.000482,6.263185
0.020000,1.510177,2.632584,1.521628,1.968082,-0.092267,0.000716,6.261361
0.020000,1.549492,2.631688,1.560953,1.966237,-0.092246,0.001031,6.259432
0.020000,1.588768,2.630715,1.600240,1.964393,-0.092220,0.001289,6.257397
0.020000,1.628004,2.629662,1.639491,1.962549,-0.092185,0.001756,6.255257
0.020000,1.667202,2.628523,1.678705,1.960706,-0.092144,0.002079,6.253011
0.020000,1.706360,2.627295,1.717883,1.958864,-0.092091,0.002607,6.250661
0.020000,1.745478,2.625975,1.757023,1.957024,-0.092029,0.003140,6.248205
0.020000,1.784556,2.624558,1.796127,1.955184,-0.091957,0.003581,6.245644
0.020000,1.823594,2.623040,1.835194,1.953347,-0.091867,0.004506,6.242978
0.020000,1.862590,2.621417,1.874224,1.951512,-0.091773,0.004696,6.240208
0.020000,1.901545,2.619686,1.913218,1.949679,-0.091651,0.006072,6.237332
0.020000,1.940459,2.617843,1.952175,1.947848,-0.091525,0.006323,6.234352
0.020000,1.979330,2.615883,1.991095,1.946021,-0.091374,0.007553,6.231268
0.020000,2.018158,2.613804,2.029979,1.944197,-0.091205,0.008437,6.228079
0.020000,2.054039,2.611758,2.065918,1.796938,-7.362929,-363.586191,6.223568
0.020000,2.091701,2.609387,2.103655,1.886854,4.495799,592.936389,6.217103
0.020000,2.129432,2.606771,2.141476,1.891064,0.210513,-214.264286,6.210878
0.020000,2.167230,2.603919,2.179382,1.895297,0.211641,0.056377,6.204895
0.020000,2.205096,2.600838,2.217373,1.899549,0.212610,0.048479,6.199155
0.020000,2.243029,2.597537,2.255449,1.903818,0.213426,0.040805,6.193659
0.020000,2.281029,2.594025,2.293611,1.908100,0.214102,0.033808,6.188408
0.020000,2.319096,2.590309,2.331859,1.912393,0.214652,0.027471,6.183402
0.020000,2.357230,2.586399,2.370193,1.916695,0.215087,0.021776,6.178642
0.020000,2.395431,2.582302,2.408613,1.921003,0.215421,0.016690,6.174128
0.020000,2.433699,2.578029,2.447120,1.925316,0.215664,0.012162,6.169860
0.020000,2.472036,2.573587,2.485712,1.929633,0.215831,0.008329,6.165839
0.020000,2.510440,2.568985,2.524391,1.933952,0.215931,0.004976,6.162065
0.020000,2.548913,2.564233,2.563157,1.938271,0.215973,0.002124,6.158538
0.020000,2.587455,2.559338,2.602008,1.942590,0.215968,-0.000244,6.155257
0.020000,2.626068,2.554311,2.640947,1.946909,0.215925,-0.002161,6.152224
0.020000,2.664751,2.549160,2.679971,1.951226,0.215852,-0.003656,6.149437
0.020000,2.703505,2.543895,2.719082,1.955541,0.215753,-0.004925,6.146896
