dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.677421,2.786754,0.003333,0.333333,16.666667,833.333333,5.947144
0.020000,6.687056,2.783438,0.013523,0.509468,8.806734,-392.996643,5.956127
0.020000,6.706963,2.776870,0.034485,1.048138,26.933507,906.338653,5.972423
0.020000,6.735649,2.767969,0.064520,1.501750,22.680602,-212.645238,5.991370
0.020000,6.768553,2.758392,0.098791,1.713507,10.587842,-604.638012,6.007740
0.020000,6.803016,2.748892,0.134538,1.787377,3.693513,-344.716459,6.019889
0.020000,6.838930,2.739381,0.171690,1.857616,3.511959,-9.077662,6.028025
0.020000,6.876215,2.729754,0.210198,1.925394,3.388856,-6.155182,6.032288
0.020000,6.914810,2.719884,0.250036,1.991875,3.324062,-3.239674,6.032752
0.020000,6.954677,2.709629,0.291200,2.058212,3.316855,-0.360376,6.029426
0.020000,6.995791,2.698822,0.333711,2.125558,3.367288,2.521637,6.022251
0.020000,7.038146,2.687273,0.377613,2.195071,3.475653,5.418254,6.011103
0.020000,7.081746,2.674763,0.422971,2.267923,3.642610,8.347876,5.995792
0.020000,7.126598,2.661039,0.469877,2.345280,3.867850,11.261988,5.976060
0.020000,7.172713,2.645806,0.518442,2.428265,4.149274,14.071200,5.951584
0.020000,7.220086,2.628726,0.568800,2.517876,4.480516,16.562096,5.921986
0.020000,7.268683,2.609406,0.621096,2.614848,4.848589,18.403645,5.886844
0.020000,7.318421,2.587401,0.675484,2.719390,5.227124,18.926772,5.845725
0.020000,7.369132,2.562225,0.732101,2.830846,5.572815,17.284520,5.798233
0.020000,7.420528,2.533365,0.791046,2.947234,5.819401,12.329314,5.744085
0.020000,7.472159,2.500331,0.852341,3.064738,5.875197,2.789782,5.683215
0.020000,7.523384,2.462723,0.915888,3.177385,5.632319,-12.143864,5.615902
0.020000,7.573365,2.420321,0.981432,3.277186,4.990075,-32.112219,5.542878
0.020000,7.621122,2.373184,1.048534,3.355108,3.896118,-54.697836,5.465395
0.020000,7.665639,2.321704,1.116593,3.402924,2.390760,-75.267917,5.385176
0.020000,7.706010,2.266600,1.184902,3.415485,0.628051,-88.135439,5.304238
0.020000,7.741585,2.208827,1.252750,3.392399,-1.154287,-89.116905,5.224621
0.020000,7.772045,2.149420,1.319511,3.338039,-2.717984,-78.184855,5.148114
0.020000,7.797404,2.089347,1.384718,3.260318,-3.886053,-58.403425,5.076056
0.020000,7.817936,2.029400,1.448082,3.168239,-4.603958,-35.895267,5.009266
0.020000,7.834075,1.970160,1.509482,3.069995,-4.912200,-15.412119,4.948095
0.020000,7.846328,1.911995,1.568924,2.972072,-4.896143,0.802848,4.892526
0.020000,7.855200,1.855108,1.626498,2.878700,-4.668601,11.377126,4.842297
0.020000,7.861163,1.799581,1.682344,2.792315,-4.319236,17.468224,4.797008
0.020000,7.864632,1.745412,1.736624,2.713997,-3.915924,20.165643,4.756198
0.020000,7.865963,1.692551,1.789502,2.643921,-3.503816,20.605399,4.719394
0.020000,7.865362,1.640428,1.841629,2.606323,-1.879863,81.197613,4.681536
0.020000,7.862533,1.585797,1.896333,2.735190,6.443311,416.158716,4.639514
0.020000,7.857284,1.530603,1.951776,2.772168,1.848929,-229.719076,4.595377
0.020000,7.849453,1.475014,2.007913,2.806874,1.735303,-5.681343,4.549256
0.020000,7.838901,1.419243,2.064675,2.838056,1.559100,-8.810129,4.501351
0.020000,7.825524,1.363537,2.121963,2.864438,1.319085,-12.000738,4.451938
0.020000,7.809265,1.308180,2.179659,2.884772,1.016698,-15.119365,4.401362
0.020000,7.790119,1.253474,2.237619,2.897992,0.661004,-17.784700,4.350030
0.020000,7.768140,1.199727,2.295686,2.903348,0.267783,-19.661033,4.298392
0.020000,7.743445,1.147237,2.353695,2.900468,-0.143985,-20.588417,4.246918
0.020000,7.716200,1.096274,2.411484,2.889438,-0.551494,-20.375431,4.196075
0.020000,7.686618,1.047066,2.468899,2.870776,-0.933121,-19.081373,4.146300
0.020000,7.654940,0.999790,2.525807,2.845368,-1.270364,-16.862156,4.097977
0.020000,7.621425,0.954569,2.582094,2.814362,-1.550342,-13.998884,4.051427
0.020000,7.586332,0.911468,2.637674,2.779036,-1.766285,-10.797151,4.006898
0.020000,7.549909,0.870505,2.692488,2.740683,-1.917632,-7.567369,3.964562
0.020000,7.512389,0.831655,2.746498,2.700506,-2.008837,-4.560234,3.924522
0.020000,7.473978,0.794859,2.799690,2.659570,-2.046821,-1.899186,3.886823
0.020000,7.434859,0.760034,2.852065,2.618743,-2.041344,0.273834,3.851459
0.020000,7.395187,0.727078,2.903639,2.578708,-2.001777,1.978375,3.818383
0.020000,7.355094,0.695884,2.954438,2.539970,-1.936861,3.245790,3.787522
0.020000,7.314688,0.666335,3.004496,2.502874,-1.854819,4.102070,3.758781
0.020000,7.274059,0.638318,3.053848,2.467634,-1.762008,4.640563,3.732055
0.020000,7.236345,0.613672,3.098901,2.252650,-10.749188,-449.359018,3.709032
0.020000,7.208098,0.595991,3.132226,1.666213,-29.321862,-928.633660,3.692831
0.020000,7.193121,0.586868,3.149762,0.876832,-39.469036,-507.358742,3.684583
0.020000,7.188703,0.584209,3.154919,0.257855,-30.948849,426.009366,3.682193
0.020000,7.188366,0.584006,3.155312,0.019631,-11.911185,951.883194,3.682012
0.020000,7.188366,0.584006,3.155312,0.000000,-0.981571,546.480692,3.682012
