dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.446595,2.125907,0.003333,0.333333,16.666667,833.333333,5.947144
0.020000,6.462175,2.120544,0.019811,0.823862,24.526440,392.988645,5.956127
0.020000,6.492914,2.110400,0.052181,1.618503,39.732052,760.280617,5.972423
0.020000,6.534264,2.097562,0.095478,2.164858,27.317764,-620.714417,5.991370
0.020000,6.578170,2.084779,0.141207,2.286449,6.079548,-1061.910794,6.007740
0.020000,6.620830,2.073016,0.185459,2.212599,-3.692496,-488.602198,6.019889
0.020000,6.662249,2.062045,0.228306,2.142375,-3.511211,9.064251,6.028025
0.020000,6.702424,2.051671,0.269798,2.074604,-3.388577,6.131734,6.032288
0.020000,6.741334,2.041721,0.309961,2.008127,-3.323858,3.235906,6.032752
0.020000,6.778945,2.032046,0.348797,1.941788,-3.316937,0.346066,6.029426
0.020000,6.815203,2.022517,0.386285,1.874435,-3.367628,-2.534567,6.022251
0.020000,6.850030,2.013023,0.422384,1.804908,-3.476367,-5.436910,6.011103
0.020000,6.883328,2.003472,0.457024,1.732038,-3.643494,-8.356364,5.995792
0.020000,6.914975,1.993794,0.490117,1.654657,-3.869040,-11.277298,5.976060
0.020000,6.944823,1.983941,0.521550,1.571638,-4.150937,-14.094832,5.951584
0.020000,6.972708,1.973895,0.551190,1.481977,-4.483082,-16.607289,5.921986
0.020000,6.998451,1.963670,0.578889,1.384947,-4.851484,-18.420107,5.886844
0.020000,7.021873,1.953320,0.604495,1.280330,-5.230880,-18.969772,5.845725
0.020000,7.042815,1.942937,0.627871,1.168776,-5.577659,-17.338936,5.798233
0.020000,7.061173,1.932645,0.648916,1.052276,-5.825028,-12.368480,5.744085
0.020000,7.076927,1.922584,0.667609,0.934642,-5.881686,-2.832871,5.683215
0.020000,7.090186,1.912869,0.684046,0.821857,-5.639274,12.120606,5.615902
0.020000,7.101205,1.903538,0.698485,0.721921,-4.996784,32.124470,5.542878
0.020000,7.110377,1.894499,0.711362,0.643889,-3.901603,54.759066,5.465395
0.020000,7.118177,1.885486,0.723282,0.595999,-2.394477,75.356266,5.385176
0.020000,7.125072,1.876073,0.734951,0.583411,-0.629407,88.253541,5.304238
0.020000,7.131428,1.865740,0.747082,0.606553,1.157066,89.323623,5.224621
0.020000,7.137450,1.853972,0.760301,0.660965,2.720638,78.178609,5.148114
0.020000,7.143185,1.840354,0.775077,0.738806,3.892025,58.569363,5.076056
0.020000,7.148557,1.824626,0.791698,0.831032,4.611325,35.964981,5.009266
0.020000,7.153430,1.806689,0.810285,0.929357,4.916220,15.244754,4.948095
0.020000,7.157654,1.786580,0.830833,1.027403,4.902316,-0.695208,4.892526
0.020000,7.161099,1.764428,0.853251,1.120877,4.673723,-11.429646,4.842297
0.020000,7.163668,1.740418,0.877397,1.207341,4.323158,-17.528233,4.797008
0.020000,7.165304,1.714756,0.903112,1.285724,3.919181,-20.198867,4.756198
0.020000,7.165980,1.687647,0.930229,1.355861,3.506826,-20.617743,4.719394
0.020000,7.165695,1.662021,0.955857,1.281379,-3.724069,-361.544761,4.681536
0.020000,7.164391,1.636765,0.981147,1.264516,-0.843144,144.046281,4.639514
0.020000,7.162071,1.612324,1.005697,1.227503,-1.850674,-50.376526,4.595377
0.020000,7.158746,1.588702,1.029552,1.192771,-1.736580,5.704700,4.549256
0.020000,7.154431,1.565875,1.052784,1.161556,-1.560793,8.789354,4.501351
0.020000,7.149133,1.543799,1.075487,1.135154,-1.320055,12.036917,4.451938
0.020000,7.142851,1.522406,1.097783,1.114804,-1.017503,15.127574,4.401362
0.020000,7.135574,1.501611,1.119814,1.101566,-0.661895,17.780395,4.350030
0.020000,7.127276,1.481318,1.141738,1.096207,-0.267958,19.696878,4.298392
0.020000,7.117917,1.461428,1.163720,1.099089,0.144082,20.602009,4.246918
0.020000,7.107448,1.441848,1.185923,1.110130,0.552044,20.398089,4.196075
0.020000,7.095814,1.422501,1.208499,1.128810,0.934015,19.098546,4.146300
0.020000,7.082961,1.403325,1.231584,1.154242,1.271580,16.878249,4.097977
0.020000,7.068843,1.384282,1.255289,1.185276,1.551719,14.006942,4.051427
0.020000,7.053426,1.365353,1.279702,1.220633,1.767838,10.805968,4.006898
0.020000,7.036691,1.346539,1.304882,1.259019,1.919302,7.573172,3.964562
0.020000,7.018637,1.327851,1.330867,1.299224,2.010242,4.547013,3.924522
0.020000,6.999279,1.309311,1.357671,1.340193,2.048440,1.909921,3.886823
0.020000,6.978646,1.290948,1.385292,1.381049,2.042815,-0.281275,3.851459
0.020000,6.956781,1.272789,1.413714,1.421109,2.002995,-1.990997,3.818383
0.020000,6.933736,1.254862,1.442911,1.459871,1.938112,-3.244140,3.787522
0.020000,6.909567,1.237191,1.472851,1.496988,1.855869,-4.112144,3.758781
0.020000,6.884337,1.219796,1.503496,1.532247,1.762914,-4.647744,3.732055
0.020000,6.860113,1.203968,1.532433,1.446851,-4.269785,-301.634981,3.709032
0.020000,6.841479,1.192304,1.554416,1.099172,-17.383970,-655.709231,3.692831
0.020000,6.831433,1.186185,1.566179,0.588161,-25.550547,-408.328835,3.684583
0.020000,6.828447,1.184388,1.569664,0.174227,-20.696706,242.692013,3.682193
0.020000,6.828219,1.184252,1.569930,0.013288,-8.046932,632.488701,3.682012
0.020000,6.828219,1.184252,1.569930,0.000000,-0.664394,369.126908,3.682012
