dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.250847,5.617417,0.003333,0.333333,16.666667,833.333333,1.582291
0.020000,6.250687,5.629545,0.015463,0.606461,13.656405,-150.513083,1.585731
0.020000,6.250243,5.654010,0.039931,1.223424,30.848108,859.585135,1.592012
0.020000,6.249390,5.688089,0.074021,1.704501,24.053855,-339.712647,1.599373
0.020000,6.248185,5.725830,0.111781,1.888019,9.175933,-743.896073,1.605772
0.020000,6.246748,5.764143,0.150121,1.916987,1.448373,-386.378035,1.610515
0.020000,6.245137,5.803016,0.189027,1.945310,1.416182,-1.609553,1.613641
0.020000,6.243411,5.842442,0.228492,1.973208,1.394900,-1.064058,1.615172
0.020000,6.241631,5.882421,0.268509,2.000897,1.384437,-0.523158,1.615120
0.020000,6.239861,5.922954,0.309081,2.028592,1.384744,0.015363,1.613486
0.020000,6.238167,5.964049,0.350212,2.056509,1.395851,0.555334,1.610257
0.020000,6.236618,6.005718,0.391909,2.084866,1.417860,1.100424,1.605408
0.020000,6.235287,6.047974,0.434186,2.113881,1.450724,1.643235,1.598900
0.020000,6.234252,6.090837,0.477062,2.143776,1.494753,2.201426,1.590684
0.020000,6.233598,6.134328,0.520558,2.174777,1.550049,2.764824,1.580696
0.020000,6.233416,6.178470,0.564700,2.207112,1.616780,3.336515,1.568861
0.020000,6.233805,6.223289,0.609520,2.241013,1.695013,3.911669,1.555088
0.020000,6.234873,6.268810,0.655054,2.276689,1.783819,4.440298,1.539275
0.020000,6.236740,6.315059,0.701341,2.314366,1.883826,5.000328,1.521310
0.020000,6.239537,6.362061,0.748425,2.354213,1.992395,5.428456,1.501067
0.020000,6.243410,6.409832,0.796353,2.396389,2.108766,5.818552,1.478413
0.020000,6.248517,6.458383,0.845173,2.440971,2.229093,6.016386,1.453211
0.020000,6.255034,6.507713,0.894931,2.487943,2.348638,5.977230,1.425324
0.020000,6.263150,6.557803,0.945675,2.537160,2.460828,5.609517,1.394623
0.020000,6.273068,6.608611,0.997441,2.588318,2.557911,4.854150,1.360998
0.020000,6.285002,6.660062,1.050258,2.640852,2.626709,3.439904,1.324370
0.020000,6.299170,6.712045,1.104137,2.693960,2.655370,1.433035,1.284705
0.020000,6.315782,6.764403,1.159068,2.746514,2.627719,-1.382545,1.242035
0.020000,6.335037,6.816926,1.215009,2.797079,2.528232,-4.974353,1.196473
0.020000,6.357097,6.869353,1.271888,2.843945,2.343309,-9.246137,1.148232
0.020000,6.382079,6.921370,1.329593,2.885228,2.064174,-13.956766,1.097630
0.020000,6.410034,6.972622,1.387973,2.919029,1.690032,-18.707088,1.045095
0.020000,6.440937,7.022732,1.446846,2.943643,1.230676,-22.967830,0.991152
0.020000,6.474680,7.071321,1.506002,2.957793,0.707509,-26.158329,0.936399
0.020000,6.511074,7.118033,1.565219,2.960837,0.152187,-27.766093,0.881473
0.020000,6.549863,7.162564,1.624275,2.952798,-0.401909,-27.704816,0.827007
0.020000,6.590744,7.204675,1.682964,2.934493,-0.915250,-25.667064,0.773587
0.020000,6.633384,7.244204,1.741109,2.907241,-1.362617,-22.368341,0.721726
0.020000,6.677453,7.281072,1.798566,2.872822,-1.720974,-17.917846,0.671833
0.020000,6.722633,7.315267,1.855228,2.833093,-1.986422,-13.272417,0.624212
0.020000,6.768639,7.346842,1.911027,2.789961,-2.156582,-8.507989,0.579058
0.020000,6.815225,7.375894,1.965928,2.745073,-2.244428,-4.392277,0.536471
0.020000,6.862181,7.402550,2.019923,2.699763,-2.265488,-1.052997,0.496473
0.020000,6.909344,7.426959,2.073028,2.655236,-2.226370,1.955903,0.459022
0.020000,6.956581,7.449277,2.125272,2.612207,-2.151451,3.745915,0.424032
0.020000,7.003793,7.469659,2.176696,2.571177,-2.051466,4.999267,0.391387
0.020000,7.050904,7.488260,2.227346,2.532491,-1.934330,5.856782,0.360952
0.020000,7.097862,7.505222,2.277273,2.496388,-1.805161,6.458468,0.332582
0.020000,7.141258,7.519611,2.322993,2.285974,-10.520657,-435.774824,0.307981
0.020000,7.173875,7.529671,2.357126,1.706668,-28.965317,-922.232988,0.290445
0.020000,7.191430,7.534830,2.375424,0.914872,-39.589794,-531.223833,0.281328
0.020000,7.196842,7.536386,2.381055,0.281566,-31.665334,396.223007,0.278562
0.020000,7.197357,7.536533,2.381590,0.026767,-12.739916,946.270891,0.278300
0.020000,7.197357,7.536533,2.381590,0.000000,-1.338363,570.077648,0.278300
