dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.600824,5.621440,0.003333,0.333333,16.666667,833.333333,1.582291
0.020000,6.600648,5.634772,0.016667,1.000000,33.333333,833.333333,1.585731
0.020000,6.600164,5.661435,0.043333,1.666667,33.333333,0.000000,1.592012
0.020000,6.599247,5.698090,0.080000,2.000000,16.666667,-833.333333,1.599373
0.020000,6.597971,5.738069,0.120000,2.000000,0.000000,-833.333333,1.605772
0.020000,6.596472,5.778041,0.160000,2.000000,0.000000,0.000000,1.610515
0.020000,6.594815,5.818007,0.200000,2.000000,0.000000,0.000000,1.613641
0.020000,6.593066,5.857969,0.240000,2.000000,0.000000,0.000000,1.615172
0.020000,6.591288,5.897929,0.280000,2.000000,0.000000,0.000000,1.615120
0.020000,6.589543,5.937891,0.320000,2.000000,0.000000,0.000000,1.613486
0.020000,6.587895,5.977857,0.360000,2.000000,0.000000,0.000000,1.610257
0.020000,6.586408,6.017829,0.400000,2.000000,0.000000,0.000000,1.605408
0.020000,6.585148,6.057809,0.440000,2.000000,0.000000,0.000000,1.598900
0.020000,6.584183,6.097798,0.480000,2.000000,0.000000,0.000000,1.590684
0.020000,6.583581,6.137793,0.520000,2.000000,0.000000,0.000000,1.580696
0.020000,6.583416,6.177792,0.560000,2.000000,0.000000,0.000000,1.568861
0.020000,6.583762,6.217791,0.600000,2.000000,0.000000,0.000000,1.555088
0.020000,6.584699,6.257779,0.640000,2.000000,0.000000,0.000000,1.539275
0.020000,6.586312,6.297746,0.680000,2.000000,0.000000,0.000000,1.521310
0.020000,6.588687,6.337675,0.720000,2.000000,0.000000,0.000000,1.501067
0.020000,6.591917,6.377543,0.760000,2.000000,0.000000,0.000000,1.478413
0.020000,6.596100,6.417323,0.800000,2.000000,0.000000,0.000000,1.453211
0.020000,6.601337,6.456978,0.840000,2.000000,0.000000,0.000000,1.425324
0.020000,6.607732,6.496461,0.880000,2.000000,0.000000,0.000000,1.394623
0.020000,6.615394,6.535719,0.920000,2.000000,0.000000,0.000000,1.360998
0.020000,6.624429,6.574683,0.960000,2.000000,0.000000,0.000000,1.324370
0.020000,6.634943,6.613273,1.000000,2.000000,0.000000,0.000000,1.284705
0.020000,6.647037,6.651398,1.040000,2.000000,0.000000,0.000000,1.242035
0.020000,6.660801,6.688952,1.080000,2.000000,0.000000,0.000000,1.196473
0.020000,6.676311,6.725818,1.120000,2.000000,0.000000,0.000000,1.148232
0.020000,6.693625,6.761872,1.160000,2.000000,0.000000,0.000000,1.097630
0.020000,6.712775,6.796985,1.200000,2.000000,0.000000,0.000000,1.045095
0.020000,6.733767,6.831028,1.240000,2.000000,0.000000,0.000000,0.991152
0.020000,6.756580,6.863878,1.280000,2.000000,0.000000,0.000000,0.936399
0.020000,6.781161,6.895428,1.320000,2.000000,0.000000,0.000000,0.881473
0.020000,6.807431,6.925586,1.360000,2.000000,0.000000,0.000000,0.827007
0.020000,6.835291,6.954282,1.400000,2.000000,0.000000,0.000000,0.773587
0.020000,6.864623,6.981471,1.440000,2.000000,0.000000,0.000000,0.721726
0.020000,6.895301,7.007133,1.480000,2.000000,0.000000,0.000000,0.671833
0.020000,6.927194,7.031269,1.520000,2.000000,0.000000,0.000000,0.624212
0.020000,6.960172,7.053900,1.560000,2.000000,0.000000,0.000000,0.579058
0.020000,6.994112,7.075062,1.600000,2.000000,0.000000,0.000000,0.536471
0.020000,7.028896,7.094806,1.640000,2.000000,0.000000,0.000000,0.496473
0.020000,7.064419,7.113189,1.680000,2.000000,0.000000,0.000000,0.459022
0.020000,7.100585,7.130273,1.720000,2.000000,0.000000,0.000000,0.424032
0.020000,7.137308,7.146126,1.760000,2.000000,0.000000,0.000000,0.391387
0.020000,7.174511,7.160813,1.800000,2.000000,0.000000,0.000000,0.360952
0.020000,7.212131,7.174401,1.840000,2.000000,0.000000,0.000000,0.332582
0.020000,7.247355,7.186079,1.877110,1.710994,-14.450309,-722.515453,0.307981
0.020000,7.274108,7.194330,1.905106,1.088654,-31.116976,-833.333333,0.290445
0.020000,7.288601,7.198590,1.920213,0.421988,-33.333333,-110.817881,0.281328
0.020000,7.293083,7.199878,1.924876,0.044327,-18.883024,722.515453,0.278562
0.020000,7.293509,7.200000,1.925319,0.000000,-2.216358,833.333333,0.278300
0.020000,7.293509,7.200000,1.925319,0.000000,0.000000,110.817881,0.278300
