dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.950801,5.625463,0.003333,0.333333,16.666667,833.333333,1.582291
0.020000,6.950609,5.639999,0.017871,0.726872,19.676934,150.513346,1.585731
0.020000,6.950085,5.668859,0.046736,1.443240,35.818393,807.072948,1.592012
0.020000,6.949104,5.708090,0.085979,1.962159,25.945981,-493.620579,1.599373
0.020000,6.947756,5.750308,0.128218,2.111975,7.490798,-922.759139,1.605772
0.020000,6.946196,5.791939,0.169878,2.083009,-1.448309,-446.955345,1.610515
0.020000,6.944494,5.832998,0.210972,2.054688,-1.416046,1.613154,1.613641
0.020000,6.942722,5.873495,0.251508,2.026792,-1.394797,1.062438,1.615172
0.020000,6.940944,5.913437,0.291490,1.999104,-1.384408,0.519433,1.615120
0.020000,6.939224,5.952828,0.330918,1.971408,-1.384798,-0.019509,1.613486
0.020000,6.937622,5.991665,0.369788,1.943489,-1.395944,-0.557281,1.610257
0.020000,6.936199,6.029941,0.408091,1.915132,-1.417884,-1.096981,1.605408
0.020000,6.935010,6.067645,0.445813,1.886114,-1.450895,-1.650584,1.598900
0.020000,6.934114,6.104758,0.482937,1.856214,-1.494994,-2.204909,1.590684
0.020000,6.933564,6.141258,0.519441,1.825206,-1.550385,-2.769585,1.580696
0.020000,6.933415,6.177115,0.555299,1.792864,-1.617127,-3.337089,1.568861
0.020000,6.933719,6.212293,0.590478,1.758961,-1.695135,-3.900424,1.555088
0.020000,6.934525,6.246749,0.624943,1.723267,-1.784680,-4.477243,1.539275
0.020000,6.935883,6.280433,0.658655,1.685584,-1.884155,-4.973730,1.521310
0.020000,6.937836,6.313289,0.691569,1.645715,-1.993442,-5.464338,1.501067
0.020000,6.940425,6.345255,0.723640,1.603524,-2.109579,-5.806851,1.478413
0.020000,6.943683,6.376263,0.754818,1.558926,-2.229908,-6.016490,1.453211
0.020000,6.947640,6.406242,0.785057,1.511930,-2.349787,-5.993912,1.425324
0.020000,6.952315,6.435119,0.814310,1.462678,-2.462624,-5.641869,1.394623
0.020000,6.957719,6.462827,0.842540,1.411497,-2.559015,-4.819544,1.360998
0.020000,6.963856,6.489304,0.869719,1.358922,-2.628776,-3.488058,1.324370
0.020000,6.970717,6.514502,0.895834,1.305776,-2.657303,-1.426332,1.284705
0.020000,6.978292,6.538393,0.920898,1.253181,-2.629750,1.377627,1.242035
0.020000,6.986566,6.560977,0.944949,1.202573,-2.530395,4.967739,1.196473
0.020000,6.995525,6.582283,0.968063,1.155664,-2.345457,9.246906,1.148232
0.020000,7.005170,6.602375,0.990349,1.114342,-2.066103,13.967732,1.097630
0.020000,7.015515,6.621348,1.011960,1.080509,-1.691648,18.722761,1.045095
0.020000,7.026598,6.639323,1.033077,1.055868,-1.232033,22.980705,0.991152
0.020000,7.038480,6.656436,1.053911,1.041698,-0.708493,26.177030,0.936399
0.020000,7.051248,6.672823,1.074684,1.038666,-0.151612,27.844065,0.881473
0.020000,7.064999,6.688607,1.095618,1.046697,0.401536,27.657382,0.827007
0.020000,7.079838,6.703889,1.116919,1.065033,0.916806,25.763507,0.773587
0.020000,7.095861,6.718738,1.138765,1.092301,1.363393,22.329351,0.721726
0.020000,7.113148,6.733194,1.161300,1.126768,1.723398,18.000233,0.671833
0.020000,7.131754,6.747271,1.184631,1.166515,1.987312,13.195693,0.624212
0.020000,7.151705,6.760957,1.208824,1.209697,2.159120,8.590402,0.579058
0.020000,7.172999,6.774231,1.233917,1.254640,2.247127,4.400344,0.536471
0.020000,7.195611,6.787062,1.259916,1.299925,2.264273,0.857327,0.496473
0.020000,7.219494,6.799418,1.286806,1.344526,2.230041,-1.711588,0.459022
0.020000,7.244588,6.811270,1.314559,1.387618,2.154600,-3.772090,0.424032
0.020000,7.270822,6.822593,1.343132,1.428649,2.051562,-5.151899,0.391387
0.020000,7.298119,6.833367,1.372478,1.467305,1.932801,-5.938040,0.360952
0.020000,7.326401,6.843580,1.402547,1.503474,1.808438,-6.218120,0.332582
0.020000,7.353452,6.852548,1.431046,1.424955,-3.925930,-286.718445,0.307981
0.020000,7.374340,6.858989,1.452904,1.092908,-16.602386,-633.822781,0.290445
0.020000,7.385772,6.862349,1.464821,0.595802,-24.855257,-412.643563,0.281328
0.020000,7.389323,6.863370,1.468515,0.184738,-20.553205,215.102611,0.278562
0.020000,7.389662,6.863467,1.468867,0.017596,-8.357137,609.803402,0.278300
0.020000,7.389662,6.863467,1.468867,0.000000,-0.879782,373.867769,0.278300
