dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001485,5.600000,0.003333,0.333333,16.666667,833.333333,6.282973
0.020000,0.015573,5.599982,0.017421,0.704396,18.553152,94.324251,6.280817
0.020000,0.043704,5.599856,0.045552,1.406541,35.107237,827.704290,6.276634
0.020000,0.082284,5.599497,0.084134,1.929088,26.127340,-448.994888,6.271162
0.020000,0.124239,5.598873,0.126093,2.097976,8.444404,-884.146792,6.265563
0.020000,0.166054,5.598026,0.167918,2.091207,-0.338427,-439.141565,6.260351
0.020000,0.207730,5.596972,0.209606,2.084439,-0.338440,-0.000626,6.255526
0.020000,0.249265,5.595730,0.251160,2.077672,-0.338335,0.005272,6.251088
0.020000,0.290659,5.594315,0.292578,2.070910,-0.338119,0.010789,6.247036
0.020000,0.331912,5.592746,0.333861,2.064153,-0.337825,0.014700,6.243370
0.020000,0.373025,5.591040,0.375009,2.057403,-0.337501,0.016169,6.240090
0.020000,0.413997,5.589212,0.416022,2.050661,-0.337127,0.018717,6.237195
0.020000,0.454830,5.587280,0.456901,2.043925,-0.336764,0.018169,6.234685
0.020000,0.495524,5.585261,0.497645,2.037197,-0.336413,0.017552,6.232559
0.020000,0.536079,5.583169,0.538254,2.030475,-0.336079,0.016667,6.230818
0.020000,0.576498,5.581022,0.578729,2.023759,-0.335801,0.013898,6.229460
0.020000,0.616779,5.578834,0.619070,2.017048,-0.335563,0.011898,6.228486
0.020000,0.656925,5.576623,0.659277,2.010340,-0.335391,0.008595,6.227895
0.020000,0.696936,5.574403,0.699350,2.003635,-0.335286,0.005294,6.227687
0.020000,0.736814,5.572190,0.739288,1.996930,-0.335248,0.001900,6.227863
0.020000,0.776558,5.569999,0.779093,1.990224,-0.335281,-0.001665,6.228421
0.020000,0.816169,5.567845,0.818763,1.983516,-0.335385,-0.005215,6.229363
0.020000,0.855650,5.565743,0.858299,1.976805,-0.335557,-0.008583,6.230689
0.020000,0.894999,5.563708,0.897701,1.970090,-0.335783,-0.011289,6.232398
0.020000,0.934218,5.561754,0.936968,1.963368,-0.336073,-0.014538,6.234491
0.020000,0.973306,5.559896,0.976101,1.956640,-0.336393,-0.015991,6.236969
0.020000,1.012265,5.558149,1.015099,1.949905,-0.336751,-0.017886,6.239831
0.020000,1.051095,5.556526,1.053963,1.943163,-0.337125,-0.018711,6.243079
0.020000,1.089794,5.555043,1.092691,1.936413,-0.337478,-0.017664,6.246712
0.020000,1.128365,5.553712,1.131284,1.929656,-0.337833,-0.017746,6.250732
0.020000,1.166805,5.552547,1.169742,1.922894,-0.338124,-0.014518,6.255138
0.020000,1.205115,5.551563,1.208064,1.916127,-0.338345,-0.011054,6.259931
0.020000,1.243294,5.550773,1.246252,1.909358,-0.338476,-0.006552,6.265110
0.020000,1.281341,5.550189,1.284303,1.902588,-0.338464,0.000608,6.270676
0.020000,1.319256,5.549827,1.322220,1.895822,-0.338300,0.008188,6.276629
0.020000,1.357037,5.549697,1.360001,1.889064,-0.337935,0.018254,6.282968
0.020000,1.394683,5.549815,1.397647,1.882317,-0.337335,0.029981,0.006507
0.020000,1.432193,5.550191,1.435159,1.875588,-0.336462,0.043636,0.013616
