dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001406,5.250000,0.003333,0.333333,16.666667,833.333333,6.283162
0.020000,0.014740,5.249998,0.016667,1.000000,33.333333,833.333333,6.282932
0.020000,0.041406,5.249986,0.043333,1.666667,33.333333,0.000000,6.282523
0.020000,0.078073,5.249953,0.080000,2.000000,16.666667,-833.333333,6.282074
0.020000,0.118073,5.249901,0.120000,2.000000,0.000000,-833.333333,6.281733
0.020000,0.158073,5.249839,0.160000,2.000000,0.000000,0.000000,6.281547
0.020000,0.198073,5.249772,0.200000,2.000000,0.000000,0.000000,6.281515
0.020000,0.238073,5.249707,0.240000,2.000000,0.000000,0.000000,6.281639
0.020000,0.278073,5.249650,0.280000,2.000000,0.000000,0.000000,6.281918
0.020000,0.318073,5.249608,0.320000,2.000000,0.000000,0.000000,6.282352
0.020000,0.358073,5.249586,0.360000,2.000000,0.000000,0.000000,6.282941
0.020000,0.398073,5.249590,0.400000,2.000000,0.000000,0.000000,0.000500
0.020000,0.438073,5.249628,0.440000,2.000000,0.000000,0.000000,0.001399
0.020000,0.478073,5.249704,0.480000,2.000000,0.000000,0.000000,0.002454
0.020000,0.518072,5.249826,0.520000,2.000000,0.000000,0.000000,0.003664
0.020000,0.558072,5.250000,0.560000,2.000000,0.000000,0.000000,0.005030
0.020000,0.598071,5.250231,0.600000,2.000000,0.000000,0.000000,0.006551
0.020000,0.638070,5.250526,0.640000,2.000000,0.000000,0.000000,0.008227
0.020000,0.678069,5.250891,0.680000,2.000000,0.000000,0.000000,0.010060
0.020000,0.718066,5.251333,0.720000,2.000000,0.000000,0.000000,0.012048
0.020000,0.758063,5.251857,0.760000,2.000000,0.000000,0.000000,0.014192
0.020000,0.798058,5.252470,0.800000,2.000000,0.000000,0.000000,0.016492
0.020000,0.838052,5.253178,0.840000,2.000000,0.000000,0.000000,0.018948
0.020000,0.878044,5.253988,0.880000,2.000000,0.000000,0.000000,0.021560
0.020000,0.918033,5.254905,0.920000,2.000000,0.000000,0.000000,0.024329
0.020000,0.958020,5.255936,0.960000,2.000000,0.000000,0.000000,0.027253
0.020000,0.998003,5.257087,1.000000,2.000000,0.000000,0.000000,0.030334
0.020000,1.037983,5.258364,1.040000,2.000000,0.000000,0.000000,0.033572
0.020000,1.077958,5.259774,1.080000,2.000000,0.000000,0.000000,0.036965
0.020000,1.117928,5.261323,1.120000,2.000000,0.000000,0.000000,0.040515
0.020000,1.157892,5.263017,1.160000,2.000000,0.000000,0.000000,0.044221
0.020000,1.197849,5.264862,1.200000,2.000000,0.000000,0.000000,0.048083
0.020000,1.237799,5.266864,1.240000,2.000000,0.000000,0.000000,0.052101
0.020000,1.277740,5.269030,1.280000,2.000000,0.000000,0.000000,0.056274
0.020000,1.317672,5.271366,1.320000,2.000000,0.000000,0.000000,0.060603
0.020000,1.357593,5.273877,1.360000,2.000000,0.000000,0.000000,0.065088
0.020000,1.397502,5.276571,1.400000,2.000000,0.000000,0.000000,0.069727
0.020000,1.437398,5.279453,1.440000,2.000000,0.000000,0.000000,0.074520
0.020000,1.477280,5.282529,1.480000,2.000000,0.000000,0.000000,0.079467
0.020000,1.517145,5.285805,1.520000,2.000000,0.000000,0.000000,0.084567
0.020000,1.556993,5.289288,1.560000,2.000000,0.000000,0.000000,0.089820
0.020000,1.596822,5.292983,1.600000,2.000000,0.000000,0.000000,0.095225
0.020000,1.636630,5.296897,1.640000,2.000000,0.000000,0.000000,0.100781
0.020000,1.676416,5.301034,1.680000,2.000000,0.000000,0.000000,0.106487
0.020000,1.716177,5.305402,1.720000,2.000000,0.000000,0.000000,0.112341
0.020000,1.755911,5.310005,1.760000,2.000000,0.000000,0.000000,0.118344
0.020000,1.795616,5.314849,1.800000,2.000000,0.000000,0.000000,0.124494
0.020000,1.835291,5.319940,1.840000,2.000000,0.000000,0.000000,0.130789
0.020000,1.874932,5.325284,1.880000,2.000000,0.000000,0.000000,0.137227
0.020000,1.914538,5.330886,1.920000,2.000000,0.000000,0.000000,0.143808
0.020000,1.954106,5.336751,1.960000,2.000000,0.000000,0.000000,0.150529
0.020000,1.993632,5.342884,2.000000,2.000000,0.000000,0.000000,0.157389
0.020000,2.033116,5.349292,2.040000,2.000000,0.000000,0.000000,0.164385
0.020000,2.070872,5.355615,2.080000,2.000000,0.000000,0.000000,0.167067
0.020000,2.110306,5.362317,2.120000,2.000000,0.000000,0.000000,0.169731
0.020000,2.149721,5.369134,2.160000,2.000000,0.000000,0.000000,0.172836
0.020000,2.189113,5.376081,2.200000,2.000000,0.000000,0.000000,0.176382
0.020000,2.228479,5.383177,2.240000,2.000000,0.000000,0.000000,0.180374
0.020000,2.267814,5.390439,2.280000,2.000000,0.000000,0.000000,0.184813
0.020000,2.307115,5.397884,2.320000,2.000000,0.000000,0.000000,0.189703
0.020000,2.346377,5.405530,2.360000,2.000000,0.000000,0.000000,0.195048
0.020000,2.385596,5.413395,2.400000,2.000000,0.000000,0.000000,0.200849
0.020000,2.424767,5.421496,2.440000,2.000000,0.000000,0.000000,0.207111
0.020000,2.463885,5.429852,2.480000,2.000000,0.000000,0.000000,0.213837
0.020000,2.502943,5.438479,2.520000,2.000000,0.000000,0.000000,0.221030
0.020000,2.541937,5.447396,2.560000,2.000000,0.000000,0.000000,0.228693
0.020000,2.580858,5.456621,2.600000,2.000000,0.000000,0.000000,0.236830
0.020000,2.619701,5.466172,2.640000,2.000000,0.000000,0.000000,0.245443
0.020000,2.658458,5.476066,2.680000,2.000000,0.000000,0.000000,0.254534
0.020000,2.697121,5.486322,2.720000,2.000000,0.000000,0.000000,0.264106
0.020000,2.735681,5.496956,2.760000,2.000000,0.000000,0.000000,0.274159
0.020000,2.774130,5.507986,2.800000,2.000000,0.000000,0.000000,0.284695
0.020000,2.812458,5.519431,2.840000,2.000000,0.000000,0.000000,0.295713
0.020000,2.850654,5.531306,2.880000,2.000000,0.000000,0.000000,0.307211
0.020000,2.888708,5.543628,2.920000,2.000000,0.000000,0.000000,0.319189
0.020000,2.926609,5.556415,2.960000,2.000000,0.000000,0.000000,0.331643
0.020000,2.964345,5.569681,3.000000,2.000000,0.000000,0.000000,0.344567
0.020000,3.001903,5.583443,3.040000,2.000000,0.000000,0.000000,0.357957
0.020000,3.039270,5.597715,3.080000,2.000000,0.000000,0.000000,0.371805
0.020000,3.076432,5.612512,3.120000,2.000000,0.000000,0.000000,0.386101
0.020000,3.113376,5.627846,3.160000,2.000000,0.000000,0.000000,0.400835
0.020000,3.150086,5.643731,3.200000,2.000000,0.000000,0.000000,0.415994
0.020000,3.186548,5.660178,3.240000,2.000000,0.000000,0.000000,0.431564
0.020000,3.222746,5.677197,3.280000,2.000000,0.000000,0.000000,0.447529
0.020000,3.258664,5.694800,3.320000,2.000000,0.000000,0.000000,0.463868
0.020000,3.294287,5.712993,3.360000,2.000000,0.000000,0.000000,0.480564
0.020000,3.329597,5.731784,3.400000,2.000000,0.000000,0.000000,0.497592
0.020000,3.364580,5.751179,3.440000,2.000000,0.000000,0.000000,0.514929
0.020000,3.399218,5.771183,3.480000,2.000000,0.000000,0.000000,0.532550
0.020000,3.433496,5.791799,3.520000,2.000000,0.000000,0.000000,0.550426
0.020000,3.467397,5.813028,3.560000,2.000000,0.000000,0.000000,0.568529
0.020000,3.500906,5.834870,3.600000,2.000000,0.000000,0.000000,0.586828
0.020000,3.534008,5.857325,3.640000,2.000000,0.000000,0.000000,0.605292
0.020000,3.566688,5.880389,3.680000,2.000000,0.000000,0.000000,0.623890
0.020000,3.598933,5.904059,3.720000,2.000000,0.000000,0.000000,0.642589
0.020000,3.629480,5.927362,3.760000,2.000000,0.000000,0.000000,0.661899
0.020000,3.660646,5.952433,3.800000,2.000000,0.000000,0.000000,0.692527
0.020000,3.691066,5.978405,3.840000,2.000000,0.000000,0.000000,0.720393
0.020000,3.720787,6.005173,3.880000,2.000000,0.000000,0.000000,0.745493
0.020000,3.749865,6.032639,3.920000,2.000000,0.000000,0.000000,0.767855
0.020000,3.778360,6.060711,3.960000,2.000000,0.000000,0.000000,0.787524
0.020000,3.806335,6.089300,4.000000,2.000000,0.000000,0.000000,0.804557
0.020000,3.833857,6.118326,4.040000,2.000000,0.000000,0.000000,0.819016
0.020000,3.860993,6.147713,4.080000,2.000000,0.000000,0.000000,0.830961
0.020000,3.887813,6.177389,4.120000,2.000000,0.000000,0.000000,0.840445
0.020000,3.914387,6.207287,4.160000,2.000000,0.000000,0.000000,0.847518
0.020000,3.940784,6.237339,4.200000,2.000000,0.000000,0.000000,0.852215
0.020000,3.967076,6.267485,4.240000,2.000000,0.000000,0.000000,0.854563
0.020000,3.993332,6.297662,4.280000,2.000000,0.000000,0.000000,0.854573
0.020000,4.019623,6.327808,4.320000,2.000000,0.000000,0.000000,0.852247
0.020000,4.046019,6.357862,4.360000,2.000000,0.000000,0.000000,0.847571
0.020000,4.072591,6.387761,4.400000,2.000000,0.000000,0.000000,0.840520
0.020000,4.099408,6.417439,4.440000,2.000000,0.000000,0.000000,0.831057
0.020000,4.126541,6.446829,4.480000,2.000000,0.000000,0.000000,0.819135
0.020000,4.154059,6.475859,4.520000,2.000000,0.000000,0.000000,0.804699
0.020000,4.182030,6.504452,4.560000,2.000000,0.000000,0.000000,0.787688
0.020000,4.210520,6.532529,4.600000,2.000000,0.000000,0.000000,0.768043
0.020000,4.239593,6.560001,4.640000,2.000000,0.000000,0.000000,0.745706
0.020000,4.269308,6.586776,4.680000,2.000000,0.000000,0.000000,0.720630
0.020000,4.299721,6.612756,4.720000,2.000000,0.000000,0.000000,0.692790
0.020000,4.330880,6.637835,4.760000,2.000000,0.000000,0.000000,0.662186
0.020000,4.362825,6.661906,4.800000,2.000000,0.000000,0.000000,0.628858
0.020000,4.395584,6.684855,4.840000,2.000000,0.000000,0.000000,0.592897
0.020000,4.429174,6.706569,4.880000,2.000000,0.000000,0.000000,0.554452
0.020000,4.463597,6.726937,4.920000,2.000000,0.000000,0.000000,0.513738
0.020000,4.498840,6.745850,4.960000,2.000000,0.000000,0.000000,0.471040
0.020000,4.534872,6.763211,5.000000,2.000000,0.000000,0.000000,0.426710
0.020000,4.571648,6.778934,5.040000,2.000000,0.000000,0.000000,0.381157
0.020000,4.609108,6.792950,5.080000,2.000000,0.000000,0.000000,0.334832
0.020000,4.647180,6.805210,5.120000,2.000000,0.000000,0.000000,0.288204
0.020000,4.685780,6.815683,5.160000,2.000000,0.000000,0.000000,0.241740
0.020000,4.724824,6.824362,5.200000,2.000000,0.000000,0.000000,0.195879
0.020000,4.764221,6.831261,5.240000,2.000000,0.000000,0.000000,0.151012
0.020000,4.803885,6.836411,5.280000,2.000000,0.000000,0.000000,0.107469
0.020000,4.843733,6.839860,5.320000,2.000000,0.000000,0.000000,0.065510
0.020000,4.883689,6.841670,5.360000,2.000000,0.000000,0.000000,0.025325
0.020000,4.921531,6.842026,5.400000,2.000000,0.000000,0.000000,0.004374
0.020000,4.961528,6.842482,5.440000,2.000000,0.000000,0.000000,0.018089
0.020000,5.001516,6.843446,5.480000,2.000000,0.000000,0.000000,0.029828
0.020000,5.041492,6.844843,5.520000,2.000000,0.000000,0.000000,0.039715
