dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001337,4.900000,0.003333,0.333333,16.666667,833.333333,6.282973
0.020000,0.013916,4.899984,0.015912,0.628937,14.780168,-94.324952,6.280817
0.020000,0.039118,4.899871,0.041115,1.260124,31.559343,838.958791,6.276634
0.020000,0.073868,4.899547,0.075866,1.737574,23.872529,-384.340742,6.271162
0.020000,0.111904,4.898982,0.113906,1.902019,8.222233,-782.514768,6.265563
0.020000,0.150072,4.898209,0.152082,1.908788,0.338456,-394.188861,6.260351
0.020000,0.188371,4.897240,0.190393,1.915558,0.338481,0.001235,6.255526
0.020000,0.226800,4.896090,0.228840,1.922325,0.338360,-0.006035,6.251088
0.020000,0.265360,4.894773,0.267422,1.929088,0.338145,-0.010743,6.247036
0.020000,0.304048,4.893301,0.306138,1.935845,0.337860,-0.014241,6.243370
0.020000,0.342867,4.891690,0.344990,1.942595,0.337509,-0.017568,6.240090
0.020000,0.381815,4.889952,0.383977,1.949338,0.337156,-0.017658,6.237195
0.020000,0.420893,4.888104,0.423099,1.956074,0.336782,-0.018679,6.234685
0.020000,0.460101,4.886157,0.462355,1.962802,0.336422,-0.018028,6.232559
0.020000,0.499439,4.884129,0.501745,1.969524,0.336099,-0.016110,6.230818
0.020000,0.538908,4.882032,0.541270,1.976240,0.335805,-0.014729,6.229460
0.020000,0.578509,4.879881,0.580929,1.982952,0.335574,-0.011555,6.228486
0.020000,0.618242,4.877693,0.620722,1.989660,0.335397,-0.008829,6.227895
0.020000,0.658108,4.875481,0.660649,1.996365,0.335287,-0.005521,6.227687
0.020000,0.698107,4.873261,0.700711,2.003070,0.335248,-0.001946,6.227863
0.020000,0.738242,4.871048,0.740906,2.009776,0.335280,0.001586,6.228421
0.020000,0.778512,4.868858,0.781236,2.016484,0.335380,0.005024,6.229363
0.020000,0.818919,4.866707,0.821700,2.023195,0.335546,0.008304,6.230689
0.020000,0.859463,4.864610,0.862298,2.029910,0.335780,0.011686,6.232398
0.020000,0.900145,4.862584,0.903031,2.036631,0.336054,0.013690,6.234491
0.020000,0.940966,4.860644,0.943898,2.043359,0.336383,0.016484,6.236969
0.020000,0.981927,4.858807,0.984900,2.050094,0.336734,0.017515,6.239831
0.020000,1.023028,4.857089,1.026037,2.056835,0.337095,0.018093,6.243079
0.020000,1.064269,4.855508,1.067308,2.063585,0.337472,0.018833,6.246712
0.020000,1.105651,4.854080,1.108715,2.070341,0.337798,0.016291,6.250732
0.020000,1.147174,4.852822,1.150257,2.077103,0.338096,0.014923,6.255138
0.020000,1.188838,4.851752,1.191934,2.083869,0.338321,0.011209,6.259931
0.020000,1.230642,4.850887,1.233747,2.090638,0.338435,0.005724,6.265110
0.020000,1.272585,4.850244,1.275695,2.097407,0.338435,-0.000018,6.270676
0.020000,1.314666,4.849842,1.317779,2.104172,0.338260,-0.008712,6.276629
0.020000,1.356885,4.849697,1.359997,2.110930,0.337894,-0.018343,6.282968
0.020000,1.399238,4.849829,1.402351,2.117676,0.337293,-0.030044,0.006507
0.020000,1.441724,4.850256,1.444839,2.124404,0.336418,-0.043742,0.013616
0.020000,1.484340,4.850994,1.487461,2.131108,0.335231,-0.059354,0.021109
0.020000,1.527082,4.852064,1.530217,2.137782,0.333675,-0.077813,0.028982
0.020000,1.569947,4.853482,1.573105,2.144417,0.331743,-0.096592,0.037235
0.020000,1.612930,4.855268,1.616125,2.151004,0.329336,-0.120347,0.045864
0.020000,1.656026,4.857439,1.659276,2.157533,0.326454,-0.144083,0.054866
0.020000,1.699229,4.860014,1.702556,2.163994,0.323062,-0.169606,0.064238
0.020000,1.742533,4.863010,1.745963,2.170374,0.318999,-0.203135,0.073974
0.020000,1.785931,4.866445,1.789496,2.176663,0.314453,-0.227308,0.084070
0.020000,1.829414,4.870337,1.833153,2.182845,0.309112,-0.267079,0.094519
0.020000,1.872974,4.874703,1.876932,2.188908,0.303164,-0.297357,0.105314
0.020000,1.916601,4.879559,1.920828,2.194837,0.296430,-0.336743,0.116448
0.020000,1.960285,4.884922,1.964841,2.200616,0.288952,-0.373885,0.127913
0.020000,2.004016,4.890808,2.008965,2.206230,0.280679,-0.413644,0.139698
0.020000,2.047780,4.897231,2.053198,2.211663,0.271646,-0.451655,0.151794
0.020000,2.091566,4.904205,2.097536,2.216896,0.261665,-0.499045,0.164189
0.020000,2.132424,4.911172,2.138984,2.072386,-7.225495,-374.357985,0.173399
0.020000,2.175064,4.918850,2.182310,2.166298,4.695595,596.054492,0.182902
0.020000,2.217672,4.926943,2.225680,2.168485,0.109349,-229.312327,0.192531
0.020000,2.260242,4.935457,2.269093,2.170662,0.108873,-0.023788,0.202283
0.020000,2.302769,4.944397,2.312549,2.172823,0.108012,-0.043034,0.212159
0.020000,2.345247,4.953769,2.356049,2.174964,0.107082,-0.046519,0.222158
0.020000,2.387669,4.963577,2.399590,2.177084,0.106003,-0.053918,0.232277
0.020000,2.430031,4.973827,2.443174,2.179180,0.104778,-0.061271,0.242517
0.020000,2.472324,4.984522,2.486799,2.181246,0.103321,-0.072851,0.252874
0.020000,2.514544,4.995667,2.530465,2.183280,0.101684,-0.081832,0.263348
0.020000,2.556682,5.007267,2.574170,2.185278,0.099883,-0.090062,0.273936
0.020000,2.598731,5.019326,2.617915,2.187235,0.097892,-0.099560,0.284636
0.020000,2.640686,5.031847,2.661698,2.189150,0.095708,-0.109173,0.295445
0.020000,2.682537,5.044834,2.705518,2.191016,0.093331,-0.118869,0.306361
0.020000,2.724278,5.058291,2.749375,2.192831,0.090759,-0.128611,0.317380
0.020000,2.765901,5.072220,2.793267,2.194591,0.087992,-0.138361,0.328500
0.020000,2.807398,5.086624,2.837192,2.196292,0.085039,-0.147630,0.339718
0.020000,2.848761,5.101506,2.881151,2.197930,0.081880,-0.157924,0.351029
0.020000,2.889982,5.116868,2.925141,2.199500,0.078525,-0.167779,0.362429
0.020000,2.931052,5.132711,2.969161,2.201000,0.074991,-0.176682,0.373916
0.020000,2.971963,5.149037,3.013209,2.202425,0.071275,-0.185814,0.385484
0.020000,3.012707,5.165847,3.057285,2.203773,0.067381,-0.194681,0.397129
0.020000,3.053276,5.183141,3.101386,2.205039,0.063317,-0.203233,0.408846
0.020000,3.093659,5.200921,3.145510,2.206221,0.059081,-0.211784,0.420631
0.020000,3.133850,5.219186,3.189656,2.207315,0.054695,-0.219295,0.432478
0.020000,3.173839,5.237935,3.233823,2.208318,0.050166,-0.226459,0.444383
0.020000,3.213618,5.257168,3.278007,2.209228,0.045501,-0.233230,0.456339
0.020000,3.253178,5.276883,3.322208,2.210042,0.040713,-0.239428,0.468342
0.020000,3.292512,5.297080,3.366423,2.210759,0.035813,-0.245012,0.480387
0.020000,3.331609,5.317754,3.410651,2.211375,0.030814,-0.249937,0.492466
0.020000,3.370463,5.338906,3.454889,2.211890,0.025731,-0.254162,0.504575
0.020000,3.409064,5.360530,3.499135,2.212301,0.020571,-0.257978,0.516707
0.020000,3.447406,5.382625,3.543387,2.212609,0.015377,-0.259708,0.528857
0.020000,3.485480,5.405186,3.587643,2.212811,0.010133,-0.262212,0.541018
0.020000,3.523278,5.428210,3.631901,2.212908,0.004852,-0.264031,0.553185
0.020000,3.560793,5.451692,3.676159,2.212900,-0.000412,-0.263182,0.565352
0.020000,3.598018,5.475627,3.720415,2.212787,-0.005669,-0.262858,0.577512
0.020000,3.634945,5.500010,3.764666,2.212569,-0.010895,-0.261295,0.589659
0.020000,3.671568,5.524837,3.808911,2.212247,-0.016071,-0.258834,0.601788
0.020000,3.707881,5.550100,3.853148,2.211822,-0.021281,-0.260471,0.613893
0.020000,3.743877,5.575794,3.897374,2.211295,-0.026339,-0.252887,0.625968
0.020000,3.779551,5.601913,3.941587,2.210671,-0.031194,-0.242750,0.638007
0.020000,3.814897,5.628451,3.985786,2.209944,-0.036338,-0.257206,0.650005
0.020000,3.849761,5.655313,4.029798,2.200619,-0.466275,-21.496866,0.665980
0.020000,3.889060,5.687178,4.080393,2.529730,16.455544,846.090958,0.696256
0.020000,3.926689,5.719534,4.130020,2.481348,-2.419075,-943.730970,0.723766
0.020000,3.962743,5.752213,4.178680,2.433010,-2.416910,0.108257,0.748513
0.020000,3.997330,5.785067,4.226384,2.385190,-2.391012,1.294916,0.770527
0.020000,4.030563,5.817968,4.273148,2.338202,-2.349410,2.080087,0.789854
0.020000,4.062556,5.850803,4.318992,2.292221,-2.299030,2.518995,0.806554
0.020000,4.093422,5.883475,4.363939,2.247310,-2.245536,2.674724,0.820687
0.020000,4.123271,5.915896,4.408007,2.203442,-2.193393,2.607153,0.832313
0.020000,4.152206,5.947988,4.451218,2.160522,-2.146009,2.369205,0.841486
0.020000,4.180325,5.979680,4.493586,2.118403,-2.105958,2.002541,0.848252
0.020000,4.207719,6.010904,4.535124,2.076907,-2.074803,1.557742,0.852647
