dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.200294,0.941909,0.003333,0.333333,16.666667,833.333333,0.403714
0.020000,6.204862,0.943925,0.008326,0.249631,-4.185107,-1042.588659,0.427544
0.020000,6.213868,0.948291,0.018334,0.500410,12.538923,836.201460,0.475138
0.020000,6.226170,0.955136,0.032413,0.703947,10.176879,-118.102161,0.539667
0.020000,6.239804,0.963957,0.048652,0.811925,5.398880,-238.899998,0.607548
0.020000,6.253942,0.974492,0.066283,0.881584,3.482937,-95.797141,0.671448
0.020000,6.268759,0.987018,0.085685,0.970109,4.426251,47.165695,0.730291
0.020000,6.284320,1.001742,0.107107,1.071102,5.049695,31.172224,0.783364
0.020000,6.300612,1.018778,0.130680,1.178631,5.376423,16.336388,0.830293
0.020000,6.317585,1.038155,0.156440,1.287981,5.467491,4.553426,0.870975
0.020000,6.335180,1.059831,0.184358,1.395905,5.396192,-3.564958,0.905491
0.020000,6.353351,1.083715,0.214368,1.500522,5.230891,-8.265072,0.934029
0.020000,6.372081,1.109687,0.246389,1.601051,5.026438,-10.222634,0.956824
0.020000,6.391384,1.137614,0.280339,1.697502,4.822560,-10.193908,0.974109
0.020000,6.411313,1.167365,0.316148,1.790418,4.645774,-8.839299,0.986084
0.020000,6.431953,1.198810,0.353761,1.880679,4.513037,-6.636844,0.992903
0.020000,6.453426,1.231829,0.393148,1.969354,4.433761,-3.963824,0.994654
0.020000,6.475888,1.266310,0.434301,2.057611,4.412856,-1.045224,0.991362
0.020000,6.499532,1.302146,0.477233,2.146640,4.451456,1.929996,0.982982
0.020000,6.524586,1.339227,0.521985,2.237583,4.547168,4.785608,0.969405
0.020000,6.551317,1.377434,0.568614,2.331470,4.694342,7.358686,0.950462
0.020000,6.580025,1.416626,0.617196,2.429086,4.880800,9.322920,0.925939
0.020000,6.611044,1.456624,0.667813,2.530839,5.087658,10.342901,0.895600
0.020000,6.644731,1.497191,0.720543,2.636527,5.284362,9.835200,0.859218
0.020000,6.681445,1.538011,0.775445,2.745061,5.426692,7.116469,0.816632
0.020000,6.721518,1.578664,0.832528,2.854172,5.455566,1.443732,0.767806
0.020000,6.765210,1.618614,0.891731,2.960165,5.299677,-7.794486,0.712918
0.020000,6.812651,1.657211,0.952890,3.057916,4.887538,-20.606936,0.652439
0.020000,6.863781,1.693717,1.015715,3.141250,4.166719,-36.040963,0.587192
0.020000,6.918311,1.727369,1.079792,3.203875,3.131216,-51.775137,0.518363
0.020000,6.975711,1.757469,1.144606,3.240683,1.840403,-64.540632,0.447428
0.020000,7.035262,1.783472,1.209587,3.249054,0.418578,-71.091261,0.376014
0.020000,7.096142,1.805060,1.274181,3.229675,-0.968948,-69.376309,0.305709
0.020000,7.156904,1.822006,1.337261,3.154035,-3.781999,-140.652552,0.238564
0.020000,7.211144,1.833555,1.392717,2.772803,-19.061603,-763.980185,0.181360
0.020000,7.249134,1.839766,1.431212,1.924730,-42.403689,-1167.104305,0.142896
0.020000,7.267374,1.842222,1.449617,0.920248,-50.224085,-391.019801,0.124908
0.020000,7.271766,1.842764,1.454042,0.221242,-34.950279,763.690290,0.120624
0.020000,7.271766,1.842764,1.454042,0.000000,-11.062119,1194.408028,0.120624
