dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.337787,0.620046,0.003333,0.333333,16.666667,833.333333,0.403714
0.020000,6.349985,0.625430,0.016667,1.000000,33.333333,833.333333,0.427544
0.020000,6.373979,0.637060,0.043333,1.666667,33.333333,0.000000,0.475138
0.020000,6.406018,0.654878,0.080000,2.000000,16.666667,-833.333333,0.539667
0.020000,6.439603,0.676590,0.120000,2.000000,0.000000,-833.333333,0.607548
0.020000,6.471685,0.700470,0.160000,2.000000,0.000000,0.000000,0.671448
0.020000,6.502240,0.726275,0.200000,2.000000,0.000000,0.000000,0.730291
0.020000,6.531303,0.753751,0.240000,2.000000,0.000000,0.000000,0.783364
0.020000,6.558957,0.782647,0.280000,2.000000,0.000000,0.000000,0.830293
0.020000,6.585320,0.812726,0.320000,2.000000,0.000000,0.000000,0.870975
0.020000,6.610534,0.843776,0.360000,2.000000,0.000000,0.000000,0.905491
0.020000,6.634758,0.875605,0.400000,2.000000,0.000000,0.000000,0.934029
0.020000,6.658159,0.908045,0.440000,2.000000,0.000000,0.000000,0.956824
0.020000,6.680905,0.940948,0.480000,2.000000,0.000000,0.000000,0.974109
0.020000,6.703168,0.974179,0.520000,2.000000,0.000000,0.000000,0.986084
0.020000,6.725118,1.007618,0.560000,2.000000,0.000000,0.000000,0.992903
0.020000,6.746925,1.041151,0.600000,2.000000,0.000000,0.000000,0.994654
0.020000,6.768758,1.074667,0.640000,2.000000,0.000000,0.000000,0.991362
0.020000,6.790786,1.108055,0.680000,2.000000,0.000000,0.000000,0.982982
0.020000,6.813178,1.141200,0.720000,2.000000,0.000000,0.000000,0.969405
0.020000,6.836106,1.173976,0.760000,2.000000,0.000000,0.000000,0.950462
0.020000,6.859740,1.206246,0.800000,2.000000,0.000000,0.000000,0.925939
0.020000,6.884249,1.237856,0.840000,2.000000,0.000000,0.000000,0.895600
0.020000,6.909797,1.268631,0.880000,2.000000,0.000000,0.000000,0.859218
0.020000,6.936540,1.298373,0.920000,2.000000,0.000000,0.000000,0.816632
0.020000,6.964613,1.326861,0.960000,2.000000,0.000000,0.000000,0.767806
0.020000,6.994125,1.353854,1.000000,2.000000,0.000000,0.000000,0.712918
0.020000,7.025145,1.379099,1.040000,2.000000,0.000000,0.000000,0.652439
0.020000,7.057690,1.402342,1.080000,2.000000,0.000000,0.000000,0.587192
0.020000,7.091721,1.423348,1.120000,2.000000,0.000000,0.000000,0.518363
0.020000,7.127138,1.441922,1.160000,2.000000,0.000000,0.000000,0.447428
0.020000,7.163788,1.457925,1.200000,2.000000,0.000000,0.000000,0.376014
0.020000,7.201481,1.471288,1.240000,2.000000,0.000000,0.000000,0.305709
0.020000,7.239611,1.481918,1.279592,1.959196,-2.040216,-102.010812,0.238564
0.020000,7.274272,1.489296,1.315034,1.585058,-18.706883,-833.333333,0.181360
0.020000,7.298978,1.493333,1.340069,0.918391,-33.333333,-731.322522,0.142896
0.020000,7.310978,1.494949,1.352178,0.292529,-31.293117,102.010812,0.124908
0.020000,7.313882,1.495307,1.355103,0.000000,-14.626450,833.333333,0.120624
0.020000,7.313882,1.495307,1.355103,0.000000,0.000000,731.322522,0.120624
