dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.127210,1.885250,0.003333,0.333333,16.666667,833.333333,3.208110
0.020000,7.114456,1.884411,0.016115,0.639068,15.286751,-68.995767,3.206533
0.020000,7.088912,1.882789,0.041710,1.279760,32.034573,837.391093,3.203471
0.020000,7.053712,1.880680,0.076974,1.763197,24.171873,-393.134986,3.199464
0.020000,7.015209,1.878529,0.115537,1.928139,8.247070,-796.240189,3.195357
0.020000,6.976601,1.876526,0.154196,1.932980,0.242074,-400.249780,3.191528
0.020000,6.937890,1.874662,0.192952,1.937809,0.241433,-0.032075,3.187974
0.020000,6.899076,1.872925,0.231805,1.942626,0.240845,-0.029360,3.184695
0.020000,6.860161,1.871306,0.270754,1.947431,0.240243,-0.030138,3.181692
0.020000,6.821146,1.869795,0.309798,1.952224,0.239648,-0.029712,3.178961
0.020000,6.782031,1.868381,0.348938,1.957005,0.239049,-0.029992,3.176505
0.020000,6.742818,1.867056,0.388174,1.961775,0.238545,-0.025172,3.174320
0.020000,6.703507,1.865807,0.427504,1.966536,0.238051,-0.024711,3.172408
0.020000,6.664099,1.864626,0.466930,1.971288,0.237596,-0.022753,3.170768
0.020000,6.624595,1.863501,0.506451,1.976032,0.237191,-0.020231,3.169398
0.020000,6.584994,1.862422,0.546066,1.980770,0.236872,-0.015974,3.168299
0.020000,6.545298,1.861379,0.585776,1.985501,0.236593,-0.013925,3.167471
0.020000,6.505506,1.860361,0.625581,1.990229,0.236375,-0.010925,3.166912
0.020000,6.465620,1.859358,0.665480,1.994954,0.236237,-0.006901,3.166624
0.020000,6.425639,1.858358,0.705473,1.999677,0.236162,-0.003727,3.166605
0.020000,6.385563,1.857351,0.745561,2.004400,0.236154,-0.000430,3.166857
0.020000,6.345394,1.856327,0.785744,2.009124,0.236224,0.003523,3.167378
0.020000,6.305131,1.855273,0.826021,2.013852,0.236351,0.006374,3.168170
0.020000,6.264774,1.854180,0.866393,2.018582,0.236548,0.009829,3.169232
0.020000,6.224324,1.853035,0.906859,2.023319,0.236822,0.013681,3.170564
0.020000,6.183780,1.851829,0.947420,2.028062,0.237151,0.016481,3.172168
0.020000,6.143144,1.850549,0.988076,2.032812,0.237524,0.018643,3.174043
0.020000,6.102416,1.849184,1.028828,2.037572,0.237960,0.021803,3.176190
0.020000,6.061595,1.847722,1.069675,2.042341,0.238475,0.025730,3.178609
0.020000,6.020683,1.846153,1.110617,2.047121,0.238982,0.025360,3.181302
0.020000,5.979679,1.844464,1.151655,2.051912,0.239537,0.027764,3.184268
0.020000,5.938585,1.842643,1.192790,2.056714,0.240125,0.029371,3.187509
0.020000,5.897401,1.840679,1.234020,2.061529,0.240772,0.032379,3.191025
0.020000,5.856129,1.838560,1.275347,2.066356,0.241345,0.028612,3.194817
0.020000,5.814768,1.836273,1.316771,2.071195,0.241953,0.030416,3.198885
0.020000,5.773320,1.833806,1.358292,2.076046,0.242546,0.029653,3.203231
0.020000,5.731787,1.831148,1.399910,2.080909,0.243148,0.030122,3.207854
0.020000,5.690170,1.828284,1.441626,2.085782,0.243635,0.024326,3.212756
0.020000,5.648470,1.825204,1.483439,2.090664,0.244095,0.022988,3.217937
0.020000,5.606690,1.821894,1.525350,2.095554,0.244485,0.019503,3.223398
0.020000,5.564832,1.818343,1.567359,2.100450,0.244800,0.015752,3.229138
0.020000,5.522897,1.814536,1.609466,2.105349,0.244987,0.009373,3.235158
0.020000,5.480889,1.810461,1.651671,2.110250,0.245030,0.002148,3.241458
0.020000,5.438811,1.806106,1.693974,2.115149,0.244944,-0.004328,3.248038
0.020000,5.396666,1.801457,1.736375,2.120043,0.244688,-0.012760,3.254898
0.020000,5.354457,1.796503,1.778874,2.124928,0.244251,-0.021895,3.262037
0.020000,5.312189,1.791229,1.821470,2.129799,0.243579,-0.033594,3.269455
0.020000,5.269865,1.785623,1.864163,2.134653,0.242678,-0.045014,3.277149
0.020000,5.227491,1.779672,1.906952,2.139483,0.241525,-0.057675,3.285120
0.020000,5.185072,1.773364,1.949838,2.144285,0.240090,-0.071759,3.293365
0.020000,5.142613,1.766686,1.992819,2.149052,0.238331,-0.087925,3.301883
0.020000,5.100120,1.759625,2.035895,2.153777,0.236256,-0.103768,3.310671
0.020000,5.057600,1.752169,2.079064,2.158454,0.233839,-0.120843,3.319725
0.020000,5.015059,1.744306,2.122325,2.163074,0.231044,-0.139729,3.329044
0.020000,4.972505,1.736024,2.165678,2.167632,0.227857,-0.159387,3.338624
0.020000,4.929945,1.727311,2.209120,2.172115,0.224160,-0.184817,3.348460
0.020000,4.887388,1.718156,2.252650,2.176518,0.220188,-0.198626,3.358547
0.020000,4.844843,1.708548,2.296267,2.180833,0.215707,-0.224017,3.368881
0.020000,4.802319,1.698476,2.339968,2.185048,0.210769,-0.246945,3.379455
0.020000,4.759825,1.687931,2.383751,2.189151,0.205160,-0.280403,3.390265
0.020000,4.717371,1.676902,2.427614,2.193139,0.199410,-0.287523,3.401302
0.020000,4.674969,1.665380,2.471554,2.197000,0.193048,-0.318104,3.412560
0.020000,4.632628,1.653356,2.515568,2.200720,0.185967,-0.354049,3.424030
0.020000,4.590361,1.640824,2.559654,2.204294,0.178694,-0.363635,3.435705
0.020000,4.548180,1.627774,2.603808,2.207714,0.171008,-0.384307,3.447575
0.020000,4.506095,1.614200,2.648028,2.210958,0.162229,-0.438930,3.459631
0.020000,4.464120,1.600097,2.692308,2.214038,0.153964,-0.413296,3.471862
0.020000,4.422268,1.585459,2.736647,2.216925,0.144377,-0.479335,3.484259
0.020000,4.380551,1.570281,2.781039,2.219627,0.135078,-0.464919,3.496809
0.020000,4.338981,1.554561,2.825482,2.222122,0.124751,-0.516353,3.509503
0.020000,4.297573,1.538295,2.869970,2.224421,0.114948,-0.490154,3.522328
0.020000,4.256340,1.521480,2.914500,2.226491,0.103512,-0.571802,3.535271
0.020000,4.215294,1.504117,2.959067,2.228357,0.093317,-0.509764,3.548321
0.020000,4.174450,1.486204,3.003667,2.230000,0.082156,-0.558033,3.561465
0.020000,4.133819,1.467743,3.048295,2.231409,0.070412,-0.587198,3.574689
0.020000,4.103079,1.453647,3.082113,1.690889,-27.026000,-1354.820637,3.566906
0.020000,4.069799,1.438775,3.118565,1.822598,6.585482,1680.574132,3.556769
0.020000,4.036354,1.424234,3.155034,1.823460,0.043083,-327.119944,3.546681
0.020000,4.002747,1.410022,3.191523,1.824431,0.048552,0.273418,3.536649
0.020000,3.968979,1.396139,3.228033,1.825495,0.053212,0.233022,3.526678
0.020000,3.935054,1.382584,3.264566,1.826654,0.057951,0.236958,3.516773
0.020000,3.900973,1.369355,3.301124,1.827910,0.062782,0.241506,3.506940
0.020000,3.866739,1.356451,3.337709,1.829264,0.067716,0.246705,3.497184
0.020000,3.832354,1.343871,3.374323,1.830703,0.071962,0.212308,3.487510
0.020000,3.797821,1.331612,3.410968,1.832232,0.076419,0.222884,3.477924
0.020000,3.763142,1.319672,3.447645,1.833847,0.080743,0.216155,3.468430
0.020000,3.728319,1.308050,3.484356,1.835545,0.084925,0.209107,3.459033
0.020000,3.693356,1.296743,3.521102,1.837324,0.088960,0.201772,3.449737
0.020000,3.658254,1.285748,3.557886,1.839181,0.092844,0.194189,3.440548
0.020000,3.623016,1.275063,3.594708,1.841114,0.096625,0.189032,3.431469
0.020000,3.587644,1.264686,3.631571,1.843116,0.100118,0.174676,3.422505
0.020000,3.552142,1.254612,3.668474,1.845187,0.103527,0.170465,3.413659
0.020000,3.516511,1.244840,3.705421,1.847322,0.106771,0.162197,3.404935
0.020000,3.480755,1.235365,3.742411,1.849519,0.109849,0.153861,3.396336
0.020000,3.444876,1.226184,3.779447,1.851774,0.112758,0.145493,3.387866
0.020000,3.408875,1.217294,3.816528,1.854084,0.115501,0.137131,3.379529
0.020000,3.372757,1.208692,3.853657,1.856446,0.118077,0.128808,3.371326
0.020000,3.336522,1.200372,3.890834,1.858856,0.120488,0.120558,3.363261
0.020000,3.300175,1.192332,3.928061,1.861310,0.122737,0.112412,3.355336
0.020000,3.263716,1.184568,3.965337,1.863807,0.124832,0.104773,3.347554
0.020000,3.227149,1.177074,4.002664,1.866342,0.126762,0.096521,3.339916
0.020000,3.190476,1.169847,4.040042,1.868913,0.128530,0.088363,3.332426
0.020000,3.153700,1.162883,4.077472,1.871516,0.130158,0.081401,3.325084
0.020000,3.116821,1.156177,4.114955,1.874149,0.131641,0.074178,3.317893
0.020000,3.079844,1.149724,4.152491,1.876809,0.132985,0.067200,3.310854
0.020000,3.042770,1.143520,4.190081,1.879492,0.134195,0.060481,3.303968
0.020000,3.005601,1.137560,4.227725,1.882198,0.135276,0.054035,3.297236
0.020000,2.968339,1.131839,4.265424,1.884923,0.136233,0.047872,3.290661
0.020000,2.930986,1.126352,4.303177,1.887664,0.137073,0.042000,3.284242
0.020000,2.893545,1.121095,4.340985,1.890420,0.137802,0.036425,3.277980
0.020000,2.856017,1.116062,4.378849,1.893189,0.138425,0.031153,3.271877
0.020000,2.818405,1.111248,4.416768,1.895968,0.138948,0.026184,3.265932
0.020000,2.780709,1.106648,4.454744,1.898755,0.139379,0.021521,3.260147
0.020000,2.742933,1.102256,4.492775,1.901549,0.139718,0.016953,3.254522
0.020000,2.705077,1.098068,4.530861,1.904349,0.139979,0.013048,3.249056
0.020000,2.667143,1.094078,4.569005,1.907152,0.140169,0.009518,3.243750
0.020000,2.629133,1.090281,4.607204,1.909958,0.140287,0.005898,3.238605
0.020000,2.591049,1.086671,4.645459,1.912765,0.140341,0.002717,3.233621
0.020000,2.552891,1.083243,4.683770,1.915572,0.140338,-0.000185,3.228796
0.020000,2.514661,1.079991,4.722138,1.918377,0.140281,-0.002815,3.224132
0.020000,2.476361,1.076910,4.760562,1.921181,0.140178,-0.005180,3.219628
0.020000,2.437992,1.073994,4.799041,1.923982,0.140032,-0.007289,3.215285
0.020000,2.399556,1.071238,4.837577,1.926779,0.139849,-0.009153,3.211101
0.020000,2.361052,1.068636,4.876168,1.929571,0.139633,-0.010779,3.207076
0.020000,2.322483,1.066182,4.914815,1.932359,0.139390,-0.012179,3.203211
0.020000,2.283849,1.063871,4.953518,1.935141,0.139123,-0.013361,3.199505
0.020000,2.245152,1.061696,4.992277,1.937918,0.138836,-0.014336,3.195957
0.020000,2.206392,1.059654,5.031090,1.940689,0.138534,-0.015114,3.192568
0.020000,2.167570,1.057736,5.069959,1.943453,0.138219,-0.015706,3.189337
0.020000,2.128687,1.055939,5.108884,1.946211,0.137897,-0.016120,3.186263
0.020000,2.089744,1.054255,5.147863,1.948963,0.137570,-0.016367,3.183347
