dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.009294,3.349877,0.003333,0.333333,16.666667,833.333333,6.256628
0.020000,0.021722,3.349548,0.015766,0.621609,14.413808,-112.642931,6.256847
0.020000,0.048228,3.348855,0.042281,1.325789,35.208966,1039.757919,6.257278
0.020000,0.084681,3.347921,0.078746,1.823217,24.871397,-516.878464,6.257857
0.020000,0.124454,3.346926,0.118532,1.989303,8.304328,-828.353478,6.258468
0.020000,0.164236,3.345954,0.158325,1.989658,0.017717,-414.330527,6.259059
0.020000,0.204025,3.345006,0.198125,1.990012,0.017718,0.000038,6.259630
0.020000,0.243821,3.344079,0.237932,1.990366,0.017717,-0.000042,6.260180
0.020000,0.283625,3.343174,0.277747,1.990721,0.017717,0.000022,6.260710
0.020000,0.323437,3.342289,0.317568,1.991075,0.017717,0.000004,6.261220
0.020000,0.363256,3.341424,0.357397,1.991429,0.017716,-0.000067,6.261710
0.020000,0.403083,3.340578,0.397233,1.991784,0.017717,0.000047,6.262180
0.020000,0.442917,3.339750,0.437075,1.992138,0.017716,-0.000050,6.262629
0.020000,0.482759,3.338940,0.476925,1.992492,0.017716,-0.000025,6.263058
0.020000,0.522608,3.338146,0.516782,1.992847,0.017716,0.000018,6.263467
0.020000,0.562464,3.337368,0.556646,1.993201,0.017714,-0.000084,6.263855
0.020000,0.602328,3.336604,0.596517,1.993555,0.017715,0.000025,6.264223
0.020000,0.642199,3.335855,0.636395,1.993910,0.017714,-0.000028,6.264571
0.020000,0.682077,3.335119,0.676281,1.994264,0.017713,-0.000066,6.264899
0.020000,0.721963,3.334396,0.716173,1.994618,0.017713,0.000030,6.265207
0.020000,0.761856,3.333685,0.756073,1.994972,0.017712,-0.000064,6.265494
0.020000,0.801757,3.332984,0.795979,1.995327,0.017712,-0.000014,6.265761
0.020000,0.841664,3.332294,0.835893,1.995681,0.017712,0.000000,6.266008
0.020000,0.881579,3.331613,0.875813,1.996035,0.017710,-0.000077,6.266234
0.020000,0.921501,3.330940,0.915741,1.996389,0.017711,0.000027,6.266441
0.020000,0.961431,3.330275,0.955676,1.996743,0.017710,-0.000036,6.266627
0.020000,1.001367,3.329617,0.995618,1.997098,0.017710,-0.000035,6.266793
0.020000,1.041311,3.328965,1.035567,1.997452,0.017710,0.000010,6.266938
0.020000,1.081262,3.328319,1.075523,1.997806,0.017709,-0.000042,6.267064
0.020000,1.121220,3.327677,1.115486,1.998160,0.017709,-0.000000,6.267169
0.020000,1.161185,3.327038,1.155457,1.998514,0.017709,-0.000008,6.267254
0.020000,1.201157,3.326403,1.195434,1.998868,0.017708,-0.000027,6.267318
0.020000,1.241137,3.325769,1.235418,1.999223,0.017708,0.000010,6.267363
0.020000,1.281123,3.325137,1.275410,1.999577,0.017708,-0.000013,6.267387
0.020000,1.321117,3.324505,1.315409,1.999931,0.017708,-0.000002,6.267391
0.020000,1.361118,3.323873,1.355414,2.000285,0.017708,-0.000002,6.267375
0.020000,1.401126,3.323240,1.395427,2.000639,0.017708,0.000005,6.267338
0.020000,1.441140,3.322605,1.435447,2.000993,0.017708,0.000000,6.267281
0.020000,1.481162,3.321967,1.475474,2.001348,0.017708,0.000003,6.267204
0.020000,1.521191,3.321325,1.515508,2.001702,0.017709,0.000024,6.267107
0.020000,1.561227,3.320679,1.555549,2.002056,0.017708,-0.000010,6.266990
0.020000,1.601270,3.320028,1.595597,2.002410,0.017709,0.000027,6.266852
0.020000,1.641320,3.319370,1.635653,2.002764,0.017709,0.000014,6.266694
0.020000,1.681377,3.318706,1.675715,2.003119,0.017709,-0.000004,6.266516
0.020000,1.721440,3.318034,1.715784,2.003473,0.017710,0.000060,6.266317
0.020000,1.761511,3.317354,1.755861,2.003827,0.017710,-0.000019,6.266099
0.020000,1.801589,3.316665,1.795945,2.004181,0.017711,0.000029,6.265860
0.020000,1.841674,3.315965,1.836035,2.004535,0.017712,0.000048,6.265600
0.020000,1.881765,3.315254,1.876133,2.004890,0.017711,-0.000020,6.265321
0.020000,1.921863,3.314532,1.916238,2.005244,0.017712,0.000065,6.265021
0.020000,1.961969,3.313797,1.956350,2.005598,0.017713,0.000006,6.264702
0.020000,2.002081,3.313049,1.996469,2.005952,0.017713,0.000001,6.264361
0.020000,2.042200,3.312286,2.036595,2.006307,0.017714,0.000093,6.264001
0.020000,2.082325,3.311509,2.076728,2.006661,0.017714,-0.000045,6.263620
0.020000,2.122458,3.310716,2.116869,2.007015,0.017715,0.000052,6.263220
0.020000,2.162597,3.309906,2.157016,2.007370,0.017715,0.000039,6.262798
0.020000,2.202743,3.309078,2.197170,2.007724,0.017715,-0.000023,6.262357
0.020000,2.242896,3.308233,2.237332,2.008078,0.017716,0.000076,6.261895
0.020000,2.283055,3.307368,2.277501,2.008432,0.017716,-0.000020,6.261414
