dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.009294,2.650123,0.003333,0.333333,16.666667,833.333333,6.256628
0.020000,0.003287,2.649791,0.015919,0.629272,14.796938,-93.486417,6.256847
0.020000,0.030096,2.649090,0.042736,1.340878,35.580286,1039.167369,6.257278
0.020000,0.066953,2.648146,0.079605,1.843450,25.128602,-522.584192,6.257857
0.020000,0.107154,2.647140,0.119819,2.010697,8.362339,-838.313164,6.258468
0.020000,0.147349,2.646158,0.160026,2.010342,-0.017717,-419.002796,6.259059
0.020000,0.187537,2.645200,0.200226,2.009988,-0.017717,0.000029,6.259630
0.020000,0.227719,2.644264,0.240419,2.009634,-0.017718,-0.000042,6.260180
0.020000,0.267894,2.643351,0.280604,2.009279,-0.017717,0.000031,6.260710
0.020000,0.308063,2.642458,0.320783,2.008925,-0.017717,0.000021,6.261220
0.020000,0.348225,2.641586,0.360954,2.008571,-0.017717,-0.000044,6.261710
0.020000,0.388380,2.640733,0.401118,2.008216,-0.017716,0.000078,6.262180
0.020000,0.428528,2.639898,0.441276,2.007862,-0.017716,-0.000016,6.262629
0.020000,0.468670,2.639082,0.481426,2.007508,-0.017716,0.000014,6.263058
0.020000,0.508805,2.638282,0.521569,2.007153,-0.017715,0.000061,6.263467
0.020000,0.548934,2.637498,0.561705,2.006799,-0.017715,-0.000039,6.263855
0.020000,0.589055,2.636730,0.601834,2.006445,-0.017714,0.000073,6.264223
0.020000,0.629170,2.635976,0.641955,2.006090,-0.017714,0.000021,6.264571
0.020000,0.669278,2.635236,0.682070,2.005736,-0.017714,-0.000017,6.264899
0.020000,0.709379,2.634509,0.722178,2.005382,-0.017712,0.000080,6.265207
0.020000,0.749473,2.633794,0.762278,2.005028,-0.017713,-0.000014,6.265494
0.020000,0.789560,2.633090,0.802372,2.004673,-0.017712,0.000035,6.265761
0.020000,0.829641,2.632397,0.842458,2.004319,-0.017711,0.000048,6.266008
0.020000,0.869714,2.631713,0.882538,2.003965,-0.017712,-0.000031,6.266234
0.020000,0.909781,2.631038,0.922610,2.003611,-0.017710,0.000071,6.266441
0.020000,0.949840,2.630371,0.962675,2.003257,-0.017710,0.000005,6.266627
0.020000,0.989893,2.629711,1.002733,2.002902,-0.017710,0.000003,6.266793
0.020000,1.029939,2.629058,1.042784,2.002548,-0.017709,0.000045,6.266938
0.020000,1.069977,2.628410,1.082828,2.002194,-0.017709,-0.000011,6.267064
0.020000,1.110009,2.627766,1.122865,2.001840,-0.017709,0.000027,6.267169
0.020000,1.150033,2.627127,1.162894,2.001486,-0.017708,0.000015,6.267254
0.020000,1.190051,2.626491,1.202917,2.001132,-0.017709,-0.000009,6.267318
0.020000,1.230062,2.625857,1.242932,2.000777,-0.017708,0.000025,6.267363
0.020000,1.270065,2.625224,1.282941,2.000423,-0.017708,-0.000003,6.267387
0.020000,1.310061,2.624593,1.322942,2.000069,-0.017708,0.000004,6.267391
0.020000,1.350051,2.623961,1.362937,1.999715,-0.017708,-0.000001,6.267375
0.020000,1.390033,2.623328,1.402924,1.999361,-0.017708,0.000002,6.267338
0.020000,1.430008,2.622693,1.442904,1.999007,-0.017708,-0.000008,6.267281
0.020000,1.469976,2.622056,1.482877,1.998652,-0.017708,-0.000010,6.267204
0.020000,1.509937,2.621416,1.522843,1.998298,-0.017708,0.000006,6.267107
0.020000,1.549890,2.620771,1.562802,1.997944,-0.017709,-0.000031,6.266990
0.020000,1.589837,2.620121,1.602754,1.997590,-0.017709,0.000002,6.266852
0.020000,1.629776,2.619466,1.642698,1.997236,-0.017709,-0.000016,6.266694
0.020000,1.669708,2.618804,1.682636,1.996881,-0.017710,-0.000037,6.266516
0.020000,1.709633,2.618134,1.722567,1.996527,-0.017710,0.000023,6.266317
0.020000,1.749551,2.617456,1.762490,1.996173,-0.017711,-0.000059,6.266099
0.020000,1.789462,2.616770,1.802406,1.995819,-0.017711,-0.000014,6.265860
0.020000,1.829365,2.616073,1.842316,1.995465,-0.017711,0.000003,6.265600
0.020000,1.869261,2.615366,1.882218,1.995110,-0.017712,-0.000067,6.265321
0.020000,1.909149,2.614647,1.922113,1.994756,-0.017712,0.000016,6.265021
0.020000,1.949031,2.613917,1.962001,1.994402,-0.017713,-0.000044,6.264702
0.020000,1.988905,2.613173,2.001882,1.994048,-0.017714,-0.000049,6.264361
0.020000,2.028771,2.612415,2.041756,1.993693,-0.017713,0.000042,6.264001
0.020000,2.068631,2.611643,2.081623,1.993339,-0.017715,-0.000095,6.263620
0.020000,2.108483,2.610855,2.121482,1.992985,-0.017715,0.000003,6.263220
0.020000,2.148327,2.610051,2.161335,1.992630,-0.017715,-0.000007,6.262798
0.020000,2.188164,2.609230,2.201180,1.992276,-0.017716,-0.000067,6.262357
0.020000,2.227994,2.608391,2.241019,1.991922,-0.017716,0.000035,6.261895
0.020000,2.267816,2.607534,2.280850,1.991567,-0.017717,-0.000056,6.261414
0.020000,2.307631,2.606657,2.320675,1.991213,-0.017717,-0.000023,6.260911
0.020000,2.347438,2.605760,2.360492,1.990859,-0.017716,0.000037,6.260389
0.020000,2.387237,2.604842,2.400302,1.990504,-0.017718,-0.000068,6.259847
0.020000,2.427029,2.603902,2.440105,1.990150,-0.017717,0.000026,6.259284
0.020000,2.466813,2.602939,2.479901,1.989796,-0.017717,-0.000003,6.258701
0.020000,2.506590,2.601953,2.519690,1.989441,-0.017718,-0.000023,6.258097
0.020000,2.546359,2.600943,2.559471,1.989087,-0.017717,0.000048,6.257474
0.020000,2.586120,2.599907,2.599246,1.988733,-0.017717,-0.000019,6.256830
0.020000,2.625873,2.598846,2.639014,1.988378,-0.017717,0.000027,6.256166
0.020000,2.665619,2.597759,2.678774,1.988024,-0.017716,0.000038,6.255481
0.020000,2.705357,2.596643,2.718527,1.987670,-0.017715,0.000019,6.254777
0.020000,2.745087,2.595500,2.758274,1.987315,-0.017714,0.000050,6.254052
0.020000,2.784809,2.594328,2.798013,1.986961,-0.017714,0.000046,6.253307
0.020000,2.824522,2.593126,2.837745,1.986607,-0.017712,0.000071,6.252542
0.020000,2.864228,2.591893,2.877470,1.986253,-0.017711,0.000042,6.251756
0.020000,2.903926,2.590629,2.917188,1.985899,-0.017709,0.000109,6.250950
0.020000,2.943616,2.589333,2.956899,1.985544,-0.017707,0.000085,6.250124
0.020000,2.983298,2.588004,2.996603,1.985190,-0.017706,0.000073,6.249278
0.020000,3.022971,2.586641,3.036300,1.984836,-0.017702,0.000173,6.248411
0.020000,3.062636,2.585243,3.075989,1.984482,-0.017701,0.000062,6.247525
0.020000,3.102293,2.583811,3.115672,1.984128,-0.017698,0.000180,6.246618
0.020000,3.141941,2.582342,3.155347,1.983774,-0.017694,0.000204,6.245691
0.020000,3.181581,2.580836,3.195016,1.983421,-0.017693,0.000026,6.244743
0.020000,3.221212,2.579293,3.234677,1.983067,-0.017686,0.000351,6.243776
0.020000,3.260835,2.577711,3.274331,1.982713,-0.017683,0.000132,6.242788
0.020000,3.300449,2.576090,3.313978,1.982360,-0.017680,0.000182,6.241780
0.020000,3.340054,2.574429,3.353619,1.982006,-0.017672,0.000394,6.240752
0.020000,3.379651,2.572727,3.393252,1.981653,-0.017671,0.000040,6.239703
0.020000,3.419238,2.570983,3.432878,1.981299,-0.017662,0.000454,6.238635
0.020000,3.458817,2.569197,3.472497,1.980946,-0.017655,0.000333,6.237546
