dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.677664,3.026960,0.003333,0.333333,16.666667,833.333333,5.946385
0.020000,6.688897,3.023053,0.015226,0.594657,13.066171,-180.024803,5.950500
0.020000,6.711774,3.015243,0.039400,1.208682,30.701282,881.755581,5.957622
0.020000,6.744088,3.004477,0.073460,1.702982,24.714970,-299.315602,5.965071
0.020000,6.780413,2.992629,0.111669,1.910449,10.373373,-717.079864,5.970188
0.020000,6.817804,2.980581,0.150953,1.964204,2.687727,-384.282289,5.972233
0.020000,6.856215,2.968226,0.191302,2.017462,2.662916,-1.240551,5.971236
0.020000,6.895613,2.955443,0.232721,2.070960,2.674902,0.599294,5.967181
0.020000,6.935972,2.942098,0.275230,2.125435,2.723757,2.442732,5.960013
0.020000,6.977277,2.928037,0.318863,2.181631,2.809785,4.301432,5.949633
0.020000,7.019516,2.913088,0.363668,2.240289,2.932895,6.155469,5.935901
0.020000,7.062677,2.897056,0.409711,2.302154,3.093276,8.019045,5.918634
0.020000,7.106749,2.879719,0.457070,2.367939,3.289212,9.796829,5.897606
0.020000,7.151706,2.860827,0.505836,2.438293,3.517714,11.425085,5.872557
0.020000,7.197508,2.840097,0.556111,2.513723,3.771503,12.689447,5.843197
0.020000,7.244081,2.817215,0.608000,2.594497,4.038719,13.360815,5.809218
0.020000,7.291303,2.791839,0.661610,2.680464,4.298320,12.980047,5.770325
0.020000,7.338989,2.763605,0.717027,2.770861,4.519841,11.076049,5.726263
0.020000,7.386862,2.732151,0.774308,2.864060,4.659954,7.005651,5.676871
0.020000,7.434535,2.697144,0.833454,2.957308,4.662437,0.124171,5.622147
0.020000,7.481503,2.658326,0.894387,3.046634,4.466304,-9.806659,5.562313
0.020000,7.527140,2.615566,0.956926,3.126935,4.015039,-22.563246,5.497886
0.020000,7.570736,2.568917,1.020776,3.192494,3.277917,-36.856131,5.429708
0.020000,7.611557,2.518646,1.085533,3.237893,2.269952,-50.398261,5.358933
0.020000,7.648929,2.465240,1.150717,3.259169,1.063809,-60.307125,5.286940
0.020000,7.682321,2.409360,1.215813,3.254801,-0.218376,-64.109250,5.215197
0.020000,7.711406,2.351765,1.280336,3.226155,-1.432332,-60.697793,5.145093
0.020000,7.736085,2.293212,1.343877,3.177045,-2.455464,-51.156613,5.077798
0.020000,7.756458,2.234384,1.406133,3.112820,-3.211284,-37.791019,5.014179
0.020000,7.772779,2.175832,1.466917,3.039194,-3.681294,-23.500459,4.954770
0.020000,7.785395,2.117965,1.526144,2.961329,-3.893232,-10.596923,4.899816
0.020000,7.794692,2.061053,1.583810,2.883317,-3.900595,-0.368130,4.849323
0.020000,7.801057,2.005254,1.639971,2.808035,-3.764102,6.824634,4.803136
0.020000,7.804856,1.950640,1.694716,2.737280,-3.537783,11.315963,4.760994
0.020000,7.806415,1.897222,1.748157,2.672035,-3.262241,13.777085,4.722582
0.020000,7.806402,1.852617,1.792762,2.230258,-22.088850,-941.330427,4.706290
0.020000,7.805911,1.808919,1.836463,2.185024,-2.261668,991.359059,4.695716
0.020000,7.804895,1.764482,1.880912,2.222448,1.871200,206.643410,4.683004
0.020000,7.803236,1.719281,1.926143,2.261558,1.955460,4.213034,4.668057
0.020000,7.800805,1.673294,1.972194,2.302584,2.051309,4.792437,4.650765
0.020000,7.797462,1.626499,2.019109,2.345727,2.157169,5.292999,4.631007
0.020000,7.793051,1.578880,2.066932,2.391131,2.270198,5.651464,4.608653
0.020000,7.787401,1.530431,2.115709,2.438870,2.386959,5.838030,4.583571
0.020000,7.780327,1.481158,2.165487,2.488899,2.501420,5.723053,4.555630
0.020000,7.771628,1.431088,2.216307,2.541021,2.606092,5.233610,4.524708
0.020000,7.761090,1.380272,2.268204,2.594836,2.690791,4.234933,4.490711
0.020000,7.748491,1.328798,2.321198,2.649693,2.742819,2.601420,4.453577
0.020000,7.733606,1.276793,2.375291,2.704636,2.747162,0.217132,4.413301
0.020000,7.716222,1.224436,2.430458,2.758386,2.687507,-2.982756,4.369953
0.020000,7.696145,1.171958,2.486645,2.809349,2.548166,-6.967063,4.323690
0.020000,7.673221,1.119647,2.543759,2.855677,2.316386,-11.588987,4.274778
0.020000,7.647353,1.067838,2.601667,2.895403,1.986304,-16.504109,4.223594
0.020000,7.618514,1.016903,2.660200,2.926634,1.561530,-21.238683,4.170623
0.020000,7.586759,0.967230,2.719155,2.947786,1.057625,-25.195241,4.116444
0.020000,7.552228,0.919198,2.778312,2.957807,0.501010,-27.830764,4.061691
0.020000,7.515139,0.873150,2.837439,2.956355,-0.072591,-28.680052,4.007021
0.020000,7.475770,0.829372,2.896315,2.943836,-0.625933,-27.667105,3.953067
0.020000,7.434442,0.788072,2.954743,2.921359,-1.123858,-24.896259,3.900398
0.020000,7.391488,0.749380,3.012553,2.890514,-1.542224,-20.918299,3.849494
0.020000,7.347451,0.713514,3.069348,2.839740,-2.538704,-49.823967,3.800948
0.020000,7.306666,0.683258,3.120130,2.539121,-15.030990,-624.614326,3.758971
0.020000,7.277010,0.662844,3.156133,1.800169,-36.947559,-1095.828433,3.730112
0.020000,7.262305,0.653176,3.173731,0.879875,-46.014710,-453.357575,3.716293
0.020000,7.258676,0.650834,3.178051,0.215983,-33.194596,641.005719,3.712930
0.020000,7.258676,0.650834,3.178051,0.000000,-10.799162,1119.771714,3.712930
