dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.562000,2.696624,0.003333,0.333333,16.666667,833.333333,5.946385
0.020000,6.574593,2.692244,0.016667,1.000000,33.333333,833.333333,5.950500
0.020000,6.599829,2.683628,0.043333,1.666667,33.333333,0.000000,5.957622
0.020000,6.634616,2.672038,0.080000,2.000000,16.666667,-833.333333,5.965071
0.020000,6.672644,2.659634,0.120000,2.000000,0.000000,-833.333333,5.970188
0.020000,6.710716,2.647366,0.160000,2.000000,0.000000,0.000000,5.972233
0.020000,6.748795,2.635118,0.200000,2.000000,0.000000,0.000000,5.971236
0.020000,6.786843,2.622774,0.240000,2.000000,0.000000,0.000000,5.967181
0.020000,6.824821,2.610217,0.280000,2.000000,0.000000,0.000000,5.960013
0.020000,6.862687,2.597327,0.320000,2.000000,0.000000,0.000000,5.949633
0.020000,6.900395,2.583983,0.360000,2.000000,0.000000,0.000000,5.935901
0.020000,6.937892,2.570057,0.400000,2.000000,0.000000,0.000000,5.918634
0.020000,6.975115,2.555416,0.440000,2.000000,0.000000,0.000000,5.897606
0.020000,7.011992,2.539922,0.480000,2.000000,0.000000,0.000000,5.872557
0.020000,7.048433,2.523432,0.520000,2.000000,0.000000,0.000000,5.843197
0.020000,7.084334,2.505798,0.560000,2.000000,0.000000,0.000000,5.809218
0.020000,7.119568,2.486868,0.600000,2.000000,0.000000,0.000000,5.770325
0.020000,7.153987,2.466495,0.640000,2.000000,0.000000,0.000000,5.726263
0.020000,7.187417,2.444537,0.680000,2.000000,0.000000,0.000000,5.676871
0.020000,7.219657,2.420870,0.720000,2.000000,0.000000,0.000000,5.622147
0.020000,7.250489,2.395395,0.760000,2.000000,0.000000,0.000000,5.562313
0.020000,7.279677,2.368055,0.800000,2.000000,0.000000,0.000000,5.497886
0.020000,7.306986,2.338839,0.840000,2.000000,0.000000,0.000000,5.429708
0.020000,7.332197,2.307795,0.880000,2.000000,0.000000,0.000000,5.358933
0.020000,7.355126,2.275030,0.920000,2.000000,0.000000,0.000000,5.286940
0.020000,7.375639,2.240700,0.960000,2.000000,0.000000,0.000000,5.215197
0.020000,7.393664,2.205000,1.000000,2.000000,0.000000,0.000000,5.145093
0.020000,7.409193,2.168146,1.040000,2.000000,0.000000,0.000000,5.077798
0.020000,7.422276,2.130353,1.080000,2.000000,0.000000,0.000000,5.014179
0.020000,7.433010,2.091827,1.120000,2.000000,0.000000,0.000000,4.954770
0.020000,7.441524,2.052749,1.160000,2.000000,0.000000,0.000000,4.899816
0.020000,7.447968,2.013275,1.200000,2.000000,0.000000,0.000000,4.849323
0.020000,7.452498,1.973536,1.240000,2.000000,0.000000,0.000000,4.803136
0.020000,7.455269,1.933635,1.280000,2.000000,0.000000,0.000000,4.760994
0.020000,7.456433,1.893655,1.320000,2.000000,0.000000,0.000000,4.722582
0.020000,7.456408,1.854752,1.360000,2.000000,0.000000,0.000000,4.706290
0.020000,7.455960,1.814755,1.400000,2.000000,0.000000,0.000000,4.695716
0.020000,7.455046,1.774765,1.440000,2.000000,0.000000,0.000000,4.683004
0.020000,7.453580,1.734792,1.480000,2.000000,0.000000,0.000000,4.668057
0.020000,7.451469,1.694849,1.520000,2.000000,0.000000,0.000000,4.650765
0.020000,7.448620,1.654951,1.560000,2.000000,0.000000,0.000000,4.631007
0.020000,7.444932,1.615122,1.600000,2.000000,0.000000,0.000000,4.608653
0.020000,7.440301,1.575392,1.640000,2.000000,0.000000,0.000000,4.583571
0.020000,7.434618,1.535799,1.680000,2.000000,0.000000,0.000000,4.555630
0.020000,7.427774,1.496391,1.720000,2.000000,0.000000,0.000000,4.524708
0.020000,7.419654,1.457225,1.760000,2.000000,0.000000,0.000000,4.490711
0.020000,7.410147,1.418374,1.800000,2.000000,0.000000,0.000000,4.453577
0.020000,7.399144,1.379920,1.840000,2.000000,0.000000,0.000000,4.413301
0.020000,7.386543,1.341960,1.880000,2.000000,0.000000,0.000000,4.369953
0.020000,7.372254,1.304603,1.920000,2.000000,0.000000,0.000000,4.323690
0.020000,7.356203,1.267969,1.960000,2.000000,0.000000,0.000000,4.274778
0.020000,7.338339,1.232185,2.000000,2.000000,0.000000,0.000000,4.223594
0.020000,7.318634,1.197380,2.040000,2.000000,0.000000,0.000000,4.170623
0.020000,7.297093,1.163682,2.080000,2.000000,0.000000,0.000000,4.116444
0.020000,7.273747,1.131208,2.120000,2.000000,0.000000,0.000000,4.061691
0.020000,7.248658,1.100061,2.160000,2.000000,0.000000,0.000000,4.007021
0.020000,7.221914,1.070322,2.200000,2.000000,0.000000,0.000000,3.953067
0.020000,7.193622,1.042052,2.240000,2.000000,0.000000,0.000000,3.900398
0.020000,7.163904,1.015285,2.280000,2.000000,0.000000,0.000000,3.849494
0.020000,7.133039,0.990150,2.319809,1.980926,-0.953691,-47.684553,3.800948
0.020000,7.104051,0.968648,2.355904,1.628519,-17.620358,-833.333333,3.758971
0.020000,7.082714,0.953961,2.381807,0.961852,-33.333333,-785.648780,3.730112
0.020000,7.072051,0.946951,2.394569,0.314260,-32.379642,47.684553,3.716293
0.020000,7.069411,0.945247,2.397711,0.000000,-15.712976,833.333333,3.712930
0.020000,7.069411,0.945247,2.397711,0.000000,0.000000,785.648780,3.712930
