dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001100,0.350000,0.003333,0.333333,16.666667,833.333333,0.000667
0.020000,0.012072,0.350045,0.014305,0.548585,10.762596,-295.203519,0.007415
0.020000,0.033867,0.350357,0.036103,1.089884,27.064956,815.117990,0.021325
0.020000,0.063491,0.351283,0.065741,1.481921,19.601810,-373.157301,0.041405
0.020000,0.095308,0.352966,0.097602,1.593056,5.556755,-702.252770,0.064657
0.020000,0.126545,0.355373,0.128932,1.566502,-1.327684,-344.221921,0.089426
0.020000,0.157140,0.358518,0.159689,1.537814,-1.434378,-5.334705,0.115834
0.020000,0.187025,0.362416,0.189827,1.506904,-1.545506,-5.556394,0.144008
0.020000,0.216128,0.367078,0.219301,1.473698,-1.660319,-5.740640,0.174079
0.020000,0.244375,0.372507,0.248064,1.438183,-1.775733,-5.770714,0.206179
0.020000,0.271690,0.378702,0.276073,1.400447,-1.886802,-5.553453,0.240435
0.020000,0.297999,0.385657,0.303286,1.360641,-1.990301,-5.174932,0.276966
0.020000,0.323232,0.393355,0.329668,1.319079,-2.078128,-4.391396,0.315871
0.020000,0.347328,0.401776,0.355193,1.276254,-2.141217,-3.154415,0.357223
0.020000,0.370237,0.410895,0.379850,1.232861,-2.169675,-1.422909,0.401053
0.020000,0.391928,0.420682,0.403646,1.189819,-2.152087,0.879389,0.447343
0.020000,0.412390,0.431110,0.426612,1.148289,-2.076487,3.780000,0.496006
0.020000,0.431637,0.442159,0.448805,1.109643,-1.932336,7.207542,0.546877
0.020000,0.449709,0.453820,0.470313,1.075382,-1.713056,10.964017,0.599705
0.020000,0.466671,0.466101,0.491254,1.047058,-1.416174,14.844117,0.654151
0.020000,0.482604,0.479034,0.511776,1.026096,-1.048083,18.404523,0.709795
0.020000,0.497604,0.492672,0.532049,1.013647,-0.622494,21.279464,0.766150
0.020000,0.511764,0.507091,0.552257,1.010432,-0.160748,23.087305,0.822689
0.020000,0.525170,0.522378,0.572590,1.016643,0.310587,23.566728,0.878873
0.020000,0.537890,0.538630,0.593228,1.031913,0.763495,22.645412,0.934185
0.020000,0.549971,0.555938,0.614336,1.055367,1.172711,20.460791,0.988157
0.020000,0.561436,0.574380,0.636051,1.085751,1.519190,17.323944,1.040392
0.020000,0.572289,0.594012,0.658482,1.121581,1.791471,13.614058,1.090581
0.020000,0.582515,0.614865,0.681709,1.161309,1.986440,9.748480,1.138500
0.020000,0.592091,0.636947,0.705778,1.203460,2.107514,6.053701,1.184010
0.020000,0.600990,0.660240,0.730712,1.246730,2.163499,2.799214,1.227049
0.020000,0.609183,0.684705,0.756513,1.290032,2.165111,0.080621,1.267613
0.020000,0.616646,0.710289,0.783163,1.332515,2.124142,-2.048468,1.305750
0.020000,0.623359,0.736928,0.810634,1.373561,2.052330,-3.590572,1.341543
0.020000,0.629310,0.764549,0.838889,1.412732,1.958533,-4.689874,1.375097
0.020000,0.634494,0.793077,0.867885,1.449780,1.852408,-5.306265,1.406535
0.020000,0.638911,0.822438,0.897576,1.484550,1.738496,-5.695603,1.435986
0.020000,0.642568,0.852557,0.927916,1.517025,1.623766,-5.736457,1.463582
0.020000,0.645475,0.883364,0.958860,1.547211,1.509274,-5.724618,1.489453
0.020000,0.647649,0.914793,0.990365,1.575214,1.400163,-5.455573,1.513725
0.020000,0.649072,0.945790,1.021394,1.551457,-1.187872,-129.401704,1.535836
0.020000,0.649767,0.972528,1.048141,1.337338,-10.705958,-475.904317,1.553624
0.020000,0.649971,0.990331,1.065945,0.890234,-22.355165,-582.460373,1.564873
0.020000,0.649999,0.998266,1.073880,0.396757,-24.673838,-115.933623,1.569744
0.020000,0.650000,1.000000,1.075614,0.086686,-15.503580,458.512882,1.570796
0.020000,0.650000,1.000000,1.075614,0.000000,-4.334294,558.464321,1.570796
