dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.003333,0.333333,16.666667,833.333333,0.000053
0.020000,0.012333,-0.000004,0.016667,1.000000,33.333333,833.333333,0.0
0.020000,0.039000,-0.000039,0.043333,1.666667,33.333333,0.000000,0.0
0.020000,0.075666,-0.000139,0.080000,2.000000,16.666667,-833.333333,0.0
0.020000,0.115666,-0.000308,0.120000,2.000000,0.000000,-833.333333,0.0
0.020000,0.155666,-0.000527,0.160000,2.000000,0.000000,0.000000,0.0
0.020000,0.195665,-0.000786,0.200000,2.000000,0.000000,0.000000,0.0
0.020000,0.235664,-0.001071,0.240000,2.000000,0.000000,0.000000,0.0
0.020000,0.275663,-0.001373,0.280000,2.000000,0.000000,0.000000,0.0
0.020000,0.315661,-0.001678,0.320000,2.000000,0.000000,0.000000,0.0
0.020000,0.355660,-0.001976,0.360000,2.000000,0.000000,0.000000,0.0
0.020000,0.395659,-0.002255,0.400000,2.000000,0.000000,0.000000,0.0
0.020000,0.435659,-0.002504,0.440000,2.000000,0.000000,0.000000,0.0
0.020000,0.475658,-0.002710,0.480000,2.000000,0.000000,0.000000,0.0
0.020000,0.515658,-0.002862,0.520000,2.000000,0.000000,0.000000,0.0
0.020000,0.555658,-0.002948,0.560000,2.000000,0.000000,0.000000,0.0
0.020000,0.595658,-0.002956,0.600000,2.000000,0.000000,0.000000,0.000871
0.020000,0.635658,-0.002874,0.640000,2.000000,0.000000,0.000000,0.003276
0.020000,0.675657,-0.002690,0.680000,2.000000,0.000000,0.000000,0.005992
0.020000,0.715656,-0.002391,0.720000,2.000000,0.000000,0.000000,0.009023
0.020000,0.755654,-0.001964,0.760000,2.000000,0.000000,0.000000,0.012377
0.020000,0.795650,-0.001396,0.800000,2.000000,0.000000,0.000000,0.016060
0.020000,0.835643,-0.000675,0.840000,2.000000,0.000000,0.000000,0.020079
0.020000,0.875633,0.000215,0.880000,2.000000,0.000000,0.000000,0.024442
0.020000,0.915619,0.001285,0.920000,2.000000,0.000000,0.000000,0.029159
0.020000,0.955599,0.002552,0.960000,2.000000,0.000000,0.000000,0.034239
0.020000,0.995572,0.004029,1.000000,2.000000,0.000000,0.000000,0.039692
0.020000,1.035535,0.005732,1.040000,2.000000,0.000000,0.000000,0.045530
0.020000,1.075488,0.007675,1.080000,2.000000,0.000000,0.000000,0.051765
0.020000,1.115427,0.009876,1.120000,2.000000,0.000000,0.000000,0.058411
0.020000,1.155351,0.012351,1.160000,2.000000,0.000000,0.000000,0.065480
0.020000,1.195255,0.015117,1.200000,2.000000,0.000000,0.000000,0.072988
0.020000,1.235136,0.018191,1.240000,2.000000,0.000000,0.000000,0.080951
0.020000,1.274992,0.021592,1.280000,2.000000,0.000000,0.000000,0.089385
0.020000,1.314816,0.025339,1.320000,2.000000,0.000000,0.000000,0.098308
0.020000,1.354603,0.029451,1.360000,2.000000,0.000000,0.000000,0.107739
0.020000,1.394349,0.033948,1.400000,2.000000,0.000000,0.000000,0.117698
0.020000,1.434048,0.038852,1.440000,2.000000,0.000000,0.000000,0.128204
0.020000,1.473691,0.044184,1.480000,2.000000,0.000000,0.000000,0.139281
0.020000,1.513270,0.049966,1.520000,2.000000,0.000000,0.000000,0.150950
0.020000,1.552778,0.056222,1.560000,2.000000,0.000000,0.000000,0.163235
0.020000,1.592203,0.062975,1.600000,2.000000,0.000000,0.000000,0.176159
0.020000,1.631536,0.070250,1.640000,2.000000,0.000000,0.000000,0.189748
0.020000,1.670763,0.078072,1.680000,2.000000,0.000000,0.000000,0.204025
0.020000,1.709872,0.086468,1.720000,2.000000,0.000000,0.000000,0.219017
0.020000,1.748847,0.095463,1.760000,2.000000,0.000000,0.000000,0.234748
0.020000,1.787672,0.105085,1.800000,2.000000,0.000000,0.000000,0.251243
0.020000,1.826329,0.115361,1.840000,2.000000,0.000000,0.000000,0.268525
0.020000,1.864798,0.126319,1.880000,2.000000,0.000000,0.000000,0.286618
0.020000,1.903058,0.137987,1.920000,2.000000,0.000000,0.000000,0.305541
0.020000,1.941085,0.150393,1.960000,2.000000,0.000000,0.000000,0.325314
0.020000,1.978853,0.163564,2.000000,2.000000,0.000000,0.000000,0.345951
0.020000,2.016335,0.177529,2.040000,2.000000,0.000000,0.000000,0.367463
0.020000,2.053502,0.192313,2.080000,2.000000,0.000000,0.000000,0.389856
0.020000,2.090322,0.207942,2.120000,2.000000,0.000000,0.000000,0.413132
0.020000,2.126760,0.224439,2.160000,2.000000,0.000000,0.000000,0.437283
0.020000,2.162782,0.241827,2.200000,2.000000,0.000000,0.000000,0.462298
0.020000,2.198350,0.260126,2.240000,2.000000,0.000000,0.000000,0.488153
0.020000,2.233425,0.279352,2.280000,2.000000,0.000000,0.000000,0.514818
0.020000,2.267967,0.299520,2.320000,2.000000,0.000000,0.000000,0.542252
0.020000,2.301935,0.320640,2.360000,2.000000,0.000000,0.000000,0.570404
0.020000,2.335287,0.342719,2.400000,2.000000,0.000000,0.000000,0.599213
0.020000,2.367983,0.365759,2.440000,2.000000,0.000000,0.000000,0.628608
0.020000,2.399982,0.389759,2.480000,2.000000,0.000000,0.000000,0.658508
0.020000,2.431243,0.414711,2.520000,2.000000,0.000000,0.000000,0.688825
0.020000,2.461729,0.440605,2.560000,2.000000,0.000000,0.000000,0.719462
0.020000,2.491404,0.467423,2.600000,2.000000,0.000000,0.000000,0.750318
0.020000,2.520236,0.495147,2.640000,2.000000,0.000000,0.000000,0.781287
0.020000,2.548195,0.523750,2.680000,2.000000,0.000000,0.000000,0.812264
0.020000,2.575257,0.553204,2.720000,2.000000,0.000000,0.000000,0.843141
