dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000019,-0.350000,0.003333,0.333333,16.666667,833.333333,0.000053
0.020000,0.012108,-0.350004,0.015423,0.604490,13.557812,-155.442718,6.282543
0.020000,0.038323,-0.350038,0.041638,1.310749,35.312955,1087.757145,6.281252
0.020000,0.074445,-0.350137,0.077760,1.806083,24.766702,-527.312657,6.279695
0.020000,0.113950,-0.350303,0.117265,1.975258,8.458779,-815.396148,6.278281
0.020000,0.153557,-0.350521,0.156873,1.980411,0.257617,-410.058101,6.277162
0.020000,0.193267,-0.350777,0.196584,1.985524,0.255644,-0.098645,6.276335
0.020000,0.233078,-0.351062,0.236396,1.990607,0.254181,-0.073182,6.275798
0.020000,0.272990,-0.351363,0.276309,1.995674,0.253355,-0.041277,6.275551
0.020000,0.313004,-0.351668,0.316324,2.000732,0.252907,-0.022412,6.275592
0.020000,0.353119,-0.351967,0.356440,2.005791,0.252954,0.002379,6.275923
0.020000,0.393335,-0.352248,0.396657,2.010861,0.253497,0.027110,6.276544
0.020000,0.433653,-0.352498,0.436976,2.015955,0.254662,0.058286,6.277456
0.020000,0.474074,-0.352706,0.477398,2.021078,0.256189,0.076344,6.278660
0.020000,0.514599,-0.352860,0.517922,2.026243,0.258206,0.100835,6.280160
0.020000,0.555228,-0.352948,0.558552,2.031458,0.260755,0.127472,6.281957
0.020000,0.595963,-0.352956,0.599286,2.036734,0.263827,0.153591,0.000871
0.020000,0.636804,-0.352872,0.640128,2.042092,0.267888,0.203041,0.003276
0.020000,0.677754,-0.352684,0.681079,2.047525,0.271666,0.188914,0.005992
0.020000,0.718814,-0.352376,0.722140,2.053052,0.276339,0.233648,0.009023
0.020000,0.759986,-0.351937,0.763313,2.058688,0.281783,0.272211,0.012377
0.020000,0.801271,-0.351351,0.804602,2.064450,0.288096,0.315652,0.016060
0.020000,0.842670,-0.350604,0.846009,2.070329,0.293954,0.292879,0.020079
0.020000,0.884187,-0.349681,0.887536,2.076355,0.301296,0.367110,0.024442
0.020000,0.925823,-0.348566,0.929187,2.082548,0.309646,0.417511,0.029159
