dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.519067,3.121451,0.003333,0.333333,16.666667,833.333333,3.140783
0.020000,6.513003,3.121448,0.009397,0.303195,-1.506938,-908.680221,3.142397
0.020000,6.487484,3.121386,0.034916,1.275924,48.636456,2507.169699,3.145677
0.020000,6.452444,3.121162,0.069957,1.752078,23.807737,-1241.435955,3.150312
0.020000,6.414275,3.120730,0.108128,1.908557,7.823949,-799.189412,3.155541
0.020000,6.376175,3.120096,0.146233,1.905237,-0.166023,-399.498588,3.160959
0.020000,6.338151,3.119253,0.184267,1.901683,-0.177698,-0.583767,3.166579
0.020000,6.300209,3.118195,0.222224,1.897864,-0.190928,-0.661478,3.172410
0.020000,6.262350,3.116914,0.260104,1.893996,-0.193419,-0.124578,3.178467
0.020000,6.224583,3.115402,0.297902,1.889897,-0.204941,-0.576106,3.184763
0.020000,6.186918,3.113653,0.335607,1.885244,-0.232638,-1.384809,3.191312
0.020000,6.149356,3.111656,0.373223,1.880788,-0.222804,0.491700,3.198131
0.020000,6.111911,3.109404,0.410734,1.875589,-0.259972,-1.858434,3.205238
0.020000,6.074592,3.106888,0.448138,1.870184,-0.270237,-0.513236,3.212650
0.020000,6.037404,3.104097,0.485431,1.864646,-0.276907,-0.333509,3.220390
0.020000,6.000362,3.101023,0.522600,1.858456,-0.309489,-1.629098,3.228480
0.020000,5.963478,3.097654,0.559638,1.851884,-0.328629,-0.957001,3.236943
0.020000,5.926764,3.093980,0.596535,1.844858,-0.351292,-1.133123,3.245808
0.020000,5.890236,3.089989,0.633281,1.837302,-0.377808,-1.325809,3.255103
0.020000,5.853909,3.085670,0.669864,1.829131,-0.408530,-1.536098,3.264860
0.020000,5.817797,3.081009,0.706275,1.820587,-0.427213,-0.934179,3.275117
0.020000,5.781923,3.075995,0.742497,1.811102,-0.474261,-2.352388,3.285911
0.020000,5.746309,3.070614,0.778516,1.800927,-0.508754,-1.724647,3.297285
