dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.159612,2.473193,0.003333,0.333333,16.666667,833.333333,3.121912
0.020000,2.147586,2.473386,0.016667,1.000000,33.333333,833.333333,3.128486
0.020000,2.120920,2.473553,0.043333,1.666667,33.333333,0.000000,3.142371
0.020000,2.084258,2.473148,0.080000,2.000000,16.666667,-833.333333,3.163260
0.020000,2.044281,2.471781,0.120000,2.000000,0.000000,-833.333333,3.188818
0.020000,2.004358,2.469326,0.160000,2.000000,0.000000,0.000000,3.217827
0.020000,1.964532,2.465634,0.200000,2.000000,0.000000,0.000000,3.251023
0.020000,1.924861,2.460523,0.240000,2.000000,0.000000,0.000000,3.289344
0.020000,1.885438,2.453777,0.280000,2.000000,0.000000,0.000000,3.333986
0.020000,1.846390,2.445130,0.320000,2.000000,0.000000,0.000000,3.386473
0.020000,1.807899,2.434266,0.360000,2.000000,0.000000,0.000000,3.448720
0.020000,1.770242,2.420811,0.400000,2.000000,0.000000,0.000000,3.523021
0.020000,1.733804,2.404339,0.440000,2.000000,0.000000,0.000000,3.611919
0.020000,1.699142,2.384414,0.480000,2.000000,0.000000,0.000000,3.717644
0.020000,1.666990,2.360660,0.520000,2.000000,0.000000,0.000000,3.841002
0.020000,1.638233,2.332904,0.560000,2.000000,0.000000,0.000000,3.979669
0.020000,1.613750,2.301319,0.600000,2.000000,0.000000,0.000000,4.126970
0.020000,1.594175,2.266477,0.640000,2.000000,0.000000,0.000000,4.272972
0.020000,1.579698,2.229222,0.680000,2.000000,0.000000,0.000000,4.408094
0.020000,1.570055,2.190426,0.720000,2.000000,0.000000,0.000000,4.526435
0.020000,1.564695,2.150804,0.760000,2.000000,0.000000,0.000000,4.626371
0.020000,1.562964,2.110852,0.800000,2.000000,0.000000,0.000000,4.709122
0.020000,1.564237,2.070881,0.840000,2.000000,0.000000,0.000000,4.777092
0.020000,1.567971,2.031060,0.880000,2.000000,0.000000,0.000000,4.832842
0.020000,1.573714,1.991479,0.920000,2.000000,0.000000,0.000000,4.878638
0.020000,1.581099,1.952168,0.960000,2.000000,0.000000,0.000000,4.916335
0.020000,1.589827,1.913134,1.000000,2.000000,0.000000,0.000000,4.947393
0.020000,1.599654,1.874360,1.040000,2.000000,0.000000,0.000000,4.972945
0.020000,1.610375,1.835825,1.080000,2.000000,0.000000,0.000000,4.993862
0.020000,1.621823,1.797499,1.120000,2.000000,0.000000,0.000000,5.010811
0.020000,1.633851,1.759350,1.160000,2.000000,0.000000,0.000000,5.024299
0.020000,1.646334,1.721348,1.200000,2.000000,0.000000,0.000000,5.034707
0.020000,1.659157,1.683459,1.240000,2.000000,0.000000,0.000000,5.042316
0.020000,1.672219,1.645652,1.280000,2.000000,0.000000,0.000000,5.047324
0.020000,1.685423,1.607894,1.320000,2.000000,0.000000,0.000000,5.049858
0.020000,1.698676,1.570153,1.360000,2.000000,0.000000,0.000000,5.049980
0.020000,1.711889,1.532399,1.400000,2.000000,0.000000,0.000000,5.047693
0.020000,1.724970,1.494598,1.440000,2.000000,0.000000,0.000000,5.042941
0.020000,1.737822,1.456719,1.480000,2.000000,0.000000,0.000000,5.035603
0.020000,1.750344,1.418729,1.520000,2.000000,0.000000,0.000000,5.025491
0.020000,1.762424,1.380597,1.560000,2.000000,0.000000,0.000000,5.012332
0.020000,1.773937,1.342290,1.600000,2.000000,0.000000,0.000000,4.995755
0.020000,1.784740,1.303777,1.640000,2.000000,0.000000,0.000000,4.975268
0.020000,1.794665,1.265029,1.680000,2.000000,0.000000,0.000000,4.950223
0.020000,1.803515,1.226022,1.720000,2.000000,0.000000,0.000000,4.919771
0.020000,1.811049,1.186740,1.760000,2.000000,0.000000,0.000000,4.882809
0.020000,1.816975,1.147185,1.800000,2.000000,0.000000,0.000000,4.837913
0.020000,1.820932,1.107386,1.840000,2.000000,0.000000,0.000000,4.783270
0.020000,1.822478,1.067424,1.880000,2.000000,0.000000,0.000000,4.716656
0.020000,1.821080,1.027459,1.920000,2.000000,0.000000,0.000000,4.635524
0.020000,1.816118,0.987784,1.960000,2.000000,0.000000,0.000000,4.537420
0.020000,1.806939,0.948875,2.000000,2.000000,0.000000,0.000000,4.420938
0.020000,1.792971,0.911425,2.040000,2.000000,0.000000,0.000000,4.287327
0.020000,1.773914,0.876297,2.080000,2.000000,0.000000,0.000000,4.142036
0.020000,1.749907,0.844349,2.120000,2.000000,0.000000,0.000000,3.994386
0.020000,1.721545,0.816189,2.160000,2.000000,0.000000,0.000000,3.854464
0.020000,1.689697,0.792032,2.200000,2.000000,0.000000,0.000000,3.729376
0.020000,1.655253,0.771733,2.240000,2.000000,0.000000,0.000000,3.621859
0.020000,1.618968,0.754931,2.280000,2.000000,0.000000,0.000000,3.531344
0.020000,1.581412,0.741189,2.320000,2.000000,0.000000,0.000000,3.455673
0.020000,1.542995,0.730080,2.360000,2.000000,0.000000,0.000000,3.392316
0.020000,1.503992,0.721224,2.400000,2.000000,0.000000,0.000000,3.338930
0.020000,1.464600,0.714297,2.440000,2.000000,0.000000,0.000000,3.293567
0.020000,1.424951,0.709031,2.480000,2.000000,0.000000,0.000000,3.254665
0.020000,1.385136,0.705203,2.520000,2.000000,0.000000,0.000000,3.220994
0.020000,1.346745,0.702707,2.558472,1.847176,-7.641190,-382.059498,3.192649
0.020000,1.314692,0.701414,2.590554,1.361019,-24.307857,-833.333333,3.171545
0.020000,1.294145,0.700928,2.611107,0.694352,-33.333333,-451.273835,3.159072
0.020000,1.285397,0.700797,2.619856,0.180510,-25.692143,382.059498,3.153990
0.020000,1.283590,0.700776,2.621661,0.000000,-9.025477,833.333333,3.152956
0.020000,1.283590,0.700776,2.621661,0.000000,0.000000,451.273835,3.152956
